
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.440]   Hot
[00:21:50.400 --> 00:21:50.620]   was
[00:21:50.620 --> 00:21:50.920]   your
[00:21:50.920 --> 00:21:51.300]   face
[00:21:51.300 --> 00:21:51.440]  .
[00:21:51.440 --> 00:21:52.040]   Probably
[00:21:52.040 --> 00:21:52.340]   just
[00:21:52.340 --> 00:21:52.690]   my
[00:21:52.690 --> 00:21:52.840]   face
[00:21:55.120 --> 00:21:55.120]  
[00:21:55.120 --> 00:21:55.320]   Put
[00:21:55.320 --> 00:21:55.590]   that
[00:21:55.590 --> 00:21:55.720]   up
[00:21:55.720 --> 00:21:56.080]   there
[00:21:56.080 --> 00:21:57.120]   I
[00:21:57.120 --> 00:21:57.160]  'm
[00:21:57.160 --> 00:21:57.280]   trying
[00:21:57.280 --> 00:21:57.340]   but
[00:21:57.340 --> 00:21:57.360]   I
[00:21:57.360 --> 00:21:57.400]  'm
[00:21:57.400 --> 00:21:57.480]   not
[00:21:57.480 --> 00:21:57.570]   C
[00:21:57.570 --> 00:21:57.840]  rap
[00:21:57.840 --> 00:21:58.450]   photos
[00:21:58.450 --> 00:21:58.820]   like
[00:21:58.820 --> 00:21:59.210]   when
[00:21:59.210 --> 00:21:59.220]   I
[00:21:59.220 --> 00:21:59.490]   put
[00:21:59.490 --> 00:21:59.670]   my
[00:21:59.670 --> 00:22:00.130]   first
[00:22:00.130 --> 00:22:00.590]   photo
[00:22:00.590 --> 00:22:00.970]   your
[00:22:00.970 --> 00:22:01.330]   wife
[00:22:01.330 --> 00:22:01.700]   said
[00:22:01.700 --> 00:22:02.070]   over
[00:22:02.070 --> 00:22:02.440]   your
[00:22:02.440 --> 00:22:03.220]   shoulder
[00:22:03.220 --> 00:22:03.490]   She
[00:22:03.490 --> 00:22:03.780]   said
[00:22:03.780 --> 00:22:04.150]   I
[00:22:04.150 --> 00:22:04.190]   think
[00:22:04.190 --> 00:22:04.330]   the
[00:22:04.330 --> 00:22:04.560]   thing
[00:22:04.560 --> 00:22:04.700]   the
[00:22:04.700 --> 00:22:05.070]   problem
[00:22:05.070 --> 00:22:05.220]   with
[00:22:05.220 --> 00:22:05.440]   that
[00:22:05.440 --> 00:22:05.820]   photo
[00:22:05.820 --> 00:22:06.180]   is
[00:22:06.180 --> 00:22:06.310]   there
[00:22:06.310 --> 00:22:06.380]  's
[00:22:06.380 --> 00:22:06.410]   a
[00:22:06.410 --> 00:22:06.630]   little
[00:22:06.630 --> 00:22:06.740]   too
[00:22:06.740 --> 00:22:06.930]   much
[00:22:06.930 --> 00:22:07.260]   face
[00:22:07.260 --> 00:22:07.390]   and
[00:22:07.390 --> 00:22:07.430]   a
[00:22:07.430 --> 00:22:07.740]   little
[00:22:07.740 --> 00:22:07.830]   too
[00:22:07.830 --> 00:22:08.040]   much
[00:22:08.040 --> 00:22:08.440]   cheek
[00:22:08.440 --> 00:22:08.720]   a
[00:22:08.720 --> 00:22:09.160]   Little
[00:22:09.160 --> 00:22:09.360]   too
[00:22:09.360 --> 00:22:09.650]   much
[00:22:09.650 --> 00:22:10.020]   chin
[00:22:10.020 --> 00:22:10.080]   in
[00:22:10.080 --> 00:22:10.290]   and
[00:22:10.290 --> 00:22:10.380]   I
[00:22:10.380 --> 00:22:10.570]   was
[00:22:10.570 --> 00:22:10.900]   like
[00:22:10.900 --> 00:22:12.320]   Actually
[00:22:12.320 --> 00:22:12.620]   is
[00:22:12.620 --> 00:22:12.960]   my
[00:22:12.960 --> 00:22:13.680]   face
[00:22:13.680 --> 00:22:14.270]   Just
[00:22:14.270 --> 00:22:14.860]   have
[00:22:14.860 --> 00:22:15.320]   too
[00:22:15.320 --> 00:22:15.890]   much
[00:22:15.890 --> 00:22:16.520]   face
[00:22:16.520 --> 00:22:18.640]   Yeah
[00:22:18.640 --> 00:22:18.680]  ,
[00:22:18.680 --> 00:22:18.770]   well
[00:22:18.770 --> 00:22:18.840]   the
[00:22:18.840 --> 00:22:18.910]   way
[00:22:18.910 --> 00:22:19.030]   you
[00:22:19.030 --> 00:22:19.050]   had
[00:22:19.050 --> 00:22:19.160]   done
[00:22:19.160 --> 00:22:19.320]   it
[00:22:19.320 --> 00:22:19.410]   is
[00:22:19.410 --> 00:22:19.600]   that
[00:22:19.600 --> 00:22:19.740]   you
[00:22:19.740 --> 00:22:19.880]   had
[00:22:19.880 --> 00:22:20.130]   done
[00:22:20.130 --> 00:22:20.500]   something
[00:22:20.500 --> 00:22:20.690]   with
[00:22:20.690 --> 00:22:20.830]   the
[00:22:20.830 --> 00:22:21.200]   picture
[00:22:21.200 --> 00:22:21.310]   So
[00:22:21.310 --> 00:22:21.380]   it
[00:22:21.380 --> 00:22:21.510]   was
[00:22:21.510 --> 00:22:21.710]   just
[00:22:21.710 --> 00:22:22.050]   because
[00:22:22.050 --> 00:22:22.190]   that
[00:22:22.190 --> 00:22:22.510]   because
[00:22:22.510 --> 00:22:22.640]   the
[00:22:22.640 --> 00:22:22.910]   camera
[00:22:22.910 --> 00:22:23.000]   is
[00:22:23.000 --> 00:22:23.090]   so
[00:22:23.090 --> 00:22:23.360]   close
[00:22:23.360 --> 00:22:23.410]   to
[00:22:23.410 --> 00:22:23.590]   your
[00:22:23.590 --> 00:22:23.840]   face
[00:22:23.840 --> 00:22:23.960]  .
[00:22:23.960 --> 00:22:24.040]   It
[00:22:24.040 --> 00:22:24.240]   comes
[00:22:24.240 --> 00:22:24.360]   out
[00:22:24.360 --> 00:22:24.760]   distorted
[00:22:25.520 --> 00:22:25.070]   Yeah
[00:22:25.070 --> 00:22:25.180]  ,
[00:22:25.180 --> 00:22:25.340]   and
[00:22:25.340 --> 00:22:25.590]   that
[00:22:25.590 --> 00:22:25.870]  's
[00:22:25.870 --> 00:22:25.920]   not
[00:22:25.920 --> 00:22:26.110]   the
[00:22:26.110 --> 00:22:26.430]   photo
[00:22:26.430 --> 00:22:26.690]   that
[00:22:26.690 --> 00:22:26.820]  's
[00:22:26.820 --> 00:22:26.950]   up
[00:22:26.950 --> 00:22:27.270]   there
[00:22:27.270 --> 00:22:27.730]   anymore
[00:22:27.730 --> 00:22:27.920]  .
[00:22:27.920 --> 00:22:28.200]   They
[00:22:28.200 --> 00:22:28.370]  're
[00:22:28.370 --> 00:22:28.570]   the
[00:22:28.570 --> 00:22:28.880]   photo
[00:22:28.880 --> 00:22:29.070]   you
[00:22:29.070 --> 00:22:29.330]   have
[00:22:29.330 --> 00:22:29.460]   or
[00:22:29.460 --> 00:22:29.720]   what
[00:22:29.720 --> 00:22:29.850]  's
[00:22:29.850 --> 00:22:30.240]   that
[00:22:30.240 --> 00:22:30.300]  ?
[00:22:30.300 --> 00:22:30.500]   But
[00:22:30.500 --> 00:22:30.870]   yeah
[00:22:30.870 --> 00:22:30.880]  ,
[00:22:30.880 --> 00:22:31.010]   so
[00:22:31.010 --> 00:22:31.070]   I
[00:22:31.070 --> 00:22:31.200]  'm
[00:22:31.200 --> 00:22:31.660]   working
[00:22:31.660 --> 00:22:31.790]   on
[00:22:31.790 --> 00:22:32.080]   it
[00:22:32.080 --> 00:22:32.120]   I
[00:22:32.120 --> 00:22:32.200]  'm
[00:22:32.200 --> 00:22:32.460]   trying
[00:22:32.460 --> 00:22:32.540]   to
[00:22:32.540 --> 00:22:32.800]   come
[00:22:32.800 --> 00:22:32.880]   with
[00:22:32.880 --> 00:22:32.920]   a
[00:22:32.920 --> 00:22:33.170]   photo
[00:22:33.170 --> 00:22:33.300]   that
[00:22:33.300 --> 00:22:33.510]   doesn
[00:22:33.510 --> 00:22:33.590]  't
[00:22:33.590 --> 00:22:33.760]   look
[00:22:33.760 --> 00:22:33.930]   like
[00:22:33.930 --> 00:22:33.970]   a
[00:22:33.970 --> 00:22:34.180]   train
[00:22:34.180 --> 00:22:34.480]   wreck
[00:22:34.480 --> 00:22:34.690]   But
[00:22:34.690 --> 00:22:34.750]   I
[00:22:34.750 --> 00:22:34.900]  'm
[00:22:34.900 --> 00:22:35.450]   working
[00:22:35.450 --> 00:22:35.540]   on
[00:22:35.540 --> 00:22:35.680]   oh
[00:22:35.680 --> 00:22:35.900]   and
[00:22:35.900 --> 00:22:35.960]   I
[00:22:35.960 --> 00:22:36.320]   wrote
[00:22:36.320 --> 00:22:36.460]   my
[00:22:36.460 --> 00:22:36.810]   first
[00:22:36.810 --> 00:22:37.350]   blog
[00:22:37.350 --> 00:22:37.400]   post
[00:22:37.400 --> 00:22:37.610]  .
[00:22:37.610 --> 00:22:37.740]   It
[00:22:37.740 --> 00:22:37.890]  's
[00:22:37.890 --> 00:22:38.320]   still
[00:22:38.320 --> 00:22:38.390]   in
[00:22:38.390 --> 00:22:38.750]   draft
[00:22:38.750 --> 00:22:39.040]   form
[00:22:39.040 --> 00:22:39.240]  ,
[00:22:39.240 --> 00:22:39.420]   but
[00:22:39.420 --> 00:22:39.960]   actually
[00:22:39.960 --> 00:22:40.320]   wrote
[00:22:40.320 --> 00:22:40.390]   a
[00:22:40.390 --> 00:22:40.680]   blog
[00:22:40.680 --> 00:22:41.080]   post
[00:22:41.080 --> 00:22:41.400]   Dude
[00:22:41.400 --> 00:22:41.530]  ,
[00:22:41.530 --> 00:22:41.960]   we
[00:22:41.960 --> 00:22:42.000]   are
[00:22:42.000 --> 00:22:42.280]   like
[00:22:42.280 --> 00:22:42.760]   27
[00:22:42.760 --> 00:22:43.320]   minutes
[00:22:43.320 --> 00:22:43.480]   in
[00:22:43.480 --> 00:22:43.760]   and
[00:22:43.760 --> 00:22:43.880]   we
[00:22:43.880 --> 00:22:44.280]   haven
[00:22:44.280 --> 00:22:44.440]  't
[00:22:44.440 --> 00:22:44.770]   said
[00:22:44.770 --> 00:22:45.400]   anything
[00:22:45.400 --> 00:22:45.800]   about
[00:22:45.800 --> 00:22:46.310]   tech
[00:22:46.310 --> 00:22:46.360]  .
[00:22:46.360 --> 00:22:46.660]   Okay
[00:22:46.660 --> 00:22:46.830]  ,
[00:22:46.830 --> 00:22:47.230]   we
[00:22:47.230 --> 00:22:47.250]  'll
[00:22:47.250 --> 00:22:47.480]   get
[00:22:47.480 --> 00:22:47.800]   that
[00:22:47.800 --> 00:22:48.200]   suck
[00:22:48.200 --> 00:22:48.300]   It
[00:22:48.300 --> 00:22:48.410]  's
[00:22:48.410 --> 00:22:48.480]   taken
[00:22:48.480 --> 00:22:48.980]   and
[00:22:48.980 --> 00:22:49.030]   it
[00:22:49.030 --> 00:22:49.090]  's
[00:22:49.090 --> 00:22:49.310]   like
[00:22:49.310 --> 00:22:49.420]   no
[00:22:49.420 --> 00:22:49.530]   it
[00:22:49.530 --> 00:22:49.640]  's
[00:22:49.640 --> 00:22:49.860]   like
[00:22:49.860 --> 00:22:49.970]   no
[00:22:49.970 --> 00:22:50.310]   agenda
[00:22:50.310 --> 00:22:50.470]  .
[00:22:50.470 --> 00:22:50.690]   They
[00:22:50.690 --> 00:22:50.970]   spend
[00:22:50.970 --> 00:22:51.190]   like
[00:22:51.190 --> 00:22:51.300]   an
[00:22:51.300 --> 00:22:51.520]   hour
[00:22:51.520 --> 00:22:51.910]   talking
[00:22:51.910 --> 00:22:52.190]   about
[00:22:52.190 --> 00:22:52.680]   nothing
[00:22:52.680 --> 00:22:52.680]  
[00:22:52.680 --> 00:22:52.920]   So
[00:22:52.920 --> 00:22:52.920]   what
[00:22:52.920 --> 00:22:53.140]   the
[00:22:53.140 --> 00:22:53.170]   one
[00:22:53.170 --> 00:22:53.360]   thing
[00:22:53.360 --> 00:22:53.600]   about
[00:22:53.600 --> 00:22:53.640]   no
[00:22:53.640 --> 00:22:53.880]   agenda
[00:22:53.880 --> 00:22:53.920]   I
[00:22:53.920 --> 00:22:54.040]   was
[00:22:54.040 --> 00:22:54.360]   thinking
[00:22:54.360 --> 00:22:54.560]   about
[00:22:54.560 --> 00:22:54.720]   this
[00:22:54.720 --> 00:22:54.870]   the
[00:22:54.870 --> 00:22:55.040]   other
[00:22:55.040 --> 00:22:55.200]   day
[00:22:55.200 --> 00:22:55.260]   I
[00:22:55.260 --> 00:22:55.430]   don
[00:22:55.430 --> 00:22:55.780]  't
[00:22:55.780 --> 00:22:56.180]   actually
[00:22:56.180 --> 00:22:56.400]   care
[00:22:56.400 --> 00:22:56.720]   what
[00:22:56.720 --> 00:22:56.940]   they
[00:22:56.940 --> 00:22:57.240]   talk
[00:22:57.240 --> 00:22:57.600]   about
[00:22:57.600 --> 00:22:57.660]   I
[00:22:57.660 --> 00:22:57.910]   just
[00:22:57.910 --> 00:22:58.230]   enjoy
[00:22:58.230 --> 00:22:58.810]   listening
[00:22:58.810 --> 00:22:58.920]   to
[00:22:58.920 --> 00:22:59.340]   them
[00:22:59.340 --> 00:22:59.420]   the
[00:22:59.420 --> 00:22:59.740]   energy
[00:22:59.740 --> 00:22:59.860]   of
[00:22:59.860 --> 00:23:00.180]   those
[00:23:00.180 --> 00:23:00.390]   two
[00:23:00.390 --> 00:23:00.680]   guys
[00:23:00.680 --> 00:23:01.360]   talking
[00:23:01.360 --> 00:23:01.680]   it
[00:23:01.680 --> 00:23:02.030]   just
[00:23:02.030 --> 00:23:02.320]   I
[00:23:02.320 --> 00:23:02.590]   like
[00:23:02.590 --> 00:23:02.840]   it
[00:23:02.840 --> 00:23:02.950]   I
[00:23:02.950 --> 00:23:03.080]   like
[00:23:03.080 --> 00:23:03.360]   this
[00:23:03.360 --> 00:23:03.530]   thing
[00:23:03.530 --> 00:23:03.610]   to
[00:23:03.610 --> 00:23:03.840]   them
[00:23:03.840 --> 00:23:03.950]  .
[00:23:03.950 --> 00:23:03.990]   I
[00:23:03.990 --> 00:23:04.140]   like
[00:23:04.140 --> 00:23:04.290]   what
[00:23:04.290 --> 00:23:04.440]   they
[00:23:04.440 --> 00:23:04.600]   have
[00:23:04.600 --> 00:23:04.670]   to
[00:23:04.670 --> 00:23:04.840]   say
[00:23:04.840 --> 00:23:05.060]  .
[00:23:05.060 --> 00:23:05.290]   They
[00:23:05.290 --> 00:23:05.300]  're
[00:23:05.300 --> 00:23:05.820]   essentially
[00:23:05.820 --> 00:23:06.000]   kind
[00:23:06.000 --> 00:23:06.120]   of
[00:23:06.120 --> 00:23:06.160]   We
[00:23:06.160 --> 00:23:06.670]  iss
[00:23:06.670 --> 00:23:06.820]   cracks
[00:23:06.820 --> 00:23:06.950]   to
[00:23:06.950 --> 00:23:07.210]   each
[00:23:07.210 --> 00:23:07.530]   other
[00:23:07.530 --> 00:23:07.720]   all
[00:23:07.720 --> 00:23:07.980]   that
[00:23:07.980 --> 00:23:08.240]   kind
[00:23:08.240 --> 00:23:08.370]   of
[00:23:08.370 --> 00:23:08.710]   stuff
[00:23:08.710 --> 00:23:08.750]  .
[00:23:08.750 --> 00:23:09.170]   We
[00:23:09.170 --> 00:23:09.210]   know
[00:23:09.210 --> 00:23:09.430]   this
[00:23:09.430 --> 00:23:09.650]   last
[00:23:09.650 --> 00:23:10.040]   episode
[00:23:10.040 --> 00:23:10.060]   I
[00:23:10.060 --> 00:23:10.140]   was
[00:23:10.140 --> 00:23:10.400]   listening
[00:23:10.400 --> 00:23:10.520]   to
[00:23:10.520 --> 00:23:10.820]   You
[00:23:10.820 --> 00:23:11.240]   know
[00:23:11.240 --> 00:23:11.600]   last
[00:23:11.600 --> 00:23:12.120]   night
[00:23:12.120 --> 00:23:12.290]   at
[00:23:12.290 --> 00:23:12.590]   the
[00:23:12.590 --> 00:23:12.920]   gym
[00:23:12.920 --> 00:23:13.030]  ,
[00:23:13.030 --> 00:23:13.080]   I
[00:23:13.080 --> 00:23:13.350]   guess
[00:23:13.350 --> 00:23:13.510]   has
[00:23:13.510 --> 00:23:13.730]   been
[00:23:13.730 --> 00:23:13.840]   a
[00:23:13.840 --> 00:23:14.050]   bunch
[00:23:14.050 --> 00:23:14.160]   of
[00:23:14.160 --> 00:23:14.320]   UFO
[00:23:14.320 --> 00:23:14.590]   sight
[00:23:14.590 --> 00:23:14.810]  ings
[00:23:14.810 --> 00:23:15.100]   over
[00:23:15.100 --> 00:23:15.560]   Arizona
[00:23:15.560 --> 00:23:15.760]   and
[00:23:15.760 --> 00:23:15.960]   New
[00:23:15.960 --> 00:23:16.220]   York
[00:23:16.220 --> 00:23:16.420]   and
[00:23:16.420 --> 00:23:16.880]   further
[00:23:16.880 --> 00:23:17.210]   point
[00:23:17.210 --> 00:23:17.740]   Richmond
[00:23:17.740 --> 00:23:17.880]  ,
[00:23:17.880 --> 00:23:18.440]   Virginia
[00:23:18.440 --> 00:23:20.240]   and
[00:23:20.240 --> 00:23:20.310]  
[00:23:20.310 --> 00:23:20.470]   Adam
[00:23:20.470 --> 00:23:20.760]   Curry
[00:23:20.760 --> 00:23:20.930]   had
[00:23:20.930 --> 00:23:20.980]   a
[00:23:20.980 --> 00:23:21.270]   bunch
[00:23:21.270 --> 00:23:21.380]   of
[00:23:21.380 --> 00:23:21.960]   recordings
[00:23:21.960 --> 00:23:22.070]   of
[00:23:22.070 --> 00:23:22.180]   it
[00:23:22.180 --> 00:23:22.350]   and
[00:23:22.350 --> 00:23:22.460]   he
[00:23:22.460 --> 00:23:22.620]   was
[00:23:22.620 --> 00:23:22.880]   just
[00:23:22.880 --> 00:23:23.210]   making
[00:23:23.210 --> 00:23:23.380]   fun
[00:23:23.380 --> 00:23:23.490]   of
[00:23:23.490 --> 00:23:23.660]   how
[00:23:23.660 --> 00:23:23.830]   all
[00:23:23.830 --> 00:23:23.940]   of
[00:23:23.940 --> 00:23:24.240]   the
[00:23:24.240 --> 00:23:24.600]   Broad
[00:23:24.600 --> 00:23:24.800]  cas
[00:23:24.800 --> 00:23:25.200]  ters
[00:23:25.200 --> 00:23:25.300]   are
[00:23:25.300 --> 00:23:25.580]   just
[00:23:25.580 --> 00:23:26.010]   making
[00:23:26.010 --> 00:23:26.080]   a
[00:23:26.080 --> 00:23:26.360]   joke
[00:23:26.360 --> 00:23:26.570]   out
[00:23:26.570 --> 00:23:26.710]   of
[00:23:26.710 --> 00:23:26.920]   it
[00:23:26.920 --> 00:23:26.960]   I
[00:23:26.960 --> 00:23:27.130]   know
[00:23:27.130 --> 00:23:27.260]   one
[00:23:27.260 --> 00:23:27.340]  's
[00:23:27.340 --> 00:23:27.920]   investigating
[00:23:27.920 --> 00:23:28.040]   it
[00:23:28.040 --> 00:23:28.180]   but
[00:23:28.180 --> 00:23:28.360]   they
[00:23:28.360 --> 00:23:28.530]   one
[00:23:28.530 --> 00:23:28.730]   thing
[00:23:28.730 --> 00:23:28.910]   that
[00:23:28.910 --> 00:23:28.950]   I
[00:23:28.950 --> 00:23:29.160]   know
[00:23:29.160 --> 00:23:29.270]   for
[00:23:29.270 --> 00:23:29.450]   sure
[00:23:29.450 --> 00:23:29.570]   is
[00:23:29.570 --> 00:23:29.720]   they
[00:23:29.720 --> 00:23:29.860]  're
[00:23:29.860 --> 00:23:30.000]   not
[00:23:30.000 --> 00:23:30.200]   like
[00:23:30.200 --> 00:23:30.410]   alien
[00:23:30.410 --> 00:23:30.960]   spacecraft
[00:23:30.960 --> 00:23:31.160]  .
[00:23:31.160 --> 00:23:31.300]   They
[00:23:31.300 --> 00:23:31.420]   know
[00:23:31.420 --> 00:23:31.590]   that
[00:23:31.590 --> 00:23:31.710]   for
[00:23:31.710 --> 00:23:31.900]   sure
[00:23:31.900 --> 00:23:32.390]   There
[00:23:32.390 --> 00:23:32.400]  's
[00:23:32.400 --> 00:23:32.760]   no
[00:23:32.760 --> 00:23:32.800]   way
[00:23:32.800 --> 00:23:32.930]   of
[00:23:32.930 --> 00:23:33.480]   proving
[00:23:33.480 --> 00:23:33.700]   that
[00:23:33.700 --> 00:23:33.920]   but
[00:23:33.920 --> 00:23:34.210]   that
[00:23:34.210 --> 00:23:34.350]  's
[00:23:34.350 --> 00:23:34.570]   one
[00:23:34.570 --> 00:23:34.930]   thing
[00:23:34.930 --> 00:23:35.080]   we
[00:23:35.080 --> 00:23:35.360]   know
[00:23:35.360 --> 00:23:35.580]   for
[00:23:35.580 --> 00:23:35.960]   sure
[00:23:35.960 --> 00:23:36.320]   it
[00:23:36.320 --> 00:23:36.590]   was
[00:23:36.590 --> 00:23:36.770]   it
[00:23:36.770 --> 00:23:36.950]  's
[00:23:36.950 --> 00:23:37.040]   a
[00:23:37.040 --> 00:23:37.510]   funny
[00:23:37.510 --> 00:23:37.900]   show
[00:23:37.900 --> 00:23:37.980]   I
[00:23:37.980 --> 00:23:38.230]   was
[00:23:38.230 --> 00:23:38.480]   listed
[00:23:38.480 --> 00:23:38.560]   I
[00:23:38.560 --> 00:23:38.800]   said
[00:23:38.800 --> 00:23:38.840]  ,
[00:23:38.840 --> 00:23:38.910]   you
[00:23:38.910 --> 00:23:39.000]   know
[00:23:39.000 --> 00:23:39.200]   what
[00:23:39.200 --> 00:23:39.240]   I
[00:23:39.240 --> 00:23:39.330]   was
[00:23:39.330 --> 00:23:39.520]   gonna
[00:23:39.520 --> 00:23:39.890]   suggest
[00:23:39.890 --> 00:23:40.160]   you
[00:23:40.160 --> 00:23:40.280]   you
[00:23:40.280 --> 00:23:40.520]   should
[00:23:40.520 --> 00:23:40.710]   you
[00:23:40.710 --> 00:23:41.140]   should
[00:23:41.140 --> 00:23:41.450]   forward
[00:23:41.450 --> 00:23:41.680]   them
[00:23:41.680 --> 00:23:41.960]   a
[00:23:41.960 --> 00:23:42.060]   link
[00:23:42.060 --> 00:23:42.060]   to
[00:23:42.060 --> 00:23:42.210]   our
[00:23:42.210 --> 00:23:42.680]   interview
[00:23:42.680 --> 00:23:42.880]   with
[00:23:42.880 --> 00:23:43.280]   Richard
[00:23:43.280 --> 00:23:43.440]   Dol
[00:23:43.440 --> 00:23:43.560]  an
[00:23:43.560 --> 00:23:43.620]  's
[00:23:43.620 --> 00:23:43.920]   forward
[00:23:43.920 --> 00:23:44.180]   That
[00:23:44.180 --> 00:23:44.310]   to
[00:23:44.310 --> 00:23:44.570]   Adam
[00:23:44.570 --> 00:23:45.000]   Curry
[00:23:45.000 --> 00:23:45.100]   who
[00:23:45.100 --> 00:23:45.560]   already
[00:23:45.560 --> 00:23:45.760]   did
[00:23:45.760 --> 00:23:46.280]   already
[00:23:46.280 --> 00:23:46.420]   did
[00:23:46.420 --> 00:23:46.620]  .
[00:23:46.620 --> 00:23:46.750]   Oh
[00:23:46.750 --> 00:23:47.150]   you
[00:23:47.150 --> 00:23:47.160]   did
[00:23:47.160 --> 00:23:47.400]  ?
[00:23:47.400 --> 00:23:47.760]   Okay
[00:23:47.760 --> 00:23:47.790]  .
[00:23:47.790 --> 00:23:47.840]   Yeah
[00:23:47.840 --> 00:23:47.940]  ,
[00:23:47.940 --> 00:23:48.240]   see
[00:23:48.240 --> 00:23:48.290]   but
[00:23:48.290 --> 00:23:48.340]   he
[00:23:48.340 --> 00:23:48.590]   would
[00:23:48.590 --> 00:23:48.850]   enjoy
[00:23:48.850 --> 00:23:49.080]   that
[00:23:49.080 --> 00:23:49.120]   I
[00:23:49.120 --> 00:23:49.360]   think
[00:23:49.920 --> 00:23:49.810]   Because
[00:23:49.810 --> 00:23:49.960]   he
[00:23:49.960 --> 00:23:50.130]   was
[00:23:50.130 --> 00:23:50.260]   he
[00:23:50.260 --> 00:23:50.480]   was
[00:23:50.480 --> 00:23:50.840]   really
[00:23:50.840 --> 00:23:51.160]   upset
[00:23:51.160 --> 00:23:51.420]   that
[00:23:51.420 --> 00:23:51.510]   D
[00:23:51.510 --> 00:23:51.670]  vor
[00:23:51.670 --> 00:23:51.840]  ak
[00:23:51.840 --> 00:23:51.930]   is
[00:23:51.930 --> 00:23:51.990]   a
[00:23:51.990 --> 00:23:52.180]   non
[00:23:52.180 --> 00:23:52.240]  -
[00:23:52.240 --> 00:23:52.430]  bel
[00:23:52.430 --> 00:23:52.630]  ie
[00:23:52.630 --> 00:23:52.750]  ver
[00:23:52.750 --> 00:23:52.940]  .
[00:23:52.940 --> 00:23:53.060]   He
[00:23:53.060 --> 00:23:53.200]  's
[00:23:53.200 --> 00:23:53.260]   a
[00:23:53.260 --> 00:23:53.770]   crank
[00:23:53.770 --> 00:23:53.820]  .
[00:23:53.820 --> 00:23:53.900]   He
[00:23:53.900 --> 00:23:54.040]  's
[00:23:54.040 --> 00:23:54.090]   a
[00:23:54.090 --> 00:23:54.410]   crank
[00:23:54.410 --> 00:23:54.470]  y
[00:23:54.470 --> 00:23:54.660]   non
[00:23:54.660 --> 00:23:54.720]  -
[00:23:54.720 --> 00:23:54.910]  bel
[00:23:54.910 --> 00:23:55.040]  ie
[00:23:55.040 --> 00:23:55.360]  ver
[00:23:55.360 --> 00:23:55.560]   So
[00:23:55.560 --> 00:23:55.840]   I
[00:23:55.840 --> 00:23:56.220]   would
[00:23:56.220 --> 00:23:56.700]   like
[00:23:56.700 --> 00:23:56.900]   to
[00:23:56.900 --> 00:23:57.180]   get
[00:23:57.180 --> 00:23:57.650]   Adam
[00:23:57.650 --> 00:23:58.150]   Curry
[00:23:58.150 --> 00:23:58.470]   and
[00:23:58.470 --> 00:23:58.900]   John
[00:23:58.900 --> 00:23:59.010]   D
[00:23:59.010 --> 00:23:59.330]  vor
[00:23:59.330 --> 00:23:59.750]  ak
[00:23:59.750 --> 00:23:59.750]   on
[00:23:59.750 --> 00:24:00.080]   for
[00:24:00.080 --> 00:24:00.390]   our
[00:24:00.390 --> 00:24:01.150]   hundred
[00:24:01.150 --> 00:24:01.360]  th
[00:24:01.360 --> 00:24:02.240]   episode
[00:24:02.240 --> 00:24:02.400]   If
[00:24:02.400 --> 00:24:02.640]   you
[00:24:02.640 --> 00:24:03.200]   could
[00:24:03.200 --> 00:24:03.300]   do
[00:24:03.300 --> 00:24:03.520]   that
[00:24:03.520 --> 00:24:03.680]  ,
[00:24:03.680 --> 00:24:04.000]   that
[00:24:04.000 --> 00:24:04.400]   would
[00:24:04.400 --> 00:24:04.560]   be
[00:24:04.560 --> 00:24:04.640]   a
[00:24:04.640 --> 00:24:04.970]   coup
[00:24:04.970 --> 00:24:05.290]   of
[00:24:05.290 --> 00:24:05.420]   all
[00:24:05.420 --> 00:24:05.680]   coup
[00:24:05.680 --> 00:24:05.760]  s
[00:24:05.760 --> 00:24:06.000]  .
[00:24:06.000 --> 00:24:06.320]   That
[00:24:06.320 --> 00:24:06.480]  'd
[00:24:06.480 --> 00:24:06.640]   be
[00:24:06.640 --> 00:24:07.440]   fantastic
[00:24:07.440 --> 00:24:07.750]   Wouldn
[00:24:07.750 --> 00:24:07.850]  't
[00:24:07.850 --> 00:24:07.950]   it
[00:24:07.950 --> 00:24:08.290]   that
[00:24:08.290 --> 00:24:08.420]   would
[00:24:08.420 --> 00:24:08.520]   be
[00:24:08.520 --> 00:24:08.880]   massive
[00:24:08.880 --> 00:24:08.980]   if
[00:24:08.980 --> 00:24:09.130]   you
[00:24:09.130 --> 00:24:09.400]   could
[00:24:09.400 --> 00:24:09.490]   do
[00:24:09.490 --> 00:24:09.700]   that
[00:24:09.700 --> 00:24:09.960]   would
[00:24:09.960 --> 00:24:10.060]   be
[00:24:10.060 --> 00:24:10.320]   great
[00:24:10.320 --> 00:24:10.570]   have
[00:24:10.570 --> 00:24:10.630]   no
[00:24:10.630 --> 00:24:10.960]   agenda
[00:24:10.960 --> 00:24:11.150]   take
[00:24:11.150 --> 00:24:11.390]   over
[00:24:11.390 --> 00:24:11.820]   texting
[00:24:11.820 --> 00:24:12.110]   Yeah
[00:24:12.110 --> 00:24:12.390]  ,
[00:24:12.390 --> 00:24:12.600]   it
[00:24:12.600 --> 00:24:12.760]   would
[00:24:12.760 --> 00:24:12.900]   be
[00:24:12.900 --> 00:24:12.970]   a
