
[00:00:00.000 --> 00:00:00.080]  
[00:00:00.080 --> 00:00:00.720]   Jing
[00:07:51.970 --> 00:07:52.070]   we
[00:07:52.070 --> 00:07:52.690]   should
[00:07:52.690 --> 00:07:53.320]   probably
[00:07:53.320 --> 00:07:53.740]   start
[00:07:53.740 --> 00:07:53.970]   off
[00:07:53.970 --> 00:07:54.140]   by
[00:07:54.140 --> 00:07:55.010]   mentioning
[00:07:55.010 --> 00:07:55.270]   our
[00:07:55.270 --> 00:07:56.050]   executive
[00:07:56.050 --> 00:07:56.740]   producer
[00:07:56.740 --> 00:07:57.000]  ,
[00:07:57.000 --> 00:07:57.280]   who
[00:07:57.280 --> 00:07:57.700]   is
[00:07:57.700 --> 00:07:58.150]   Philip
[00:07:58.150 --> 00:07:58.670]   Monet
[00:07:58.670 --> 00:07:59.000]  .
[00:07:59.000 --> 00:07:59.090]   Oh
[00:07:59.090 --> 00:07:59.620]  ,
[00:07:59.620 --> 00:07:59.770]   thank
[00:07:59.770 --> 00:08:00.040]   you
[00:08:00.040 --> 00:08:00.200]  ,
[00:08:00.200 --> 00:08:00.720]   Philip
[00:08:00.720 --> 00:08:01.000]  .
[00:08:01.000 --> 00:08:01.210]   So
[00:08:01.210 --> 00:08:01.850]   Philip
[00:08:01.850 --> 00:08:02.270]   gave
[00:08:02.270 --> 00:08:02.480]   us
[00:08:02.480 --> 00:08:03.240]   50
[00:08:03.240 --> 00:08:03.650]   bucks
[00:08:03.650 --> 00:08:04.000]  .
[00:08:04.000 --> 00:08:04.230]   And
[00:08:04.230 --> 00:08:04.350]   of
[00:08:04.350 --> 00:08:04.810]   course
[00:08:04.810 --> 00:08:04.920]  ,
[00:08:04.920 --> 00:08:05.350]   Philip
[00:08:05.350 --> 00:08:05.490]   is
[00:08:05.490 --> 00:08:06.070]   inventor
[00:08:06.070 --> 00:08:06.290]   of
[00:08:06.290 --> 00:08:06.350]   La
[00:08:06.350 --> 00:08:06.640]   Crit
[00:08:06.640 --> 00:08:06.990]  ique
[00:08:06.990 --> 00:08:07.000]  .
[00:08:07.000 --> 00:08:07.730]   That
[00:08:07.730 --> 00:08:07.850]   is
[00:08:07.850 --> 00:08:08.560]   right
[00:08:08.560 --> 00:08:09.000]  .
[00:08:09.000 --> 00:08:09.070]   Oh
[00:08:09.070 --> 00:08:09.140]  ,
[00:08:09.140 --> 00:08:09.210]   he
[00:08:09.210 --> 00:08:09.550]   invented
[00:08:09.550 --> 00:08:09.570]   La
[00:08:09.570 --> 00:08:09.730]   Crit
[00:08:09.730 --> 00:08:09.850]  ique
[00:08:09.850 --> 00:08:10.000]  ?
[00:08:10.000 --> 00:08:10.360]   Well
[00:08:10.360 --> 00:08:10.540]  ,
[00:08:10.540 --> 00:08:10.720]   he
[00:08:10.720 --> 00:08:10.990]   did
[00:08:10.990 --> 00:08:11.890]   because
[00:08:11.890 --> 00:08:11.900]   our
[00:08:11.900 --> 00:08:12.380]   first
[00:08:12.380 --> 00:08:13.090]   critique
[00:08:13.090 --> 00:08:13.360]   was
[00:08:13.360 --> 00:08:13.700]   of
[00:08:13.700 --> 00:08:13.810]   his
[00:08:13.810 --> 00:08:14.160]   site
[00:08:14.160 --> 00:08:14.350]  ,
[00:08:14.350 --> 00:08:14.530]   my
[00:08:14.530 --> 00:08:14.780]  sk
[00:08:14.780 --> 00:08:15.070]  ills
[00:08:15.070 --> 00:08:15.340]  map
[00:08:15.340 --> 00:08:15.610]  .
[00:08:15.610 --> 00:08:15.990]  com
[00:08:15.990 --> 00:08:16.000]  .
[00:08:16.000 --> 00:08:16.180]  
[00:08:16.180 --> 00:08:16.230]   But
[00:08:16.230 --> 00:08:16.360]   did
[00:08:16.360 --> 00:08:16.480]   he
[00:08:16.480 --> 00:08:16.860]   coined
[00:08:16.860 --> 00:08:16.910]   a
[00:08:16.910 --> 00:08:17.150]   term
[00:08:17.150 --> 00:08:17.270]   or
[00:08:17.270 --> 00:08:17.330]   I
[00:08:17.330 --> 00:08:17.650]   think
[00:08:17.650 --> 00:08:17.720]   I
[00:08:17.720 --> 00:08:18.070]   coined
[00:08:18.070 --> 00:08:18.200]   it
[00:08:18.200 --> 00:08:18.310]  ,
[00:08:18.310 --> 00:08:18.550]   didn
[00:08:18.550 --> 00:08:18.670]  't
[00:08:18.670 --> 00:08:18.730]   I
[00:08:18.730 --> 00:08:19.000]  ?
[00:08:19.000 --> 00:08:19.180]   Oh
[00:08:19.180 --> 00:08:19.220]  ,
[00:08:19.220 --> 00:08:19.440]   yeah
[00:08:19.440 --> 00:08:19.550]  ,
[00:08:19.550 --> 00:08:19.650]   we
[00:08:19.650 --> 00:08:19.990]   coined
[00:08:19.990 --> 00:08:20.100]   it
[00:08:20.100 --> 00:08:20.250]  ,
[00:08:20.250 --> 00:08:20.370]   but
[00:08:20.370 --> 00:08:20.480]   he
[00:08:20.480 --> 00:08:20.800]   was
[00:08:20.800 --> 00:08:20.810]   the
[00:08:20.810 --> 00:08:21.020]   kind
[00:08:21.020 --> 00:08:21.140]   of
[00:08:21.140 --> 00:08:21.750]   inspiration
[00:08:21.750 --> 00:08:22.000]  .
[00:08:22.000 --> 00:08:22.370]   Okay
[00:08:22.370 --> 00:08:22.380]  ,
[00:08:22.380 --> 00:08:22.880]   inventor
[00:08:22.880 --> 00:08:23.030]  ,
[00:08:23.030 --> 00:08:23.190]   let
[00:08:23.190 --> 00:08:23.310]  's
[00:08:23.310 --> 00:08:23.500]   say
[00:08:23.500 --> 00:08:23.750]   muse
[00:08:23.750 --> 00:08:24.000]  .
[00:08:24.000 --> 00:08:24.570]   Okay
[00:08:24.570 --> 00:08:25.000]  .
[00:08:25.000 --> 00:08:25.160]   So
[00:08:25.160 --> 00:08:25.320]   he
[00:08:25.320 --> 00:08:25.570]   was
[00:08:25.570 --> 00:08:25.910]   the
[00:08:25.910 --> 00:08:26.150]   muse
[00:08:26.150 --> 00:08:26.310]  ,
[00:08:26.310 --> 00:08:26.720]   right
[00:08:26.720 --> 00:08:27.020]  ?
[00:08:27.020 --> 00:08:27.330]   Maybe
[00:08:27.330 --> 00:08:27.410]   you
[00:08:27.410 --> 00:08:27.720]   coined
[00:08:27.720 --> 00:08:27.820]   it
[00:08:27.820 --> 00:08:28.000]  .
[00:08:28.000 --> 00:08:28.110]   We
[00:08:28.110 --> 00:08:28.380]  'll
[00:08:28.380 --> 00:08:28.500]   give
[00:08:28.500 --> 00:08:28.670]   him
[00:08:28.670 --> 00:08:29.060]   partial
[00:08:29.060 --> 00:08:29.400]   credit
[00:08:29.400 --> 00:08:29.570]   for
[00:08:29.570 --> 00:08:29.790]   that
[00:08:29.790 --> 00:08:30.000]  .
[00:08:30.000 --> 00:08:30.160]   And
[00:08:30.160 --> 00:08:30.250]   I
[00:08:30.250 --> 00:08:30.370]   don
[00:08:30.370 --> 00:08:30.480]  't
[00:08:30.480 --> 00:08:30.700]   mind
[00:08:30.700 --> 00:08:31.030]   giving
[00:08:31.030 --> 00:08:31.190]   you
[00:08:31.190 --> 00:08:31.520]   credit
[00:08:31.520 --> 00:08:31.700]   for
[00:08:31.700 --> 00:08:31.790]   it
[00:08:31.790 --> 00:08:32.000]  .
[00:08:32.000 --> 00:08:32.030]   I
[00:08:32.030 --> 00:08:32.140]   don
[00:08:32.140 --> 00:08:32.210]  't
[00:08:32.210 --> 00:08:32.360]   know
[00:08:32.360 --> 00:08:32.470]   who
[00:08:32.470 --> 00:08:32.770]   invented
[00:08:32.770 --> 00:08:32.840]   it
[00:08:32.840 --> 00:08:33.000]  .
[00:08:33.000 --> 00:08:33.590]   Actually
[00:08:33.590 --> 00:08:33.730]  ,
[00:08:33.730 --> 00:08:33.800]   I
[00:08:33.800 --> 00:08:34.090]   have
[00:08:34.090 --> 00:08:34.230]   no
[00:08:34.230 --> 00:08:34.520]   idea
[00:08:34.520 --> 00:08:34.740]   who
[00:08:34.740 --> 00:08:35.000]  .
[00:08:35.000 --> 00:08:35.000]  
[00:08:35.000 --> 00:08:35.180]   So
[00:08:35.180 --> 00:08:35.260]  ,
[00:08:35.260 --> 00:08:35.460]   but
[00:08:35.460 --> 00:08:35.720]   also
[00:08:35.720 --> 00:08:36.190]   because
[00:08:36.190 --> 00:08:36.580]   Philip
[00:08:36.580 --> 00:08:36.750]  's
[00:08:36.750 --> 00:08:37.300]   executive
[00:08:37.300 --> 00:08:37.830]   producer
[00:08:37.830 --> 00:08:38.040]  ,
[00:08:38.040 --> 00:08:38.210]   we
[00:08:38.210 --> 00:08:38.800]   would
[00:08:38.800 --> 00:08:39.160]   also
[00:08:39.160 --> 00:08:39.680]   like
[00:08:39.680 --> 00:08:39.910]   you
[00:08:39.910 --> 00:08:40.110]   to
[00:08:40.110 --> 00:08:40.640]   check
[00:08:40.640 --> 00:08:41.000]   out
[00:08:41.000 --> 00:08:41.180]   my
[00:08:41.180 --> 00:08:41.220]  sk
[00:08:41.220 --> 00:08:41.450]  ills
[00:08:41.450 --> 00:08:41.620]  map
[00:08:41.620 --> 00:08:41.790]  .
[00:08:41.790 --> 00:08:42.030]  com
[00:08:42.030 --> 00:08:42.090]  ,
[00:08:42.090 --> 00:08:42.310]   which
[00:08:42.310 --> 00:08:42.430]   is
[00:08:42.430 --> 00:08:42.530]   his
[00:08:42.530 --> 00:08:43.000]   website
[00:08:43.000 --> 00:08:43.000]  .
[00:08:43.000 --> 00:08:43.210]   That
[00:08:43.210 --> 00:08:43.310]  's
[00:08:43.310 --> 00:08:43.460]   his
[00:08:43.460 --> 00:08:44.000]   startup
[00:08:44.000 --> 00:08:44.290]  .
[00:08:44.290 --> 00:08:44.360]   Have
[00:08:44.360 --> 00:08:44.370]   a
[00:08:44.370 --> 00:08:44.650]   look
[00:08:44.650 --> 00:08:44.790]   at
[00:08:44.790 --> 00:08:45.140]   it
[00:08:45.140 --> 00:08:45.140]   and
[00:08:45.140 --> 00:08:45.570]   give
[00:08:45.570 --> 00:08:45.720]   some
[00:08:45.720 --> 00:08:46.300]   feedback
[00:08:46.300 --> 00:08:46.660]   about
[00:08:46.660 --> 00:08:46.820]   it
[00:08:46.820 --> 00:08:46.990]   on
[00:08:46.990 --> 00:08:47.160]   the
[00:08:47.160 --> 00:08:47.780]   comments
[00:08:47.780 --> 00:08:48.000]  .
[00:08:48.000 --> 00:08:48.340]   That
[00:08:48.340 --> 00:08:48.770]   would
[00:08:48.770 --> 00:08:48.940]   be
[00:08:48.940 --> 00:08:48.980]   cool
[00:08:48.980 --> 00:08:49.450]  ,
[00:08:49.450 --> 00:08:49.690]   too
[00:08:49.690 --> 00:08:50.000]  .
[00:08:50.000 --> 00:08:50.240]   And
[00:08:50.240 --> 00:08:50.400]   it
[00:08:50.400 --> 00:08:50.550]  'd
[00:08:50.550 --> 00:08:50.710]   be
[00:08:50.710 --> 00:08:51.580]   interesting
[00:08:51.580 --> 00:08:51.740]   to
[00:08:51.740 --> 00:08:52.050]   hear
[00:08:52.050 --> 00:08:52.290]   an
[00:08:52.290 --> 00:08:52.690]   update
[00:08:52.690 --> 00:08:52.890]   on
[00:08:52.890 --> 00:08:53.010]   My
[00:08:53.010 --> 00:08:53.080]  S
[00:08:53.080 --> 00:08:53.150]  k
[00:08:53.150 --> 00:08:53.460]  ills
[00:08:53.460 --> 00:08:53.530]  M
[00:08:53.530 --> 00:08:53.680]  ap
[00:08:53.680 --> 00:08:54.000]  .
[00:08:54.000 --> 00:08:54.120]   So
[00:08:54.120 --> 00:08:54.220]  ,
[00:08:54.220 --> 00:08:54.570]   Philip
[00:08:54.570 --> 00:08:54.850]  ,
[00:08:54.850 --> 00:08:55.020]   why
[00:08:55.020 --> 00:08:55.050]   don
[00:08:55.050 --> 00:08:55.130]  't
[00:08:55.130 --> 00:08:55.360]   you
[00:08:55.360 --> 00:08:55.590]   write
[00:08:55.590 --> 00:08:55.700]   in
[00:08:55.700 --> 00:08:55.870]   the
[00:08:55.870 --> 00:08:56.330]   comments
[00:08:56.330 --> 00:08:56.450]  ,
[00:08:56.450 --> 00:08:56.680]   give
[00:08:56.680 --> 00:08:56.810]   us
[00:08:56.810 --> 00:08:56.840]   a
[00:08:56.840 --> 00:08:57.230]   status
[00:08:57.230 --> 00:08:57.540]   report
[00:08:57.540 --> 00:08:57.650]  ,
[00:08:57.650 --> 00:08:57.910]   tell
[00:08:57.910 --> 00:08:57.990]   us
[00:08:57.990 --> 00:08:58.270]   how
[00:08:58.270 --> 00:08:58.360]   it
[00:08:58.360 --> 00:08:58.380]  's
[00:08:58.380 --> 00:08:58.670]   going
[00:08:58.670 --> 00:08:59.000]  .
[00:08:59.000 --> 00:08:59.000]  
[00:08:59.000 --> 00:08:59.180]   So
[00:08:59.180 --> 00:08:59.760]   we
[00:08:59.760 --> 00:08:59.800]   just
[00:08:59.800 --> 00:09:00.140]   have
[00:09:00.140 --> 00:09:00.430]   two
[00:09:00.430 --> 00:09:00.910]   shout
[00:09:00.910 --> 00:09:01.290]   outs
[00:09:01.290 --> 00:09:01.670]   then
[00:09:01.670 --> 00:09:02.000]  .
[00:09:02.000 --> 00:09:02.330]   One
[00:09:02.330 --> 00:09:02.560]   is
[00:09:02.560 --> 00:09:03.790]   Alexander
[00:09:03.790 --> 00:09:03.870]   Wil
[00:09:03.870 --> 00:09:04.090]  ke
[00:09:04.090 --> 00:09:04.420]   for
[00:09:04.420 --> 00:09:05.380]   20
[00:09:05.380 --> 00:09:05.630]   bucks
[00:09:05.630 --> 00:09:06.000]  .
[00:09:06.000 --> 00:09:06.140]   Thank
[00:09:06.140 --> 00:09:06.280]   you
[00:09:06.280 --> 00:09:06.330]   very
[00:09:06.330 --> 00:09:06.440]   much
[00:09:06.440 --> 00:09:06.490]  ,
[00:09:06.490 --> 00:09:06.600]   Alex
[00:09:06.600 --> 00:09:06.650]  ,
[00:09:06.650 --> 00:09:06.760]   for
[00:09:06.760 --> 00:09:06.840]   that
[00:09:06.840 --> 00:09:07.000]  .
[00:09:07.000 --> 00:09:07.560]   That
[00:09:07.560 --> 00:09:07.750]  's
[00:09:07.750 --> 00:09:08.600]   awesome
[00:09:08.600 --> 00:09:09.000]  .
[00:09:09.000 --> 00:09:09.190]   You
[00:09:09.190 --> 00:09:09.290]  're
[00:09:09.290 --> 00:09:09.680]   supposed
[00:09:09.680 --> 00:09:09.790]   to
[00:09:09.790 --> 00:09:09.930]   say
[00:09:09.930 --> 00:09:10.170]   thank
[00:09:10.170 --> 00:09:10.350]   you
[00:09:10.350 --> 00:09:10.530]   now
[00:09:10.530 --> 00:09:10.570]  ,
[00:09:10.570 --> 00:09:10.820]   Jason
[00:09:10.820 --> 00:09:11.000]  .
[00:09:11.000 --> 00:09:11.060]   Oh
[00:09:11.060 --> 00:09:11.150]  ,
[00:09:11.150 --> 00:09:11.180]   we
[00:09:11.180 --> 00:09:11.300]   both
[00:09:11.300 --> 00:09:11.420]   say
[00:09:11.420 --> 00:09:11.450]   it
[00:09:11.450 --> 00:09:11.510]   at
[00:09:11.510 --> 00:09:11.610]   the
[00:09:11.610 --> 00:09:11.760]   same
[00:09:11.760 --> 00:09:11.840]   time
[00:09:11.840 --> 00:09:12.000]  ?
[00:09:12.000 --> 00:09:12.080]   I
[00:09:12.080 --> 00:09:12.470]   think
[00:09:12.470 --> 00:09:12.700]   one
[00:09:12.700 --> 00:09:12.870]   at
[00:09:12.870 --> 00:09:12.950]   a
[00:09:12.950 --> 00:09:13.260]   time
[00:09:13.260 --> 00:09:13.420]   is
[00:09:13.420 --> 00:09:13.760]   okay
[00:09:13.760 --> 00:09:14.000]  .
[00:09:14.000 --> 00:09:14.050]   I
[00:09:14.050 --> 00:09:14.330]   think
[00:09:14.330 --> 00:09:14.490]   you
[00:09:14.490 --> 00:09:14.770]   thank
[00:09:14.770 --> 00:09:14.930]   and
[00:09:14.930 --> 00:09:15.150]   then
[00:09:15.150 --> 00:09:15.200]   I
[00:09:15.200 --> 00:09:15.360]  'll
[00:09:15.360 --> 00:09:15.640]   thank
[00:09:15.640 --> 00:09:16.030]   because
[00:09:16.030 --> 00:09:16.640]   otherwise
[00:09:16.640 --> 00:09:16.750]   it
[00:09:16.750 --> 00:09:16.800]  's
[00:09:16.800 --> 00:09:16.820]   a
[00:09:16.820 --> 00:09:17.130]   little
[00:09:17.130 --> 00:09:17.350]   much
[00:09:17.350 --> 00:09:17.480]  ,
[00:09:17.480 --> 00:09:17.740]   right
[00:09:17.740 --> 00:09:18.000]  ?
[00:09:18.000 --> 00:09:18.270]   All
[00:09:18.270 --> 00:09:18.720]   right
[00:09:18.720 --> 00:09:18.990]  .
[00:09:18.990 --> 00:09:19.210]   Well
[00:09:19.210 --> 00:09:19.310]  ,
[00:09:19.310 --> 00:09:19.520]   then
[00:09:19.520 --> 00:09:19.780]   there
[00:09:19.780 --> 00:09:19.900]  's
[00:09:19.900 --> 00:09:20.270]   another
[00:09:20.270 --> 00:09:20.500]   shout
[00:09:20.500 --> 00:09:20.660]   out
[00:09:20.660 --> 00:09:20.740]   we
[00:09:20.740 --> 00:09:21.000]   have
[00:09:21.000 --> 00:09:21.000]  .
[00:09:21.000 --> 00:09:21.120]   We
[00:09:21.120 --> 00:09:21.440]   speak
[00:09:21.440 --> 00:09:21.690]   with
[00:09:21.690 --> 00:09:21.880]   one
[00:09:21.880 --> 00:09:22.260]   voice
[00:09:22.260 --> 00:09:22.320]  ,
[00:09:22.320 --> 00:09:22.560]   don
[00:09:22.560 --> 00:09:22.630]  't
[00:09:22.630 --> 00:09:22.770]   we
[00:09:22.770 --> 00:09:23.000]  ?
[00:09:23.000 --> 00:09:23.150]   Es
[00:09:23.150 --> 00:09:23.610]  pen
[00:09:23.610 --> 00:09:23.610]   Ott
[00:09:23.610 --> 00:09:24.750]  erson
[00:09:24.750 --> 00:09:25.000]  .
[00:09:25.000 --> 00:09:25.090]   No
[00:09:25.090 --> 00:09:25.180]  ,
[00:09:25.180 --> 00:09:25.360]   that
[00:09:25.360 --> 00:09:25.450]  's
[00:09:25.450 --> 00:09:25.490]   a
[00:09:25.490 --> 00:09:25.670]   nice
[00:09:25.670 --> 00:09:25.850]   name
[00:09:25.850 --> 00:09:26.000]  .
[00:09:26.000 --> 00:09:26.530]   Ten
[00:09:26.530 --> 00:09:27.440]   bucks
[00:09:27.440 --> 00:09:28.000]  .
[00:09:28.000 --> 00:09:28.000]  
[00:09:28.000 --> 00:09:28.200]   Did
[00:09:28.200 --> 00:09:28.400]   you
[00:09:28.400 --> 00:09:29.020]   pronounce
[00:09:29.020 --> 00:09:29.150]   it
[00:09:29.150 --> 00:09:29.770]   correctly
[00:09:29.770 --> 00:09:30.000]  ?
[00:09:30.000 --> 00:09:30.250]   No
[00:09:30.250 --> 00:09:30.490]  ,
[00:09:30.490 --> 00:09:30.680]   I
[00:09:30.680 --> 00:09:30.980]  've
[00:09:30.980 --> 00:09:31.350]   got
[00:09:31.350 --> 00:09:31.600]   it
[00:09:31.600 --> 00:09:32.000]  .
[00:09:32.000 --> 00:09:32.030]   E
[00:09:32.030 --> 00:09:32.090]  -
[00:09:32.090 --> 00:09:32.110]  S
[00:09:32.110 --> 00:09:32.120]  -
[00:09:32.120 --> 00:09:32.150]  P
[00:09:32.150 --> 00:09:32.180]  -
[00:09:32.180 --> 00:09:32.210]  E
[00:09:32.210 --> 00:09:32.240]  -
[00:09:32.240 --> 00:09:32.270]  N
[00:09:32.270 --> 00:09:32.360]  .
[00:09:32.360 --> 00:09:32.410]   Es
[00:09:32.410 --> 00:09:32.510]  pen
[00:09:32.510 --> 00:09:32.660]  .
[00:09:32.660 --> 00:09:32.660]   Es
[00:09:32.660 --> 00:09:32.770]  pen
[00:09:32.770 --> 00:09:32.800]   Ott
[00:09:32.800 --> 00:09:32.970]  erson
[00:09:32.970 --> 00:09:33.000]  .
[00:09:33.000 --> 00:09:33.280]   And
[00:09:33.280 --> 00:09:33.310]   what
[00:09:33.310 --> 00:09:33.400]   was
[00:09:33.400 --> 00:09:33.520]   his
[00:09:33.520 --> 00:09:33.680]   last
[00:09:33.680 --> 00:09:33.840]   name
[00:09:33.840 --> 00:09:34.000]  ?
[00:09:34.000 --> 00:09:34.540]   Ott
[00:09:34.540 --> 00:09:34.720]  erson
[00:09:34.720 --> 00:09:35.000]  .
[00:09:35.000 --> 00:09:35.690]   Ott
[00:09:35.690 --> 00:09:35.720]  erson
[00:09:35.720 --> 00:09:36.000]  .
[00:09:36.000 --> 00:09:36.230]   O
[00:09:36.230 --> 00:09:36.390]  -
[00:09:36.390 --> 00:09:36.580]  T
[00:09:36.580 --> 00:09:36.770]  -
[00:09:36.770 --> 00:09:36.960]  T
[00:09:36.960 --> 00:09:37.150]  -
[00:09:37.150 --> 00:09:37.340]  E
[00:09:37.340 --> 00:09:37.530]  -
[00:09:37.530 --> 00:09:37.720]  R
[00:09:37.720 --> 00:09:37.910]  -
[00:09:37.910 --> 00:09:38.100]  S
[00:09:38.100 --> 00:09:38.370]  -
[00:09:38.370 --> 00:09:38.480]  E
[00:09:38.480 --> 00:09:39.000]  -
[00:09:39.000 --> 00:09:39.000]  N
[00:09:39.000 --> 00:09:39.000]  .
[00:09:39.000 --> 00:09:39.360]   Okay
[00:09:39.360 --> 00:09:39.440]  .
[00:09:39.440 --> 00:09:39.690]   Well
[00:09:39.690 --> 00:09:39.810]  ,
[00:09:39.810 --> 00:09:40.130]   thank
[00:09:40.130 --> 00:09:40.320]   you
[00:09:40.320 --> 00:09:40.500]  ,
[00:09:40.500 --> 00:09:40.560]   Es
[00:09:40.560 --> 00:09:40.750]  pen
[00:09:40.750 --> 00:09:41.010]  .
[00:09:41.010 --> 00:09:41.510]   Very
[00:09:41.510 --> 00:09:41.720]   much
[00:09:41.720 --> 00:09:42.710]   appreciated
[00:09:42.710 --> 00:09:43.000]  .
[00:09:43.000 --> 00:09:43.110]   It
[00:09:43.110 --> 00:09:43.450]   sounds
[00:09:43.450 --> 00:09:43.690]   like
[00:09:43.690 --> 00:09:43.860]   you
[00:09:43.860 --> 00:09:44.030]  're
[00:09:44.030 --> 00:09:44.500]   thanking
[00:09:44.500 --> 00:09:44.610]   Es
[00:09:44.610 --> 00:09:44.810]  pen
[00:09:44.810 --> 00:09:45.010]   more
[00:09:45.010 --> 00:09:45.240]   than
[00:09:45.240 --> 00:09:46.000]   Alexander
[00:09:46.000 --> 00:09:46.000]  .
[00:09:46.000 --> 00:09:46.270]   No
[00:09:46.270 --> 00:09:46.440]  ,
[00:09:46.440 --> 00:09:46.550]   I
[00:09:46.550 --> 00:09:46.770]  'm
[00:09:46.770 --> 00:09:47.650]   thanking
[00:09:47.650 --> 00:09:48.640]   everybody
[00:09:48.640 --> 00:09:49.010]  .
[00:09:49.010 --> 00:09:49.160]   Thank
[00:09:49.160 --> 00:09:49.190]   you
[00:09:49.190 --> 00:09:49.230]  ,
[00:09:49.230 --> 00:09:49.440]   Alexander
[00:09:49.440 --> 00:09:49.510]  .
[00:09:49.510 --> 00:09:49.630]   Thank
[00:09:49.630 --> 00:09:49.700]   you
[00:09:49.700 --> 00:09:49.780]  ,
[00:09:49.780 --> 00:09:49.940]   Philip
[00:09:49.940 --> 00:09:50.000]  .
[00:09:50.000 --> 00:09:50.550]   Thank
[00:09:50.550 --> 00:09:50.880]   you
[00:09:50.880 --> 00:09:51.100]  ,
[00:09:51.100 --> 00:09:51.320]   Es
[00:09:51.320 --> 00:09:51.860]  pen
[00:09:51.860 --> 00:09:52.000]  .
[00:09:52.000 --> 00:09:52.130]   And
[00:09:52.130 --> 00:09:52.350]   thank
[00:09:52.350 --> 00:09:52.480]   you
[00:09:52.480 --> 00:09:52.570]  ,
[00:09:52.570 --> 00:09:52.840]   Justin
[00:09:52.840 --> 00:09:53.000]  .
[00:09:53.000 --> 00:09:53.120]  
[00:09:53.120 --> 00:09:53.470]   Thank
[00:09:53.470 --> 00:09:53.720]   you
[00:09:53.720 --> 00:09:54.000]  .
[00:09:54.000 --> 00:09:54.390]   Well
[00:09:54.390 --> 00:09:54.580]  ,
[00:09:54.580 --> 00:09:54.880]   now
[00:09:54.880 --> 00:09:55.180]   don
[00:09:55.180 --> 00:09:55.370]  't
[00:09:55.370 --> 00:09:55.670]   try
[00:09:55.670 --> 00:09:55.970]   and
[00:09:55.970 --> 00:09:56.560]   donate
[00:09:56.560 --> 00:09:56.760]   to
[00:09:56.760 --> 00:09:57.000]   us
[00:09:57.000 --> 00:09:58.000]   because
[00:09:58.000 --> 00:09:58.470]   our
[00:09:58.470 --> 00:09:58.910]   donation
[00:09:58.910 --> 00:09:59.320]   drive
[00:09:59.320 --> 00:09:59.500]   is
[00:09:59.500 --> 00:10:00.000]   closed
[00:10:00.000 --> 00:10:00.240]   and
[00:10:00.240 --> 00:10:00.350]   we
[00:10:00.350 --> 00:10:00.710]   haven
[00:10:00.710 --> 00:10:00.850]  't
[00:10:00.850 --> 00:10:01.060]   got
[00:10:01.060 --> 00:10:01.490]   around
[00:10:01.490 --> 00:10:01.630]   to
[00:10:01.630 --> 00:10:02.210]   creating
[00:10:02.210 --> 00:10:02.280]   a
[00:10:02.280 --> 00:10:02.490]   new
[00:10:02.490 --> 00:10:02.700]   one
[00:10:02.700 --> 00:10:02.910]   for
[00:10:02.910 --> 00:10:03.110]   any
[00:10:03.110 --> 00:10:03.580]   new
[00:10:03.580 --> 00:10:03.690]   money
[00:10:03.690 --> 00:10:04.000]  .
[00:10:04.000 --> 00:10:04.100]   We
[00:10:04.100 --> 00:10:04.350]   haven
[00:10:04.350 --> 00:10:04.440]  't
[00:10:04.440 --> 00:10:04.650]   done
[00:10:04.650 --> 00:10:04.840]   that
[00:10:04.840 --> 00:10:05.000]  .
[00:10:05.000 --> 00:10:05.160]   And
[00:10:05.160 --> 00:10:05.270]   we
[00:10:05.270 --> 00:10:05.650]   meaning
[00:10:05.650 --> 00:10:05.810]   you
[00:10:05.810 --> 00:10:06.000]  .
[00:10:06.000 --> 00:10:06.480]   Yeah
[00:10:06.480 --> 00:10:06.540]  ,
[00:10:06.540 --> 00:10:06.770]   me
[00:10:06.770 --> 00:10:07.000]  .
[00:10:07.000 --> 00:10:07.190]   So
[00:10:07.190 --> 00:10:07.900]   basically
[00:10:07.900 --> 00:10:08.060]   we
[00:10:08.060 --> 00:10:08.310]   set
[00:10:08.310 --> 00:10:08.470]   up
[00:10:08.470 --> 00:10:08.720]   our
[00:10:08.720 --> 00:10:09.100]   plan
[00:10:09.100 --> 00:10:09.210]   on
[00:10:09.210 --> 00:10:09.460]   Ind
[00:10:09.460 --> 00:10:09.700]  ieg
[00:10:09.700 --> 00:10:10.000]  ogo
[00:10:10.000 --> 00:10:10.250]   for
[00:10:10.250 --> 00:10:11.000]   500
[00:10:11.000 --> 00:10:11.400]   to
[00:10:11.400 --> 00:10:12.010]   try
[00:10:12.010 --> 00:10:12.250]   and
[00:10:12.250 --> 00:10:12.660]   raise
[00:10:12.660 --> 00:10:13.000]   that
[00:10:13.000 --> 00:10:13.120]   and
[00:10:13.120 --> 00:10:13.200]   we
[00:10:13.200 --> 00:10:13.520]   actually
[00:10:13.520 --> 00:10:13.800]   managed
[00:10:13.800 --> 00:10:13.880]   to
[00:10:13.880 --> 00:10:14.080]   raise
[00:10:14.080 --> 00:10:14.200]   7
[00:10:14.200 --> 00:10:14.440]  80
[00:10:14.440 --> 00:10:14.520]  ,
[00:10:14.520 --> 00:10:14.720]   which
[00:10:14.720 --> 00:10:14.830]   is
[00:10:14.830 --> 00:10:15.000]   cool
[00:10:15.000 --> 00:10:15.000]  ,
[00:10:15.000 --> 00:10:15.340]   which
[00:10:15.340 --> 00:10:15.850]   is
[00:10:15.850 --> 00:10:15.910]   pretty
[00:10:15.910 --> 00:10:16.190]   much
