
[00:00:00.000 --> 00:00:00.500]  
[00:00:00.500 --> 00:00:00.520]   A
[00:19:29.000 --> 00:19:29.190]   we
[00:19:29.190 --> 00:19:29.710]   culture
[00:19:29.710 --> 00:19:29.840]   it
[00:19:29.840 --> 00:19:30.120]   and
[00:19:30.120 --> 00:19:30.260]   we
[00:19:30.260 --> 00:19:30.590]   turn
[00:19:30.590 --> 00:19:30.680]   it
[00:19:30.680 --> 00:19:30.990]   into
[00:19:30.990 --> 00:19:31.560]   coconut
[00:19:31.560 --> 00:19:31.990]   yogurt
[00:19:31.990 --> 00:19:32.280]  .
[00:19:32.280 --> 00:19:32.960]   -
[00:19:32.960 --> 00:19:33.380]   You
[00:19:33.380 --> 00:19:33.610]   know
[00:19:33.610 --> 00:19:34.520]   what
[00:19:34.520 --> 00:19:34.940]   you
[00:19:34.940 --> 00:19:36.060]   sound
[00:19:36.060 --> 00:19:36.220]   like
[00:19:36.220 --> 00:19:36.680]  ?
[00:19:36.680 --> 00:19:36.730]   -
[00:19:36.730 --> 00:19:37.060]   Who
[00:19:37.060 --> 00:19:37.080]  ?
[00:19:37.080 --> 00:19:37.140]   -
[00:19:37.140 --> 00:19:37.380]   You
[00:19:37.380 --> 00:19:37.660]   sound
[00:19:37.660 --> 00:19:38.040]   like
[00:19:38.040 --> 00:19:38.220]   Burger
[00:19:38.220 --> 00:19:38.340]   Me
[00:19:38.340 --> 00:19:38.640]  ister
[00:19:38.640 --> 00:19:38.750]  ,
[00:19:38.750 --> 00:19:38.880]   Me
[00:19:38.880 --> 00:19:39.180]  ister
[00:19:39.180 --> 00:19:39.590]   Burger
[00:19:39.590 --> 00:19:40.020]  .
[00:19:40.020 --> 00:19:40.590]   You
[00:19:40.590 --> 00:19:41.100]   know
[00:19:41.100 --> 00:19:41.720]   that
[00:19:41.720 --> 00:19:42.360]   from
[00:19:42.360 --> 00:19:42.530]   the
[00:19:42.530 --> 00:19:43.030]   kids
[00:19:43.030 --> 00:19:43.180]   at
[00:19:43.180 --> 00:19:43.720]   Christmas
[00:19:43.720 --> 00:19:43.720]  ,
[00:19:43.720 --> 00:19:43.840]   the
[00:19:43.840 --> 00:19:44.000]   stop
[00:19:44.000 --> 00:19:44.250]   motion
[00:19:44.250 --> 00:19:44.410]  ?
[00:19:44.410 --> 00:19:44.460]   -
[00:19:44.460 --> 00:19:44.490]   No
[00:19:44.490 --> 00:19:44.630]  ,
[00:19:44.630 --> 00:19:44.690]   I
[00:19:44.690 --> 00:19:44.880]   do
[00:19:44.880 --> 00:19:45.160]   not
[00:19:45.160 --> 00:19:45.320]   know
[00:19:45.320 --> 00:19:45.410]   that
[00:19:45.410 --> 00:19:45.480]  .
[00:19:45.480 --> 00:19:45.530]   -
[00:19:45.530 --> 00:19:45.830]   Burger
[00:19:45.830 --> 00:19:46.190]   Me
[00:19:46.190 --> 00:19:46.190]  ister
[00:19:46.190 --> 00:19:46.290]  ,
[00:19:46.290 --> 00:19:46.390]   Me
[00:19:46.390 --> 00:19:46.710]  ister
[00:19:46.710 --> 00:19:46.950]   Burger
[00:19:46.950 --> 00:19:47.100]  .
[00:19:47.100 --> 00:19:47.610]   Perfect
[00:19:47.610 --> 00:19:47.680]  .
[00:19:47.680 --> 00:19:47.870]   Yeah
[00:19:47.870 --> 00:19:47.960]  .
[00:19:47.960 --> 00:19:48.160]   Look
[00:19:48.160 --> 00:19:48.360]   it
[00:19:48.360 --> 00:19:48.380]   up
[00:19:48.380 --> 00:19:48.460]   on
[00:19:48.460 --> 00:19:48.610]   the
[00:19:48.610 --> 00:19:48.760]   web
[00:19:48.760 --> 00:19:49.000]  .
[00:19:49.000 --> 00:19:49.180]   That
[00:19:49.180 --> 00:19:49.250]  's
[00:19:49.250 --> 00:19:49.400]   who
[00:19:49.400 --> 00:19:49.560]   you
[00:19:49.560 --> 00:19:49.720]   are
[00:19:49.720 --> 00:19:49.880]  .
[00:19:49.880 --> 00:19:50.130]  
[00:19:50.130 --> 00:19:50.200]   That
[00:19:50.200 --> 00:19:50.360]  's
[00:19:50.360 --> 00:19:50.630]   who
[00:19:50.630 --> 00:19:50.840]   you
[00:19:50.840 --> 00:19:51.070]  're
[00:19:51.070 --> 00:19:51.940]   sounding
[00:19:51.940 --> 00:19:52.300]   exactly
[00:19:52.300 --> 00:19:52.860]   like
[00:19:52.860 --> 00:19:52.860]  .
[00:19:52.860 --> 00:19:53.340]   Anyway
[00:19:53.340 --> 00:19:53.500]  ,
[00:19:53.500 --> 00:19:53.660]   so
[00:19:53.660 --> 00:19:53.980]   yeah
[00:19:53.980 --> 00:19:54.280]  .
[00:19:54.280 --> 00:19:54.370]   So
[00:19:54.370 --> 00:19:54.520]  .
[00:19:54.520 --> 00:19:54.690]   -
[00:19:54.690 --> 00:19:55.150]   So
[00:19:55.150 --> 00:19:55.370]   it
[00:19:55.370 --> 00:19:55.710]  's
[00:19:55.710 --> 00:19:56.050]  ,
[00:19:56.050 --> 00:19:56.390]   so
[00:19:56.390 --> 00:19:56.610]   they
[00:19:56.610 --> 00:19:57.970]   make
[00:19:57.970 --> 00:19:58.920]   yogurt
[00:19:58.920 --> 00:19:59.640]   from
[00:19:59.640 --> 00:19:59.750]   baby
[00:19:59.750 --> 00:19:59.840]   sp
[00:19:59.840 --> 00:20:00.340]  ittle
[00:20:00.340 --> 00:20:00.680]  .
[00:20:00.680 --> 00:20:01.130]   -
[00:20:01.130 --> 00:20:01.360]   Was
[00:20:01.360 --> 00:20:01.680]   it
[00:20:01.680 --> 00:20:02.100]   good
[00:20:02.100 --> 00:20:02.440]  ?
[00:20:02.440 --> 00:20:02.510]   -
[00:20:02.510 --> 00:20:02.580]   Well
[00:20:02.580 --> 00:20:02.950]  ,
[00:20:02.950 --> 00:20:03.400]   you
[00:20:03.400 --> 00:20:03.510]   can
[00:20:03.510 --> 00:20:03.700]   just
[00:20:03.700 --> 00:20:04.290]   imagine
[00:20:04.290 --> 00:20:04.520]   like
[00:20:04.520 --> 00:20:04.670]  ,
[00:20:04.670 --> 00:20:05.090]   for
[00:20:05.090 --> 00:20:05.110]   the
[00:20:05.110 --> 00:20:05.630]   feeling
[00:20:05.630 --> 00:20:05.850]   of
[00:20:05.850 --> 00:20:05.930]   it
[00:20:05.930 --> 00:20:06.300]   going
[00:20:06.300 --> 00:20:06.680]   down
[00:20:06.680 --> 00:20:06.900]   your
[00:20:06.900 --> 00:20:07.310]   throat
[00:20:07.310 --> 00:20:07.340]  ,
[00:20:07.340 --> 00:20:07.560]   like
[00:20:07.560 --> 00:20:07.800]   thick
[00:20:07.800 --> 00:20:08.510]   yogurt
[00:20:08.510 --> 00:20:08.520]   going
[00:20:08.520 --> 00:20:08.770]   down
[00:20:08.770 --> 00:20:09.030]   your
[00:20:09.030 --> 00:20:09.420]   throat
[00:20:09.420 --> 00:20:09.550]  ,
[00:20:09.550 --> 00:20:10.070]   thinking
[00:20:10.070 --> 00:20:10.330]   that
[00:20:10.330 --> 00:20:10.460]   it
[00:20:10.460 --> 00:20:10.650]   was
[00:20:10.650 --> 00:20:10.910]   made
[00:20:10.910 --> 00:20:11.250]   from
[00:20:11.250 --> 00:20:11.360]   the
[00:20:11.360 --> 00:20:11.820]   culture
[00:20:11.820 --> 00:20:11.950]   of
[00:20:11.950 --> 00:20:12.280]   baby
[00:20:12.280 --> 00:20:12.460]   swab
[00:20:12.460 --> 00:20:12.600]  .
[00:20:13.640 --> 00:20:13.770]  
[00:20:13.770 --> 00:20:13.780]   It
[00:20:13.780 --> 00:20:14.000]   was
[00:20:14.000 --> 00:20:14.430]   pretty
[00:20:14.430 --> 00:20:15.170]   remarkable
[00:20:15.170 --> 00:20:15.370]  .
[00:20:15.370 --> 00:20:15.730]   It
[00:20:15.730 --> 00:20:15.800]   was
[00:20:15.800 --> 00:20:15.800]   a
[00:20:15.800 --> 00:20:16.160]   crazy
[00:20:16.160 --> 00:20:16.890]   experience
[00:20:16.890 --> 00:20:17.160]  .
[00:20:17.160 --> 00:20:17.360]   And
[00:20:17.360 --> 00:20:18.260]   we
[00:20:18.260 --> 00:20:18.520]   just
[00:20:18.520 --> 00:20:18.830]  ,
[00:20:18.830 --> 00:20:20.440]   George
[00:20:20.440 --> 00:20:20.520]   and
[00:20:20.520 --> 00:20:20.840]   myself
[00:20:20.840 --> 00:20:21.180]   looked
[00:20:21.180 --> 00:20:21.290]   at
[00:20:21.290 --> 00:20:21.510]   each
[00:20:21.510 --> 00:20:21.790]   other
[00:20:21.790 --> 00:20:21.960]   and
[00:20:21.960 --> 00:20:22.070]   we
[00:20:22.070 --> 00:20:22.190]   were
[00:20:22.190 --> 00:20:22.610]   like
[00:20:22.610 --> 00:20:22.630]  ,
[00:20:22.630 --> 00:20:22.790]   wow
[00:20:22.790 --> 00:20:22.900]  ,
[00:20:22.900 --> 00:20:22.940]   I
[00:20:22.940 --> 00:20:23.630]   never
[00:20:23.630 --> 00:20:23.670]   thought
[00:20:23.670 --> 00:20:23.680]   I
[00:20:23.680 --> 00:20:23.980]   would
[00:20:23.980 --> 00:20:24.090]   be
[00:20:24.090 --> 00:20:24.410]   eating
[00:20:24.410 --> 00:20:24.750]   babies
[00:20:24.750 --> 00:20:25.030]   today
[00:20:25.030 --> 00:20:25.320]  .
[00:20:25.320 --> 00:20:25.830]   -
[00:20:25.830 --> 00:20:25.900]   That
[00:20:25.900 --> 00:20:26.110]  's
[00:20:26.110 --> 00:20:26.440]   kind
[00:20:26.440 --> 00:20:26.640]   of
[00:20:26.640 --> 00:20:27.150]   gross
[00:20:27.150 --> 00:20:27.420]  ,
[00:20:27.420 --> 00:20:27.450]   I
[00:20:27.450 --> 00:20:27.990]   guess
[00:20:27.990 --> 00:20:28.270]  .
[00:20:28.270 --> 00:20:28.460]   So
[00:20:28.460 --> 00:20:28.980]   do
[00:20:28.980 --> 00:20:29.040]   you
[00:20:29.040 --> 00:20:29.480]   hang
[00:20:29.480 --> 00:20:29.570]   out
[00:20:29.570 --> 00:20:29.780]   there
[00:20:29.780 --> 00:20:29.800]   or
[00:20:29.800 --> 00:20:29.880]   do
[00:20:29.880 --> 00:20:29.960]   you
[00:20:29.960 --> 00:20:30.280]   finally
[00:20:30.280 --> 00:20:30.460]   leave
[00:20:30.460 --> 00:20:30.640]   after
[00:20:30.640 --> 00:20:30.790]   that
[00:20:30.790 --> 00:20:30.920]  ?
[00:20:30.920 --> 00:20:31.280]   -
[00:20:31.280 --> 00:20:31.290]   We
[00:20:31.290 --> 00:20:31.530]  ,
[00:20:31.530 --> 00:20:31.650]   I
[00:20:31.650 --> 00:20:32.270]   think
[00:20:32.270 --> 00:20:32.520]   we
[00:20:32.520 --> 00:20:33.010]   left
[00:20:33.010 --> 00:20:33.380]  .
[00:20:33.380 --> 00:20:33.580]   I
[00:20:33.580 --> 00:20:33.990]   mean
[00:20:33.990 --> 00:20:34.220]  ,
[00:20:34.220 --> 00:20:34.670]   we
[00:20:34.670 --> 00:20:35.100]   maybe
[00:20:35.100 --> 00:20:35.460]   sat
[00:20:35.460 --> 00:20:36.040]   down
[00:20:36.040 --> 00:20:36.150]   for
[00:20:36.150 --> 00:20:36.300]   just
[00:20:36.300 --> 00:20:36.330]   a
[00:20:36.330 --> 00:20:36.550]   minute
[00:20:36.550 --> 00:20:36.680]  .
[00:20:36.680 --> 00:20:36.840]   We
[00:20:36.840 --> 00:20:37.000]   kind
[00:20:37.000 --> 00:20:37.080]   of
[00:20:37.080 --> 00:20:37.320]   backed
[00:20:37.320 --> 00:20:37.640]   away
[00:20:37.640 --> 00:20:37.800]   and
[00:20:37.800 --> 00:20:37.800]  
[00:20:37.800 --> 00:20:38.060]   said
[00:20:38.060 --> 00:20:38.220]  ,
[00:20:38.220 --> 00:20:38.440]   okay
[00:20:38.440 --> 00:20:38.960]  ,
[00:20:38.960 --> 00:20:38.980]   enough
[00:20:38.980 --> 00:20:39.110]  ,
[00:20:39.110 --> 00:20:39.510]   enough
[00:20:39.510 --> 00:20:40.240]   interacting
[00:20:40.240 --> 00:20:40.500]   with
[00:20:40.500 --> 00:20:40.960]   this
[00:20:40.960 --> 00:20:41.030]   guy
[00:20:41.030 --> 00:20:41.160]  .
[00:20:41.160 --> 00:20:41.360]   Let
[00:20:41.360 --> 00:20:41.490]  's
[00:20:41.490 --> 00:20:41.750]   just
[00:20:41.750 --> 00:20:42.080]   go
[00:20:42.080 --> 00:20:42.080]   and
[00:20:42.080 --> 00:20:42.460]   sit
[00:20:42.460 --> 00:20:42.620]   down
[00:20:42.620 --> 00:20:42.760]  ,
[00:20:42.760 --> 00:20:42.920]   drank
[00:20:42.920 --> 00:20:43.910]   my
[00:20:43.910 --> 00:20:44.440]   juice
[00:20:44.440 --> 00:20:44.440]  .
[00:20:44.440 --> 00:20:45.170]   We
[00:20:45.170 --> 00:20:45.320]   left
[00:20:45.320 --> 00:20:45.550]  .
[00:20:45.550 --> 00:20:47.390]   -
[00:20:47.390 --> 00:20:47.410]   Y
[00:20:47.410 --> 00:20:47.840]  ikes
[00:20:47.840 --> 00:20:48.290]  .
[00:20:48.290 --> 00:20:48.490]   Okay
[00:20:48.490 --> 00:20:48.680]  .
[00:20:48.680 --> 00:20:48.920]   Well
[00:20:48.920 --> 00:20:48.920]  ,
[00:20:48.920 --> 00:20:49.270]   is
[00:20:49.270 --> 00:20:49.770]   that
[00:20:49.770 --> 00:20:49.850]   the
[00:20:49.850 --> 00:20:50.610]   end
[00:20:50.610 --> 00:20:50.920]   of
[00:20:50.920 --> 00:20:51.880]   the
[00:20:51.880 --> 00:20:52.110]   story
[00:20:52.110 --> 00:20:52.520]  ?
[00:20:52.520 --> 00:20:52.550]   -
[00:20:52.550 --> 00:20:52.760]   That
[00:20:52.760 --> 00:20:52.780]   is
[00:20:52.780 --> 00:20:52.870]   the
[00:20:52.870 --> 00:20:52.980]   end
[00:20:52.980 --> 00:20:53.060]   of
[00:20:53.060 --> 00:20:53.160]   the
[00:20:53.160 --> 00:20:53.350]   story
[00:20:53.350 --> 00:20:53.480]  .
[00:20:53.480 --> 00:20:53.600]   -
[00:20:53.600 --> 00:20:54.080]   Okay
[00:20:54.080 --> 00:20:54.440]  .
[00:20:54.440 --> 00:20:54.680]   So
[00:20:54.680 --> 00:20:55.160]   what
[00:20:55.160 --> 00:20:55.640]   else
[00:20:55.640 --> 00:20:56.250]   you
[00:20:56.250 --> 00:20:56.360]   got
[00:20:56.360 --> 00:20:56.760]  ?
[00:20:56.760 --> 00:20:57.920]   -
[00:20:57.920 --> 00:20:57.980]   What
[00:20:57.980 --> 00:20:58.040]   do
[00:20:58.040 --> 00:20:58.070]   you
[00:20:58.070 --> 00:20:58.190]   mean
[00:20:58.190 --> 00:20:58.280]  ?
[00:20:58.280 --> 00:20:58.320]   I
[00:20:58.320 --> 00:20:58.440]  've
[00:20:58.440 --> 00:20:58.580]   just
[00:20:58.580 --> 00:20:58.600]  ,
[00:20:58.600 --> 00:20:58.980]   what
[00:20:58.980 --> 00:20:58.980]   are
[00:20:58.980 --> 00:20:59.520]   you
[00:20:59.520 --> 00:20:59.530]   talking
[00:20:59.530 --> 00:20:59.810]   about
[00:20:59.810 --> 00:21:00.000]  ?
[00:21:00.000 --> 00:21:00.020]   I
[00:21:00.020 --> 00:21:00.180]  've
[00:21:00.180 --> 00:21:00.390]   just
[00:21:00.390 --> 00:21:00.680]   given
[00:21:00.680 --> 00:21:01.010]   20
[00:21:01.010 --> 00:21:01.470]   minutes
[00:21:01.470 --> 00:21:02.440]   of
[00:21:02.440 --> 00:21:03.100]   prime
[00:21:03.100 --> 00:21:04.080]   content
[00:21:04.080 --> 00:21:04.170]   for
[00:21:04.170 --> 00:21:04.320]   this
[00:21:04.320 --> 00:21:04.480]   show
[00:21:04.480 --> 00:21:04.600]  .
[00:21:04.600 --> 00:21:04.600]  
[00:21:04.600 --> 00:21:04.750]   -
[00:21:04.750 --> 00:21:05.760]   Okay
[00:21:05.760 --> 00:21:05.830]  .
[00:21:05.830 --> 00:21:06.600]   So
[00:21:06.600 --> 00:21:06.720]   mom
[00:21:06.720 --> 00:21:06.990]   up
[00:21:06.990 --> 00:21:07.450]  ?
[00:21:07.450 --> 00:21:07.620]   -
[00:21:07.620 --> 00:21:07.710]   Yep
[00:21:07.710 --> 00:21:07.800]  .
[00:21:07.800 --> 00:21:08.080]   -
[00:21:08.080 --> 00:21:08.300]   Okay
[00:21:08.300 --> 00:21:08.600]  .
[00:21:08.600 --> 00:21:08.680]   -
[00:21:08.680 --> 00:21:08.750]   It
[00:21:08.750 --> 00:21:08.850]  's
[00:21:08.850 --> 00:21:09.090]   about
[00:21:09.090 --> 00:21:09.320]   time
[00:21:09.320 --> 00:21:09.480]  .
[00:21:09.480 --> 00:21:09.550]   -
[00:21:09.550 --> 00:21:10.390]   We
[00:21:10.390 --> 00:21:10.820]   had
[00:21:10.820 --> 00:21:12.550]   math
[00:21:12.550 --> 00:21:12.850]   field
[00:21:12.850 --> 00:21:13.560]   day
[00:21:13.560 --> 00:21:14.610]   last
[00:21:14.610 --> 00:21:14.750]   weekend
[00:21:14.750 --> 00:21:15.080]  .
[00:21:15.080 --> 00:21:15.170]   -
[00:21:15.170 --> 00:21:15.530]   Math
[00:21:15.530 --> 00:21:15.850]  ,
[00:21:15.850 --> 00:21:15.900]   okay
[00:21:15.900 --> 00:21:15.960]  .
[00:21:15.960 --> 00:21:16.020]   -
[00:21:16.020 --> 00:21:16.410]   So
[00:21:16.410 --> 00:21:16.690]   remember
[00:21:16.690 --> 00:21:16.960]   that
[00:21:16.960 --> 00:21:17.270]   once
[00:21:17.270 --> 00:21:17.290]   a
[00:21:17.290 --> 00:21:17.560]   year
[00:21:17.560 --> 00:21:18.310]   competition
[00:21:18.310 --> 00:21:18.580]   that
[00:21:18.580 --> 00:21:18.840]   all
[00:21:18.840 --> 00:21:19.070]   the
[00:21:19.070 --> 00:21:20.840]   schools
[00:21:20.840 --> 00:21:20.930]   in
[00:21:20.930 --> 00:21:21.060]   the
[00:21:21.060 --> 00:21:21.330]   county
[00:21:21.330 --> 00:21:21.700]   compete
[00:21:21.700 --> 00:21:21.800]  .
[00:21:21.800 --> 00:21:22.120]   So
[00:21:22.120 --> 00:21:22.120]   it
[00:21:22.120 --> 00:21:22.500]   was
[00:21:22.500 --> 00:21:22.790]   funny
[00:21:22.790 --> 00:21:23.110]  ,
[00:21:23.110 --> 00:21:23.530]   up
[00:21:23.530 --> 00:21:23.540]   until
[00:21:23.540 --> 00:21:23.950]   about
[00:21:23.950 --> 00:21:24.370]   three
[00:21:24.370 --> 00:21:24.790]   weeks
[00:21:24.790 --> 00:21:25.080]   ago
[00:21:25.080 --> 00:21:25.300]  ,
[00:21:25.300 --> 00:21:25.860]   we
[00:21:25.860 --> 00:21:26.280]   had
[00:21:26.280 --> 00:21:26.310]   done
[00:21:26.310 --> 00:21:26.530]   no
[00:21:26.530 --> 00:21:27.790]   preparation
[00:21:27.790 --> 00:21:28.100]   for
[00:21:28.100 --> 00:21:28.670]   it
[00:21:28.670 --> 00:21:28.710]  .
[00:21:28.710 --> 00:21:28.920]   And
[00:21:28.920 --> 00:21:29.480]   Sandy
[00:21:29.480 --> 00:21:29.720]   kept
[00:21:29.720 --> 00:21:29.720]  
[00:21:29.720 --> 00:21:30.100]   saying
[00:21:30.100 --> 00:21:30.220]  ,
[00:21:30.220 --> 00:21:30.280]   I
[00:21:30.280 --> 00:21:30.660]   really
[00:21:30.660 --> 00:21:31.030]   think
[00:21:31.030 --> 00:21:31.090]   we
[00:21:31.090 --> 00:21:31.340]   need
[00:21:31.340 --> 00:21:31.460]   to
[00:21:31.460 --> 00:21:31.770]   start
[00:21:31.770 --> 00:21:32.340]   preparing
[00:21:32.340 --> 00:21:32.530]   for
[00:21:32.530 --> 00:21:32.780]   math
[00:21:32.780 --> 00:21:32.950]   field
[00:21:32.950 --> 00:21:33.470]   day
[00:21:33.470 --> 00:21:33.490]  .
[00:21:33.490 --> 00:21:33.660]   And
[00:21:33.660 --> 00:21:33.720]   I
[00:21:33.720 --> 00:21:34.030]   would
[00:21:34.030 --> 00:21:34.280]   just
[00:21:34.280 --> 00:21:34.670]  ,
[00:21:34.670 --> 00:21:34.760]   I
[00:21:34.760 --> 00:21:35.420]   don
[00:21:35.420 --> 00:21:35.880]  't
[00:21:35.880 --> 00:21:36.040]   want
[00:21:36.040 --> 00:21:36.140]   to
[00:21:36.140 --> 00:21:36.380]   spend
[00:21:36.380 --> 00:21:36.590]   time
[00:21:36.590 --> 00:21:36.940]   dealing
[00:21:36.940 --> 00:21:37.130]   with
[00:21:37.130 --> 00:21:37.340]   that
[00:21:37.340 --> 00:21:37.500]  .
[00:21:37.500 --> 00:21:37.540]   -
[00:21:37.540 --> 00:21:37.740]   What
[00:21:37.740 --> 00:21:37.840]   is
[00:21:37.840 --> 00:21:38.090]   math
[00:21:38.090 --> 00:21:38.310]   field
[00:21:38.310 --> 00:21:38.440]   day
[00:21:38.440 --> 00:21:38.600]  ?
[00:21:38.600 --> 00:21:38.810]   -
[00:21:38.810 --> 00:21:38.810]   It
[00:21:38.810 --> 00:21:39.010]  's
[00:21:39.010 --> 00:21:39.120]   a
[00:21:39.120 --> 00:21:39.300]   math
[00:21:39.300 --> 00:21:40.050]   competition
[00:21:40.050 --> 00:21:40.250]  .
[00:21:40.250 --> 00:21:40.320]   -
[00:21:40.320 --> 00:21:40.700]   Okay
[00:21:40.700 --> 00:21:40.840]  .
[00:21:40.840 --> 00:21:42.360]   Yeah
[00:21:42.360 --> 00:21:42.360]  .
[00:21:42.360 --> 00:21:42.450]   -
[00:21:42.450 --> 00:21:42.640]   It
[00:21:42.640 --> 00:21:42.830]  's
[00:21:42.830 --> 00:21:43.260]   like
[00:21:43.260 --> 00:21:43.320]   a
[00:21:43.320 --> 00:21:43.700]   five
[00:21:43.700 --> 00:21:44.360]   hour
[00:21:44.360 --> 00:21:44.580]   event
[00:21:44.580 --> 00:21:44.870]  .
[00:21:44.870 --> 00:21:44.960]   -
[00:21:44.960 --> 00:21:45.650]   Yeah
[00:21:45.650 --> 00:21:45.720]  .
[00:21:45.720 --> 00:21:45.800]   -
[00:21:45.800 --> 00:21:45.960]   It
[00:21:45.960 --> 00:21:46.120]  's
[00:21:46.120 --> 00:21:46.960]   hundreds
[00:21:46.960 --> 00:21:47.030]   and
[00:21:47.030 --> 00:21:47.770]   hundreds
[00:21:47.770 --> 00:21:47.850]   of
[00:21:47.850 --> 00:21:48.180]   kids
[00:21:48.180 --> 00:21:48.930]   competing
[00:21:48.930 --> 00:21:49.170]  .
[00:21:49.170 --> 00:21:49.330]   So
[00:21:49.330 --> 00:21:49.490]   we
[00:21:49.490 --> 00:21:49.760]   put
[00:21:49.760 --> 00:21:49.900]   in
[00:21:49.900 --> 00:21:50.150]   two
[00:21:50.150 --> 00:21:50.560]   teams
[00:21:50.560 --> 00:21:50.710]   of
[00:21:50.710 --> 00:21:51.100]   four
[00:21:51.100 --> 00:21:51.480]   kids
[00:21:51.480 --> 00:21:51.830]  .
[00:21:51.830 --> 00:21:52.290]   Then
[00:21:52.290 --> 00:21:52.360]   we
[00:21:52.360 --> 00:21:52.510]   had
[00:21:52.510 --> 00:21:52.720]   two
[00:21:52.720 --> 00:21:52.970]   altern
[00:21:52.970 --> 00:21:53.170]  ates
[00:21:53.170 --> 00:21:53.270]  ,
[00:21:53.270 --> 00:21:53.420]   one
[00:21:53.420 --> 00:21:53.880]   alternate
[00:21:53.880 --> 00:21:54.030]   for
[00:21:54.030 --> 00:21:54.230]   each
[00:21:54.230 --> 00:21:54.430]   team
[00:21:54.430 --> 00:21:54.580]  .
[00:21:54.580 --> 00:21:54.580]   And
[00:21:54.580 --> 00:21:55.040]   the
[00:21:55.040 --> 00:21:55.080]   same
[00:21:55.080 --> 00:21:55.280]   with
[00:21:55.280 --> 00:21:55.430]   all
[00:21:55.430 --> 00:21:55.800]   these
[00:21:55.800 --> 00:21:55.880]   other
[00:21:55.880 --> 00:21:56.120]   schools
[00:21:56.120 --> 00:21:56.200]  .
[00:21:56.200 --> 00:21:56.280]   So
[00:21:56.280 --> 00:21:56.290]  
[00:21:56.290 --> 00:21:56.800]   there
[00:21:56.800 --> 00:21:57.000]  's
[00:21:57.000 --> 00:21:57.520]   like
[00:21:57.520 --> 00:21:58.390]   20
[00:21:58.390 --> 00:21:58.840]   schools
[00:21:58.840 --> 00:21:59.070]  .
[00:21:59.070 --> 00:21:59.350]   And
[00:21:59.350 --> 00:21:59.540]   it
[00:21:59.540 --> 00:21:59.770]  's
[00:21:59.770 --> 00:22:00.480]   very
[00:22:00.480 --> 00:22:01.410]   competitive
[00:22:01.410 --> 00:22:01.660]  .
[00:22:01.660 --> 00:22:01.970]   All
[00:22:01.970 --> 00:22:02.360]   the
[00:22:02.360 --> 00:22:02.440]   kids
[00:22:02.440 --> 00:22:02.530]  ,
[00:22:02.530 --> 00:22:02.550]   the
[00:22:02.550 --> 00:22:02.690]   schools
[00:22:02.690 --> 00:22:02.850]   take
[00:22:02.850 --> 00:22:02.920]   it
[00:22:02.920 --> 00:22:03.080]   very
[00:22:03.080 --> 00:22:03.960]   seriously
[00:22:03.960 --> 00:22:04.920]   because
[00:22:04.920 --> 00:22:05.170]   it
[00:22:05.170 --> 00:22:05.440]  's
[00:22:05.440 --> 00:22:06.280]   this
[00:22:06.280 --> 00:22:06.380]   big
[00:22:06.380 --> 00:22:07.210]   deal
[00:22:07.210 --> 00:22:07.320]  .
[00:22:07.320 --> 00:22:07.720]   And
[00:22:07.720 --> 00:22:08.650]   Sandy
[00:22:08.650 --> 00:22:08.930]   kept
[00:22:08.930 --> 00:22:09.450]   trying
[00:22:09.450 --> 00:22:10.140]   to
[00:22:10.140 --> 00:22:10.520]   get
[00:22:10.520 --> 00:22:10.680]   me
[00:22:10.680 --> 00:22:11.000]   to
[00:22:11.000 --> 00:22:12.280]   schedule
[00:22:12.280 --> 00:22:12.360]   some
[00:22:12.360 --> 00:22:12.600]   time
[00:22:12.600 --> 00:22:12.760]   to
[00:22:12.760 --> 00:22:13.880]   prepare
[00:22:13.880 --> 00:22:14.050]   for
[00:22:14.050 --> 00:22:14.120]   it
[00:22:14.120 --> 00:22:14.790]   because
[00:22:14.790 --> 00:22:15.500]   their
[00:22:15.500 --> 00:22:16.370]   questions
[00:22:16.370 --> 00:22:16.430]   are
[00:22:16.430 --> 00:22:16.910]   these
[00:22:16.910 --> 00:22:17.580]   complex
[00:22:17.580 --> 00:22:17.960]   word
[00:22:17.960 --> 00:22:18.700]   problems
[00:22:18.700 --> 00:22:19.170]  ,
[00:22:19.170 --> 00:22:19.970]   conceptual
[00:22:19.970 --> 00:22:21.150]   understanding
[00:22:21.150 --> 00:22:21.400]  ,
[00:22:21.400 --> 00:22:21.560]   and
[00:22:21.560 --> 00:22:21.640]   you
[00:22:21.640 --> 00:22:21.800]   have
[00:22:21.800 --> 00:22:21.900]   to
[00:22:21.900 --> 00:22:21.980]   be
[00:22:21.980 --> 00:22:22.320]   working
[00:22:22.320 --> 00:22:22.450]   as
[00:22:22.450 --> 00:22:22.500]   a
[00:22:22.500 --> 00:22:22.690]   group
[00:22:22.690 --> 00:22:22.830]  .
[00:22:22.830 --> 00:22:22.920]   So
[00:22:22.920 --> 00:22:23.100]   you
[00:22:23.100 --> 00:22:23.200]   got
[00:22:23.200 --> 00:22:23.290]   to
[00:22:23.290 --> 00:22:23.530]   learn
[00:22:23.530 --> 00:22:23.610]  ,
[00:22:23.610 --> 00:22:23.770]   the
[00:22:23.770 --> 00:22:23.970]   kids
[00:22:23.970 --> 00:22:24.100]   got
[00:22:24.100 --> 00:22:24.180]   to
[00:22:24.180 --> 00:22:24.420]   learn
