
[00:00:00.660 --> 00:00:09.820]   Music
[00:09:42.900 --> 00:09:42.900]   I
[00:09:42.900 --> 00:09:42.900]   mean
[00:09:42.900 --> 00:09:43.500]   I
[00:09:43.500 --> 00:09:43.590]   know
[00:09:43.590 --> 00:09:43.770]   this
[00:09:43.770 --> 00:09:43.900]   is
[00:09:43.900 --> 00:09:44.170]   sort
[00:09:44.170 --> 00:09:44.300]   of
[00:09:44.300 --> 00:09:44.500]   you
[00:09:44.500 --> 00:09:44.770]   know
[00:09:44.770 --> 00:09:45.180]   what
[00:09:45.180 --> 00:09:45.310]   what
[00:09:45.310 --> 00:09:45.580]   they
[00:09:45.580 --> 00:09:45.850]   call
[00:09:45.850 --> 00:09:46.250]   Monday
[00:09:46.250 --> 00:09:46.310]   m
[00:09:46.310 --> 00:09:46.440]  ou
[00:09:46.440 --> 00:09:46.840]   Monday
[00:09:46.840 --> 00:09:47.300]   morning
[00:09:47.300 --> 00:09:47.780]   quarter
[00:09:47.780 --> 00:09:48.240]   backing
[00:09:48.240 --> 00:09:48.580]   but
[00:09:48.580 --> 00:09:48.980]   in
[00:09:48.980 --> 00:09:49.290]   retrospect
[00:09:49.290 --> 00:09:49.460]   you
[00:09:49.460 --> 00:09:49.850]   almost
[00:09:49.850 --> 00:09:50.260]   could
[00:09:50.260 --> 00:09:50.450]   have
[00:09:50.450 --> 00:09:50.720]   like
[00:09:50.720 --> 00:09:50.940]   had
[00:09:50.940 --> 00:09:51.050]   an
[00:09:51.050 --> 00:09:51.510]   initial
[00:09:51.510 --> 00:09:51.790]   book
[00:09:51.790 --> 00:09:52.120]   which
[00:09:52.120 --> 00:09:52.390]   just
[00:09:52.390 --> 00:09:52.620]   was
[00:09:52.620 --> 00:09:52.650]   a
[00:09:52.650 --> 00:09:53.050]   series
[00:09:53.050 --> 00:09:53.180]   of
[00:09:53.180 --> 00:09:53.850]   interviews
[00:09:53.850 --> 00:09:54.000]  ,
[00:09:54.000 --> 00:09:54.120]   so
[00:09:54.120 --> 00:09:54.380]   like
[00:09:54.380 --> 00:09:55.080]   twenty
[00:09:55.080 --> 00:09:55.450]   interviews
[00:09:55.450 --> 00:09:55.580]  ,
[00:09:55.580 --> 00:09:55.780]   and
[00:09:55.780 --> 00:09:56.050]   then
[00:09:56.050 --> 00:09:56.280]   you
[00:09:56.280 --> 00:09:56.580]   wrote
[00:09:56.580 --> 00:09:56.850]   this
[00:09:56.850 --> 00:09:57.240]   follow
[00:09:57.240 --> 00:09:57.350]  -
[00:09:57.350 --> 00:09:57.440]  up
[00:09:57.440 --> 00:09:57.710]   book
[00:09:57.710 --> 00:09:57.840]   as
[00:09:57.840 --> 00:09:58.110]   like
[00:09:58.110 --> 00:09:58.430]   the
[00:09:58.430 --> 00:09:58.580]   dist
[00:09:58.580 --> 00:09:59.200]  illation
[00:09:59.200 --> 00:09:59.250]   of
[00:09:59.250 --> 00:09:59.450]   the
[00:09:59.450 --> 00:10:00.370]   information
[00:10:00.370 --> 00:10:00.460]   with
[00:10:00.460 --> 00:10:00.520]   a
[00:10:00.520 --> 00:10:00.720]   lot
[00:10:00.720 --> 00:10:01.060]   more
[00:10:01.060 --> 00:10:01.730]   information
[00:10:01.730 --> 00:10:01.880]   in
[00:10:01.880 --> 00:10:01.990]   in
[00:10:01.990 --> 00:10:02.180]   in
[00:10:02.180 --> 00:10:02.320]   and
[00:10:02.320 --> 00:10:02.450]   we
[00:10:02.450 --> 00:10:02.650]  'll
[00:10:02.650 --> 00:10:02.850]   get
[00:10:02.850 --> 00:10:03.120]   more
[00:10:03.120 --> 00:10:03.390]   into
[00:10:03.390 --> 00:10:03.990]   structure
[00:10:03.990 --> 00:10:04.120]   of
[00:10:04.120 --> 00:10:04.180]   a
[00:10:04.180 --> 00:10:04.440]   book
[00:10:04.440 --> 00:10:04.580]  ,
[00:10:04.580 --> 00:10:05.380]   which
[00:10:05.380 --> 00:10:05.410]  
[00:10:05.410 --> 00:10:05.590]   seems
[00:10:05.590 --> 00:10:05.760]   like
[00:10:05.760 --> 00:10:05.960]   what
[00:10:05.960 --> 00:10:06.060]   you
[00:10:06.060 --> 00:10:06.280]   kind
[00:10:06.280 --> 00:10:06.310]   of
[00:10:06.310 --> 00:10:06.480]   iter
[00:10:06.480 --> 00:10:06.650]  ated
[00:10:06.650 --> 00:10:06.950]   towards
[00:10:06.950 --> 00:10:07.120]  .
[00:10:07.120 --> 00:10:07.250]   It
[00:10:07.250 --> 00:10:07.370]  's
[00:10:07.370 --> 00:10:07.630]   almost
[00:10:07.630 --> 00:10:08.160]   like
[00:10:08.160 --> 00:10:08.210]   you
[00:10:08.210 --> 00:10:08.470]   know
[00:10:08.470 --> 00:10:08.660]   hey
[00:10:08.660 --> 00:10:08.790]   we
[00:10:08.790 --> 00:10:08.990]   cou
[00:10:08.990 --> 00:10:09.170]   you
[00:10:09.170 --> 00:10:09.420]   you
[00:10:09.420 --> 00:10:09.580]   had
[00:10:09.580 --> 00:10:09.810]   your
[00:10:09.810 --> 00:10:10.070]   mind
[00:10:10.070 --> 00:10:10.330]   like
[00:10:10.330 --> 00:10:10.390]   I
[00:10:10.390 --> 00:10:10.650]   want
[00:10:10.650 --> 00:10:10.920]   this
[00:10:10.920 --> 00:10:11.170]   book
[00:10:11.170 --> 00:10:11.300]   to
[00:10:11.300 --> 00:10:11.680]   really
[00:10:11.680 --> 00:10:12.080]   give
[00:10:12.080 --> 00:10:12.420]   people
[00:10:12.420 --> 00:10:12.550]   the
[00:10:12.550 --> 00:10:13.240]   information
[00:10:13.240 --> 00:10:13.530]   they
[00:10:13.530 --> 00:10:13.800]   need
[00:10:13.800 --> 00:10:14.030]   and
[00:10:14.030 --> 00:10:14.140]   how
[00:10:14.140 --> 00:10:14.270]   to
[00:10:14.270 --> 00:10:14.590]   build
[00:10:14.590 --> 00:10:14.650]   a
[00:10:14.650 --> 00:10:15.140]   company
[00:10:15.140 --> 00:10:15.290]   the
[00:10:15.290 --> 00:10:15.610]   right
[00:10:15.610 --> 00:10:15.800]   way
[00:10:15.800 --> 00:10:15.930]   or
[00:10:15.930 --> 00:10:16.240]   build
[00:10:16.240 --> 00:10:16.570]   their
[00:10:16.570 --> 00:10:16.950]   growth
[00:10:16.950 --> 00:10:17.260]   or
[00:10:17.260 --> 00:10:17.410]   their
[00:10:17.410 --> 00:10:18.040]   attraction
[00:10:18.040 --> 00:10:18.240]   but
[00:10:18.240 --> 00:10:18.690]   you
[00:10:18.690 --> 00:10:18.710]   know
[00:10:18.710 --> 00:10:18.950]   okay
[00:10:18.950 --> 00:10:19.280]   this
[00:10:19.280 --> 00:10:19.340]   is
[00:10:19.340 --> 00:10:19.660]   what
[00:10:19.660 --> 00:10:19.660]   I
[00:10:19.660 --> 00:10:19.850]   got
[00:10:19.850 --> 00:10:20.040]   two
[00:10:20.040 --> 00:10:20.620]   thousand
[00:10:20.620 --> 00:10:21.020]   eleven
[00:10:21.020 --> 00:10:21.070]   or
[00:10:21.070 --> 00:10:21.590]   whatever
[00:10:21.590 --> 00:10:22.000]  . [SPEAKER_TURN]
[00:10:22.340 --> 00:10:22.400]  
[00:10:22.400 --> 00:10:22.580]   Yeah
[00:10:22.580 --> 00:10:22.640]   I
[00:10:22.640 --> 00:10:22.880]   mean
[00:10:22.880 --> 00:10:22.940]   I
[00:10:22.940 --> 00:10:23.180]   felt
[00:10:23.180 --> 00:10:23.420]   like
[00:10:23.420 --> 00:10:23.480]   I
[00:10:23.480 --> 00:10:23.660]   was
[00:10:23.660 --> 00:10:24.030]   giving
[00:10:24.030 --> 00:10:24.270]   that
[00:10:24.270 --> 00:10:24.510]   away
[00:10:24.510 --> 00:10:24.940]   already
[00:10:24.940 --> 00:10:25.060]   on
[00:10:25.060 --> 00:10:25.180]   my
[00:10:25.180 --> 00:10:25.600]   blog
[00:10:25.600 --> 00:10:25.800]   and
[00:10:25.800 --> 00:10:25.840]   then
[00:10:25.840 --> 00:10:26.020]   the
[00:10:26.020 --> 00:10:26.810]   interviews
[00:10:26.810 --> 00:10:26.870]   were
[00:10:26.870 --> 00:10:27.240]   public
[00:10:27.240 --> 00:10:27.360]   so
[00:10:27.360 --> 00:10:27.610]   like
[00:10:27.610 --> 00:10:27.780]   you
[00:10:27.780 --> 00:10:28.020]   know
[00:10:28.020 --> 00:10:28.220]   you
[00:10:28.220 --> 00:10:28.500]   could
[00:10:28.500 --> 00:10:28.670]   you
[00:10:28.670 --> 00:10:28.780]   could
[00:10:28.780 --> 00:10:29.100]   do
[00:10:29.100 --> 00:10:29.460]   that
[00:10:29.460 --> 00:10:29.480]   if
[00:10:29.480 --> 00:10:29.640]   you
[00:10:29.640 --> 00:10:29.880]   want
[00:10:29.880 --> 00:10:30.000]   to
[00:10:30.000 --> 00:10:30.430]   granted
[00:10:30.430 --> 00:10:30.910]   packages
[00:10:30.910 --> 00:10:31.040]   in
[00:10:31.040 --> 00:10:31.220]   the
[00:10:31.220 --> 00:10:31.460]   book
[00:10:31.460 --> 00:10:31.810]   might
[00:10:31.810 --> 00:10:31.880]   be
[00:10:31.880 --> 00:10:32.120]   more
[00:10:32.120 --> 00:10:32.490]   useful
[00:10:32.490 --> 00:10:32.670]   and
[00:10:32.670 --> 00:10:32.960]   and
[00:10:32.960 --> 00:10:32.970]   uh
[00:10:32.970 --> 00:10:33.150]   we
[00:10:33.150 --> 00:10:33.580]   actually
[00:10:33.580 --> 00:10:33.640]   I
[00:10:33.640 --> 00:10:33.940]   could
[00:10:33.940 --> 00:10:34.180]   have
[00:10:34.180 --> 00:10:34.420]   done
[00:10:34.420 --> 00:10:34.660]   that
[00:10:34.660 --> 00:10:34.780]   we
[00:10:34.780 --> 00:10:34.910]  ,
[00:10:34.910 --> 00:10:35.110]   had
[00:10:35.110 --> 00:10:35.140]   a
[00:10:35.140 --> 00:10:35.440]   bunch
[00:10:35.440 --> 00:10:35.800]   transc
[00:10:35.800 --> 00:10:36.110]  ribed
[00:10:36.110 --> 00:10:36.640]  .
[00:10:36.640 --> 00:10:36.650]   I
[00:10:36.650 --> 00:10:36.820]   just
[00:10:36.820 --> 00:10:36.990]   I
[00:10:36.990 --> 00:10:37.060]   don
[00:10:37.060 --> 00:10:37.080]  't
[00:10:37.080 --> 00:10:37.260]   know
[00:10:37.260 --> 00:10:37.300]   I
[00:10:37.300 --> 00:10:37.390]  ,
[00:10:37.390 --> 00:10:37.570]   just
[00:10:37.570 --> 00:10:37.750]   didn
[00:10:37.750 --> 00:10:37.840]  't
[00:10:37.840 --> 00:10:38.020]   want
[00:10:38.020 --> 00:10:38.110]   my
[00:10:38.110 --> 00:10:38.290]   name
[00:10:38.290 --> 00:10:38.650]   attached
[00:10:38.650 --> 00:10:38.800]   to
[00:10:38.800 --> 00:10:38.830]   an
[00:10:38.830 --> 00:10:39.240]   interview
[00:10:39.240 --> 00:10:39.420]   book
[00:10:39.420 --> 00:10:39.600]   that
[00:10:39.600 --> 00:10:39.640]   I
[00:10:39.640 --> 00:10:39.820]   didn
[00:10:39.820 --> 00:10:39.980]  't
[00:10:39.980 --> 00:10:40.090]   feel
[00:10:40.090 --> 00:10:40.220]   was
[00:10:40.220 --> 00:10:40.400]   that
[00:10:40.400 --> 00:10:40.670]   useful
[00:10:40.670 --> 00:10:41.300]  . [SPEAKER_TURN]
[00:10:41.860 --> 00:10:41.950]  
[00:10:41.950 --> 00:10:42.070]   Yeah
[00:10:42.070 --> 00:10:42.180]  ,
[00:10:42.180 --> 00:10:42.380]   well
[00:10:42.380 --> 00:10:42.540]   you
[00:10:42.540 --> 00:10:42.810]   know
[00:10:42.810 --> 00:10:42.850]  ,
[00:10:42.850 --> 00:10:42.960]   it
[00:10:42.960 --> 00:10:43.040]  's
[00:10:43.040 --> 00:10:43.150]   it
[00:10:43.150 --> 00:10:43.280]  's
[00:10:43.280 --> 00:10:43.520]   funny
[00:10:43.520 --> 00:10:43.570]   '
[00:10:43.570 --> 00:10:43.880]  cause
[00:10:43.880 --> 00:10:43.930]   my
[00:10:43.930 --> 00:10:44.470]   background
[00:10:44.470 --> 00:10:44.700]   uh
[00:10:44.700 --> 00:10:44.730]   you
[00:10:44.730 --> 00:10:44.980]   know
[00:10:44.980 --> 00:10:45.040]   we
[00:10:45.040 --> 00:10:45.220]  've
[00:10:45.220 --> 00:10:45.380]   tal
[00:10:45.380 --> 00:10:45.410]   I
[00:10:45.410 --> 00:10:45.620]   don
[00:10:45.620 --> 00:10:45.670]  't
[00:10:45.670 --> 00:10:45.950]   know
[00:10:45.950 --> 00:10:45.980]   if
[00:10:45.980 --> 00:10:46.080]   we
[00:10:46.080 --> 00:10:46.400]   talked
[00:10:46.400 --> 00:10:46.670]   about
[00:10:46.670 --> 00:10:46.880]   this
[00:10:46.880 --> 00:10:46.980]  ,
[00:10:46.980 --> 00:10:47.140]   but
[00:10:47.140 --> 00:10:47.190]   I
[00:10:47.190 --> 00:10:47.350]  've
[00:10:47.350 --> 00:10:47.670]   talked
[00:10:47.670 --> 00:10:47.940]   about
[00:10:47.940 --> 00:10:48.040]   it
[00:10:48.040 --> 00:10:48.090]   a
[00:10:48.090 --> 00:10:48.250]   lot
[00:10:48.250 --> 00:10:48.510]   on
[00:10:48.510 --> 00:10:48.720]   the
[00:10:48.720 --> 00:10:48.820]   show
[00:10:48.820 --> 00:10:48.840]  ,
[00:10:48.840 --> 00:10:48.920]   as
[00:10:48.920 --> 00:10:49.020]   in
[00:10:49.020 --> 00:10:49.230]   sort
[00:10:49.230 --> 00:10:49.330]   of
[00:10:49.330 --> 00:10:49.500]   the
[00:10:49.500 --> 00:10:50.000]   trading
[00:10:50.000 --> 00:10:50.130]   world
[00:10:50.130 --> 00:10:50.290]   And
[00:10:50.290 --> 00:10:50.450]  .
[00:10:50.450 --> 00:10:50.720]   there
[00:10:50.720 --> 00:10:50.910]  's
[00:10:50.910 --> 00:10:50.980]   all
[00:10:50.980 --> 00:10:51.250]   these
[00:10:51.250 --> 00:10:51.720]   books
[00:10:51.720 --> 00:10:51.750]   that
[00:10:51.750 --> 00:10:52.210]   interview
[00:10:52.210 --> 00:10:52.370]   all
[00:10:52.370 --> 00:10:52.640]   these
[00:10:52.640 --> 00:10:52.850]   like
[00:10:52.850 --> 00:10:53.170]   super
[00:10:53.170 --> 00:10:53.180]  -
[00:10:53.180 --> 00:10:53.360]  tra
[00:10:53.360 --> 00:10:53.590]  itors
[00:10:53.590 --> 00:10:53.860]   right
[00:10:53.860 --> 00:10:53.980]  ,
[00:10:53.980 --> 00:10:54.230]   these
[00:10:54.230 --> 00:10:54.500]   these
[00:10:54.500 --> 00:10:54.710]   guys
[00:10:54.710 --> 00:10:55.240]   mostly
[00:10:55.240 --> 00:10:55.360]   guys
[00:10:55.360 --> 00:10:55.450]   some
[00:10:55.450 --> 00:10:55.720]   women
[00:10:55.720 --> 00:10:55.880]   who
[00:10:55.880 --> 00:10:56.040]   you
[00:10:56.040 --> 00:10:56.250]   know
[00:10:56.250 --> 00:10:56.460]   made
[00:10:56.460 --> 00:10:56.870]   millions
[00:10:56.870 --> 00:10:57.260]   or
[00:10:57.260 --> 00:10:57.420]   hundreds
[00:10:57.420 --> 00:10:57.520]   of
[00:10:57.520 --> 00:10:57.950]   millions
[00:10:57.950 --> 00:10:58.050]   of
[00:10:58.050 --> 00:10:58.420]   dollars
[00:10:58.420 --> 00:10:58.790]   trading
[00:10:58.790 --> 00:10:58.950]   and
[00:10:58.950 --> 00:10:59.160]   you
[00:10:59.160 --> 00:10:59.320]   know
[00:10:59.320 --> 00:10:59.480]   how
[00:10:59.480 --> 00:10:59.800]   they
[00:10:59.800 --> 00:10:59.960]   trade
[00:10:59.960 --> 00:11:00.120]   and
[00:11:00.120 --> 00:11:00.280]   how
[00:11:00.280 --> 00:11:00.490]   they
[00:11:00.490 --> 00:11:00.770]   made
[00:11:00.770 --> 00:11:01.010]   money
[00:11:01.010 --> 00:11:01.130]   and
[00:11:01.130 --> 00:11:01.340]   what
[00:11:01.340 --> 00:11:01.550]   they
[00:11:01.550 --> 00:11:01.870]   tried
[00:11:01.870 --> 00:11:01.980]   and
[00:11:01.980 --> 00:11:02.140]   all
[00:11:02.140 --> 00:11:02.350]   that
[00:11:02.350 --> 00:11:02.660]   kind
[00:11:02.660 --> 00:11:02.690]   of
[00:11:02.690 --> 00:11:02.930]   stuff
[00:11:02.930 --> 00:11:03.720]  .
[00:11:03.720 --> 00:11:03.770]   And
[00:11:03.770 --> 00:11:04.050]   those
[00:11:04.050 --> 00:11:04.330]   books
[00:11:04.330 --> 00:11:04.730]   usually
[00:11:04.730 --> 00:11:04.900]   did
[00:11:04.900 --> 00:11:05.240]   really
[00:11:05.240 --> 00:11:05.520]   well
[00:11:05.520 --> 00:11:05.540]   '
[00:11:05.540 --> 00:11:05.800]  cause
[00:11:05.800 --> 00:11:06.030]   this
[00:11:06.030 --> 00:11:06.140]   is
[00:11:06.140 --> 00:11:06.260]   uh
[00:11:06.260 --> 00:11:06.480]   kind
[00:11:06.480 --> 00:11:06.600]   of
[00:11:06.600 --> 00:11:06.760]   fun
[00:11:06.760 --> 00:11:06.870]   to
[00:11:06.870 --> 00:11:07.100]   read
[00:11:07.100 --> 00:11:07.380]   their
[00:11:07.380 --> 00:11:07.950]   individual
[00:11:07.950 --> 00:11:08.260]   stories
[00:11:08.260 --> 00:11:08.630]   um
[00:11:08.630 --> 00:11:08.660]   but
[00:11:08.660 --> 00:11:08.860]   then
[00:11:08.860 --> 00:11:09.030]   the
[00:11:09.030 --> 00:11:09.310]   th
[00:11:09.310 --> 00:11:09.370]   the
[00:11:09.370 --> 00:11:09.540]   next
[00:11:09.540 --> 00:11:09.770]   book
[00:11:09.770 --> 00:11:10.050]   would
[00:11:10.050 --> 00:11:10.370]   come
[00:11:10.370 --> 00:11:10.510]   out
[00:11:10.510 --> 00:11:10.730]   would
[00:11:10.730 --> 00:11:10.840]   be
[00:11:10.840 --> 00:11:11.070]   like
[00:11:11.070 --> 00:11:11.240]   the
[00:11:11.240 --> 00:11:11.480]   book
[00:11:11.480 --> 00:11:11.860]   that
[00:11:11.860 --> 00:11:11.860]  
[00:11:11.860 --> 00:11:12.060]   came
[00:11:12.060 --> 00:11:12.210]   out
[00:11:12.210 --> 00:11:12.410]   with
[00:11:12.410 --> 00:11:12.880]   would
[00:11:12.880 --> 00:11:12.960]   follow
[00:11:12.960 --> 00:11:13.060]   up
[00:11:13.060 --> 00:11:13.260]   like
[00:11:13.260 --> 00:11:13.570]   three
[00:11:13.570 --> 00:11:13.610]   or
[00:11:13.610 --> 00:11:13.810]   four
[00:11:13.810 --> 00:11:14.110]   years
[00:11:14.110 --> 00:11:14.310]   later
[00:11:14.310 --> 00:11:14.590]   kind
[00:11:14.590 --> 00:11:14.610]   of
[00:11:14.610 --> 00:11:14.860]   thing
[00:11:14.860 --> 00:11:15.010]  .
[00:11:15.010 --> 00:11:15.210]   Okay
[00:11:15.210 --> 00:11:15.310]   so
[00:11:15.310 --> 00:11:15.560]  ,
[00:11:15.560 --> 00:11:15.570]   the
[00:11:15.570 --> 00:11:15.760]   here
[00:11:15.760 --> 00:11:15.860]  's
[00:11:15.860 --> 00:11:16.010]   the
[00:11:16.010 --> 00:11:16.450]   framework
[00:11:16.450 --> 00:11:16.650]  .
[00:11:16.650 --> 00:11:17.110]   But
[00:11:17.110 --> 00:11:17.860]   um [SPEAKER_TURN]
[00:11:17.860 --> 00:11:18.070]   You
[00:11:18.070 --> 00:11:18.280]  're
[00:11:18.280 --> 00:11:18.640]   right
[00:11:18.640 --> 00:11:18.850]  .
[00:11:18.850 --> 00:11:18.990]   We
[00:11:18.990 --> 00:11:19.350]   could
[00:11:19.350 --> 00:11:19.640]   have
[00:11:19.640 --> 00:11:20.140]   pursued
[00:11:20.140 --> 00:11:20.430]   that
[00:11:20.430 --> 00:11:21.030]   strategy
[00:11:21.030 --> 00:11:21.860]  . [SPEAKER_TURN]
[00:11:21.860 --> 00:11:22.460]   So
[00:11:22.460 --> 00:11:23.190]   um
[00:11:23.190 --> 00:11:23.190]   uh
[00:11:23.190 --> 00:11:23.250]   e
[00:11:23.250 --> 00:11:23.440]   one
[00:11:23.440 --> 00:11:24.070]   other
[00:11:24.070 --> 00:11:24.280]   question
[00:11:24.280 --> 00:11:24.330]   I
[00:11:24.330 --> 00:11:24.650]   wanna
[00:11:24.650 --> 00:11:25.040]   ask
[00:11:25.040 --> 00:11:25.080]   you
[00:11:25.080 --> 00:11:25.100]   I
[00:11:25.100 --> 00:11:25.360]   mean
[00:11:25.360 --> 00:11:25.420]   I
[00:11:25.420 --> 00:11:25.470]   I
[00:11:25.470 --> 00:11:25.800]   wanna
[00:11:25.800 --> 00:11:25.990]   get
[00:11:25.990 --> 00:11:26.250]   into
[00:11:26.250 --> 00:11:26.440]   the
[00:11:26.440 --> 00:11:26.700]   book
[00:11:26.700 --> 00:11:26.960]   more
[00:11:26.960 --> 00:11:27.150]   but
[00:11:27.150 --> 00:11:27.280]  ,
[00:11:27.280 --> 00:11:27.340]   I
[00:11:27.340 --> 00:11:27.410]   I
[00:11:27.410 --> 00:11:27.460]   I
[00:11:27.460 --> 00:11:27.790]   kinda
[00:11:27.790 --> 00:11:27.840]   I
[00:11:27.840 --> 00:11:28.160]   wanna
[00:11:28.160 --> 00:11:28.290]   uh
[00:11:28.290 --> 00:11:28.350]   I
[00:11:28.350 --> 00:11:28.480]  'm
[00:11:28.480 --> 00:11:28.980]   trying
[00:11:28.980 --> 00:11:29.050]   to
[00:11:29.050 --> 00:11:29.320]   build
[00:11:29.320 --> 00:11:29.380]   a
[00:11:29.380 --> 00:11:29.770]   little
[00:11:29.770 --> 00:11:29.960]   bit
[00:11:29.960 --> 00:11:30.090]   of
[00:11:30.090 --> 00:11:30.140]   a
[00:11:30.140 --> 00:11:30.790]   foundation
[00:11:30.790 --> 00:11:31.060]   here
[00:11:31.060 --> 00:11:31.120]   '
[00:11:31.120 --> 00:11:31.440]  cause
[00:11:31.440 --> 00:11:31.500]   I
[00:11:31.500 --> 00:11:31.820]   think
[00:11:31.820 --> 00:11:31.950]   we
[00:11:31.950 --> 00:11:32.150]  're
[00:11:32.150 --> 00:11:32.500]   gonna
[00:11:32.500 --> 00:11:33.020]   really
[00:11:33.020 --> 00:11:33.500]   understand
[00:11:33.500 --> 00:11:34.130]  .
[00:11:34.130 --> 00:11:34.270]   So
[00:11:34.270 --> 00:11:34.300]   you
[00:11:34.300 --> 00:11:34.510]   know
[00:11:34.510 --> 00:11:34.870]   Duck
[00:11:34.870 --> 00:11:34.960]   Duck
[00:11:34.960 --> 00:11:35.070]   Go
[00:11:35.070 --> 00:11:35.410]   was
[00:11:35.410 --> 00:11:35.440]   not
[00:11:35.440 --> 00:11:35.630]   your
[00:11:35.630 --> 00:11:35.990]   first
[00:11:35.990 --> 00:11:36.300]   company
[00:11:36.300 --> 00:11:36.470]  .
[00:11:36.470 --> 00:11:36.690]   Your
[00:11:36.690 --> 00:11:37.050]   first
[00:11:37.050 --> 00:11:37.360]   company
[00:11:37.360 --> 00:11:37.410]   I
[00:11:37.410 --> 00:11:37.630]   what
[00:11:37.630 --> 00:11:37.800]   was
[00:11:37.800 --> 00:11:37.970]   the
[00:11:37.970 --> 00:11:38.190]   name
[00:11:38.190 --> 00:11:38.300]   of
[00:11:38.300 --> 00:11:38.410]   it
[00:11:38.410 --> 00:11:38.690]   again
[00:11:38.690 --> 00:11:38.890]   It
[00:11:38.890 --> 00:11:38.970]  ?
[00:11:38.970 --> 00:11:39.140]   was
[00:11:39.140 --> 00:11:39.630]   like
[00:11:39.630 --> 00:11:39.930]   classmates
[00:11:39.930 --> 00:11:40.040]   or
[00:11:40.040 --> 00:11:40.700]   something
[00:11:40.700 --> 00:11:40.940]  ? [SPEAKER_TURN]
[00:11:41.120 --> 00:11:41.120]  
[00:11:41.120 --> 00:11:41.280]   was
[00:11:41.280 --> 00:11:41.380]   it
[00:11:41.380 --> 00:11:41.540]   was
[00:11:41.540 --> 00:11:41.750]   kind
[00:11:41.750 --> 00:11:41.850]   of
[00:11:41.850 --> 00:11:42.100]   you
[00:11:42.100 --> 00:11:42.220]   know
[00:11:42.220 --> 00:11:42.270]   a
[00:11:42.270 --> 00:11:42.500]   bunch
[00:11:42.500 --> 00:11:42.810]   of
[00:11:42.810 --> 00:11:42.890]   names
[00:11:42.890 --> 00:11:42.990]   as
[00:11:42.990 --> 00:11:43.150]   far
[00:11:43.150 --> 00:11:43.250]   as
[00:11:43.250 --> 00:11:43.410]   you
[00:11:43.410 --> 00:11:43.570]  'll
[00:11:43.570 --> 00:11:44.000]   probably
[00:11:44.000 --> 00:11:44.430]   remember
[00:11:44.430 --> 00:11:44.590]  .
[00:11:44.590 --> 00:11:44.690]   It
[00:11:44.690 --> 00:11:44.850]   was
[00:11:44.850 --> 00:11:45.010]   the
[00:11:45.010 --> 00:11:45.210]   name
[00:11:45.210 --> 00:11:45.320]   of
[00:11:45.320 --> 00:11:45.490]   the
[00:11:45.490 --> 00:11:45.850]   company
[00:11:45.850 --> 00:11:46.010]   was
[00:11:46.010 --> 00:11:46.430]   actually
[00:11:46.430 --> 00:11:46.600]   Op
[00:11:46.600 --> 00:11:46.640]  al
[00:11:46.640 --> 00:11:46.800]  box
[00:11:46.800 --> 00:11:46.960]  .
[00:11:46.960 --> 00:11:47.180]   But
[00:11:47.180 --> 00:11:47.220]   it
[00:11:47.220 --> 00:11:47.380]   was
[00:11:47.380 --> 00:11:47.640]   doing
[00:11:47.640 --> 00:11:48.070]   business
[00:11:48.070 --> 00:11:48.170]   as
[00:11:48.170 --> 00:11:48.330]   the
[00:11:48.330 --> 00:11:48.590]   names
[00:11:48.590 --> 00:11:49.020]   database
[00:11:49.020 --> 00:11:49.180]   and
[00:11:49.180 --> 00:11:49.390]   then
[00:11:49.390 --> 00:11:49.490]   it
[00:11:49.490 --> 00:11:49.700]   sold
[00:11:49.700 --> 00:11:49.800]   to
[00:11:49.800 --> 00:11:50.350]   classmates
[00:11:50.350 --> 00:11:50.490]   dot
[00:11:50.490 --> 00:11:50.810]   com
[00:11:50.810 --> 00:11:50.850]  .
[00:11:50.850 --> 00:11:51.020]   All
[00:11:51.020 --> 00:11:51.160]   the
[00:11:51.160 --> 00:11:51.390]   names
[00:11:51.390 --> 00:11:51.650]   in
[00:11:51.650 --> 00:11:51.750]   there
[00:11:51.750 --> 00:11:52.620]  . [SPEAKER_TURN]
[00:11:52.620 --> 00:11:53.570]   M
[00:11:53.570 --> 00:11:54.600]  m
[00:11:54.600 --> 00:11:55.450]  -
[00:11:55.450 --> 00:11:56.390]  h
[00:11:56.390 --> 00:11:58.280]  mm
[00:11:58.280 --> 00:12:01.140]  .
[00:12:01.140 --> 00:12:01.140]  
[00:12:01.140 --> 00:12:01.320]   And
[00:12:01.320 --> 00:12:01.380]   I
[00:12:01.380 --> 00:12:01.930]   recommend
[00:12:01.930 --> 00:12:02.360]   anybody
[00:12:02.360 --> 00:12:02.550]   who
[00:12:02.550 --> 00:12:02.660]  's
[00:12:02.660 --> 00:12:02.900]   hasn
[00:12:02.900 --> 00:12:03.200]  't
[00:12:03.200 --> 00:12:03.300]   who
[00:12:03.300 --> 00:12:03.320]  's
[00:12:03.320 --> 00:12:03.560]   more
[00:12:03.560 --> 00:12:03.930]   recent
[00:12:03.930 --> 00:12:04.210]   to
[00:12:04.210 --> 00:12:04.230]   the
[00:12:04.230 --> 00:12:04.530]   show
[00:12:04.530 --> 00:12:04.590]   go
[00:12:04.590 --> 00:12:04.710]  ,
[00:12:04.710 --> 00:12:04.950]   back
[00:12:04.950 --> 00:12:05.170]   and
[00:12:05.170 --> 00:12:05.430]   and
