
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.070]   <
[00:30:09.510 --> 00:30:09.670]   was
[00:30:09.670 --> 00:30:09.960]   this
[00:30:09.960 --> 00:30:10.180]   big
[00:30:10.180 --> 00:30:10.320]   uh
[00:30:10.320 --> 00:30:10.600]   this
[00:30:10.600 --> 00:30:10.680]   I
[00:30:10.680 --> 00:30:11.050]   kinda
[00:30:11.050 --> 00:30:11.340]   what
[00:30:11.340 --> 00:30:11.560]   was
[00:30:11.560 --> 00:30:12.010]   called
[00:30:12.010 --> 00:30:12.070]   a
[00:30:12.070 --> 00:30:12.280]   the
[00:30:12.280 --> 00:30:12.430]   b
[00:30:12.430 --> 00:30:12.450]   b
[00:30:12.450 --> 00:30:12.570]   b
[00:30:12.570 --> 00:30:12.580]   b
[00:30:12.580 --> 00:30:12.640]   b
[00:30:12.640 --> 00:30:12.710]   b
[00:30:12.710 --> 00:30:12.780]   b
[00:30:12.780 --> 00:30:12.920]   or
[00:30:12.920 --> 00:30:13.140]   the
[00:30:13.140 --> 00:30:13.430]   snow
[00:30:13.430 --> 00:30:14.080]   something
[00:30:14.080 --> 00:30:14.480]  .
[00:30:14.480 --> 00:30:14.530]   And
[00:30:14.530 --> 00:30:14.670]   he
[00:30:14.670 --> 00:30:14.860]   he
[00:30:14.860 --> 00:30:15.030]   was
[00:30:15.030 --> 00:30:15.220]   at
[00:30:15.220 --> 00:30:15.460]   this
[00:30:15.460 --> 00:30:15.810]   big
[00:30:15.810 --> 00:30:15.820]   um
[00:30:15.820 --> 00:30:15.960]  ,
[00:30:15.960 --> 00:30:16.170]   you
[00:30:16.170 --> 00:30:16.430]   know
[00:30:16.430 --> 00:30:17.020]  ,
[00:30:17.020 --> 00:30:17.200]   whatever
[00:30:17.200 --> 00:30:17.490]   snow
[00:30:17.490 --> 00:30:17.630]  ,
[00:30:17.630 --> 00:30:18.190]   monster
[00:30:18.190 --> 00:30:18.360]   And
[00:30:18.360 --> 00:30:18.580]  .
[00:30:18.580 --> 00:30:18.660]   h
[00:30:18.660 --> 00:30:18.920]   he
[00:30:18.920 --> 00:30:19.160]   falls
[00:30:19.160 --> 00:30:19.380]   off
[00:30:19.380 --> 00:30:19.600]   the
[00:30:19.600 --> 00:30:19.890]   side
[00:30:19.890 --> 00:30:20.030]   of
[00:30:20.030 --> 00:30:20.100]   a
[00:30:20.100 --> 00:30:20.310]   of
[00:30:20.310 --> 00:30:20.440]   a
[00:30:20.440 --> 00:30:20.680]   cliff
[00:30:20.680 --> 00:30:21.000]   with
[00:30:21.000 --> 00:30:21.110]   uh
[00:30:21.110 --> 00:30:21.440]   this
[00:30:21.440 --> 00:30:21.690]   this
[00:30:21.690 --> 00:30:21.970]   kind
[00:30:21.970 --> 00:30:23.320]   of [SPEAKER_TURN]
[00:30:24.200 --> 00:30:23.330]   I
[00:30:23.330 --> 00:30:23.680]   dunno
[00:30:23.680 --> 00:30:23.920]   what
[00:30:23.920 --> 00:30:24.310]   his
[00:30:24.310 --> 00:30:24.340]   name
[00:30:24.340 --> 00:30:24.460]   is
[00:30:24.460 --> 00:30:24.580]  ,
[00:30:24.580 --> 00:30:24.820]   like
[00:30:24.820 --> 00:30:24.880]   a
[00:30:24.880 --> 00:30:25.360]   Yosemite
[00:30:25.360 --> 00:30:25.540]   Sam
[00:30:25.540 --> 00:30:25.870]   kinda
[00:30:25.870 --> 00:30:26.020]   guy
[00:30:26.020 --> 00:30:26.140]   He
[00:30:26.140 --> 00:30:26.320]  .
[00:30:26.320 --> 00:30:26.560]   goes
[00:30:26.560 --> 00:30:26.920]   flying
[00:30:26.920 --> 00:30:27.280]   around
[00:30:27.280 --> 00:30:27.480]   the
[00:30:27.480 --> 00:30:27.760]   crowd
[00:30:27.760 --> 00:30:27.940]  .
[00:30:27.940 --> 00:30:28.120]   And
[00:30:28.120 --> 00:30:28.240]   he
[00:30:28.240 --> 00:30:28.540]   comes
[00:30:28.540 --> 00:30:28.960]   back
[00:30:28.960 --> 00:30:29.080]   later
[00:30:29.080 --> 00:30:29.200]  ,
[00:30:29.200 --> 00:30:29.380]   and
[00:30:29.380 --> 00:30:29.500]   he
[00:30:29.500 --> 00:30:29.620]  's
[00:30:29.620 --> 00:30:29.800]   and
[00:30:29.800 --> 00:30:29.980]   and
[00:30:29.980 --> 00:30:30.220]   they
[00:30:30.220 --> 00:30:30.380]  're
[00:30:30.380 --> 00:30:30.820]   like
[00:30:30.820 --> 00:30:30.920]   you
[00:30:30.920 --> 00:30:31.060]   know
[00:30:31.060 --> 00:30:31.180]   oh
[00:30:31.180 --> 00:30:31.300]   my
[00:30:31.300 --> 00:30:31.480]   God
[00:30:31.480 --> 00:30:31.840]   you
[00:30:31.840 --> 00:30:31.950]  're
[00:30:31.950 --> 00:30:32.140]   alive
[00:30:32.140 --> 00:30:32.320]   and
[00:30:32.320 --> 00:30:32.440]   he
[00:30:32.440 --> 00:30:32.800]   brings
[00:30:32.800 --> 00:30:32.920]   in
[00:30:32.920 --> 00:30:32.980]   a
[00:30:32.980 --> 00:30:33.040]   b
[00:30:33.040 --> 00:30:33.340]  umble
[00:30:33.340 --> 00:30:33.520]   and
[00:30:33.520 --> 00:30:33.700]   was
[00:30:33.700 --> 00:30:33.940]   like
[00:30:33.940 --> 00:30:34.070]   oh
[00:30:34.070 --> 00:30:34.180]   my
[00:30:34.180 --> 00:30:34.390]   God
[00:30:34.390 --> 00:30:34.540]   and
[00:30:34.540 --> 00:30:34.750]   he
[00:30:34.750 --> 00:30:34.780]  's
[00:30:34.780 --> 00:30:35.030]   like
[00:30:35.030 --> 00:30:35.080]   b
[00:30:35.080 --> 00:30:35.260]   you
[00:30:35.260 --> 00:30:35.550]   know
[00:30:35.550 --> 00:30:35.560]   b
[00:30:35.560 --> 00:30:36.260]  umbles
[00:30:36.260 --> 00:30:36.280]   bounce
[00:30:36.280 --> 00:30:36.430]  ,
[00:30:36.430 --> 00:30:36.580]   you
[00:30:36.580 --> 00:30:36.820]   know
[00:30:36.820 --> 00:30:36.880]   '
[00:30:36.880 --> 00:30:37.180]  cause
[00:30:37.180 --> 00:30:37.300]   he
[00:30:37.300 --> 00:30:37.670]   landed
[00:30:37.670 --> 00:30:37.780]   on
[00:30:37.780 --> 00:30:37.960]   the
[00:30:37.960 --> 00:30:38.040]   b
[00:30:38.040 --> 00:30:38.320]  umble
[00:30:38.320 --> 00:30:39.320]   and [SPEAKER_TURN]
[00:30:39.320 --> 00:30:39.980]   Yeah
[00:30:39.980 --> 00:30:41.280]  . [SPEAKER_TURN]
[00:30:41.520 --> 00:30:41.650]  
[00:30:41.650 --> 00:30:41.660]   and
[00:30:41.660 --> 00:30:41.750]   uh
[00:30:41.750 --> 00:30:41.840]   he
[00:30:41.840 --> 00:30:41.950]   he
[00:30:41.950 --> 00:30:42.160]   would
[00:30:42.160 --> 00:30:42.350]   tame
[00:30:42.350 --> 00:30:42.510]   the
[00:30:42.510 --> 00:30:42.530]   b
[00:30:42.530 --> 00:30:42.800]  umble
[00:30:42.800 --> 00:30:42.850]   or
[00:30:42.850 --> 00:30:43.220]   whatever
[00:30:43.220 --> 00:30:43.360]  .
[00:30:43.360 --> 00:30:43.450]   So
[00:30:43.450 --> 00:30:43.730]   anyway
[00:30:43.730 --> 00:30:43.920]   that
[00:30:43.920 --> 00:30:44.110]   that
[00:30:44.110 --> 00:30:44.200]  's
[00:30:44.200 --> 00:30:44.430]   kinda
[00:30:44.430 --> 00:30:44.620]   high
[00:30:44.620 --> 00:30:45.080]   thing
[00:30:45.080 --> 00:30:45.100]   about
[00:30:45.100 --> 00:30:45.310]   the
[00:30:45.310 --> 00:30:45.410]   kids
[00:30:45.410 --> 00:30:45.600]   kids
[00:30:45.600 --> 00:30:45.740]   are
[00:30:45.740 --> 00:30:46.150]   pretty
[00:30:46.150 --> 00:30:46.430]   resilient
[00:30:46.430 --> 00:30:46.580]   they
[00:30:46.580 --> 00:30:46.640]  're
[00:30:46.640 --> 00:30:47.060]  ,
[00:30:47.060 --> 00:30:47.100]   gonna
[00:30:47.100 --> 00:30:47.370]   bounce
[00:30:47.370 --> 00:30:47.460]  ,
[00:30:47.460 --> 00:30:47.650]   they
[00:30:47.650 --> 00:30:47.790]  're
[00:30:47.790 --> 00:30:48.020]   gonna
[00:30:48.020 --> 00:30:48.160]   hit
[00:30:48.160 --> 00:30:48.390]   their
[00:30:48.390 --> 00:30:48.580]   head
[00:30:48.580 --> 00:30:48.670]  ,
[00:30:48.670 --> 00:30:48.780]   they
[00:30:48.780 --> 00:30:48.880]  're
[00:30:48.880 --> 00:30:49.170]   gonna
[00:30:49.170 --> 00:30:49.520]   cry
[00:30:49.520 --> 00:30:49.560]   they
[00:30:49.560 --> 00:30:49.720]  're
[00:30:49.720 --> 00:30:49.790]  ,
[00:30:49.790 --> 00:30:50.020]   gonna
[00:30:50.020 --> 00:30:50.110]   do
[00:30:50.110 --> 00:30:50.300]   this
[00:30:50.300 --> 00:30:50.460]  .
[00:30:50.460 --> 00:30:50.580]   But
[00:30:50.580 --> 00:30:50.670]   at
[00:30:50.670 --> 00:30:50.810]   the
[00:30:50.810 --> 00:30:50.960]   end
[00:30:50.960 --> 00:30:51.030]   of
[00:30:51.030 --> 00:30:51.190]   the
[00:30:51.190 --> 00:30:51.320]   day
[00:30:51.320 --> 00:30:51.460]   you
[00:30:51.460 --> 00:30:51.690]   need
[00:30:51.690 --> 00:30:51.700]   '
[00:30:51.700 --> 00:30:51.780]  em
[00:30:51.780 --> 00:30:51.870]   to
[00:30:51.870 --> 00:30:52.330]   learn
[00:30:52.330 --> 00:30:52.560]   those
[00:30:52.560 --> 00:30:52.660]   lessons
[00:30:52.660 --> 00:30:52.700]   '
[00:30:52.700 --> 00:30:52.930]  cause
[00:30:52.930 --> 00:30:53.120]   then
[00:30:53.120 --> 00:30:53.310]   they
[00:30:53.310 --> 00:30:53.460]  'll
[00:30:53.460 --> 00:30:53.690]   soft
[00:30:53.690 --> 00:30:53.970]   protect
[00:30:53.970 --> 00:30:54.010]   a
[00:30:54.010 --> 00:30:54.310]   little
[00:30:54.310 --> 00:30:54.600]   better
[00:30:54.600 --> 00:30:54.710]  .
[00:30:54.710 --> 00:30:54.750]   I
[00:30:54.750 --> 00:30:54.880]   don
[00:30:54.880 --> 00:30:54.970]  't
[00:30:54.970 --> 00:30:55.260]   know
[00:30:55.260 --> 00:30:55.270]   if
[00:30:55.270 --> 00:30:55.450]   that
[00:30:55.450 --> 00:30:55.540]  's
[00:30:55.540 --> 00:30:56.200]   their [SPEAKER_TURN]
[00:30:56.200 --> 00:31:00.090]   Yeah
[00:31:00.090 --> 00:31:02.680]  . [SPEAKER_TURN]
[00:31:02.680 --> 00:31:03.540]   Yeah
[00:31:03.540 --> 00:31:03.900]   no
[00:31:03.900 --> 00:31:04.500]   you
[00:31:04.500 --> 00:31:05.210]  ,
[00:31:05.210 --> 00:31:05.520]   can
[00:31:05.520 --> 00:31:05.920]  't
[00:31:05.920 --> 00:31:06.730]   let
[00:31:06.730 --> 00:31:07.580]   that
[00:31:07.580 --> 00:31:08.560]   happen
[00:31:08.560 --> 00:31:10.860]  . [SPEAKER_TURN]
[00:31:11.160 --> 00:31:11.230]  
[00:31:11.230 --> 00:31:11.320]   on
[00:31:11.320 --> 00:31:11.400]   a
[00:31:11.400 --> 00:31:11.720]   wood
[00:31:11.720 --> 00:31:12.120]   floor
[00:31:12.120 --> 00:31:12.550]   right
[00:31:12.550 --> 00:31:13.000]  ,
[00:31:13.000 --> 00:31:13.000]   That
[00:31:13.000 --> 00:31:13.240]  .
[00:31:13.240 --> 00:31:13.640]   sucks
[00:31:13.640 --> 00:31:14.060]  .
[00:31:14.060 --> 00:31:14.120]   But
[00:31:14.120 --> 00:31:14.600]   anyway
[00:31:14.600 --> 00:31:14.760]   so
[00:31:14.760 --> 00:31:14.980]  ,
[00:31:14.980 --> 00:31:15.250]   that
[00:31:15.250 --> 00:31:15.400]  's
[00:31:15.400 --> 00:31:15.720]   like
[00:31:15.720 --> 00:31:15.800]   a
[00:31:15.800 --> 00:31:16.040]   lot
[00:31:16.040 --> 00:31:16.230]   of
[00:31:16.230 --> 00:31:16.360]   my
[00:31:16.360 --> 00:31:16.700]   life
[00:31:16.700 --> 00:31:16.840]  's
[00:31:16.840 --> 00:31:17.240]   about
[00:31:17.240 --> 00:31:17.560]   that
[00:31:17.560 --> 00:31:17.890]   plus
[00:31:17.890 --> 00:31:18.200]   also
[00:31:18.200 --> 00:31:18.360]   we
[00:31:18.360 --> 00:31:19.080]   still
[00:31:19.080 --> 00:31:19.090]   have
[00:31:19.090 --> 00:31:19.320]   the
[00:31:19.320 --> 00:31:19.720]   sleep
[00:31:19.720 --> 00:31:20.200]   issues
[00:31:20.200 --> 00:31:20.360]   so
[00:31:20.360 --> 00:31:20.580]  ,
[00:31:20.580 --> 00:31:20.930]   every
[00:31:20.930 --> 00:31:21.370]   three
[00:31:21.370 --> 00:31:21.720]   hours
[00:31:21.720 --> 00:31:21.880]   we
[00:31:21.880 --> 00:31:22.200]   wake
[00:31:22.200 --> 00:31:22.360]   up
[00:31:22.360 --> 00:31:22.600]   and
[00:31:22.600 --> 00:31:22.760]   we
[00:31:22.760 --> 00:31:22.920]   go
[00:31:22.920 --> 00:31:23.480]   through
[00:31:23.480 --> 00:31:23.560]   a
[00:31:23.560 --> 00:31:24.120]   routine
[00:31:24.120 --> 00:31:24.280]   of
[00:31:24.280 --> 00:31:25.050]   like
[00:31:25.050 --> 00:31:25.200]   getting
[00:31:25.200 --> 00:31:25.400]   him
[00:31:25.400 --> 00:31:25.770]   back
[00:31:25.770 --> 00:31:25.880]   to
[00:31:25.880 --> 00:31:26.280]   sleep
[00:31:26.280 --> 00:31:26.680]  .
[00:31:26.680 --> 00:31:26.930]   So
[00:31:26.930 --> 00:31:27.080]   there
[00:31:27.080 --> 00:31:27.240]  's
[00:31:27.240 --> 00:31:27.560]   that
[00:31:27.560 --> 00:31:27.720]   Um
[00:31:27.720 --> 00:31:27.960]  .
[00:31:27.960 --> 00:31:28.040]   I
[00:31:28.040 --> 00:31:28.210]  'm
[00:31:28.210 --> 00:31:28.760]   working
[00:31:28.760 --> 00:31:28.920]   on
[00:31:28.920 --> 00:31:29.080]   my
[00:31:29.080 --> 00:31:29.560]   secret
[00:31:29.560 --> 00:31:30.120]   project
[00:31:30.120 --> 00:31:30.540]   which
[00:31:30.540 --> 00:31:30.600]   I
[00:31:30.600 --> 00:31:30.760]  'm
[00:31:30.760 --> 00:31:30.920]   in
[00:31:30.920 --> 00:31:31.560]   love
[00:31:31.560 --> 00:31:31.560]   with
[00:31:31.560 --> 00:31:31.950]   um
[00:31:31.950 --> 00:31:31.960]   and
[00:31:31.960 --> 00:31:32.200]   you
[00:31:32.200 --> 00:31:32.540]   know
[00:31:32.540 --> 00:31:32.760]   all
[00:31:32.760 --> 00:31:33.140]   about
[00:31:33.140 --> 00:31:33.360]   my
[00:31:33.360 --> 00:31:33.800]   secret
[00:31:33.800 --> 00:31:34.360]   project
[00:31:34.360 --> 00:31:34.760]   which
[00:31:34.760 --> 00:31:34.990]   is
[00:31:34.990 --> 00:31:35.240]   good
[00:31:35.240 --> 00:31:35.480]   and
[00:31:35.480 --> 00:31:35.860]   you
[00:31:35.860 --> 00:31:36.120]   think
[00:31:36.120 --> 00:31:36.600]   it
[00:31:36.600 --> 00:31:36.750]   that
[00:31:36.750 --> 00:31:36.760]   it
[00:31:36.760 --> 00:31:36.920]  's
[00:31:36.920 --> 00:31:37.320]   kinda
[00:31:37.320 --> 00:31:38.040]   cool
[00:31:38.040 --> 00:31:38.040]   which
[00:31:38.040 --> 00:31:38.330]  ,
[00:31:38.330 --> 00:31:38.360]   is
[00:31:38.360 --> 00:31:38.680]   nice
[00:31:38.680 --> 00:31:38.910]   and
[00:31:38.910 --> 00:31:38.920]  ,
[00:31:38.920 --> 00:31:39.580]   the
[00:31:39.580 --> 00:31:39.640]   name
[00:31:39.640 --> 00:31:39.880]   for
[00:31:39.880 --> 00:31:40.040]   it
[00:31:40.040 --> 00:31:40.200]   is
[00:31:40.200 --> 00:31:40.600]   taken
[00:31:40.600 --> 00:31:41.160]   in
[00:31:41.160 --> 00:31:41.160]  
[00:31:41.160 --> 00:31:41.350]   the
[00:31:41.350 --> 00:31:41.540]   app
[00:31:41.540 --> 00:31:41.910]   store
[00:31:41.910 --> 00:31:41.970]   so
[00:31:41.970 --> 00:31:42.030]   I
[00:31:42.030 --> 00:31:42.220]  'm
[00:31:42.220 --> 00:31:42.530]   trying
[00:31:42.530 --> 00:31:42.650]   to
[00:31:42.650 --> 00:31:43.030]   work
[00:31:43.030 --> 00:31:43.090]   out
[00:31:43.090 --> 00:31:43.340]   like
[00:31:43.340 --> 00:31:43.580]   how
[00:31:43.580 --> 00:31:43.720]   to
[00:31:43.720 --> 00:31:43.880]   uh
[00:31:43.880 --> 00:31:44.040]   it
[00:31:44.040 --> 00:31:44.200]   is
[00:31:44.200 --> 00:31:44.600]   a
[00:31:44.600 --> 00:31:44.750]   good
[00:31:44.750 --> 00:31:44.920]   name
[00:31:44.920 --> 00:31:45.240]   that
[00:31:45.240 --> 00:31:45.480]   you
[00:31:45.480 --> 00:31:46.050]   thought
[00:31:46.050 --> 00:31:46.210]   of
[00:31:46.210 --> 00:31:46.690]   thanks
[00:31:46.690 --> 00:31:46.890]  ,
[00:31:46.890 --> 00:31:47.330]   So
[00:31:47.330 --> 00:31:47.490]   trying
[00:31:47.490 --> 00:31:47.650]   to
[00:31:47.650 --> 00:31:47.970]   work
[00:31:47.970 --> 00:31:48.210]   out
[00:31:48.210 --> 00:31:48.450]   how
[00:31:48.450 --> 00:31:48.610]   to
[00:31:48.610 --> 00:31:49.130]   uh
[00:31:49.130 --> 00:31:49.310]   how
[00:31:49.310 --> 00:31:49.370]   to
[00:31:49.370 --> 00:31:50.030]   deal
[00:31:50.030 --> 00:31:50.040]   with
[00:31:50.040 --> 00:31:50.390]   that
[00:31:50.390 --> 00:31:50.660]  .
[00:31:50.660 --> 00:31:50.720]   I
[00:31:50.720 --> 00:31:50.890]  'm
[00:31:50.890 --> 00:31:51.110]   just
[00:31:51.110 --> 00:31:51.570]   putting
[00:31:51.570 --> 00:31:51.630]   a
[00:31:51.630 --> 00:31:51.690]   p
[00:31:51.690 --> 00:31:51.750]   a
[00:31:51.750 --> 00:31:52.140]   period
[00:31:52.140 --> 00:31:52.470]   after
[00:31:52.470 --> 00:31:52.670]   the
[00:31:52.670 --> 00:31:52.750]   name
[00:31:52.750 --> 00:31:53.090]   for
[00:31:53.090 --> 00:31:53.530]   the
[00:31:53.530 --> 00:31:53.720]   moment
[00:31:53.720 --> 00:31:53.920]   you
[00:31:53.920 --> 00:31:54.050]  ,
[00:31:54.050 --> 00:31:54.500]   know
[00:31:54.500 --> 00:31:54.500]  .
[00:31:54.500 --> 00:31:54.780]   So
[00:31:54.780 --> 00:31:54.890]   like
[00:31:54.890 --> 00:31:55.140]   the
[00:31:55.140 --> 00:31:55.350]   word
[00:31:55.350 --> 00:31:55.930]   period
[00:31:55.930 --> 00:31:56.100]  .
[00:31:56.100 --> 00:31:56.390]   Because
[00:31:56.390 --> 00:31:56.650]   it
[00:31:56.650 --> 00:31:56.870]  's
[00:31:56.870 --> 00:31:56.980]   taken
[00:31:56.980 --> 00:31:57.310]   in
[00:31:57.310 --> 00:31:57.310]   the
[00:31:57.310 --> 00:31:57.770]   app
[00:31:57.770 --> 00:31:57.880]   store
[00:31:57.880 --> 00:31:58.030]  .
[00:31:58.030 --> 00:31:58.490]   Someone
[00:31:58.490 --> 00:31:58.620]  's
[00:31:58.620 --> 00:31:58.770]   te
[00:31:58.770 --> 00:31:59.210]   someone
[00:31:59.210 --> 00:31:59.410]   who
[00:31:59.410 --> 00:31:59.610]  's
[00:31:59.610 --> 00:31:59.800]   like
[00:31:59.800 --> 00:31:59.990]   tha
[00:31:59.990 --> 00:32:00.050]   the
[00:32:00.050 --> 00:32:00.540]   app
[00:32:00.540 --> 00:32:00.750]   store
[00:32:00.750 --> 00:32:00.930]   has
[00:32:00.930 --> 00:32:01.190]   this
[00:32:01.190 --> 00:32:01.650]   problem
[00:32:01.650 --> 00:32:01.830]   it
[00:32:01.830 --> 00:32:01.910]  's
[00:32:01.910 --> 00:32:02.050]  ,
[00:32:02.050 --> 00:32:02.370]   super
[00:32:02.370 --> 00:32:02.630]   easy
[00:32:02.630 --> 00:32:02.810]   to
[00:32:02.810 --> 00:32:03.050]   just
[00:32:03.050 --> 00:32:03.270]   like
[00:32:03.270 --> 00:32:03.420]   to
[00:32:03.420 --> 00:32:03.800]   to
[00:32:03.800 --> 00:32:03.850]   just
[00:32:03.850 --> 00:32:03.860]   n
[00:32:03.860 --> 00:32:04.190]   not
[00:32:04.190 --> 00:32:04.200]   bu
[00:32:04.200 --> 00:32:04.450]   much
[00:32:04.450 --> 00:32:04.710]   just
[00:32:04.710 --> 00:32:04.840]   to
[00:32:04.840 --> 00:32:05.180]   just
[00:32:05.180 --> 00:32:05.430]   start
[00:32:05.430 --> 00:32:05.690]   with
[00:32:05.690 --> 00:32:05.820]   an
[00:32:05.820 --> 00:32:06.020]   app
[00:32:06.020 --> 00:32:06.220]   and
[00:32:06.220 --> 00:32:06.480]   then
[00:32:06.480 --> 00:32:06.870]   upload
[00:32:06.870 --> 00:32:07.540]   something
[00:32:07.540 --> 00:32:07.590]   to
[00:32:07.590 --> 00:32:07.720]   it
[00:32:07.720 --> 00:32:08.070]   which
[00:32:08.070 --> 00:32:08.250]   you
[00:32:08.250 --> 00:32:08.580]   never
[00:32:08.580 --> 00:32:09.040]   release
[00:32:09.040 --> 00:32:10.120]  . [SPEAKER_TURN]
[00:32:10.440 --> 00:32:10.470]   How
[00:32:10.470 --> 00:32:10.550]   long
[00:32:10.550 --> 00:32:10.620]   ago
[00:32:10.620 --> 00:32:10.770]   was
[00:32:10.770 --> 00:32:10.910]   it
[00:32:10.910 --> 00:32:11.120]   taken
[00:32:11.120 --> 00:32:11.700]  ? [SPEAKER_TURN]
[00:32:11.700 --> 00:32:12.210]   That
[00:32:12.210 --> 00:32:13.010]   information
[00:32:13.010 --> 00:32:13.180]  's
[00:32:13.180 --> 00:32:13.440]   all
[00:32:13.440 --> 00:32:14.220]   hidden
[00:32:14.220 --> 00:32:14.380]  .
[00:32:14.380 --> 00:32:14.580]   Yeah
[00:32:14.580 --> 00:32:14.920]   yeah
[00:32:14.920 --> 00:32:15.820]  , [SPEAKER_TURN]
[00:32:32.320 --> 00:32:32.420]  
[00:32:32.420 --> 00:32:32.470]   So
[00:32:32.470 --> 00:32:32.520]   I
[00:32:32.520 --> 00:32:32.670]   just
[00:32:32.670 --> 00:32:32.810]   put
[00:32:32.810 --> 00:32:32.920]   a
[00:32:32.920 --> 00:32:33.170]   period
[00:32:33.170 --> 00:32:33.270]   in
[00:32:33.270 --> 00:32:33.410]   the
[00:32:33.410 --> 00:32:33.620]   name
[00:32:33.620 --> 00:32:33.990]  .
[00:32:33.990 --> 00:32:33.990]   And
[00:32:33.990 --> 00:32:34.100]   so
[00:32:34.100 --> 00:32:34.230]   it
[00:32:34.230 --> 00:32:34.730]   looks
[00:32:34.730 --> 00:32:34.750]   the
[00:32:34.750 --> 00:32:35.170]   same
[00:32:35.170 --> 00:32:35.230]  .
[00:32:35.230 --> 00:32:35.290]   It
[00:32:35.290 --> 00:32:35.480]  's
[00:32:35.480 --> 00:32:35.700]   just
[00:32:35.700 --> 00:32:36.290]   irritating
[00:32:36.290 --> 00:32:36.410]  ,
[00:32:36.410 --> 00:32:36.840]   it
[00:32:36.840 --> 00:32:36.900]   looks
[00:32:36.900 --> 00:32:37.120]   like
[00:32:37.120 --> 00:32:37.160]   a
[00:32:37.160 --> 00:32:37.530]   little
[00:32:37.530 --> 00:32:37.970]   mistake
[00:32:37.970 --> 00:32:38.030]   '
[00:32:38.030 --> 00:32:38.340]  cause
[00:32:38.340 --> 00:32:38.510]   it
[00:32:38.510 --> 00:32:38.580]  's
[00:32:38.580 --> 00:32:38.950]   like
[00:32:38.950 --> 00:32:39.020]   it
[00:32:39.020 --> 00:32:39.070]  's
[00:32:39.070 --> 00:32:39.210]   it
[00:32:39.210 --> 00:32:39.480]  's
[00:32:39.480 --> 00:32:39.560]   kind
[00:32:39.560 --> 00:32:39.700]   of
[00:32:39.700 --> 00:32:39.930]   like
[00:32:39.930 --> 00:32:40.060]   on
[00:32:40.060 --> 00:32:40.240]   the
[00:32:40.240 --> 00:32:40.430]   app
[00:32:40.430 --> 00:32:40.810]   screen
[00:32:40.810 --> 00:32:41.070]   and
[00:32:41.070 --> 00:32:41.120]   it
[00:32:41.120 --> 00:32:41.310]   has
[00:32:41.310 --> 00:32:41.560]   this
[00:32:41.560 --> 00:32:42.000]   little
[00:32:42.000 --> 00:32:42.320]   period
[00:32:42.320 --> 00:32:42.630]   there
[00:32:42.630 --> 00:32:42.750]   in
[00:32:42.750 --> 00:32:42.970]   the
[00:32:42.970 --> 00:32:43.190]   name
[00:32:43.190 --> 00:32:43.410]   so
[00:32:43.410 --> 00:32:43.430]   it
[00:32:43.430 --> 00:32:43.550]  's
[00:32:43.550 --> 00:32:43.800]   like
[00:32:43.800 --> 00:32:43.920]   oh
[00:32:43.920 --> 00:32:44.110]   But
[00:32:44.110 --> 00:32:44.300]  .
[00:32:44.300 --> 00:32:44.360]   I
[00:32:44.360 --> 00:32:44.610]   mean
[00:32:44.610 --> 00:32:44.730]   ma
[00:32:44.730 --> 00:32:45.140]   you
[00:32:45.140 --> 00:32:45.170]   know
[00:32:45.170 --> 00:32:45.230]   I
[00:32:45.230 --> 00:32:45.290]   I
[00:32:45.290 --> 00:32:45.480]  've
[00:32:45.480 --> 00:32:45.920]   applied
[00:32:45.920 --> 00:32:46.110]   for
[00:32:46.110 --> 00:32:46.300]   the
[00:32:46.300 --> 00:32:46.870]   copyright
[00:32:46.870 --> 00:32:46.990]   So
[00:32:46.990 --> 00:32:47.180]  .
[00:32:47.180 --> 00:32:47.310]   if
[00:32:47.310 --> 00:32:47.360]   I
[00:32:47.360 --> 00:32:47.550]   get
[00:32:47.550 --> 00:32:47.740]   the
[00:32:47.740 --> 00:32:48.310]   copyright
[00:32:48.310 --> 00:32:48.430]  ,
[00:32:48.430 --> 00:32:48.710]   then
[00:32:48.710 --> 00:32:49.370]   apparently
[00:32:49.370 --> 00:32:49.370]   I
[00:32:49.370 --> 00:32:49.710]   can
[00:32:49.710 --> 00:32:49.940]   submit
[00:32:49.940 --> 00:32:50.190]   that
[00:32:50.190 --> 00:32:50.310]   to
[00:32:50.310 --> 00:32:50.500]   the
[00:32:50.500 --> 00:32:50.690]   app
[00:32:50.690 --> 00:32:51.140]   s
[00:32:51.140 --> 00:32:51.320]   trademark
[00:32:51.320 --> 00:32:51.510]   Yep
[00:32:51.510 --> 00:32:51.700]  .
[00:32:51.700 --> 00:32:51.820]   So
[00:32:51.820 --> 00:32:52.010]  .
[00:32:52.010 --> 00:32:52.070]   I
[00:32:52.070 --> 00:32:52.250]   can
[00:32:52.250 --> 00:32:52.890]   submit
[00:32:52.890 --> 00:32:52.900]   that
[00:32:52.900 --> 00:32:53.010]   to
[00:32:53.010 --> 00:32:53.310]   the
[00:32:53.310 --> 00:32:53.390]   app
[00:32:53.390 --> 00:32:53.720]   store
[00:32:53.720 --> 00:32:54.000]   and
[00:32:54.000 --> 00:32:54.140]   then
[00:32:54.140 --> 00:32:54.330]   say
[00:32:54.330 --> 00:32:54.640]   okay
[00:32:54.640 --> 00:32:54.700]  ,
[00:32:54.700 --> 00:32:54.760]   I
