
[00:00:00.000 --> 00:00:00.020]  
[00:00:00.020 --> 00:00:01.440]   All
[00:21:13.380 --> 00:21:13.610]   let
[00:21:13.610 --> 00:21:13.710]  's
[00:21:13.710 --> 00:21:13.980]   talk
[00:21:13.980 --> 00:21:14.310]   about
[00:21:14.310 --> 00:21:14.580]   that
[00:21:14.580 --> 00:21:14.860]   okay
[00:21:14.860 --> 00:21:15.050]  .
[00:21:15.050 --> 00:21:15.180]   Um
[00:21:15.180 --> 00:21:15.600]   you
[00:21:15.600 --> 00:21:15.650]   know
[00:21:15.650 --> 00:21:15.710]   I
[00:21:15.710 --> 00:21:15.840]  'm
[00:21:15.840 --> 00:21:17.080]   not
[00:21:17.080 --> 00:21:17.400]   look
[00:21:18.440 --> 00:21:18.490]  
[00:21:18.490 --> 00:21:18.640]   Hmm
[00:21:18.640 --> 00:21:19.030]   Here
[00:21:19.030 --> 00:21:19.190]  's
[00:21:19.190 --> 00:21:19.230]  .
[00:21:19.230 --> 00:21:19.540]   a
[00:21:19.540 --> 00:21:19.620]   thing
[00:21:19.620 --> 00:21:19.780]  ,
[00:21:19.780 --> 00:21:20.080]   right
[00:21:20.080 --> 00:21:20.300]  .
[00:21:20.300 --> 00:21:20.340]   I
[00:21:20.340 --> 00:21:20.600]   mean
[00:21:20.600 --> 00:21:20.800]   the
[00:21:20.800 --> 00:21:21.130]   think
[00:21:21.130 --> 00:21:21.330]   you
[00:21:21.330 --> 00:21:21.390]   s
[00:21:21.390 --> 00:21:21.590]   you
[00:21:21.590 --> 00:21:21.790]  've
[00:21:21.790 --> 00:21:22.050]   told
[00:21:22.050 --> 00:21:22.180]   me
[00:21:22.180 --> 00:21:22.640]   this
[00:21:22.640 --> 00:21:22.660]   guy
[00:21:22.660 --> 00:21:22.770]  's
[00:21:22.770 --> 00:21:22.830]   a
[00:21:22.830 --> 00:21:23.350]   real
[00:21:23.350 --> 00:21:23.360]   high
[00:21:23.360 --> 00:21:23.680]   power
[00:21:23.680 --> 00:21:23.880]   guy
[00:21:23.880 --> 00:21:24.050]  ,
[00:21:24.050 --> 00:21:24.340]   right
[00:21:24.340 --> 00:21:24.540]  ?
[00:21:24.540 --> 00:21:24.600]   I
[00:21:24.600 --> 00:21:24.800]   don
[00:21:24.800 --> 00:21:25.070]  't
[00:21:25.070 --> 00:21:25.190]   know
[00:21:25.190 --> 00:21:25.390]   NBA
[00:21:25.390 --> 00:21:25.520]  ,
[00:21:25.520 --> 00:21:25.780]   from
[00:21:25.780 --> 00:21:26.260]   Harvard
[00:21:26.260 --> 00:21:26.510]   blah
[00:21:26.510 --> 00:21:26.770]   blah
[00:21:26.770 --> 00:21:27.030]   blah
[00:21:27.030 --> 00:21:27.220]  ,
[00:21:27.220 --> 00:21:27.490]   right
[00:21:27.490 --> 00:21:27.620]   He
[00:21:27.620 --> 00:21:27.780]  's
[00:21:27.780 --> 00:21:27.950]  .
[00:21:27.950 --> 00:21:28.210]   like
[00:21:28.210 --> 00:21:28.270]   a
[00:21:28.270 --> 00:21:28.530]   real
[00:21:28.530 --> 00:21:28.850]   smart
[00:21:28.850 --> 00:21:28.990]  ,
[00:21:28.990 --> 00:21:29.320]   super
[00:21:29.320 --> 00:21:29.380]   I
[00:21:29.380 --> 00:21:29.580]  .
[00:21:29.580 --> 00:21:29.840]   yeah
[00:21:29.840 --> 00:21:30.010]  ,
[00:21:30.010 --> 00:21:30.030]   I
[00:21:30.030 --> 00:21:30.290]   mean
[00:21:30.290 --> 00:21:30.410]   he
[00:21:30.410 --> 00:21:30.540]  's
[00:21:30.540 --> 00:21:30.870]   got
[00:21:30.870 --> 00:21:30.880]   he
[00:21:30.880 --> 00:21:31.010]  's
[00:21:31.010 --> 00:21:31.210]   got
[00:21:31.210 --> 00:21:31.410]   the
[00:21:31.410 --> 00:21:31.880]   awesome
[00:21:31.880 --> 00:21:32.330]   resume
[00:21:32.330 --> 00:21:32.410]  ,
[00:21:32.410 --> 00:21:32.750]   right
[00:21:32.750 --> 00:21:33.060]   Right
[00:21:33.060 --> 00:21:33.310]  .
[00:21:33.310 --> 00:21:33.330]   I
[00:21:33.330 --> 00:21:33.590]   mean
[00:21:33.590 --> 00:21:33.720]   he
[00:21:33.720 --> 00:21:33.850]  's
[00:21:33.850 --> 00:21:34.210]   got
[00:21:34.210 --> 00:21:34.250]   the
[00:21:34.250 --> 00:21:34.720]   awesome
[00:21:34.720 --> 00:21:35.120]   resume
[00:21:35.120 --> 00:21:35.240]   he
[00:21:35.240 --> 00:21:35.370]  's
[00:21:35.370 --> 00:21:35.640]   he
[00:21:35.640 --> 00:21:35.720]  's
[00:21:35.720 --> 00:21:35.840]   got
[00:21:35.840 --> 00:21:36.570]   connections
[00:21:36.570 --> 00:21:36.630]   I
[00:21:36.630 --> 00:21:37.150]   mean
[00:21:37.150 --> 00:21:37.360]   what
[00:21:37.360 --> 00:21:37.410]   does
[00:21:37.410 --> 00:21:37.540]   he
[00:21:37.540 --> 00:21:37.800]   need
[00:21:37.800 --> 00:21:38.000]   you
[00:21:38.000 --> 00:21:38.130]   to
[00:21:38.130 --> 00:21:38.520]   build
[00:21:38.520 --> 00:21:38.550]   a
[00:21:38.550 --> 00:21:38.850]   start
[00:21:38.850 --> 00:21:38.910]  -
[00:21:38.910 --> 00:21:39.040]  up
[00:21:39.040 --> 00:21:39.240]   for
[00:21:39.240 --> 00:21:39.440]   him
[00:21:39.440 --> 00:21:39.570]   to
[00:21:39.570 --> 00:21:39.830]   have
[00:21:39.830 --> 00:21:40.660]   something
[00:21:40.660 --> 00:21:41.160]   interesting
[00:21:41.160 --> 00:21:41.230]   to
[00:21:41.230 --> 00:21:41.550]   do
[00:21:41.550 --> 00:21:41.580]  ,
[00:21:41.580 --> 00:21:41.880]   right
[00:21:41.880 --> 00:21:42.070]  .
[00:21:42.070 --> 00:21:42.400]   I
[00:21:42.400 --> 00:21:42.450]   mean
[00:21:42.450 --> 00:21:42.530]   he
[00:21:42.530 --> 00:21:42.730]   has
[00:21:42.730 --> 00:21:43.260]   probably
[00:21:43.260 --> 00:21:43.740]   any
[00:21:43.740 --> 00:21:43.860]   number
[00:21:43.860 --> 00:21:43.990]   of
[00:21:43.990 --> 00:21:44.250]   very
[00:21:44.250 --> 00:21:45.000]   interesting
[00:21:45.000 --> 00:21:45.580]   lucrative
[00:21:45.580 --> 00:21:46.250]   options
[00:21:46.250 --> 00:21:46.290]  .
[00:21:46.290 --> 00:21:46.380]   So
[00:21:46.380 --> 00:21:46.580]   you
[00:21:46.580 --> 00:21:46.780]   don
[00:21:46.780 --> 00:21:46.910]  't
[00:21:46.910 --> 00:21:47.170]   have
[00:21:47.170 --> 00:21:47.300]   to
[00:21:47.300 --> 00:21:48.440]   provide
[00:21:48.440 --> 00:21:48.880]  
[00:21:48.880 --> 00:21:48.960]   with
[00:21:48.960 --> 00:21:49.120]   uh
[00:21:49.120 --> 00:21:49.800]   a
[00:21:49.800 --> 00:21:50.130]   living
[00:21:50.130 --> 00:21:50.550]  .
[00:21:50.550 --> 00:21:50.660]   And
[00:21:50.660 --> 00:21:50.750]   it
[00:21:50.750 --> 00:21:50.810]  's
[00:21:50.810 --> 00:21:50.980]   not
[00:21:50.980 --> 00:21:51.090]   like
[00:21:51.090 --> 00:21:51.170]   he
[00:21:51.170 --> 00:21:51.250]  's
[00:21:51.250 --> 00:21:51.400]   your
[00:21:51.400 --> 00:21:51.610]   buddy
[00:21:51.610 --> 00:21:51.750]   that
[00:21:51.750 --> 00:21:51.870]   you
[00:21:51.870 --> 00:21:52.060]   guys
[00:21:52.060 --> 00:21:52.190]   grow
[00:21:52.190 --> 00:21:52.330]   up
[00:21:52.330 --> 00:21:52.580]   together
[00:21:52.580 --> 00:21:52.700]   and
[00:21:52.700 --> 00:21:52.820]   you
[00:21:52.820 --> 00:21:52.980]   guys
[00:21:52.980 --> 00:21:53.140]   hang
[00:21:53.140 --> 00:21:53.300]   out
[00:21:53.300 --> 00:21:53.380]   all
[00:21:53.380 --> 00:21:53.500]   day
[00:21:53.500 --> 00:21:53.660]   long
[00:21:53.660 --> 00:21:53.780]   and
[00:21:53.780 --> 00:21:53.870]   it
[00:21:53.870 --> 00:21:53.930]  's
[00:21:53.930 --> 00:21:54.090]   just
[00:21:54.090 --> 00:21:54.440]   something
[00:21:54.440 --> 00:21:54.560]   you
[00:21:54.560 --> 00:21:54.750]   wanna
[00:21:54.750 --> 00:21:54.830]   do
[00:21:54.830 --> 00:21:55.160]   together
[00:21:55.160 --> 00:21:55.340]  .
[00:21:55.340 --> 00:21:55.470]   He
[00:21:55.470 --> 00:21:55.640]  's
[00:21:55.640 --> 00:21:55.660]   a
[00:21:55.660 --> 00:21:55.860]   guy
[00:21:55.860 --> 00:21:56.060]   who
[00:21:56.060 --> 00:21:56.280]   you
[00:21:56.280 --> 00:21:56.530]   like
[00:21:56.530 --> 00:21:56.730]   and
[00:21:56.730 --> 00:21:57.210]   respect
[00:21:57.210 --> 00:21:57.410]   and
[00:21:57.410 --> 00:21:57.610]   and
[00:21:57.610 --> 00:21:57.850]   and
[00:21:57.850 --> 00:21:58.010]   you
[00:21:58.010 --> 00:21:58.350]   spend
[00:21:58.350 --> 00:21:58.640]   some
[00:21:58.640 --> 00:21:58.890]   time
[00:21:58.890 --> 00:21:59.160]   with
[00:21:59.160 --> 00:21:59.360]   and
[00:21:59.360 --> 00:21:59.630]   that
[00:21:59.630 --> 00:21:59.830]   you
[00:21:59.830 --> 00:21:59.900]   d
[00:21:59.900 --> 00:22:00.360]   you
[00:22:00.360 --> 00:22:00.380]   know
[00:22:00.380 --> 00:22:00.630]   find
[00:22:00.630 --> 00:22:01.170]   valuable
[00:22:01.170 --> 00:22:01.510]  .
[00:22:01.510 --> 00:22:01.910]   But
[00:22:01.910 --> 00:22:02.760]   if
[00:22:02.760 --> 00:22:02.960]   you
[00:22:02.960 --> 00:22:03.210]   know
[00:22:03.210 --> 00:22:03.280]   i
[00:22:03.280 --> 00:22:03.410]   if
[00:22:03.410 --> 00:22:03.540]   uh
[00:22:03.540 --> 00:22:03.800]   if
[00:22:03.800 --> 00:22:04.060]   if
[00:22:04.060 --> 00:22:04.090]   what
[00:22:04.090 --> 00:22:04.260]   you
[00:22:04.260 --> 00:22:04.450]  're
[00:22:04.450 --> 00:22:04.980]   doing
[00:22:04.980 --> 00:22:05.110]   right
[00:22:05.110 --> 00:22:05.310]   now
[00:22:05.310 --> 00:22:05.440]  ,
[00:22:05.440 --> 00:22:05.760]   which
[00:22:05.760 --> 00:22:06.100]   is
[00:22:06.100 --> 00:22:06.160]   the
[00:22:06.160 --> 00:22:06.430]   whole
[00:22:06.430 --> 00:22:06.690]   plan
[00:22:06.690 --> 00:22:06.890]   was
[00:22:06.890 --> 00:22:07.020]   to
[00:22:07.020 --> 00:22:07.150]   go
[00:22:07.150 --> 00:22:07.280]   to
[00:22:07.280 --> 00:22:07.780]   venture
[00:22:07.780 --> 00:22:07.940]   and
[00:22:07.940 --> 00:22:08.200]   fund
[00:22:08.200 --> 00:22:08.330]  ,
[00:22:08.330 --> 00:22:08.460]   he
[00:22:08.460 --> 00:22:08.790]   doesn
[00:22:08.790 --> 00:22:08.920]  't
[00:22:08.920 --> 00:22:09.260]   work
[00:22:09.260 --> 00:22:09.380]   out
[00:22:09.380 --> 00:22:09.640]  ,
[00:22:09.640 --> 00:22:09.680]   I
[00:22:09.680 --> 00:22:09.950]  'm
[00:22:09.950 --> 00:22:09.980]   just
[00:22:09.980 --> 00:22:10.230]   saying
[00:22:10.230 --> 00:22:10.280]   I
[00:22:10.280 --> 00:22:10.410]   don
[00:22:10.410 --> 00:22:10.500]  't
[00:22:10.500 --> 00:22:10.540]   I
[00:22:10.540 --> 00:22:10.680]   don
[00:22:10.680 --> 00:22:10.770]  't
[00:22:10.770 --> 00:22:10.950]   know
[00:22:10.950 --> 00:22:10.990]   I
[00:22:10.990 --> 00:22:11.130]  .
[00:22:11.130 --> 00:22:11.270]   don
[00:22:11.270 --> 00:22:11.360]  't
[00:22:11.360 --> 00:22:11.870]   necessarily
[00:22:11.870 --> 00:22:12.100]   think
[00:22:12.100 --> 00:22:12.310]   that
[00:22:12.310 --> 00:22:12.420]   you
[00:22:12.420 --> 00:22:12.700]   should
[00:22:12.700 --> 00:22:12.900]   have
[00:22:12.900 --> 00:22:12.970]   to
[00:22:12.970 --> 00:22:13.200]   worry
[00:22:13.200 --> 00:22:13.430]   about
[00:22:13.430 --> 00:22:13.770]   whether
[00:22:13.770 --> 00:22:13.840]   he
[00:22:13.840 --> 00:22:14.040]   has
[00:22:14.040 --> 00:22:14.400]   something
[00:22:14.400 --> 00:22:14.480]   to
[00:22:14.480 --> 00:22:14.580]   do
[00:22:14.580 --> 00:22:15.220]  . [SPEAKER_TURN]
[00:22:15.600 --> 00:22:15.640]  
[00:22:15.640 --> 00:22:15.810]   Okay
[00:22:15.810 --> 00:22:15.910]  ,
[00:22:15.910 --> 00:22:16.120]   that
[00:22:16.120 --> 00:22:16.220]  's
[00:22:16.220 --> 00:22:16.320]   so
[00:22:16.320 --> 00:22:16.530]   that
[00:22:16.530 --> 00:22:16.630]  's
[00:22:16.630 --> 00:22:16.790]   one
[00:22:16.790 --> 00:22:17.100]   thing
[00:22:17.100 --> 00:22:17.220]  .
[00:22:17.220 --> 00:22:17.310]   Um
[00:22:17.310 --> 00:22:17.510]   and
[00:22:17.510 --> 00:22:17.630]   if
[00:22:17.630 --> 00:22:17.790]   that
[00:22:17.790 --> 00:22:17.890]  's
[00:22:17.890 --> 00:22:18.050]   not
[00:22:18.050 --> 00:22:18.150]   my
[00:22:18.150 --> 00:22:18.200]   m
[00:22:18.200 --> 00:22:18.360]   not
[00:22:18.360 --> 00:22:18.520]   my
[00:22:18.520 --> 00:22:18.670]   main
[00:22:18.670 --> 00:22:19.100]   criteria
[00:22:19.100 --> 00:22:19.330]   for
[00:22:19.330 --> 00:22:19.530]   doing
[00:22:19.530 --> 00:22:19.630]   it
[00:22:19.630 --> 00:22:20.380]  . [SPEAKER_TURN]
[00:22:20.380 --> 00:22:20.560]   I
[00:22:20.560 --> 00:22:20.630]   mean
[00:22:20.630 --> 00:22:20.830]   if
[00:22:20.830 --> 00:22:20.850]   he
[00:22:20.850 --> 00:22:20.980]   was
[00:22:20.980 --> 00:22:21.080]   if
[00:22:21.080 --> 00:22:21.230]   he
[00:22:21.230 --> 00:22:21.330]   was
[00:22:21.330 --> 00:22:21.590]   like
[00:22:21.590 --> 00:22:21.730]   your
[00:22:21.730 --> 00:22:21.930]   your
[00:22:21.930 --> 00:22:21.980]   b
[00:22:21.980 --> 00:22:22.190]   your
[00:22:22.190 --> 00:22:22.280]   b
[00:22:22.280 --> 00:22:22.510]   your
[00:22:22.510 --> 00:22:22.680]   broke
[00:22:22.680 --> 00:22:22.820]  -
[00:22:22.820 --> 00:22:22.880]  ass
[00:22:22.880 --> 00:22:23.270]   brother
[00:22:23.270 --> 00:22:23.380]   who
[00:22:23.380 --> 00:22:23.480]  's
[00:22:23.480 --> 00:22:23.680]   been
[00:22:23.680 --> 00:22:24.190]   unemployed
[00:22:24.190 --> 00:22:24.340]   for
[00:22:24.340 --> 00:22:24.490]   two
[00:22:24.490 --> 00:22:24.740]   years
[00:22:24.740 --> 00:22:24.890]   and
[00:22:24.890 --> 00:22:25.040]   you
[00:22:25.040 --> 00:22:25.240]   guys
[00:22:25.240 --> 00:22:25.390]   are
[00:22:25.390 --> 00:22:25.740]   working
[00:22:25.740 --> 00:22:25.840]   on
[00:22:25.840 --> 00:22:26.060]   this
[00:22:26.060 --> 00:22:26.200]   and
[00:22:26.200 --> 00:22:26.520]   you
[00:22:26.520 --> 00:22:26.540]   feel
[00:22:26.540 --> 00:22:26.740]   like
[00:22:26.740 --> 00:22:27.090]   somehow
[00:22:27.090 --> 00:22:27.490]   obliged
[00:22:27.490 --> 00:22:27.580]   to
[00:22:27.580 --> 00:22:27.740]   like
[00:22:27.740 --> 00:22:28.090]   somehow
[00:22:28.090 --> 00:22:28.140]   p
[00:22:28.140 --> 00:22:28.490]   fight
[00:22:28.490 --> 00:22:28.540]   him
[00:22:28.540 --> 00:22:28.740]   with
[00:22:28.740 --> 00:22:28.790]   a
[00:22:28.790 --> 00:22:29.100]   living
[00:22:29.100 --> 00:22:29.180]  ,
[00:22:29.180 --> 00:22:29.390]   you
[00:22:29.390 --> 00:22:29.530]   know
[00:22:29.530 --> 00:22:29.790]  ,
[00:22:29.790 --> 00:22:30.100]   otherwise
[00:22:30.100 --> 00:22:30.200]   he
[00:22:30.200 --> 00:22:30.320]  's
[00:22:30.320 --> 00:22:30.550]   gonna
[00:22:30.550 --> 00:22:30.750]   end
[00:22:30.750 --> 00:22:30.800]   up
[00:22:30.800 --> 00:22:30.900]   on
[00:22:30.900 --> 00:22:31.050]   the
[00:22:31.050 --> 00:22:31.380]   street
[00:22:31.380 --> 00:22:31.530]  ,
[00:22:31.530 --> 00:22:31.600]   you
[00:22:31.600 --> 00:22:31.800]   know
[00:22:31.800 --> 00:22:31.900]  ,
[00:22:31.900 --> 00:22:32.100]   then
[00:22:32.100 --> 00:22:32.180]   I
[00:22:32.180 --> 00:22:32.250]  'd
[00:22:32.250 --> 00:22:32.400]   say
[00:22:32.400 --> 00:22:32.600]   okay
[00:22:32.600 --> 00:22:32.800]   well
[00:22:32.800 --> 00:22:32.950]   you
[00:22:32.950 --> 00:22:33.140]   know
[00:22:33.140 --> 00:22:33.300]   you
[00:22:33.300 --> 00:22:33.660]   better
[00:22:33.660 --> 00:22:33.800]   help
[00:22:33.800 --> 00:22:33.950]   him
[00:22:33.950 --> 00:22:34.320]   out
[00:22:34.320 --> 00:22:34.460]   somehow
[00:22:34.460 --> 00:22:34.600]  .
[00:22:34.600 --> 00:22:34.750]   But
[00:22:34.750 --> 00:22:34.950]   this
[00:22:34.950 --> 00:22:35.100]   guy
[00:22:35.100 --> 00:22:35.300]   does
[00:22:35.300 --> 00:22:35.450]   not
[00:22:35.450 --> 00:22:35.660]   need
[00:22:35.660 --> 00:22:35.850]   your
[00:22:35.850 --> 00:22:36.100]   help
[00:22:36.100 --> 00:22:36.200]  .
[00:22:36.200 --> 00:22:36.430]   Help
[00:22:36.430 --> 00:22:37.400]  . [SPEAKER_TURN]
[00:22:37.400 --> 00:22:38.110]   Well
[00:22:38.110 --> 00:22:38.820]   look
[00:22:38.820 --> 00:22:39.170]  ,
[00:22:39.170 --> 00:22:39.530]   is
[00:22:39.530 --> 00:22:40.240]   this
[00:22:40.240 --> 00:22:40.780]   the
[00:22:40.780 --> 00:22:41.660]   first
[00:22:41.660 --> 00:22:42.140]   is
[00:22:42.140 --> 00:22:42.740]   this
[00:22:42.740 --> 00:22:43.300]   the
[00:22:43.300 --> 00:22:44.240]   first [SPEAKER_TURN]
[00:22:44.240 --> 00:22:44.240]  
[00:22:44.240 --> 00:22:44.370]   the
[00:22:44.370 --> 00:22:44.580]   first
[00:22:44.580 --> 00:22:44.920]   the
[00:22:44.920 --> 00:22:44.940]   first
[00:22:44.940 --> 00:22:45.130]   thing
[00:22:45.130 --> 00:22:45.420]   right
[00:22:45.420 --> 00:22:45.450]  ,
[00:22:45.450 --> 00:22:45.460]   '
[00:22:45.460 --> 00:22:45.670]  Cause
[00:22:45.670 --> 00:22:45.800]  .
[00:22:45.800 --> 00:22:45.950]   this
[00:22:45.950 --> 00:22:46.180]   is
[00:22:46.180 --> 00:22:46.250]   the
[00:22:46.250 --> 00:22:46.390]   first
[00:22:46.390 --> 00:22:46.600]   thing
[00:22:46.600 --> 00:22:47.180]  . [SPEAKER_TURN]
[00:22:47.320 --> 00:22:47.320]  
[00:22:47.320 --> 00:22:47.500]   Let
[00:22:47.500 --> 00:22:47.620]   me
[00:22:47.620 --> 00:22:47.800]   say
[00:22:47.800 --> 00:22:48.000]   the
[00:22:48.000 --> 00:22:48.350]   second
[00:22:48.350 --> 00:22:48.660]   thing
[00:22:48.660 --> 00:22:48.780]  ,
[00:22:48.780 --> 00:22:48.840]   I
[00:22:48.840 --> 00:22:48.960]  'm
[00:22:48.960 --> 00:22:49.270]   gonna
[00:22:49.270 --> 00:22:49.710]   respond
[00:22:49.710 --> 00:22:49.830]   to
[00:22:49.830 --> 00:22:50.010]   one
[00:22:50.010 --> 00:22:50.190]   that
[00:22:50.190 --> 00:22:50.590]   you
[00:22:50.590 --> 00:22:50.690]   were
[00:22:50.690 --> 00:22:51.130]   talking
[00:22:51.130 --> 00:22:51.440]   about
[00:22:51.440 --> 00:22:51.750]   which
[00:22:51.750 --> 00:22:51.870]   is
[00:22:51.870 --> 00:22:52.030]  ,
[00:22:52.030 --> 00:22:52.110]   th
[00:22:52.110 --> 00:22:52.610]   throwing
[00:22:52.610 --> 00:22:52.730]   uh
[00:22:52.730 --> 00:22:52.920]   you
[00:22:52.920 --> 00:22:53.160]   know
[00:22:53.160 --> 00:22:53.280]  ,
[00:22:53.280 --> 00:22:53.460]   you
[00:22:53.460 --> 00:22:53.640]  've
[00:22:53.640 --> 00:22:53.820]   you
[00:22:53.820 --> 00:22:54.330]   already
[00:22:54.330 --> 00:22:54.510]   have
[00:22:54.510 --> 00:22:54.630]   uh
[00:22:54.630 --> 00:22:54.870]   an
[00:22:54.870 --> 00:22:55.200]   an
[00:22:55.200 --> 00:22:55.500]   investment
[00:22:55.500 --> 00:22:55.670]   of
[00:22:55.670 --> 00:22:55.870]   time
[00:22:55.870 --> 00:22:56.150]   okay
[00:22:56.150 --> 00:22:56.240]  ,
[00:22:56.240 --> 00:22:56.420]   But
[00:22:56.420 --> 00:22:56.480]   I
[00:22:56.480 --> 00:22:56.790]   think
[00:22:56.790 --> 00:22:56.970]   you
[00:22:56.970 --> 00:22:57.290]   every
[00:22:57.290 --> 00:22:57.340]   I
[00:22:57.340 --> 00:22:57.690]   think
[00:22:57.690 --> 00:22:57.770]   it
[00:22:57.770 --> 00:22:57.890]  's
[00:22:57.890 --> 00:22:58.010]   it
[00:22:58.010 --> 00:22:58.230]  's
[00:22:58.230 --> 00:22:58.550]   always
[00:22:58.550 --> 00:22:58.610]   um
[00:22:58.610 --> 00:22:58.740]   it
[00:22:58.740 --> 00:22:59.050]   tends
[00:22:59.050 --> 00:22:59.200]   to
[00:22:59.200 --> 00:22:59.210]   be
[00:22:59.210 --> 00:22:59.330]   a
[00:22:59.330 --> 00:22:59.920]   mistake
[00:22:59.920 --> 00:22:59.970]   for
[00:22:59.970 --> 00:23:00.150]   you
[00:23:00.150 --> 00:23:00.310]   to
[00:23:00.310 --> 00:23:00.520]   look
[00:23:00.520 --> 00:23:00.700]   and
[00:23:00.700 --> 00:23:00.880]   say
[00:23:00.880 --> 00:23:01.010]   wh
[00:23:01.010 --> 00:23:01.180]   how
[00:23:01.180 --> 00:23:01.360]   can
[00:23:01.360 --> 00:23:01.420]   I
[00:23:01.420 --> 00:23:01.480]   I
[00:23:01.480 --> 00:23:01.660]   put
[00:23:01.660 --> 00:23:01.780]   in
[00:23:01.780 --> 00:23:02.030]   time
[00:23:02.030 --> 00:23:02.140]   in
[00:23:02.140 --> 00:23:02.400]   this
[00:23:02.400 --> 00:23:02.520]  ,
[00:23:02.520 --> 00:23:02.770]   what
[00:23:02.770 --> 00:23:02.950]   can
[00:23:02.950 --> 00:23:03.010]   I
[00:23:03.010 --> 00:23:03.210]   do
[00:23:03.210 --> 00:23:03.400]   with
[00:23:03.400 --> 00:23:03.500]   it
[00:23:03.500 --> 00:23:04.180]  ?
[00:23:04.500 --> 00:23:04.560]  
[00:23:04.560 --> 00:23:04.620]   It
[00:23:04.620 --> 00:23:04.730]  's
[00:23:04.730 --> 00:23:05.050]   like
[00:23:05.050 --> 00:23:05.210]   what
[00:23:05.210 --> 00:23:05.330]   is
[00:23:05.330 --> 00:23:05.500]   the
[00:23:05.500 --> 00:23:06.000]   smartest
[00:23:06.000 --> 00:23:06.300]   thing
[00:23:06.300 --> 00:23:06.390]   to
[00:23:06.390 --> 00:23:06.510]   do
[00:23:06.510 --> 00:23:06.630]   at
[00:23:06.630 --> 00:23:06.920]   right
[00:23:06.920 --> 00:23:07.040]   at
[00:23:07.040 --> 00:23:07.330]   this
[00:23:07.330 --> 00:23:07.520]   very
[00:23:07.520 --> 00:23:07.860]   moment
[00:23:07.860 --> 00:23:08.000]  ,
[00:23:08.000 --> 00:23:08.350]   going
[00:23:08.350 --> 00:23:08.680]   forward
[00:23:08.680 --> 00:23:08.980]  .
[00:23:08.980 --> 00:23:09.120]   Not
[00:23:09.120 --> 00:23:09.260]   to
[00:23:09.260 --> 00:23:09.480]   have
[00:23:09.480 --> 00:23:09.720]   this
[00:23:09.720 --> 00:23:10.260]   emotional
[00:23:10.260 --> 00:23:10.860]   connection
[00:23:10.860 --> 00:23:10.970]   to
[00:23:10.970 --> 00:23:11.220]   what
[00:23:11.220 --> 00:23:11.400]   you
[00:23:11.400 --> 00:23:11.580]   did
[00:23:11.580 --> 00:23:11.820]   with
[00:23:11.820 --> 00:23:12.060]   your
[00:23:12.060 --> 00:23:12.330]   time
[00:23:12.330 --> 00:23:12.480]   for
[00:23:12.480 --> 00:23:12.660]   the
[00:23:12.660 --> 00:23:12.930]   last
[00:23:12.930 --> 00:23:13.140]   hour
[00:23:13.140 --> 00:23:13.260]  ,
[00:23:13.260 --> 00:23:13.320]   a
[00:23:13.320 --> 00:23:13.500]   day
[00:23:13.500 --> 00:23:13.620]   or
[00:23:13.620 --> 00:23:13.930]   month
[00:23:13.930 --> 00:23:14.040]   or
[00:23:14.040 --> 00:23:14.280]   year
[00:23:14.280 --> 00:23:14.670]  .
[00:23:14.670 --> 00:23:14.670]   You
[00:23:14.670 --> 00:23:14.900]   know
[00:23:14.900 --> 00:23:15.010]   it
[00:23:15.010 --> 00:23:15.120]  's
[00:23:15.120 --> 00:23:15.400]   like
[00:23:15.400 --> 00:23:15.660]   okay
[00:23:15.660 --> 00:23:15.900]   right
[00:23:15.900 --> 00:23:16.030]   now
[00:23:16.030 --> 00:23:16.140]  ,
[00:23:16.140 --> 00:23:16.630]   going
[00:23:16.630 --> 00:23:16.820]   forward
[00:23:16.820 --> 00:23:17.020]  ,
[00:23:17.020 --> 00:23:17.160]   what
[00:23:17.160 --> 00:23:17.290]   is
[00:23:17.290 --> 00:23:17.440]   the
[00:23:17.440 --> 00:23:17.970]   powerful
[00:23:17.970 --> 00:23:18.280]   thing
[00:23:18.280 --> 00:23:18.290]   to
[00:23:18.290 --> 00:23:18.400]   do
[00:23:18.400 --> 00:23:18.660]  .
[00:23:18.920 --> 00:23:19.000]  
[00:23:19.000 --> 00:23:19.110]   And
[00:23:19.110 --> 00:23:19.170]   a
[00:23:19.170 --> 00:23:19.360]   lot
[00:23:19.360 --> 00:23:19.470]   of
[00:23:19.470 --> 00:23:19.830]   times
[00:23:19.830 --> 00:23:19.910]   as
[00:23:19.910 --> 00:23:19.970]   a
[00:23:19.970 --> 00:23:20.180]   you
[00:23:20.180 --> 00:23:20.430]   know
[00:23:20.430 --> 00:23:20.720]   human
[00:23:20.720 --> 00:23:20.860]  ,
[00:23:20.860 --> 00:23:20.960]   it
[00:23:20.960 --> 00:23:21.090]  's
[00:23:21.090 --> 00:23:21.330]   sort
[00:23:21.330 --> 00:23:21.510]   of
[00:23:21.510 --> 00:23:21.600]   a
[00:23:21.600 --> 00:23:22.080]   cognitive
[00:23:22.080 --> 00:23:22.580]   bias
[00:23:22.580 --> 00:23:22.640]   which
[00:23:22.640 --> 00:23:22.760]   is
[00:23:22.760 --> 00:23:23.020]   that
[00:23:23.020 --> 00:23:23.140]   we
[00:23:23.140 --> 00:23:23.380]   over
[00:23:23.380 --> 00:23:23.880]  value
