
[00:00:00.000 --> 00:00:00.070]  
[00:00:00.070 --> 00:00:00.160]   J
[00:09:16.260 --> 00:09:16.360]  's
[00:09:16.360 --> 00:09:16.410]   a
[00:09:16.410 --> 00:09:16.820]   little
[00:09:16.820 --> 00:09:17.110]   monetary
[00:09:17.110 --> 00:09:17.760]  . [SPEAKER_TURN]
[00:09:17.760 --> 00:09:17.910]   Well
[00:09:17.910 --> 00:09:18.180]   alright
[00:09:18.180 --> 00:09:18.330]   well
[00:09:18.330 --> 00:09:18.480]   then
[00:09:18.480 --> 00:09:18.630]   then
[00:09:18.630 --> 00:09:18.820]   there
[00:09:18.820 --> 00:09:18.890]  's
[00:09:18.890 --> 00:09:18.990]   the
[00:09:18.990 --> 00:09:19.270]   another
[00:09:19.270 --> 00:09:19.490]   shout
[00:09:19.490 --> 00:09:19.520]  -
[00:09:19.520 --> 00:09:19.600]  out
[00:09:19.600 --> 00:09:19.670]   we
[00:09:19.670 --> 00:09:19.820]   have
[00:09:19.820 --> 00:09:19.900]   is
[00:09:19.900 --> 00:09:20.180]   from
[00:09:20.180 --> 00:09:20.570]   Esp
[00:09:20.570 --> 00:09:20.830]  en
[00:09:20.830 --> 00:09:21.090]   Ot
[00:09:21.090 --> 00:09:21.870]  terson
[00:09:21.870 --> 00:09:23.340]  . [SPEAKER_TURN]
[00:09:23.340 --> 00:09:23.360]   No
[00:09:23.360 --> 00:09:23.870]   that
[00:09:23.870 --> 00:09:24.160]  's
[00:09:24.160 --> 00:09:24.160]   a
[00:09:24.160 --> 00:09:24.750]   nice
[00:09:24.750 --> 00:09:24.900]   name
[00:09:24.900 --> 00:09:25.980]  . [SPEAKER_TURN]
[00:09:25.980 --> 00:09:26.530]   Ten
[00:09:26.530 --> 00:09:27.590]   bucks
[00:09:27.590 --> 00:09:29.580]  . [SPEAKER_TURN]
[00:09:29.580 --> 00:09:29.650]   E
[00:09:29.650 --> 00:09:29.760]  _
[00:09:29.760 --> 00:09:29.790]  S
[00:09:29.790 --> 00:09:29.860]  _
[00:09:29.860 --> 00:09:29.930]  P
[00:09:29.930 --> 00:09:30.000]  _
[00:09:30.000 --> 00:09:30.060]  E
[00:09:30.060 --> 00:09:30.140]  _
[00:09:30.140 --> 00:09:30.210]  N
[00:09:30.210 --> 00:09:30.280]  _
[00:09:30.280 --> 00:09:30.490]   Esp
[00:09:30.490 --> 00:09:30.680]  en
[00:09:30.680 --> 00:09:30.840]  .
[00:09:30.840 --> 00:09:31.050]   Esp
[00:09:31.050 --> 00:09:31.190]  en
[00:09:31.190 --> 00:09:31.330]   Ot
[00:09:31.330 --> 00:09:31.920]  terson
[00:09:31.920 --> 00:09:32.640]  . [SPEAKER_TURN]
[00:09:32.640 --> 00:09:32.670]   And
[00:09:32.670 --> 00:09:33.240]   what
[00:09:33.240 --> 00:09:33.310]   was
[00:09:33.310 --> 00:09:33.420]   his
[00:09:33.420 --> 00:09:33.650]   last
[00:09:33.650 --> 00:09:33.900]   name
[00:09:33.900 --> 00:09:34.080]  ? [SPEAKER_TURN]
[00:09:34.080 --> 00:09:34.480]   Ot
[00:09:34.480 --> 00:09:34.550]  terson
[00:09:34.550 --> 00:09:35.040]  . [SPEAKER_TURN]
[00:09:35.040 --> 00:09:35.140]   Ot
[00:09:35.140 --> 00:09:35.620]  terson
[00:09:35.620 --> 00:09:35.690]  .
[00:09:35.690 --> 00:09:35.780]   Now
[00:09:35.780 --> 00:09:35.880]   do
[00:09:35.880 --> 00:09:36.100]   they
[00:09:36.100 --> 00:09:36.300]   have
[00:09:36.300 --> 00:09:36.400]   uh
[00:09:36.400 --> 00:09:36.500]   do
[00:09:36.500 --> 00:09:36.710]   they
[00:09:36.710 --> 00:09:36.920]   have
[00:09:36.920 --> 00:09:37.480]   a [SPEAKER_TURN]
[00:09:39.320 --> 00:09:39.380]  
[00:09:39.380 --> 00:09:39.700]   Okay
[00:09:39.700 --> 00:09:39.790]   w
[00:09:39.790 --> 00:09:39.890]   w
[00:09:39.890 --> 00:09:40.070]   uh
[00:09:40.070 --> 00:09:40.500]   well
[00:09:40.500 --> 00:09:40.910]   thank
[00:09:40.910 --> 00:09:41.200]   you
[00:09:41.200 --> 00:09:41.510]   Esp
[00:09:41.510 --> 00:09:41.660]  en
[00:09:41.660 --> 00:09:42.040]   very
[00:09:42.040 --> 00:09:42.420]   much
[00:09:42.420 --> 00:09:43.450]   appreciated
[00:09:43.450 --> 00:09:43.740]  .
[00:09:43.740 --> 00:09:43.930]   Uh
[00:09:43.930 --> 00:09:44.480]   just [SPEAKER_TURN]
[00:09:44.480 --> 00:09:44.590]   Esp
[00:09:44.590 --> 00:09:44.660]  en
[00:09:44.660 --> 00:09:44.820]   more
[00:09:44.820 --> 00:09:44.960]   than
[00:09:44.960 --> 00:09:45.310]   Alexander
[00:09:45.310 --> 00:09:45.780]  . [SPEAKER_TURN]
[00:09:45.780 --> 00:09:45.970]   And
[00:09:45.970 --> 00:09:46.160]   no
[00:09:46.160 --> 00:09:46.220]   I
[00:09:46.220 --> 00:09:46.270]   d
[00:09:46.270 --> 00:09:46.290]   I
[00:09:46.290 --> 00:09:46.410]  'm
[00:09:46.410 --> 00:09:47.230]   thanking
[00:09:47.230 --> 00:09:47.520]   everybody
[00:09:47.520 --> 00:09:47.710]  .
[00:09:47.710 --> 00:09:48.040]   Thank
[00:09:48.040 --> 00:09:48.230]   you
[00:09:48.230 --> 00:09:48.820]   Alexander
[00:09:48.820 --> 00:09:48.950]  ,
[00:09:48.950 --> 00:09:49.280]   thank
[00:09:49.280 --> 00:09:49.470]   you
[00:09:49.470 --> 00:09:49.860]   Philip
[00:09:49.860 --> 00:09:49.990]  ,
[00:09:49.990 --> 00:09:50.320]   thank
[00:09:50.320 --> 00:09:50.550]   you
[00:09:50.550 --> 00:09:50.700]   Esp
[00:09:50.700 --> 00:09:50.860]  en
[00:09:50.860 --> 00:09:51.020]  .
[00:09:51.020 --> 00:09:51.210]   And
[00:09:51.210 --> 00:09:51.530]   thank
[00:09:51.530 --> 00:09:51.870]   you
[00:09:51.870 --> 00:09:52.120]   Justin
[00:09:52.120 --> 00:09:53.000]  . [SPEAKER_TURN]
[00:09:53.000 --> 00:09:53.130]   Oh
[00:09:53.130 --> 00:09:53.470]   thank
[00:09:53.470 --> 00:09:53.680]   you
[00:09:53.680 --> 00:09:53.860]  .
[00:09:53.860 --> 00:09:54.130]   Well
[00:09:54.130 --> 00:09:54.460]   thank
[00:09:54.460 --> 00:09:54.660]   you
[00:09:54.660 --> 00:09:54.860]  .
[00:09:54.860 --> 00:09:55.130]   Well
[00:09:55.130 --> 00:09:55.330]   now
[00:09:55.330 --> 00:09:55.530]   don
[00:09:55.530 --> 00:09:55.660]  't
[00:09:55.660 --> 00:09:55.910]   don
[00:09:55.910 --> 00:09:56.060]   don
[00:09:56.060 --> 00:09:56.250]  't
[00:09:56.250 --> 00:09:56.390]   don
[00:09:56.390 --> 00:09:56.520]  't
[00:09:56.520 --> 00:09:56.720]   try
[00:09:56.720 --> 00:09:56.920]   and
[00:09:56.920 --> 00:09:57.320]   donate
[00:09:57.320 --> 00:09:57.500]   to
[00:09:57.500 --> 00:09:57.630]   us
[00:09:57.630 --> 00:09:58.050]   because
[00:09:58.050 --> 00:09:58.450]   our
[00:09:58.450 --> 00:09:58.470]   our
[00:09:58.470 --> 00:09:58.990]   donation
[00:09:58.990 --> 00:09:59.320]   drive
[00:09:59.320 --> 00:09:59.460]   is
[00:09:59.460 --> 00:09:59.950]   closed
[00:09:59.950 --> 00:10:00.050]   and
[00:10:00.050 --> 00:10:00.190]   um
[00:10:00.190 --> 00:10:00.310]   we
[00:10:00.310 --> 00:10:00.710]   haven
[00:10:00.710 --> 00:10:00.770]  't
[00:10:00.770 --> 00:10:00.970]   got
[00:10:00.970 --> 00:10:01.330]   round
[00:10:01.330 --> 00:10:01.430]   to
[00:10:01.430 --> 00:10:01.490]   s
[00:10:01.490 --> 00:10:01.630]   to
[00:10:01.630 --> 00:10:02.200]   creating
[00:10:02.200 --> 00:10:02.220]   a
[00:10:02.220 --> 00:10:02.420]   new
[00:10:02.420 --> 00:10:02.620]   one
[00:10:02.620 --> 00:10:02.820]   for
[00:10:02.820 --> 00:10:02.880]   a
[00:10:02.880 --> 00:10:03.080]   new
[00:10:03.080 --> 00:10:03.580]   new
[00:10:03.580 --> 00:10:03.610]   money
[00:10:03.610 --> 00:10:04.560]  . [SPEAKER_TURN]
[00:10:07.140 --> 00:10:07.150]  
[00:10:07.150 --> 00:10:07.250]   So
[00:10:07.250 --> 00:10:07.760]   basically
[00:10:07.760 --> 00:10:07.890]   we
[00:10:07.890 --> 00:10:07.980]   we
[00:10:07.980 --> 00:10:08.150]   set
[00:10:08.150 --> 00:10:08.260]   up
[00:10:08.260 --> 00:10:08.430]   our
[00:10:08.430 --> 00:10:08.600]   our
[00:10:08.600 --> 00:10:08.830]   plan
[00:10:08.830 --> 00:10:09.050]   on
[00:10:09.050 --> 00:10:09.100]   um
[00:10:09.100 --> 00:10:09.320]   Ind
[00:10:09.320 --> 00:10:09.390]  ieg
[00:10:09.390 --> 00:10:09.560]  ogo
[00:10:09.560 --> 00:10:09.670]   uh
[00:10:09.670 --> 00:10:09.840]   for
[00:10:09.840 --> 00:10:10.070]   five
[00:10:10.070 --> 00:10:10.470]   hundred
[00:10:10.470 --> 00:10:10.580]   to
[00:10:10.580 --> 00:10:10.690]   to
[00:10:10.690 --> 00:10:10.860]   try
[00:10:10.860 --> 00:10:11.120]   and
[00:10:11.120 --> 00:10:11.310]   raise
[00:10:11.310 --> 00:10:11.530]   that
[00:10:11.530 --> 00:10:11.720]   and
[00:10:11.720 --> 00:10:11.960]   we
[00:10:11.960 --> 00:10:12.280]   actually
[00:10:12.280 --> 00:10:12.680]   managed
[00:10:12.680 --> 00:10:12.790]   to
[00:10:12.790 --> 00:10:13.070]   raise
[00:10:13.070 --> 00:10:13.350]   seven
[00:10:13.350 --> 00:10:13.750]   hundred
[00:10:13.750 --> 00:10:13.920]   and
[00:10:13.920 --> 00:10:14.260]   eighty
[00:10:14.260 --> 00:10:14.540]   which
[00:10:14.540 --> 00:10:14.650]   is
[00:10:14.650 --> 00:10:14.880]   cool
[00:10:14.880 --> 00:10:15.540]  .
[00:10:15.540 --> 00:10:15.550]   Which
[00:10:15.550 --> 00:10:15.850]   is
[00:10:15.850 --> 00:10:16.020]   pretty
[00:10:16.020 --> 00:10:16.260]   much
[00:10:16.260 --> 00:10:16.500]   just
[00:10:16.500 --> 00:10:16.860]   enough
[00:10:16.860 --> 00:10:17.120]   to
[00:10:17.120 --> 00:10:17.490]   upgrade
[00:10:17.490 --> 00:10:17.710]   both
[00:10:17.710 --> 00:10:17.760]   of
[00:10:17.760 --> 00:10:17.950]   our
[00:10:17.950 --> 00:10:18.260]   audio
[00:10:18.260 --> 00:10:18.720]   audio
[00:10:18.720 --> 00:10:18.900]   kit
[00:10:18.900 --> 00:10:19.440]  . [SPEAKER_TURN]
[00:10:19.440 --> 00:10:19.880]   Because
[00:10:19.880 --> 00:10:19.940]   w
[00:10:19.940 --> 00:10:20.080]   no
[00:10:20.080 --> 00:10:20.310]   just
[00:10:20.310 --> 00:10:20.500]   for
[00:10:20.500 --> 00:10:20.740]   just
[00:10:20.740 --> 00:10:20.870]   to
[00:10:20.870 --> 00:10:21.310]   clarify
[00:10:21.310 --> 00:10:21.560]   what
[00:10:21.560 --> 00:10:21.810]   what
[00:10:21.810 --> 00:10:22.120]   did
[00:10:22.120 --> 00:10:22.350]   an
[00:10:22.350 --> 00:10:22.440]   audio
[00:10:22.440 --> 00:10:22.630]   kit
[00:10:22.630 --> 00:10:22.880]   cons
[00:10:22.880 --> 00:10:23.130]   what
[00:10:23.130 --> 00:10:23.410]   does
[00:10:23.410 --> 00:10:23.500]   an
[00:10:23.500 --> 00:10:23.820]   audio
[00:10:23.820 --> 00:10:24.010]   kit
[00:10:24.010 --> 00:10:24.450]   consist
[00:10:24.450 --> 00:10:24.590]   of
[00:10:24.590 --> 00:10:25.400]  ? [SPEAKER_TURN]
[00:10:25.400 --> 00:10:25.870]   Okay
[00:10:25.870 --> 00:10:26.080]   well
[00:10:26.080 --> 00:10:26.320]   we
[00:10:26.320 --> 00:10:26.590]   both
[00:10:26.590 --> 00:10:27.540]   got [SPEAKER_TURN]
[00:10:27.540 --> 00:10:27.570]   I
[00:10:27.570 --> 00:10:27.720]   I
[00:10:27.720 --> 00:10:27.740]   just
[00:10:27.740 --> 00:10:27.910]   think
[00:10:27.910 --> 00:10:27.980]   it
[00:10:27.980 --> 00:10:28.050]  's
[00:10:28.050 --> 00:10:28.270]   fair
[00:10:28.270 --> 00:10:28.290]   for
[00:10:28.290 --> 00:10:28.500]   people
[00:10:28.500 --> 00:10:28.570]   to
[00:10:28.570 --> 00:10:28.710]   know
[00:10:28.710 --> 00:10:28.960]   exactly
[00:10:28.960 --> 00:10:29.090]   what
[00:10:29.090 --> 00:10:29.180]   we
[00:10:29.180 --> 00:10:29.330]   spent
[00:10:29.330 --> 00:10:29.450]   the
[00:10:29.450 --> 00:10:29.600]   money
[00:10:29.600 --> 00:10:29.670]   on
[00:10:29.670 --> 00:10:29.770]  .
[00:10:29.770 --> 00:10:29.840]   No
[00:10:29.840 --> 00:10:29.940]   you
[00:10:29.940 --> 00:10:30.040]   can
[00:10:30.040 --> 00:10:30.110]  't
[00:10:30.110 --> 00:10:30.560]  . [SPEAKER_TURN]
[00:10:30.640 --> 00:10:30.640]  
[00:10:30.640 --> 00:10:30.870]   we
[00:10:30.870 --> 00:10:31.220]   got
[00:10:31.220 --> 00:10:31.680]   um
[00:10:31.680 --> 00:10:31.780]   uh
[00:10:31.780 --> 00:10:31.780]   a
[00:10:31.780 --> 00:10:32.460]   mic
[00:10:32.460 --> 00:10:32.600]   port
[00:10:32.600 --> 00:10:32.950]   pro
[00:10:32.950 --> 00:10:33.230]   by
[00:10:33.230 --> 00:10:33.290]   C
[00:10:33.290 --> 00:10:33.620]  _
[00:10:33.620 --> 00:10:34.330]   entrance
[00:10:34.330 --> 00:10:35.110]   which
[00:10:35.110 --> 00:10:36.190]   essentially
[00:10:36.190 --> 00:10:36.420]   is
[00:10:36.420 --> 00:10:36.530]   a
[00:10:36.530 --> 00:10:36.990]   very
[00:10:36.990 --> 00:10:37.680]   good
[00:10:37.680 --> 00:10:37.770]   an
[00:10:37.770 --> 00:10:37.910]   um
[00:10:37.910 --> 00:10:38.490]   audio
[00:10:38.490 --> 00:10:39.300]   digital
[00:10:39.300 --> 00:10:40.350]   converter
[00:10:40.350 --> 00:10:41.400]   basically
[00:10:41.400 --> 00:10:41.630]   to
[00:10:41.630 --> 00:10:41.740]   U
[00:10:41.740 --> 00:10:41.850]  _
[00:10:41.850 --> 00:10:41.960]  S
[00:10:41.960 --> 00:10:42.070]  _
[00:10:42.070 --> 00:10:42.250]  B
[00:10:42.250 --> 00:10:42.570]  _
[00:10:42.570 --> 00:10:42.570]   Um
[00:10:42.570 --> 00:10:42.890]  .
[00:10:42.890 --> 00:10:42.960]   so
[00:10:42.960 --> 00:10:43.300]   real
[00:10:43.300 --> 00:10:43.420]   real
[00:10:43.420 --> 00:10:43.670]   high
[00:10:43.670 --> 00:10:44.130]   quality
[00:10:44.130 --> 00:10:44.880]  . [SPEAKER_TURN]
[00:10:44.880 --> 00:10:45.210]   Which
[00:10:45.210 --> 00:10:45.340]   is
[00:10:45.340 --> 00:10:45.870]   required
[00:10:45.870 --> 00:10:46.340]   because
[00:10:46.340 --> 00:10:46.510]   is
[00:10:46.510 --> 00:10:46.530]   U
[00:10:46.530 --> 00:10:46.590]  _
[00:10:46.590 --> 00:10:46.650]  S
[00:10:46.650 --> 00:10:46.710]  _
[00:10:46.710 --> 00:10:46.770]  B
[00:10:46.770 --> 00:10:46.830]  _
[00:10:46.830 --> 00:10:47.080]   mic
[00:10:47.080 --> 00:10:47.520]   plugged
[00:10:47.520 --> 00:10:48.050]   directly
[00:10:48.050 --> 00:10:48.290]   into
[00:10:48.290 --> 00:10:48.350]   a
[00:10:48.350 --> 00:10:48.550]   Mac
[00:10:48.550 --> 00:10:48.910]   picks
[00:10:48.910 --> 00:10:49.050]   up
[00:10:49.050 --> 00:10:49.070]   a
[00:10:49.070 --> 00:10:49.330]   ton
[00:10:49.330 --> 00:10:49.400]   of
[00:10:49.400 --> 00:10:49.480]   n
[00:10:49.480 --> 00:10:49.840]   noise
[00:10:49.840 --> 00:10:50.050]   from
[00:10:50.050 --> 00:10:50.250]   the
[00:10:50.250 --> 00:10:50.720]   machine
[00:10:50.720 --> 00:10:51.120]   itself
[00:10:51.120 --> 00:10:51.320]  ?
[00:10:51.320 --> 00:10:51.380]   A
[00:10:51.380 --> 00:10:51.440]   l
[00:10:51.440 --> 00:10:51.820]  otta
[00:10:51.820 --> 00:10:51.970]   yeah
[00:10:51.970 --> 00:10:52.020]   a
[00:10:52.020 --> 00:10:52.220]   lot
[00:10:52.220 --> 00:10:52.350]   of
[00:10:52.350 --> 00:10:52.680]   audio
[00:10:52.680 --> 00:10:53.080]   enough
[00:10:53.080 --> 00:10:54.040]  . [SPEAKER_TURN]
[00:10:54.140 --> 00:10:54.140]  
[00:10:54.140 --> 00:10:57.800]   Yeah
[00:10:57.800 --> 00:11:00.840]  . [SPEAKER_TURN]
[00:11:00.840 --> 00:11:01.280]   Even
[00:11:01.280 --> 00:11:01.450]   though
[00:11:01.450 --> 00:11:01.500]   it
[00:11:01.500 --> 00:11:01.640]  's
[00:11:01.640 --> 00:11:01.990]   cheap
[00:11:01.990 --> 00:11:02.100]   it
[00:11:02.100 --> 00:11:02.180]  's
[00:11:02.180 --> 00:11:02.320]   good
[00:11:02.320 --> 00:11:02.650]   enough
[00:11:02.650 --> 00:11:03.190]   that
[00:11:03.190 --> 00:11:03.540]   professional
[00:11:03.540 --> 00:11:03.810]   voice
[00:11:03.810 --> 00:11:03.860]  -
[00:11:03.860 --> 00:11:04.080]  over
[00:11:04.080 --> 00:11:04.470]   artists
[00:11:04.470 --> 00:11:04.630]   use
[00:11:04.630 --> 00:11:04.740]   it
[00:11:04.740 --> 00:11:04.950]  .
[00:11:04.950 --> 00:11:05.120]   That
[00:11:05.120 --> 00:11:05.230]  's
[00:11:05.230 --> 00:11:05.830]   actually
[00:11:05.830 --> 00:11:05.880]   how
[00:11:05.880 --> 00:11:05.930]   I
[00:11:05.930 --> 00:11:06.160]   found
[00:11:06.160 --> 00:11:06.320]   it
[00:11:06.320 --> 00:11:06.660]   through
[00:11:06.660 --> 00:11:06.810]   the
[00:11:06.810 --> 00:11:07.080]   voice
[00:11:07.080 --> 00:11:07.130]  -
[00:11:07.130 --> 00:11:07.390]  over
[00:11:07.390 --> 00:11:07.680]   forums
[00:11:07.680 --> 00:11:08.440]  . [SPEAKER_TURN]
[00:11:08.440 --> 00:11:08.870]   Right
[00:11:08.870 --> 00:11:09.840]  . [SPEAKER_TURN]
[00:11:10.160 --> 00:11:10.170]  
[00:11:10.170 --> 00:11:10.180]   And
[00:11:10.180 --> 00:11:10.190]   then
[00:11:10.190 --> 00:11:10.200]   the
[00:11:10.200 --> 00:11:10.210]   mic
[00:11:10.210 --> 00:11:10.210]   that
[00:11:10.210 --> 00:11:10.220]   we
[00:11:10.220 --> 00:11:10.220]  're
[00:11:10.220 --> 00:11:10.240]   using
[00:11:10.240 --> 00:11:10.240]   is
[00:11:10.240 --> 00:11:10.270]   basically
[00:11:10.270 --> 00:11:10.270]   a
[00:11:10.270 --> 00:11:10.270]   sh
[00:11:10.270 --> 00:11:10.270]  aw
[00:11:10.270 --> 00:11:10.310]   microphone
[00:11:10.310 --> 00:11:10.310]   I
[00:11:10.310 --> 00:11:10.320]   can
[00:11:10.320 --> 00:11:10.320]  't
[00:11:10.320 --> 00:11:10.350]   remember
[00:11:10.350 --> 00:11:10.360]   the
[00:11:10.360 --> 00:11:10.380]   model
[00:11:10.380 --> 00:11:10.400]   number
[00:11:10.400 --> 00:11:10.410]   off
[00:11:10.410 --> 00:11:10.420]   the
[00:11:10.420 --> 00:11:10.430]   top
[00:11:10.430 --> 00:11:10.430]   of
[00:11:10.430 --> 00:11:10.430]   my
[00:11:10.430 --> 00:11:10.440]   head
[00:11:10.440 --> 00:11:10.450]   but
[00:11:10.450 --> 00:11:10.450]   it
[00:11:10.450 --> 00:11:10.450]   is
[00:11:10.450 --> 00:11:10.470]   pretty
[00:11:10.470 --> 00:11:10.480]   good
[00:11:10.480 --> 00:11:10.490]  .
[00:11:10.490 --> 00:11:10.490]   It
[00:11:10.490 --> 00:11:10.490]  's
[00:11:10.490 --> 00:11:10.500]   the
[00:11:10.500 --> 00:11:10.510]   kind
[00:11:10.510 --> 00:11:10.510]   of
[00:11:10.510 --> 00:11:10.550]   microphone
[00:11:10.550 --> 00:11:10.560]   that
[00:11:10.560 --> 00:11:10.570]   you
[00:11:10.570 --> 00:11:10.570]  'd
[00:11:10.570 --> 00:11:10.580]   use
[00:11:10.580 --> 00:11:10.580]   on
[00:11:10.580 --> 00:11:10.600]   stage
[00:11:10.600 --> 00:11:10.600]   to
[00:11:10.600 --> 00:11:10.600]   if
[00:11:10.600 --> 00:11:10.610]   you
[00:11:10.610 --> 00:11:10.620]   were
[00:11:10.620 --> 00:11:10.640]   singing
[00:11:10.640 --> 00:11:10.640]   or
[00:11:10.640 --> 00:11:10.660]   maybe
[00:11:10.660 --> 00:11:10.660]   if
[00:11:10.660 --> 00:11:10.670]   you
[00:11:10.670 --> 00:11:10.680]   went
[00:11:10.680 --> 00:11:10.680]   to
[00:11:10.680 --> 00:11:11.000]   uh
[00:11:11.160 --> 00:11:11.070]   M
[00:11:11.070 --> 00:11:11.140]  m
[00:11:11.140 --> 00:11:11.210]  -
[00:11:11.210 --> 00:11:11.280]  h
[00:11:11.280 --> 00:11:11.420]  mm
[00:11:11.420 --> 00:11:11.660]  .
[00:11:11.660 --> 00:11:13.560]   And
[00:11:13.560 --> 00:11:15.360]   how
[00:11:15.360 --> 00:11:17.830]   much
[00:11:17.830 --> 00:11:19.680]   did
[00:11:19.680 --> 00:11:22.150]   that
[00:11:22.150 --> 00:11:24.680]   cost
[00:11:24.680 --> 00:11:31.420]  ? [SPEAKER_TURN]
[00:11:31.420 --> 00:11:31.830]   Hundred
[00:11:31.830 --> 00:11:31.870]   and
[00:11:31.870 --> 00:11:32.030]   fifty
[00:11:32.030 --> 00:11:32.230]   bucks
[00:11:32.230 --> 00:11:32.720]  . [SPEAKER_TURN]
[00:11:33.200 --> 00:11:33.260]  
[00:11:33.260 --> 00:11:33.450]   Okay
[00:11:33.450 --> 00:11:33.650]  .
[00:11:33.650 --> 00:11:33.930]   And
[00:11:33.930 --> 00:11:34.160]   those
[00:11:34.160 --> 00:11:34.340]   and
[00:11:34.340 --> 00:11:34.660]   those
[00:11:34.660 --> 00:11:34.910]   that
[00:11:34.910 --> 00:11:35.100]   too
[00:11:35.100 --> 00:11:35.290]   and
[00:11:35.290 --> 00:11:35.550]   then
[00:11:35.550 --> 00:11:35.660]   uh
[00:11:35.660 --> 00:11:35.910]   that
[00:11:35.910 --> 00:11:36.030]  's
[00:11:36.030 --> 00:11:36.220]   the
[00:11:36.220 --> 00:11:36.560]   mic
[00:11:36.560 --> 00:11:36.730]   phone
[00:11:36.730 --> 00:11:36.920]   and
[00:11:36.920 --> 00:11:37.170]   then
[00:11:37.170 --> 00:11:37.360]   and
[00:11:37.360 --> 00:11:37.650]   then
[00:11:37.650 --> 00:11:37.930]   there
[00:11:37.930 --> 00:11:38.050]  's
[00:11:38.050 --> 00:11:38.300]   some
[00:11:38.300 --> 00:11:38.550]   Sony
[00:11:38.550 --> 00:11:39.290]   headphones
[00:11:39.290 --> 00:11:39.380]   for
[00:11:39.380 --> 00:11:39.630]   like
[00:11:39.630 --> 00:11:40.010]   twenty
[00:11:40.010 --> 00:11:40.330]   bucks
[00:11:40.330 --> 00:11:40.450]   or
[00:11:40.450 --> 00:11:41.030]   something
[00:11:41.030 --> 00:11:41.350]   right
[00:11:41.350 --> 00:11:42.200]  , [SPEAKER_TURN]
[00:11:42.200 --> 00:11:42.570]   Yeah
[00:11:42.570 --> 00:11:42.600]   and
[00:11:42.600 --> 00:11:42.770]   the
[00:11:42.770 --> 00:11:43.050]   whole
[00:11:43.050 --> 00:11:43.330]   point
[00:11:43.330 --> 00:11:43.440]   of
[00:11:43.440 --> 00:11:43.670]   them
[00:11:43.670 --> 00:11:43.780]   is
[00:11:43.780 --> 00:11:43.890]   is
[00:11:43.890 --> 00:11:44.150]   that
[00:11:44.150 --> 00:11:44.350]   they
[00:11:44.350 --> 00:11:44.520]  're
[00:11:44.520 --> 00:11:44.860]   kind
[00:11:44.860 --> 00:11:44.860]   of
[00:11:44.860 --> 00:11:45.030]   big
[00:11:45.030 --> 00:11:45.380]   enough
[00:11:45.380 --> 00:11:45.600]   that
[00:11:45.600 --> 00:11:45.830]   they
[00:11:45.830 --> 00:11:46.000]   don
[00:11:46.000 --> 00:11:46.110]  't
[00:11:46.110 --> 00:11:46.680]   completely
[00:11:46.680 --> 00:11:46.830]   cover
[00:11:46.830 --> 00:11:47.240]   up
[00:11:47.240 --> 00:11:47.380]   you
[00:11:47.380 --> 00:11:47.470]   that
[00:11:47.470 --> 00:11:47.700]   they
[00:11:47.700 --> 00:11:48.090]   kinda
[00:11:48.090 --> 00:11:48.160]   go
[00:11:48.160 --> 00:11:48.660]   completely
[00:11:48.660 --> 00:11:48.940]   round
[00:11:48.940 --> 00:11:49.170]   your
[00:11:49.170 --> 00:11:49.400]   ears
[00:11:49.400 --> 00:11:49.790]  .
[00:11:49.790 --> 00:11:49.900]   It
[00:11:49.900 --> 00:11:49.970]  's
[00:11:49.970 --> 00:11:50.300]   because
[00:11:50.300 --> 00:11:50.480]   you
[00:11:50.480 --> 00:11:50.690]   have
[00:11:50.690 --> 00:11:50.800]   to
[00:11:50.800 --> 00:11:50.850]   '
[00:11:50.850 --> 00:11:51.160]  cause
[00:11:51.160 --> 00:11:51.300]   you
[00:11:51.300 --> 00:11:51.460]   got
[00:11:51.460 --> 00:11:51.850]   this
[00:11:51.850 --> 00:11:51.910]   kind
[00:11:51.910 --> 00:11:52.020]   of
[00:11:52.020 --> 00:11:52.370]   heavy
[00:11:52.370 --> 00:11:52.470]   mic
[00:11:52.470 --> 00:11:52.750]   going
[00:11:52.750 --> 00:11:52.970]   over
[00:11:52.970 --> 00:11:53.190]   your
[00:11:53.190 --> 00:11:53.410]   ears
[00:11:53.410 --> 00:11:53.630]   with
[00:11:53.630 --> 00:11:53.900]   like
[00:11:53.900 --> 00:11:53.900]   a
[00:11:53.900 --> 00:11:54.230]   pair
[00:11:54.230 --> 00:11:54.240]   of
[00:11:54.240 --> 00:11:54.620]   glasses
[00:11:54.620 --> 00:11:55.000]  .
[00:11:55.000 --> 00:11:55.070]   If
[00:11:55.070 --> 00:11:55.250]   you
[00:11:55.250 --> 00:11:55.500]   use
[00:11:55.500 --> 00:11:55.560]   a
[00:11:55.560 --> 00:11:55.860]   normal
[00:11:55.860 --> 00:11:56.400]   headset
[00:11:56.400 --> 00:11:56.450]   it
[00:11:56.450 --> 00:11:56.640]   kind
[00:11:56.640 --> 00:11:56.760]   of
[00:11:56.760 --> 00:11:57.180]   presses
[00:11:57.180 --> 00:11:57.420]   into
[00:11:57.420 --> 00:11:57.660]   your
[00:11:57.660 --> 00:11:57.900]   ears
[00:11:57.900 --> 00:11:58.080]   and
[00:11:58.080 --> 00:11:58.390]   hurts
[00:11:58.390 --> 00:11:58.600]  . [SPEAKER_TURN]
[00:11:59.280 --> 00:11:59.330]  
[00:11:59.330 --> 00:11:59.520]   Well
