
[00:00:00.000 --> 00:00:00.020]  
[00:00:00.020 --> 00:00:05.390]   â™
[00:25:38.530 --> 00:25:40.280]   itself
[00:25:40.280 --> 00:25:40.280]  
[00:25:40.280 --> 00:25:40.410]   it
[00:25:40.410 --> 00:25:40.590]  's
[00:25:40.590 --> 00:25:40.670]   it
[00:25:40.670 --> 00:25:40.900]  's
[00:25:40.900 --> 00:25:41.130]   crazy
[00:25:41.130 --> 00:25:41.390]   hard
[00:25:41.390 --> 00:25:41.880]   because
[00:25:41.880 --> 00:25:41.980]   of
[00:25:41.980 --> 00:25:42.170]   the
[00:25:42.170 --> 00:25:42.430]   comb
[00:25:42.430 --> 00:25:42.820]  inator
[00:25:42.820 --> 00:25:43.080]  ical
[00:25:43.080 --> 00:25:43.670]   explosion
[00:25:43.670 --> 00:25:43.800]   of
[00:25:43.800 --> 00:25:44.130]   moves
[00:25:44.130 --> 00:25:44.320]   and
[00:25:44.320 --> 00:25:44.540]   you
[00:25:44.540 --> 00:25:44.840]   know
[00:25:44.840 --> 00:25:44.900]   as
[00:25:44.900 --> 00:25:45.090]   you
[00:25:45.090 --> 00:25:45.240]   as
[00:25:45.240 --> 00:25:45.410]   you
[00:25:45.410 --> 00:25:46.070]   described
[00:25:46.070 --> 00:25:46.260]   like
[00:25:46.260 --> 00:25:46.450]   the
[00:25:46.450 --> 00:25:46.640]   one
[00:25:46.640 --> 00:25:46.830]   one
[00:25:46.830 --> 00:25:47.090]   move
[00:25:47.090 --> 00:25:47.350]   look
[00:25:47.350 --> 00:25:47.680]   ahead
[00:25:47.680 --> 00:25:47.810]   it
[00:25:47.810 --> 00:25:47.940]  's
[00:25:47.940 --> 00:25:48.200]   like
[00:25:48.200 --> 00:25:48.260]   a
[00:25:48.260 --> 00:25:48.780]   thousand
[00:25:48.780 --> 00:25:49.640]   possibilities
[00:25:49.640 --> 00:25:49.860]   and
[00:25:49.860 --> 00:25:50.090]   then
[00:25:50.090 --> 00:25:50.220]   as
[00:25:50.220 --> 00:25:50.480]   soon
[00:25:50.480 --> 00:25:50.800]   as
[00:25:50.800 --> 00:25:50.810]   you
[00:25:50.810 --> 00:25:50.930]   go
[00:25:50.930 --> 00:25:51.190]   like
[00:25:51.190 --> 00:25:51.380]   two
[00:25:51.380 --> 00:25:51.570]   ply
[00:25:51.570 --> 00:25:51.700]   or
[00:25:51.700 --> 00:25:52.030]   three
[00:25:52.030 --> 00:25:52.220]   ply
[00:25:52.220 --> 00:25:52.270]   I
[00:25:52.270 --> 00:25:52.540]   mean
[00:25:52.540 --> 00:25:52.730]   you
[00:25:52.730 --> 00:25:52.920]  're
[00:25:52.920 --> 00:25:53.220]   just
[00:25:53.220 --> 00:25:53.640]   talking
[00:25:53.640 --> 00:25:53.770]   uh
[00:25:53.770 --> 00:25:54.030]   just
[00:25:54.030 --> 00:25:54.090]   a
[00:25:54.090 --> 00:25:54.140]   a
[00:25:54.140 --> 00:25:54.280]   uh
[00:25:54.280 --> 00:25:54.470]   int
[00:25:54.470 --> 00:25:54.990]  ract
[00:25:54.990 --> 00:25:55.330]  able
[00:25:55.330 --> 00:25:55.380]   number
[00:25:55.380 --> 00:25:55.510]   of
[00:25:55.510 --> 00:25:55.640]   uh
[00:25:55.640 --> 00:25:56.030]   things
[00:25:56.030 --> 00:25:56.640]   to [SPEAKER_TURN]
[00:25:56.640 --> 00:25:56.660]  
[00:25:56.660 --> 00:25:56.840]   and
[00:25:56.840 --> 00:25:57.040]   you
[00:25:57.040 --> 00:25:57.320]   were
[00:25:57.320 --> 00:25:57.790]   talking
[00:25:57.790 --> 00:25:58.130]   about
[00:25:58.130 --> 00:25:58.330]   the
[00:25:58.330 --> 00:25:58.600]   game
[00:25:58.600 --> 00:25:58.950]   being
[00:25:58.950 --> 00:25:59.010]   l
[00:25:59.010 --> 00:25:59.280]   that
[00:25:59.280 --> 00:25:59.350]   A
[00:25:59.350 --> 00:25:59.410]  _
[00:25:59.410 --> 00:25:59.460]  I
[00:25:59.460 --> 00:25:59.530]  _
[00:25:59.530 --> 00:26:00.100]   uh
[00:26:00.100 --> 00:26:00.350]   developing
[00:26:00.350 --> 00:26:00.480]   um
[00:26:00.480 --> 00:26:00.750]   well
[00:26:00.750 --> 00:26:01.300]   two
[00:26:01.300 --> 00:26:01.360]   things
[00:26:01.360 --> 00:26:01.560]   you
[00:26:01.560 --> 00:26:01.970]   said
[00:26:01.970 --> 00:26:02.100]   that
[00:26:02.100 --> 00:26:02.170]   I
[00:26:02.170 --> 00:26:02.650]   thought
[00:26:02.650 --> 00:26:02.920]   were
[00:26:02.920 --> 00:26:03.680]   interesting
[00:26:03.680 --> 00:26:03.810]   uh
[00:26:03.810 --> 00:26:04.220]   during
[00:26:04.220 --> 00:26:04.780]   previous
[00:26:04.780 --> 00:26:05.670]   conversations
[00:26:05.670 --> 00:26:05.890]  .
[00:26:05.890 --> 00:26:06.280]   Number
[00:26:06.280 --> 00:26:06.480]   one
[00:26:06.480 --> 00:26:06.680]   was
[00:26:06.680 --> 00:26:06.880]   you
[00:26:06.880 --> 00:26:07.150]   said
[00:26:07.150 --> 00:26:07.420]   that
[00:26:07.420 --> 00:26:07.690]   like
[00:26:07.690 --> 00:26:07.760]   A
[00:26:07.760 --> 00:26:07.820]  _
[00:26:07.820 --> 00:26:07.870]  I
[00:26:07.870 --> 00:26:07.940]  _
[00:26:07.940 --> 00:26:08.110]   was
[00:26:08.110 --> 00:26:08.640]   the
[00:26:08.640 --> 00:26:08.820]   formula
[00:26:08.820 --> 00:26:09.020]   one
[00:26:09.020 --> 00:26:09.150]   of
[00:26:09.150 --> 00:26:09.280]   um
[00:26:09.280 --> 00:26:09.410]   of
[00:26:09.410 --> 00:26:10.100]   developing
[00:26:10.100 --> 00:26:10.230]   or
[00:26:10.230 --> 00:26:10.360]   or
[00:26:10.360 --> 00:26:10.640]   game
[00:26:10.640 --> 00:26:11.320]   developing
[00:26:11.320 --> 00:26:11.930]  .
[00:26:11.930 --> 00:26:12.200]   And
[00:26:12.200 --> 00:26:12.490]   number
[00:26:12.490 --> 00:26:12.670]   two
[00:26:12.670 --> 00:26:12.850]   you
[00:26:12.850 --> 00:26:13.110]   said
[00:26:13.110 --> 00:26:13.360]   that
[00:26:13.360 --> 00:26:14.040]   potentially
[00:26:14.040 --> 00:26:14.600]   theories
[00:26:14.600 --> 00:26:14.790]   from
[00:26:14.790 --> 00:26:14.850]   A
[00:26:14.850 --> 00:26:14.910]  _
[00:26:14.910 --> 00:26:14.970]  I
[00:26:14.970 --> 00:26:15.030]  _
[00:26:15.030 --> 00:26:15.210]   can
[00:26:15.210 --> 00:26:15.520]   apply
[00:26:15.520 --> 00:26:15.640]   to
[00:26:15.640 --> 00:26:16.140]   business
[00:26:16.140 --> 00:26:16.380]  .
[00:26:16.380 --> 00:26:16.470]   So
[00:26:16.470 --> 00:26:16.500]   I
[00:26:16.500 --> 00:26:16.560]  'm
[00:26:16.560 --> 00:26:16.970]   wondering
[00:26:16.970 --> 00:26:16.970]   if
[00:26:16.970 --> 00:26:17.090]   you
[00:26:17.090 --> 00:26:17.260]   could
[00:26:17.260 --> 00:26:17.410]   talk
[00:26:17.410 --> 00:26:17.510]   to
[00:26:17.510 --> 00:26:17.550]   us
[00:26:17.550 --> 00:26:17.730]   about
[00:26:17.730 --> 00:26:17.910]   those
[00:26:17.910 --> 00:26:18.400]  . [SPEAKER_TURN]
[00:26:18.800 --> 00:26:18.850]  
[00:26:18.850 --> 00:26:19.090]   Yeah
[00:26:19.090 --> 00:26:19.380]   well
[00:26:19.380 --> 00:26:19.670]   yes
[00:26:19.670 --> 00:26:19.730]   I
[00:26:19.730 --> 00:26:20.000]   mean
[00:26:20.000 --> 00:26:20.100]   if
[00:26:20.100 --> 00:26:20.320]   you
[00:26:20.320 --> 00:26:20.610]   look
[00:26:20.610 --> 00:26:20.870]   at
[00:26:20.870 --> 00:26:20.970]   the
[00:26:20.970 --> 00:26:21.110]   AI
[00:26:21.110 --> 00:26:21.470]   field
[00:26:21.470 --> 00:26:21.690]   and
[00:26:21.690 --> 00:26:21.910]   you
[00:26:21.910 --> 00:26:22.190]   know
[00:26:22.190 --> 00:26:22.260]   a
[00:26:22.260 --> 00:26:22.340]   d
[00:26:22.340 --> 00:26:22.580]   a
[00:26:22.580 --> 00:26:22.630]   lot
[00:26:22.630 --> 00:26:22.770]   of
[00:26:22.770 --> 00:26:22.990]   the
[00:26:22.990 --> 00:26:23.420]   things
[00:26:23.420 --> 00:26:23.730]   that
[00:26:23.730 --> 00:26:24.000]   have
[00:26:24.000 --> 00:26:24.290]   been
[00:26:24.290 --> 00:26:25.020]   discovered
[00:26:25.020 --> 00:26:25.310]   have
[00:26:25.310 --> 00:26:25.600]   been
[00:26:25.600 --> 00:26:26.030]   really
[00:26:26.030 --> 00:26:26.170]   uh
[00:26:26.170 --> 00:26:26.600]   geared
[00:26:26.600 --> 00:26:26.740]   uh
[00:26:26.740 --> 00:26:26.770]   I
[00:26:26.770 --> 00:26:27.110]   will
[00:26:27.110 --> 00:26:27.340]   say
[00:26:27.340 --> 00:26:27.390]   I
[00:26:27.390 --> 00:26:27.600]  've
[00:26:27.600 --> 00:26:27.890]   come
[00:26:27.890 --> 00:26:28.220]   from
[00:26:28.220 --> 00:26:28.470]   Game
[00:26:28.470 --> 00:26:28.760]   Fury
[00:26:28.760 --> 00:26:28.900]   uh
[00:26:28.900 --> 00:26:29.230]   and
[00:26:29.230 --> 00:26:29.480]   again
[00:26:29.480 --> 00:26:29.620]   it
[00:26:29.620 --> 00:26:29.760]  's
[00:26:29.760 --> 00:26:30.270]   because
[00:26:30.270 --> 00:26:30.700]   this
[00:26:30.700 --> 00:26:30.740]   is
[00:26:30.740 --> 00:26:30.770]   a
[00:26:30.770 --> 00:26:30.990]   fun
[00:26:30.990 --> 00:26:31.360]   thing
[00:26:31.360 --> 00:26:31.420]   I
[00:26:31.420 --> 00:26:31.780]   guess
[00:26:31.780 --> 00:26:32.000]   for
[00:26:32.000 --> 00:26:32.220]   all
[00:26:32.220 --> 00:26:32.460]   the
[00:26:32.460 --> 00:26:32.510]   g
[00:26:32.510 --> 00:26:32.800]  eeks
[00:26:32.800 --> 00:26:33.100]   that
[00:26:33.100 --> 00:26:33.310]   dig
[00:26:33.310 --> 00:26:33.530]   AI
[00:26:33.530 --> 00:26:33.590]   to
[00:26:33.590 --> 00:26:33.880]   kind
[00:26:33.880 --> 00:26:34.020]   of
[00:26:34.020 --> 00:26:34.670]   challenge
[00:26:34.670 --> 00:26:34.960]   each
[00:26:34.960 --> 00:26:35.320]   other
[00:26:35.320 --> 00:26:35.830]   because
[00:26:35.830 --> 00:26:36.050]   you
[00:26:36.050 --> 00:26:36.340]   know
[00:26:36.340 --> 00:26:36.480]   if
[00:26:36.480 --> 00:26:36.700]   you
[00:26:36.700 --> 00:26:36.910]  're
[00:26:36.910 --> 00:26:37.420]   looking
[00:26:37.420 --> 00:26:37.720]   from
[00:26:37.720 --> 00:26:37.780]   a
[00:26:37.780 --> 00:26:38.360]   business
[00:26:38.360 --> 00:26:39.160]   perspective
[00:26:39.160 --> 00:26:39.520]   there
[00:26:39.520 --> 00:26:39.660]  's
[00:26:39.660 --> 00:26:39.880]   not
[00:26:39.880 --> 00:26:40.100]   you
[00:26:40.100 --> 00:26:40.560]   know
[00:26:40.560 --> 00:26:40.750]   there
[00:26:40.750 --> 00:26:40.890]  's
[00:26:40.890 --> 00:26:41.180]   some
[00:26:41.180 --> 00:26:41.760]   business
[00:26:41.760 --> 00:26:41.900]   um
[00:26:41.900 --> 00:26:42.410]   process
[00:26:42.410 --> 00:26:42.550]   or
[00:26:42.550 --> 00:26:42.850]   you
[00:26:42.850 --> 00:26:43.080]   know
[00:26:43.080 --> 00:26:43.200]   uh
[00:26:43.200 --> 00:26:43.560]   where
[00:26:43.560 --> 00:26:43.780]   you
[00:26:43.780 --> 00:26:44.100]   have
[00:26:44.100 --> 00:26:44.940]   competitions
[00:26:44.940 --> 00:26:45.080]   in
[00:26:45.080 --> 00:26:45.590]   between
[00:26:45.590 --> 00:26:45.810]   but
[00:26:45.810 --> 00:26:46.270]   really
[00:26:46.270 --> 00:26:46.490]   you
[00:26:46.490 --> 00:26:46.680]   don
[00:26:46.680 --> 00:26:46.800]  't
[00:26:46.800 --> 00:26:47.090]   have
[00:26:47.090 --> 00:26:47.370]   uh
[00:26:47.370 --> 00:26:47.470]   you
[00:26:47.470 --> 00:26:47.760]   know
[00:26:47.760 --> 00:26:48.050]   many
[00:26:48.050 --> 00:26:48.800]   many
[00:26:48.800 --> 00:26:48.800]  
[00:26:48.800 --> 00:26:49.080]   where
[00:26:49.080 --> 00:26:49.250]   you
[00:26:49.250 --> 00:26:49.700]   actually
[00:26:49.700 --> 00:26:49.920]   have
[00:26:49.920 --> 00:26:50.080]   to
[00:26:50.080 --> 00:26:50.420]   compete
[00:26:50.420 --> 00:26:50.530]   uh
[00:26:50.530 --> 00:26:50.650]   fr
[00:26:50.650 --> 00:26:50.890]   from
[00:26:50.890 --> 00:26:50.970]   a
[00:26:50.970 --> 00:26:51.360]   business
[00:26:51.360 --> 00:26:51.640]   world
[00:26:51.640 --> 00:26:51.690]   I
[00:26:51.690 --> 00:26:51.860]  .
[00:26:51.860 --> 00:26:52.080]   mean
[00:26:52.080 --> 00:26:52.420]   unless
[00:26:52.420 --> 00:26:52.590]   you
[00:26:52.590 --> 00:26:52.760]  're
[00:26:52.760 --> 00:26:53.210]   thinking
[00:26:53.210 --> 00:26:53.490]   about
[00:26:53.490 --> 00:26:53.660]   you
[00:26:53.660 --> 00:26:53.880]   know
[00:26:53.880 --> 00:26:54.270]   bidding
[00:26:54.270 --> 00:26:54.690]   systems
[00:26:54.690 --> 00:26:54.710]   I
[00:26:54.710 --> 00:26:54.930]   mean
[00:26:54.930 --> 00:26:54.980]   e
[00:26:54.980 --> 00:26:55.150]  bay
[00:26:55.150 --> 00:26:55.430]   would
[00:26:55.430 --> 00:26:55.540]   be
[00:26:55.540 --> 00:26:55.710]   you
[00:26:55.710 --> 00:26:55.930]   know
[00:26:55.930 --> 00:26:56.040]  ,
[00:26:56.040 --> 00:26:56.430]   example
[00:26:56.430 --> 00:26:56.540]  ,
[00:26:56.540 --> 00:26:56.880]   trying
[00:26:56.880 --> 00:26:56.990]   to
[00:26:56.990 --> 00:26:57.210]   bid
[00:26:57.210 --> 00:26:57.330]   win
[00:26:57.330 --> 00:26:57.440]   an
[00:26:57.440 --> 00:26:57.660]   item
[00:26:57.660 --> 00:26:57.880]   that
[00:26:57.880 --> 00:26:58.190]   could
[00:26:58.190 --> 00:26:58.270]   be
[00:26:58.270 --> 00:26:58.320]   a
[00:26:58.320 --> 00:26:58.770]   business
[00:26:58.770 --> 00:26:59.050]   model
[00:26:59.050 --> 00:26:59.300]   here
[00:26:59.300 --> 00:26:59.380]  ,
[00:26:59.380 --> 00:26:59.490]   so
[00:26:59.490 --> 00:26:59.710]   just
[00:26:59.710 --> 00:26:59.840]   to
[00:26:59.840 --> 00:27:00.100]   build
[00:27:00.100 --> 00:27:00.210]   an
[00:27:00.210 --> 00:27:00.260]   A
[00:27:00.260 --> 00:27:00.320]  _
[00:27:00.320 --> 00:27:00.360]  I
[00:27:00.360 --> 00:27:00.410]  _
[00:27:00.410 --> 00:27:00.630]   that
[00:27:00.630 --> 00:27:00.850]   will
[00:27:00.850 --> 00:27:01.330]   actually
[00:27:01.330 --> 00:27:01.460]   get
[00:27:01.460 --> 00:27:01.690]   user
[00:27:01.690 --> 00:27:01.860]   the
[00:27:01.860 --> 00:27:02.080]   item
[00:27:02.080 --> 00:27:02.250]   you
[00:27:02.250 --> 00:27:02.470]   want
[00:27:02.470 --> 00:27:02.630]   the
[00:27:02.630 --> 00:27:02.980]   lowest
[00:27:02.980 --> 00:27:03.250]   price
[00:27:03.250 --> 00:27:03.370]   uh
[00:27:03.370 --> 00:27:03.480]  ,
[00:27:03.480 --> 00:27:03.650]   but
[00:27:03.650 --> 00:27:03.820]   you
[00:27:03.820 --> 00:27:04.040]   know
[00:27:04.040 --> 00:27:04.210]   all
[00:27:04.210 --> 00:27:04.320]  ,
[00:27:04.320 --> 00:27:04.530]   kind
[00:27:04.530 --> 00:27:04.700]   of
[00:27:04.700 --> 00:27:04.720]   a
[00:27:04.720 --> 00:27:05.040]   things
[00:27:05.040 --> 00:27:05.430]   there
[00:27:05.430 --> 00:27:05.510]  's
[00:27:05.510 --> 00:27:05.540]  ,
[00:27:05.540 --> 00:27:05.710]   not
[00:27:05.710 --> 00:27:05.930]   that
[00:27:05.930 --> 00:27:06.550]   competition
[00:27:06.550 --> 00:27:06.750]   and
[00:27:06.750 --> 00:27:07.060]   really
[00:27:07.060 --> 00:27:07.170]   to
[00:27:07.170 --> 00:27:07.390]   face
[00:27:07.390 --> 00:27:07.500]   an
[00:27:07.500 --> 00:27:07.550]   A
[00:27:07.550 --> 00:27:07.600]  _
[00:27:07.600 --> 00:27:07.650]  I
[00:27:07.650 --> 00:27:07.700]  _
[00:27:07.700 --> 00:27:07.810]   to
[00:27:07.810 --> 00:27:08.220]   another
[00:27:08.220 --> 00:27:08.370]   one
[00:27:08.370 --> 00:27:08.590]   um
[00:27:08.590 --> 00:27:08.610]   if
[00:27:08.610 --> 00:27:08.760]   you
[00:27:08.760 --> 00:27:08.980]   have
[00:27:08.980 --> 00:27:09.080]   a
[00:27:09.080 --> 00:27:09.350]   a
[00:27:09.350 --> 00:27:09.530]   business
[00:27:09.530 --> 00:27:10.040]   algorithm
[00:27:10.040 --> 00:27:10.260]   that
[00:27:10.260 --> 00:27:10.430]   has
[00:27:10.430 --> 00:27:10.530]   I
[00:27:10.530 --> 00:27:10.760]   dunno
[00:27:10.760 --> 00:27:10.980]   test
[00:27:10.980 --> 00:27:11.810]   classification
[00:27:11.810 --> 00:27:12.180]   usually
[00:27:12.180 --> 00:27:12.500]   people
[00:27:12.500 --> 00:27:12.670]   don
[00:27:12.670 --> 00:27:12.800]  't
[00:27:12.800 --> 00:27:13.060]   wanna
[00:27:13.060 --> 00:27:13.340]   share
[00:27:13.340 --> 00:27:13.450]   it
[00:27:13.450 --> 00:27:13.680]   they
[00:27:13.680 --> 00:27:13.780]  ,
[00:27:13.780 --> 00:27:13.950]   don
[00:27:13.950 --> 00:27:14.060]  't
[00:27:14.060 --> 00:27:15.010]   wanna
[00:27:15.010 --> 00:27:15.040]   m
[00:27:15.040 --> 00:27:15.610]   compare
[00:27:15.610 --> 00:27:15.740]   it
[00:27:15.740 --> 00:27:16.390]   publicly
[00:27:16.390 --> 00:27:16.620]   how
[00:27:16.620 --> 00:27:16.940]   good
[00:27:16.940 --> 00:27:17.100]   it
[00:27:17.100 --> 00:27:17.260]   is
[00:27:17.260 --> 00:27:17.590]  .
[00:27:17.590 --> 00:27:17.750]   So
[00:27:17.750 --> 00:27:18.220]   the
[00:27:18.220 --> 00:27:18.800]   gaming
[00:27:18.800 --> 00:27:18.820]  
[00:27:18.820 --> 00:27:19.280]   platform
[00:27:19.280 --> 00:27:19.400]   is
[00:27:19.400 --> 00:27:19.640]   kind
[00:27:19.640 --> 00:27:19.760]   of
[00:27:19.760 --> 00:27:20.000]   like
[00:27:20.000 --> 00:27:20.180]   the
[00:27:20.180 --> 00:27:20.350]   the
[00:27:20.350 --> 00:27:20.750]   the
[00:27:20.750 --> 00:27:20.840]   place
[00:27:20.840 --> 00:27:21.140]   where
[00:27:21.140 --> 00:27:21.700]   everybody
[00:27:21.700 --> 00:27:21.800]  's
[00:27:21.800 --> 00:27:22.070]   okay
[00:27:22.070 --> 00:27:22.100]   I
[00:27:22.100 --> 00:27:22.220]  'm
[00:27:22.220 --> 00:27:22.530]   gonna
[00:27:22.530 --> 00:27:22.760]   come
[00:27:22.760 --> 00:27:22.880]   up
[00:27:22.880 --> 00:27:23.120]   with
[00:27:23.120 --> 00:27:23.360]   some
[00:27:23.360 --> 00:27:23.660]   great
[00:27:23.660 --> 00:27:23.860]   new
[00:27:23.860 --> 00:27:24.380]   algorithm
[00:27:24.380 --> 00:27:24.550]   and
[00:27:24.550 --> 00:27:24.700]  ,
[00:27:24.700 --> 00:27:24.760]   I
[00:27:24.760 --> 00:27:24.860]  'm
[00:27:24.860 --> 00:27:25.200]   gonna
[00:27:25.200 --> 00:27:25.460]   apply
[00:27:25.460 --> 00:27:25.690]   all
[00:27:25.690 --> 00:27:25.760]   my
[00:27:25.760 --> 00:27:26.240]   theories
[00:27:26.240 --> 00:27:26.360]   to
[00:27:26.360 --> 00:27:26.600]   that
[00:27:26.600 --> 00:27:26.780]   and
[00:27:26.780 --> 00:27:26.960]   see
[00:27:26.960 --> 00:27:27.080]   if
[00:27:27.080 --> 00:27:27.180]   I
[00:27:27.180 --> 00:27:27.320]   can
[00:27:27.320 --> 00:27:27.560]   beat
[00:27:27.560 --> 00:27:27.740]   you
[00:27:27.740 --> 00:27:27.870]   so
[00:27:27.870 --> 00:27:27.980]  ,
[00:27:27.980 --> 00:27:28.280]   every
[00:27:28.280 --> 00:27:28.520]   year
[00:27:28.520 --> 00:27:28.700]   you
[00:27:28.700 --> 00:27:28.940]   have
[00:27:28.940 --> 00:27:29.120]   you
[00:27:29.120 --> 00:27:29.360]   know
[00:27:29.360 --> 00:27:29.420]   A
[00:27:29.420 --> 00:27:29.540]  _
[00:27:29.540 --> 00:27:29.540]  I
[00:27:29.540 --> 00:27:29.600]  _
[00:27:29.600 --> 00:27:29.940]   chase
[00:27:29.940 --> 00:27:30.500]   tournament
[00:27:30.500 --> 00:27:30.630]  ,
[00:27:30.630 --> 00:27:30.800]   you
[00:27:30.800 --> 00:27:31.040]   have
[00:27:31.040 --> 00:27:31.160]  ,
[00:27:31.160 --> 00:27:31.340]   you
[00:27:31.340 --> 00:27:31.580]   know
[00:27:31.580 --> 00:27:31.760]   all
[00:27:31.760 --> 00:27:31.880]  ,
[00:27:31.880 --> 00:27:32.060]   all
[00:27:32.060 --> 00:27:32.310]   that
[00:27:32.310 --> 00:27:32.540]   kind
[00:27:32.540 --> 00:27:32.660]   of
[00:27:32.660 --> 00:27:32.900]   good
[00:27:32.900 --> 00:27:33.190]   stuff
[00:27:33.190 --> 00:27:33.410]   and
[00:27:33.410 --> 00:27:33.550]  ,
[00:27:33.550 --> 00:27:33.620]   an
[00:27:33.620 --> 00:27:33.800]   one
[00:27:33.800 --> 00:27:34.100]   thing
[00:27:34.100 --> 00:27:34.350]   that
[00:27:34.350 --> 00:27:34.540]   was
[00:27:34.540 --> 00:27:34.700]   key
[00:27:34.700 --> 00:27:34.820]   to
[00:27:34.820 --> 00:27:34.960]   me
[00:27:34.960 --> 00:27:35.120]   was
[00:27:35.120 --> 00:27:35.420]   about
[00:27:35.420 --> 00:27:35.480]   I
[00:27:35.480 --> 00:27:35.780]   think
[00:27:35.780 --> 00:27:35.840]   a
[00:27:35.840 --> 00:27:35.890]   n
[00:27:35.890 --> 00:27:36.030]   a
[00:27:36.030 --> 00:27:36.200]   year
[00:27:36.200 --> 00:27:36.380]   and
[00:27:36.380 --> 00:27:36.440]   a
[00:27:36.440 --> 00:27:36.680]   half
[00:27:36.680 --> 00:27:36.860]   ago
[00:27:36.860 --> 00:27:36.980]   uh
[00:27:36.980 --> 00:27:37.100]  ,
[00:27:37.100 --> 00:27:37.220]   an
[00:27:37.220 --> 00:27:37.640]   article
[00:27:37.640 --> 00:27:37.840]   in
[00:27:37.840 --> 00:27:37.970]   New
[00:27:37.970 --> 00:27:38.300]   Yorker
[00:27:38.300 --> 00:27:38.600]   uh
[00:27:38.600 --> 00:27:39.200]   was
[00:27:39.200 --> 00:27:39.310]   pointing
[00:27:39.310 --> 00:27:39.540]   out
[00:27:39.540 --> 00:27:39.690]   how
[00:27:39.690 --> 00:27:39.880]   the
[00:27:39.880 --> 00:27:40.070]   you
[00:27:40.070 --> 00:27:40.330]   know
[00:27:40.330 --> 00:27:40.390]   A
[00:27:40.390 --> 00:27:40.450]  _
[00:27:40.450 --> 00:27:40.510]  I
[00:27:40.510 --> 00:27:40.570]  _
[00:27:40.570 --> 00:27:40.760]   was
[00:27:40.760 --> 00:27:41.270]   starting
[00:27:41.270 --> 00:27:41.410]   to
[00:27:41.410 --> 00:27:42.000]   influence
[00:27:42.000 --> 00:27:42.190]   the
[00:27:42.190 --> 00:27:42.510]   games
[00:27:42.510 --> 00:27:42.700]   and
[00:27:42.700 --> 00:27:42.850]  ,
[00:27:42.850 --> 00:27:42.890]   I
[00:27:42.890 --> 00:27:43.210]   think
[00:27:43.210 --> 00:27:43.470]   that
[00:27:43.470 --> 00:27:43.600]  's
[00:27:43.600 --> 00:27:43.860]   what
[00:27:43.860 --> 00:27:43.990]  's
[00:27:43.990 --> 00:27:44.100]   a
[00:27:44.100 --> 00:27:44.370]   great
[00:27:44.370 --> 00:27:44.910]   example
[00:27:44.910 --> 00:27:45.130]   here
[00:27:45.130 --> 00:27:45.350]   with
[00:27:45.350 --> 00:27:45.670]   Swarm
[00:27:45.670 --> 00:27:45.930]   like
[00:27:45.930 --> 00:27:46.160]   uh
[00:27:46.160 --> 00:27:46.190]   uh
[00:27:46.190 --> 00:27:46.320]   uh
[00:27:46.320 --> 00:27:46.450]   go
[00:27:46.450 --> 00:27:46.580]   at
[00:27:46.580 --> 00:27:46.770]   the
[00:27:46.770 --> 00:27:46.830]   l
[00:27:46.830 --> 00:27:46.890]   I
[00:27:46.890 --> 00:27:47.210]   think
[00:27:47.210 --> 00:27:47.340]   it
[00:27:47.340 --> 00:27:47.530]   was
[00:27:47.530 --> 00:27:47.660]   in
[00:27:47.660 --> 00:27:47.850]   two
[00:27:47.850 --> 00:27:48.370]   thousand
[00:27:48.370 --> 00:27:48.800]   and
[00:27:49.080 --> 00:27:48.950]   Um
[00:27:48.950 --> 00:27:49.170]   the
[00:27:49.170 --> 00:27:49.320]  ,
[00:27:49.320 --> 00:27:49.540]   the
[00:27:49.540 --> 00:27:49.610]   A
[00:27:49.610 --> 00:27:49.680]  _
[00:27:49.680 --> 00:27:49.750]  I
[00:27:49.750 --> 00:27:49.870]  _
[00:27:49.870 --> 00:27:49.890]   g
[00:27:49.890 --> 00:27:50.040]   uh
[00:27:50.040 --> 00:27:50.560]   chess
[00:27:50.560 --> 00:27:51.160]   tournament
[00:27:51.160 --> 00:27:51.760]   actually
[00:27:51.760 --> 00:27:51.980]   you
[00:27:51.980 --> 00:27:52.270]   know
[00:27:52.270 --> 00:27:52.430]   uh
[00:27:52.430 --> 00:27:52.880]   showed
[00:27:52.880 --> 00:27:53.170]   that
[00:27:53.170 --> 00:27:53.370]   the
[00:27:53.370 --> 00:27:53.470]   A
[00:27:53.470 --> 00:27:53.540]  _
[00:27:53.540 --> 00:27:53.600]  I
[00:27:53.600 --> 00:27:53.790]  _
[00:27:53.790 --> 00:27:53.900]   was
[00:27:53.900 --> 00:27:54.350]   making
[00:27:54.350 --> 00:27:54.720]   moves
[00:27:54.720 --> 00:27:55.020]   that
[00:27:55.020 --> 00:27:55.390]   would
[00:27:55.390 --> 00:27:55.690]   have
[00:27:55.690 --> 00:27:56.050]   never
[00:27:56.050 --> 00:27:56.360]   been
[00:27:56.360 --> 00:27:56.460]   I
[00:27:56.460 --> 00:27:56.580]  'd
[00:27:56.580 --> 00:27:56.950]   never
[00:27:56.950 --> 00:27:57.250]   been
[00:27:57.250 --> 00:27:57.700]   fought
[00:27:57.700 --> 00:27:57.860]   by
[00:27:57.860 --> 00:27:58.070]   any
[00:27:58.070 --> 00:27:58.520]   humans
[00:27:58.520 --> 00:27:58.970]   before
[00:27:58.970 --> 00:27:59.420]  .
[00:27:59.860 --> 00:27:59.930]  
