
[00:00:00.000 --> 00:00:00.820]  
[00:00:00.820 --> 00:00:09.710]   ðŸ
[00:06:17.250 --> 00:06:17.340]   an
[00:06:17.340 --> 00:06:17.580]   event
[00:06:17.580 --> 00:06:17.720]   you
[00:06:17.720 --> 00:06:17.960]   throw
[00:06:17.960 --> 00:06:18.050]   in
[00:06:18.050 --> 00:06:18.190]   the
[00:06:18.190 --> 00:06:18.330]   app
[00:06:18.330 --> 00:06:18.800]  .
[00:06:18.800 --> 00:06:18.890]   So
[00:06:18.890 --> 00:06:19.040]   if
[00:06:19.040 --> 00:06:19.230]   they
[00:06:19.230 --> 00:06:19.580]   create
[00:06:19.580 --> 00:06:19.630]   a
[00:06:19.630 --> 00:06:19.800]   new
[00:06:19.800 --> 00:06:20.210]   project
[00:06:20.210 --> 00:06:20.320]   in
[00:06:20.320 --> 00:06:20.720]   your
[00:06:20.720 --> 00:06:20.740]   app
[00:06:20.740 --> 00:06:20.890]   you
[00:06:20.890 --> 00:06:21.060]   can
[00:06:21.060 --> 00:06:21.310]   then
[00:06:21.310 --> 00:06:21.570]   move
[00:06:21.570 --> 00:06:21.600]   '
[00:06:21.600 --> 00:06:21.680]  em
[00:06:21.680 --> 00:06:21.910]   into
[00:06:21.910 --> 00:06:22.080]   the
[00:06:22.080 --> 00:06:22.250]   hey
[00:06:22.250 --> 00:06:22.480]   here
[00:06:22.480 --> 00:06:22.590]  's
[00:06:22.590 --> 00:06:22.760]   how
[00:06:22.760 --> 00:06:22.870]   to
[00:06:22.870 --> 00:06:23.040]   use
[00:06:23.040 --> 00:06:23.090]   a
[00:06:23.090 --> 00:06:23.490]   project
[00:06:23.490 --> 00:06:23.780]   list
[00:06:23.780 --> 00:06:24.100]  .
[00:06:24.100 --> 00:06:24.250]   So
[00:06:24.250 --> 00:06:24.560]   that
[00:06:24.560 --> 00:06:24.830]  's
[00:06:24.830 --> 00:06:25.020]   been
[00:06:25.020 --> 00:06:25.250]   our
[00:06:25.250 --> 00:06:25.560]   most
[00:06:25.560 --> 00:06:26.030]   recent
[00:06:26.030 --> 00:06:26.200]   push
[00:06:26.200 --> 00:06:26.690]   but
[00:06:26.690 --> 00:06:26.720]   um
[00:06:26.720 --> 00:06:26.950]   and
[00:06:26.950 --> 00:06:27.100]   my
[00:06:27.100 --> 00:06:27.480]   guess
[00:06:27.480 --> 00:06:27.730]   is
[00:06:27.730 --> 00:06:27.950]   what
[00:06:27.950 --> 00:06:28.180]   you
[00:06:28.180 --> 00:06:28.720]   wanna [SPEAKER_TURN]
[00:06:28.720 --> 00:06:28.720]  
[00:06:28.720 --> 00:06:28.830]   uh
[00:06:28.830 --> 00:06:29.000]   you
[00:06:29.000 --> 00:06:29.220]   know
[00:06:29.220 --> 00:06:29.440]   mine
[00:06:29.440 --> 00:06:29.610]   out
[00:06:29.610 --> 00:06:29.720]   of
[00:06:29.720 --> 00:06:29.890]   out
[00:06:29.890 --> 00:06:30.000]   of
[00:06:30.000 --> 00:06:30.280]   Derek
[00:06:30.280 --> 00:06:30.680]   because
[00:06:30.680 --> 00:06:30.900]   what
[00:06:30.900 --> 00:06:31.020]   he
[00:06:31.020 --> 00:06:31.290]   spent
[00:06:31.290 --> 00:06:31.680]   the
[00:06:31.680 --> 00:06:31.740]   last
[00:06:31.740 --> 00:06:32.130]   eighteen
[00:06:32.130 --> 00:06:32.470]   months
[00:06:32.470 --> 00:06:32.570]   cr
[00:06:32.570 --> 00:06:32.890]  anking
[00:06:32.890 --> 00:06:33.130]   on
[00:06:33.130 --> 00:06:33.150]   is
[00:06:33.150 --> 00:06:33.310]   you
[00:06:33.310 --> 00:06:33.530]   know
[00:06:33.530 --> 00:06:33.640]   is
[00:06:33.640 --> 00:06:33.860]   that
[00:06:33.860 --> 00:06:33.970]   uh
[00:06:33.970 --> 00:06:34.190]   well
[00:06:34.190 --> 00:06:34.300]   he
[00:06:34.300 --> 00:06:34.580]   spent
[00:06:34.580 --> 00:06:34.640]   l
[00:06:34.640 --> 00:06:35.080]   eighteen
[00:06:35.080 --> 00:06:35.420]   months
[00:06:35.420 --> 00:06:35.530]   cr
[00:06:35.530 --> 00:06:35.870]  anking
[00:06:35.870 --> 00:06:35.980]   on
[00:06:35.980 --> 00:06:36.550]   everything
[00:06:36.550 --> 00:06:36.720]   but
[00:06:36.720 --> 00:06:36.790]   a
[00:06:36.790 --> 00:06:36.940]   big
[00:06:36.940 --> 00:06:37.110]   you
[00:06:37.110 --> 00:06:37.320]   know
[00:06:37.320 --> 00:06:37.550]   big
[00:06:37.550 --> 00:06:37.870]   piece
[00:06:37.870 --> 00:06:37.890]   of
[00:06:37.890 --> 00:06:38.110]   that
[00:06:38.110 --> 00:06:38.390]   early
[00:06:38.390 --> 00:06:38.500]   on
[00:06:38.500 --> 00:06:38.670]   was
[00:06:38.670 --> 00:06:38.780]   is
[00:06:38.780 --> 00:06:38.950]   our
[00:06:38.950 --> 00:06:39.460]   little
[00:06:39.460 --> 00:06:39.510]   pop
[00:06:39.510 --> 00:06:39.530]  -
[00:06:39.530 --> 00:06:39.620]  up
[00:06:39.620 --> 00:06:39.960]   widget
[00:06:39.960 --> 00:06:40.880]  . [SPEAKER_TURN]
[00:06:40.880 --> 00:06:41.150]   Well
[00:06:41.150 --> 00:06:41.210]   I
[00:06:41.210 --> 00:06:41.340]  'm
[00:06:41.340 --> 00:06:41.400]   I
[00:06:41.400 --> 00:06:41.690]  'm
[00:06:41.690 --> 00:06:41.930]   really
[00:06:41.930 --> 00:06:42.600]   interested
[00:06:42.600 --> 00:06:42.740]   in
[00:06:42.740 --> 00:06:43.200]   talking
[00:06:43.200 --> 00:06:43.570]   about
[00:06:43.570 --> 00:06:43.800]   that
[00:06:43.800 --> 00:06:44.050]   but
[00:06:44.050 --> 00:06:44.400]   before
[00:06:44.400 --> 00:06:44.530]   we
[00:06:44.530 --> 00:06:44.730]   get
[00:06:44.730 --> 00:06:45.170]   into
[00:06:45.170 --> 00:06:45.270]   that
[00:06:45.270 --> 00:06:45.330]   I
[00:06:45.330 --> 00:06:45.520]  'd
[00:06:45.520 --> 00:06:45.730]   like
[00:06:45.730 --> 00:06:45.890]   to
[00:06:45.890 --> 00:06:45.990]   be
[00:06:45.990 --> 00:06:46.050]   I
[00:06:46.050 --> 00:06:46.180]  'm
[00:06:46.180 --> 00:06:46.390]   interested
[00:06:46.390 --> 00:06:47.160]   to
[00:06:47.160 --> 00:06:47.250]   hear
[00:06:47.250 --> 00:06:47.520]   what
[00:06:47.520 --> 00:06:47.720]   are
[00:06:47.720 --> 00:06:47.920]   all
[00:06:47.920 --> 00:06:48.050]   of
[00:06:48.050 --> 00:06:48.250]   the
[00:06:48.250 --> 00:06:48.540]   tech
[00:06:48.540 --> 00:06:48.980]   pieces
[00:06:48.980 --> 00:06:49.190]   like
[00:06:49.190 --> 00:06:49.470]   what
[00:06:49.470 --> 00:06:49.620]  's
[00:06:49.620 --> 00:06:49.790]   the
[00:06:49.790 --> 00:06:50.150]   kind
[00:06:50.150 --> 00:06:50.190]   of
[00:06:50.190 --> 00:06:51.610]   architectural
[00:06:51.610 --> 00:06:51.660]   overview
[00:06:51.660 --> 00:06:51.740]   of
[00:06:51.740 --> 00:06:51.930]   the
[00:06:51.930 --> 00:06:51.950]   D
[00:06:51.950 --> 00:06:52.320]  rip
[00:06:52.320 --> 00:06:52.670]   product
[00:06:52.670 --> 00:06:53.640]  . [SPEAKER_TURN]
[00:06:53.960 --> 00:06:54.030]  
[00:06:54.030 --> 00:06:54.370]   Sure
[00:06:54.370 --> 00:06:54.680]  .
[00:06:54.680 --> 00:06:54.880]   So
[00:06:54.880 --> 00:06:55.080]   um
[00:06:55.080 --> 00:06:55.490]   drip
[00:06:55.490 --> 00:06:55.780]   is
[00:06:55.780 --> 00:06:55.800]   a
[00:06:55.800 --> 00:06:56.400]   Rails
[00:06:56.400 --> 00:06:56.830]   three
[00:06:56.830 --> 00:06:58.100]   application
[00:06:58.100 --> 00:06:58.170]   um
[00:06:58.170 --> 00:06:58.490]   and
[00:06:58.490 --> 00:06:58.680]   it
[00:06:58.680 --> 00:06:59.090]   runs
[00:06:59.090 --> 00:06:59.290]   on
[00:06:59.290 --> 00:06:59.540]   um
[00:06:59.540 --> 00:06:59.690]   am
[00:06:59.690 --> 00:07:00.100]  azon
[00:07:00.100 --> 00:07:00.410]   web
[00:07:00.410 --> 00:07:01.240]   services
[00:07:01.240 --> 00:07:01.550]   you
[00:07:01.550 --> 00:07:01.750]  ,
[00:07:01.750 --> 00:07:02.060]   see
[00:07:02.060 --> 00:07:02.370]   two
[00:07:02.370 --> 00:07:02.890]   boxes
[00:07:02.890 --> 00:07:03.200]  .
[00:07:03.200 --> 00:07:03.400]   We
[00:07:03.400 --> 00:07:03.810]   have
[00:07:03.810 --> 00:07:03.910]   I
[00:07:03.910 --> 00:07:04.430]   think
[00:07:04.430 --> 00:07:04.950]   three
[00:07:04.950 --> 00:07:05.250]   four
[00:07:05.250 --> 00:07:06.140]   boxes
[00:07:06.140 --> 00:07:06.400]   right
[00:07:06.400 --> 00:07:06.780]   now
[00:07:06.780 --> 00:07:07.020]  .
[00:07:07.020 --> 00:07:07.220]   We
[00:07:07.220 --> 00:07:07.730]   have
[00:07:07.730 --> 00:07:07.800]   a
[00:07:07.800 --> 00:07:08.560]   database
[00:07:08.560 --> 00:07:09.180]   server
[00:07:09.180 --> 00:07:09.380]  ,
[00:07:09.380 --> 00:07:09.480]   a
[00:07:09.480 --> 00:07:10.100]   couple
[00:07:10.100 --> 00:07:10.410]   job
[00:07:10.410 --> 00:07:11.140]   servers
[00:07:11.140 --> 00:07:11.450]   and
[00:07:11.450 --> 00:07:11.750]   our
[00:07:11.750 --> 00:07:12.280]   front
[00:07:12.280 --> 00:07:12.380]  -
[00:07:12.380 --> 00:07:12.690]  end
[00:07:12.690 --> 00:07:13.000]   web
[00:07:13.000 --> 00:07:13.830]   server
[00:07:13.830 --> 00:07:13.930]  .
[00:07:13.930 --> 00:07:14.170]   Um
[00:07:14.170 --> 00:07:14.330]   we
[00:07:14.330 --> 00:07:14.530]   do
[00:07:14.530 --> 00:07:14.630]   a
[00:07:14.630 --> 00:07:14.940]   lot
[00:07:14.940 --> 00:07:15.300]   of
[00:07:15.300 --> 00:07:16.180]   background
[00:07:16.180 --> 00:07:17.220]   processing
[00:07:17.220 --> 00:07:17.420]  ,
[00:07:17.420 --> 00:07:17.620]   so
[00:07:17.620 --> 00:07:17.820]   we
[00:07:17.820 --> 00:07:18.230]   rely
[00:07:18.230 --> 00:07:18.960]   heavily
[00:07:18.960 --> 00:07:19.190]   on
[00:07:19.190 --> 00:07:19.440]   um
[00:07:19.440 --> 00:07:19.770]   some
[00:07:19.770 --> 00:07:20.180]   some
[00:07:20.180 --> 00:07:20.640]   nice
[00:07:20.640 --> 00:07:21.630]   background
[00:07:21.630 --> 00:07:21.940]   job
[00:07:21.940 --> 00:07:22.870]   libraries
[00:07:22.870 --> 00:07:23.070]   in
[00:07:23.070 --> 00:07:23.960]   Ruby
[00:07:23.960 --> 00:07:23.960]  
[00:07:23.960 --> 00:07:24.240]   And
[00:07:24.240 --> 00:07:24.430]   uh
[00:07:24.430 --> 00:07:24.620]   we
[00:07:24.620 --> 00:07:24.810]   do
[00:07:24.810 --> 00:07:25.190]   have
[00:07:25.190 --> 00:07:25.380]   um
[00:07:25.380 --> 00:07:25.680]   we
[00:07:25.680 --> 00:07:25.950]   have
[00:07:25.950 --> 00:07:26.040]   a
[00:07:26.040 --> 00:07:26.610]   little
[00:07:26.610 --> 00:07:26.890]   bit
[00:07:26.890 --> 00:07:27.080]   of
[00:07:27.080 --> 00:07:27.270]   um
[00:07:27.270 --> 00:07:27.650]   node
[00:07:27.650 --> 00:07:27.910]  .
[00:07:27.910 --> 00:07:28.450]  js
[00:07:28.450 --> 00:07:28.600]   mixed
[00:07:28.600 --> 00:07:28.790]   in
[00:07:28.790 --> 00:07:29.270]   there
[00:07:29.270 --> 00:07:29.660]  .
[00:07:29.660 --> 00:07:29.790]   We
[00:07:29.790 --> 00:07:30.060]   have
[00:07:30.060 --> 00:07:30.120]   a
[00:07:30.120 --> 00:07:30.390]   node
[00:07:30.390 --> 00:07:30.600]   app
[00:07:30.600 --> 00:07:30.860]   that
[00:07:30.860 --> 00:07:31.330]   handles
[00:07:31.330 --> 00:07:31.600]   some
[00:07:31.600 --> 00:07:31.850]   of
[00:07:31.850 --> 00:07:31.930]   our
[00:07:31.930 --> 00:07:32.060]   um
[00:07:32.060 --> 00:07:32.390]   click
[00:07:32.390 --> 00:07:32.930]   tracking
[00:07:32.930 --> 00:07:33.130]   and
[00:07:33.130 --> 00:07:33.520]   things
[00:07:33.520 --> 00:07:33.790]  .
[00:07:33.790 --> 00:07:34.040]   And
[00:07:34.040 --> 00:07:34.200]   um
[00:07:34.200 --> 00:07:34.590]   let
[00:07:34.590 --> 00:07:34.600]  's
[00:07:34.600 --> 00:07:34.830]   see
[00:07:34.830 --> 00:07:35.230]   where
[00:07:35.230 --> 00:07:35.450]   our
[00:07:35.450 --> 00:07:35.790]   data
[00:07:35.790 --> 00:07:35.950]   is
[00:07:35.950 --> 00:07:36.470]   stored
[00:07:36.470 --> 00:07:36.590]   in
[00:07:36.590 --> 00:07:36.910]   Post
[00:07:36.910 --> 00:07:37.280]  gres
[00:07:37.280 --> 00:07:37.470]   and
[00:07:37.470 --> 00:07:37.620]   we
[00:07:37.620 --> 00:07:37.860]   use
[00:07:37.860 --> 00:07:37.940]   R
[00:07:37.940 --> 00:07:38.170]  add
[00:07:38.170 --> 00:07:38.310]  us
[00:07:38.310 --> 00:07:38.480]   as
[00:07:38.480 --> 00:07:38.800]   kind
[00:07:38.800 --> 00:07:38.960]   of
[00:07:38.960 --> 00:07:39.040]   a
[00:07:39.040 --> 00:07:39.520]   buffer
[00:07:39.520 --> 00:07:40.080]   between
[00:07:40.080 --> 00:07:40.320]   the
[00:07:40.320 --> 00:07:40.640]   Post
[00:07:40.640 --> 00:07:41.360]  gres
[00:07:41.360 --> 00:07:41.590]   database
[00:07:41.590 --> 00:07:41.830]   and
[00:07:41.830 --> 00:07:42.150]   data
[00:07:42.150 --> 00:07:42.630]   coming
[00:07:42.630 --> 00:07:42.950]   into
[00:07:42.950 --> 00:07:43.190]   the
[00:07:43.190 --> 00:07:43.660]   system
[00:07:43.660 --> 00:07:43.980]  . [SPEAKER_TURN]
[00:07:44.320 --> 00:07:44.380]  
[00:07:44.380 --> 00:07:44.490]   So
[00:07:44.490 --> 00:07:44.660]   so
[00:07:44.660 --> 00:07:45.280]   concept
[00:07:45.280 --> 00:07:45.720]  ually
[00:07:45.720 --> 00:07:45.980]   you
[00:07:45.980 --> 00:07:46.330]   have
[00:07:46.330 --> 00:07:46.410]   a
[00:07:46.410 --> 00:07:47.110]   cloud
[00:07:47.110 --> 00:07:47.130]   and
[00:07:47.130 --> 00:07:47.370]   you
[00:07:47.370 --> 00:07:47.720]   have
[00:07:47.720 --> 00:07:47.880]   um
[00:07:47.880 --> 00:07:47.900]   the
[00:07:47.900 --> 00:07:48.550]   the
[00:07:48.550 --> 00:07:48.850]   cloud
[00:07:48.850 --> 00:07:49.640]   basically
[00:07:49.640 --> 00:07:50.170]   serves
[00:07:50.170 --> 00:07:50.430]   out
[00:07:50.430 --> 00:07:50.690]   the
[00:07:50.690 --> 00:07:51.220]   widget
[00:07:51.220 --> 00:07:51.410]   to
[00:07:51.410 --> 00:07:52.170]   clients
[00:07:52.170 --> 00:07:52.270]  .
[00:07:52.270 --> 00:07:52.530]   And
[00:07:52.530 --> 00:07:52.740]   in
[00:07:52.740 --> 00:07:53.000]   the
[00:07:53.000 --> 00:07:53.310]   back
[00:07:53.310 --> 00:07:53.570]   end
[00:07:53.570 --> 00:07:54.120]   the
[00:07:54.120 --> 00:07:54.180]   back
[00:07:54.180 --> 00:07:54.440]   end
[00:07:54.440 --> 00:07:54.610]   of
[00:07:54.610 --> 00:07:54.870]   the
[00:07:54.870 --> 00:07:55.310]   cloud
[00:07:55.310 --> 00:07:55.590]   you
[00:07:55.590 --> 00:07:55.920]   have
[00:07:55.920 --> 00:07:56.780]   email
[00:07:56.780 --> 00:07:57.240]   processing
[00:07:57.240 --> 00:07:57.860]   systems
[00:07:57.860 --> 00:07:58.570]  .
[00:07:58.570 --> 00:07:58.570]   And
[00:07:58.570 --> 00:07:58.710]   um
[00:07:58.710 --> 00:07:59.130]   is
[00:07:59.130 --> 00:07:59.210]   there
[00:07:59.210 --> 00:07:59.790]   anything
[00:07:59.790 --> 00:07:59.860]   I
[00:07:59.860 --> 00:07:59.990]  'm
[00:07:59.990 --> 00:08:00.690]   missing
[00:08:00.690 --> 00:08:00.800]   like
[00:08:00.800 --> 00:08:01.090]   just
[00:08:01.090 --> 00:08:01.230]   as
[00:08:01.230 --> 00:08:01.520]   just
[00:08:01.520 --> 00:08:01.690]   as
[00:08:01.690 --> 00:08:01.730]   a
[00:08:01.730 --> 00:08:02.090]   basic
[00:08:02.090 --> 00:08:02.810]   conceptual
[00:08:02.810 --> 00:08:03.320]   concept
[00:08:03.320 --> 00:08:03.500]   of
[00:08:03.500 --> 00:08:03.750]   this
[00:08:03.750 --> 00:08:04.640]  ? [SPEAKER_TURN]
[00:08:04.640 --> 00:08:04.750]   Yeah
[00:08:04.750 --> 00:08:04.970]   I
[00:08:04.970 --> 00:08:05.000]   mean
[00:08:05.000 --> 00:08:05.020]   I
[00:08:05.020 --> 00:08:05.190]   think
[00:08:05.190 --> 00:08:05.340]   that
[00:08:05.340 --> 00:08:05.440]  's
[00:08:05.440 --> 00:08:05.440]   I
[00:08:05.440 --> 00:08:05.630]   think
[00:08:05.630 --> 00:08:05.770]   that
[00:08:05.770 --> 00:08:05.850]  's
[00:08:05.850 --> 00:08:05.930]   a
[00:08:05.930 --> 00:08:06.030]   good
[00:08:06.030 --> 00:08:06.140]   way
[00:08:06.140 --> 00:08:06.210]   to
[00:08:06.210 --> 00:08:06.440]   visual
[00:08:06.440 --> 00:08:06.550]  ise
[00:08:06.550 --> 00:08:06.620]   it
[00:08:06.620 --> 00:08:07.160]  . [SPEAKER_TURN]
[00:08:07.920 --> 00:08:07.990]  
[00:08:07.990 --> 00:08:08.030]   So
[00:08:08.030 --> 00:08:08.270]   then
[00:08:08.270 --> 00:08:08.370]   so
[00:08:08.370 --> 00:08:08.620]   then
[00:08:08.620 --> 00:08:08.770]   how
[00:08:08.770 --> 00:08:08.880]   do
[00:08:08.880 --> 00:08:09.050]   you
[00:08:09.050 --> 00:08:09.280]   just
[00:08:09.280 --> 00:08:09.510]   just
[00:08:09.510 --> 00:08:09.950]   talk
[00:08:09.950 --> 00:08:10.030]   about
[00:08:10.030 --> 00:08:10.200]   the
[00:08:10.200 --> 00:08:10.490]   email
[00:08:10.490 --> 00:08:10.780]   stuff
[00:08:10.780 --> 00:08:11.070]   right
[00:08:11.070 --> 00:08:11.280]   now
[00:08:11.280 --> 00:08:11.410]  .
[00:08:11.410 --> 00:08:11.460]   I
[00:08:11.460 --> 00:08:11.690]   mean
[00:08:11.690 --> 00:08:11.740]   I
[00:08:11.740 --> 00:08:11.910]  've
[00:08:11.910 --> 00:08:12.200]   tried
[00:08:12.200 --> 00:08:12.250]   I
[00:08:12.250 --> 00:08:12.420]  've
[00:08:12.420 --> 00:08:12.730]   tried
[00:08:12.730 --> 00:08:12.820]   to
[00:08:12.820 --> 00:08:12.930]   do
[00:08:12.930 --> 00:08:13.110]   or
[00:08:13.110 --> 00:08:13.210]   not
[00:08:13.210 --> 00:08:13.380]   but
[00:08:13.380 --> 00:08:13.430]   I
[00:08:13.430 --> 00:08:13.600]  've
[00:08:13.600 --> 00:08:13.830]   been
[00:08:13.830 --> 00:08:14.060]   have
[00:08:14.060 --> 00:08:14.290]   been
[00:08:14.290 --> 00:08:14.900]   successful
[00:08:14.900 --> 00:08:14.980]   in
[00:08:14.980 --> 00:08:15.210]   the
[00:08:15.210 --> 00:08:15.400]   past
[00:08:15.400 --> 00:08:15.620]   but
[00:08:15.620 --> 00:08:15.660]   it
[00:08:15.660 --> 00:08:15.820]  's
[00:08:15.820 --> 00:08:15.820]   n
[00:08:15.820 --> 00:08:15.930]   it
[00:08:15.930 --> 00:08:16.160]   wasn
[00:08:16.160 --> 00:08:16.280]  't
[00:08:16.280 --> 00:08:16.620]   always
[00:08:16.620 --> 00:08:16.790]   the
[00:08:16.790 --> 00:08:17.250]   smartest
[00:08:17.250 --> 00:08:17.360]   or
[00:08:17.360 --> 00:08:18.000]   necessarily
[00:08:18.000 --> 00:08:18.170]   the
[00:08:18.170 --> 00:08:18.400]   most
[00:08:18.400 --> 00:08:18.800]   elegant
[00:08:18.800 --> 00:08:19.250]   solution
[00:08:19.250 --> 00:08:19.850]  .
[00:08:19.850 --> 00:08:19.910]   But
[00:08:19.910 --> 00:08:19.970]   I
[00:08:19.970 --> 00:08:20.180]  'm
[00:08:20.180 --> 00:08:20.600]   interest
[00:08:20.600 --> 00:08:20.820]  in
[00:08:20.820 --> 00:08:21.360]   interested
[00:08:21.360 --> 00:08:21.480]   to
[00:08:21.480 --> 00:08:21.730]   hear
[00:08:21.730 --> 00:08:21.970]   like
[00:08:21.970 --> 00:08:22.360]   how
[00:08:22.360 --> 00:08:22.440]   you
[00:08:22.440 --> 00:08:22.550]  've
[00:08:22.550 --> 00:08:22.800]   kind
[00:08:22.800 --> 00:08:22.920]   of
[00:08:22.920 --> 00:08:23.490]   architect
[00:08:23.490 --> 00:08:23.600]  ed
[00:08:23.600 --> 00:08:24.080]   the
[00:08:24.080 --> 00:08:24.120]   email
[00:08:24.120 --> 00:08:24.440]   stuff
[00:08:24.440 --> 00:08:24.690]   how
[00:08:24.690 --> 00:08:24.750]  ,
[00:08:24.750 --> 00:08:24.960]   you
[00:08:24.960 --> 00:08:25.130]  're
[00:08:25.130 --> 00:08:25.570]   dealing
[00:08:25.570 --> 00:08:25.820]   with
[00:08:25.820 --> 00:08:26.630]   scheduling
[00:08:26.630 --> 00:08:26.650]   and
[00:08:26.650 --> 00:08:26.840]   que
[00:08:26.840 --> 00:08:27.090]  uing
[00:08:27.090 --> 00:08:27.280]   and
[00:08:27.280 --> 00:08:27.470]   all
[00:08:27.470 --> 00:08:27.720]   that
[00:08:27.720 --> 00:08:28.090]   type
[00:08:28.090 --> 00:08:28.170]   of
[00:08:28.170 --> 00:08:28.410]   thing
[00:08:28.410 --> 00:08:29.280]  . [SPEAKER_TURN]
[00:08:29.280 --> 00:08:29.280]  
[00:08:29.280 --> 00:08:29.760]   true
[00:08:29.760 --> 00:08:29.890]  .
[00:08:29.890 --> 00:08:30.060]   So
[00:08:30.060 --> 00:08:30.260]   we
[00:08:30.260 --> 00:08:30.580]   from
[00:08:30.580 --> 00:08:30.860]   the
[00:08:30.860 --> 00:08:31.100]   get
[00:08:31.100 --> 00:08:31.180]  -
[00:08:31.180 --> 00:08:31.360]  go
[00:08:31.360 --> 00:08:31.520]   we
[00:08:31.520 --> 00:08:32.040]   knew
[00:08:32.040 --> 00:08:32.050]   we
[00:08:32.050 --> 00:08:32.390]   didn
[00:08:32.390 --> 00:08:32.560]  't
[00:08:32.560 --> 00:08:32.910]   want
[00:08:32.910 --> 00:08:33.080]   to
[00:08:33.080 --> 00:08:33.250]   at
[00:08:33.250 --> 00:08:33.720]   least
[00:08:33.720 --> 00:08:33.860]   in
[00:08:33.860 --> 00:08:34.120]   the
[00:08:34.120 --> 00:08:34.560]   early
[00:08:34.560 --> 00:08:35.000]   stage
[00:08:35.000 --> 00:08:35.170]   we
[00:08:35.170 --> 00:08:35.520]   didn
[00:08:35.520 --> 00:08:35.690]  't
[00:08:35.690 --> 00:08:36.130]   wanna
[00:08:36.130 --> 00:08:36.390]   try
[00:08:36.390 --> 00:08:36.560]   to
[00:08:36.560 --> 00:08:37.010]   build
[00:08:37.010 --> 00:08:37.260]   our
[00:08:37.260 --> 00:08:37.520]   our
[00:08:37.520 --> 00:08:37.780]   own
[00:08:37.780 --> 00:08:39.010]   infrastructure
[00:08:39.010 --> 00:08:39.270]   for
[00:08:39.270 --> 00:08:40.140]   actually
[00:08:40.140 --> 00:08:40.440]   um
[00:08:40.440 --> 00:08:40.750]   sending
[00:08:40.750 --> 00:08:41.010]   the
[00:08:41.010 --> 00:08:41.450]   email
[00:08:41.450 --> 00:08:41.620]   to
[00:08:41.620 --> 00:08:41.790]   um
[00:08:41.790 --> 00:08:42.230]   email
[00:08:42.230 --> 00:08:42.840]   service
[00:08:42.840 --> 00:08:43.700]   providers
[00:08:43.700 --> 00:08:43.890]   you
[00:08:43.890 --> 00:08:44.060]  ,
[00:08:44.060 --> 00:08:44.410]   know
[00:08:44.410 --> 00:08:44.580]   so
[00:08:44.580 --> 00:08:44.750]  ,
[00:08:44.750 --> 00:08:44.920]   we
[00:08:44.920 --> 00:08:46.020]  'd [SPEAKER_TURN]
[00:08:46.020 --> 00:08:46.150]   That
[00:08:46.150 --> 00:08:46.250]  'll
[00:08:46.250 --> 00:08:46.310]   be
[00:08:46.310 --> 00:08:46.340]   a
[00:08:46.340 --> 00:08:46.650]   nightmare
[00:08:46.650 --> 00:08:46.750]   too
[00:08:46.750 --> 00:08:46.810]   if
[00:08:46.810 --> 00:08:46.870]   it
[00:08:46.870 --> 00:08:46.930]  's
[00:08:46.930 --> 00:08:46.960]   a
[00:08:46.960 --> 00:08:47.160]   matter
[00:08:47.160 --> 00:08:47.220]   of
[00:08:47.220 --> 00:08:47.350]   Yeah
[00:08:47.350 --> 00:08:47.820]  . [SPEAKER_TURN]
[00:08:47.820 --> 00:08:48.800]   Yeah
[00:08:48.800 --> 00:08:49.740]  . [SPEAKER_TURN]
[00:08:49.940 --> 00:08:49.940]  
[00:08:49.940 --> 00:08:50.200]   work
[00:08:50.200 --> 00:08:50.730]   involved
[00:08:50.730 --> 00:08:50.990]   with
[00:08:50.990 --> 00:08:51.250]   that
[00:08:51.250 --> 00:08:51.450]   you
[00:08:51.450 --> 00:08:51.580]  ,
[00:08:51.580 --> 00:08:51.840]   know
[00:08:51.840 --> 00:08:52.300]   getting
[00:08:52.300 --> 00:08:52.430]  ,
[00:08:52.430 --> 00:08:52.560]   on
[00:08:52.560 --> 00:08:52.890]   phone
[00:08:52.890 --> 00:08:53.220]   calls
[00:08:53.220 --> 00:08:53.480]   with
[00:08:53.480 --> 00:08:53.800]   email
[00:08:53.800 --> 00:08:54.270]   service
[00:08:54.270 --> 00:08:54.860]   providers
[00:08:54.860 --> 00:08:55.060]   and
[00:08:55.060 --> 00:08:55.460]   making
[00:08:55.460 --> 00:08:55.720]   sure
[00:08:55.720 --> 00:08:55.920]   you
[00:08:55.920 --> 00:08:56.110]  're
[00:08:56.110 --> 00:08:56.310]   not
[00:08:56.310 --> 00:08:56.640]   black
[00:08:56.640 --> 00:08:57.030]  listed
[00:08:57.030 --> 00:08:57.230]   and
[00:08:57.230 --> 00:08:57.430]   all
[00:08:57.430 --> 00:08:57.690]   that
[00:08:57.690 --> 00:08:57.980]   kind
[00:08:57.980 --> 00:08:58.080]   of
[00:08:58.080 --> 00:08:58.410]   stuff
[00:08:58.410 --> 00:08:58.600]  .
[00:08:58.600 --> 00:08:58.730]   So
[00:08:58.730 --> 00:08:58.870]   we
[00:08:58.870 --> 00:08:58.990]   we
[00:08:58.990 --> 00:08:59.250]   rely
[00:08:59.250 --> 00:08:59.710]   heavily
[00:08:59.710 --> 00:08:59.840]   on
[00:08:59.840 --> 00:08:59.900]   a
[00:08:59.900 --> 00:09:00.490]   couple
[00:09:00.490 --> 00:09:00.890]   different
[00:09:00.890 --> 00:09:01.020]   um
[00:09:01.020 --> 00:09:01.080]   t
