
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:01.030]  ced
[00:19:23.320 --> 00:19:23.570]   than
[00:19:23.570 --> 00:19:23.690]   me
[00:19:23.690 --> 00:19:23.870]   and
[00:19:23.870 --> 00:19:23.990]   he
[00:19:23.990 --> 00:19:24.110]  's
[00:19:24.110 --> 00:19:24.460]   still
[00:19:24.460 --> 00:19:24.820]   like
[00:19:24.820 --> 00:19:24.920]   yeah
[00:19:24.920 --> 00:19:25.040]  ,
[00:19:25.040 --> 00:19:25.220]   I
[00:19:25.220 --> 00:19:25.280]   don
[00:19:25.280 --> 00:19:25.400]  't
[00:19:25.400 --> 00:19:25.520]   do
[00:19:25.520 --> 00:19:25.820]   any
[00:19:25.820 --> 00:19:25.900]   of
[00:19:25.900 --> 00:19:26.070]   that
[00:19:26.070 --> 00:19:26.370]   stuff
[00:19:26.370 --> 00:19:26.820]   anymore
[00:19:26.820 --> 00:19:27.000]  .
[00:19:27.000 --> 00:19:27.170]   He
[00:19:27.170 --> 00:19:27.240]  's
[00:19:27.240 --> 00:19:27.490]   like
[00:19:27.490 --> 00:19:27.670]   you
[00:19:27.670 --> 00:19:27.960]   know
[00:19:27.960 --> 00:19:28.040]   he
[00:19:28.040 --> 00:19:28.160]  's
[00:19:28.160 --> 00:19:28.280]   he
[00:19:28.280 --> 00:19:28.460]  'll
[00:19:28.460 --> 00:19:28.580]   he
[00:19:28.580 --> 00:19:28.760]  'll
[00:19:28.760 --> 00:19:29.010]   give
[00:19:29.010 --> 00:19:29.190]   me
[00:19:29.190 --> 00:19:29.250]   he
[00:19:29.250 --> 00:19:29.560]   would
[00:19:29.560 --> 00:19:29.810]   give
[00:19:29.810 --> 00:19:30.010]   me
[00:19:30.010 --> 00:19:30.300]   advice
[00:19:30.300 --> 00:19:30.550]   and
[00:19:30.550 --> 00:19:30.790]   cheer
[00:19:30.790 --> 00:19:30.910]   me
[00:19:30.910 --> 00:19:31.030]   on
[00:19:31.030 --> 00:19:31.280]   like
[00:19:31.280 --> 00:19:31.460]   are
[00:19:31.460 --> 00:19:31.640]   you
[00:19:31.640 --> 00:19:31.950]   doing
[00:19:31.950 --> 00:19:32.260]   great
[00:19:32.260 --> 00:19:32.440]   you
[00:19:32.440 --> 00:19:32.560]  ,
[00:19:32.560 --> 00:19:32.810]   know
[00:19:32.810 --> 00:19:33.350]   whatever
[00:19:33.350 --> 00:19:33.490]   and
[00:19:33.490 --> 00:19:33.740]   but
[00:19:33.740 --> 00:19:33.790]   he
[00:19:33.790 --> 00:19:33.920]  's
[00:19:33.920 --> 00:19:34.160]   just
[00:19:34.160 --> 00:19:34.350]   like
[00:19:34.350 --> 00:19:34.530]   no
[00:19:34.530 --> 00:19:34.720]   I
[00:19:34.720 --> 00:19:34.840]   just
[00:19:34.840 --> 00:19:35.020]   get
[00:19:35.020 --> 00:19:35.250]   in
[00:19:35.250 --> 00:19:35.390]   here
[00:19:35.390 --> 00:19:35.570]   and
[00:19:35.570 --> 00:19:35.630]   I
[00:19:35.630 --> 00:19:35.880]   just
[00:19:35.880 --> 00:19:36.020]   do
[00:19:36.020 --> 00:19:36.290]   you
[00:19:36.290 --> 00:19:36.490]   could
[00:19:36.490 --> 00:19:36.920]   feel
[00:19:36.920 --> 00:19:36.920]   the
[00:19:36.920 --> 00:19:37.380]   muscle
[00:19:37.380 --> 00:19:37.410]   do
[00:19:37.410 --> 00:19:37.690]  ,
[00:19:37.690 --> 00:19:37.710]   the
[00:19:37.710 --> 00:19:38.020]   stuff
[00:19:38.020 --> 00:19:38.200]  .
[00:19:38.200 --> 00:19:38.320]   He
[00:19:38.320 --> 00:19:38.520]  's
[00:19:38.520 --> 00:19:38.720]   like
[00:19:38.720 --> 00:19:38.750]   I
[00:19:38.750 --> 00:19:39.040]   cum
[00:19:39.040 --> 00:19:39.110]   and
[00:19:39.110 --> 00:19:39.360]   some
[00:19:39.360 --> 00:19:39.860]   injuries
[00:19:39.860 --> 00:19:40.040]   and
[00:19:40.040 --> 00:19:40.220]   you
[00:19:40.220 --> 00:19:40.470]   know
[00:19:40.470 --> 00:19:40.590]   it
[00:19:40.590 --> 00:19:40.710]  's
[00:19:40.710 --> 00:19:41.780]   like
[00:19:41.780 --> 00:19:41.820]  
[00:19:41.820 --> 00:19:41.900]   no
[00:19:41.900 --> 00:19:42.260]   you
[00:19:42.260 --> 00:19:42.380]  're
[00:19:42.380 --> 00:19:42.440]   not
[00:19:42.440 --> 00:19:42.750]   doing
[00:19:42.750 --> 00:19:43.110]   that
[00:19:43.110 --> 00:19:43.520]   stuff
[00:19:43.520 --> 00:19:43.520]  .
[00:19:43.520 --> 00:19:43.590]   You
[00:19:43.590 --> 00:19:43.900]   know
[00:19:43.900 --> 00:19:44.090]   and
[00:19:44.090 --> 00:19:44.300]   is
[00:19:44.300 --> 00:19:44.380]   it
[00:19:44.380 --> 00:19:45.040]   theoretically
[00:19:45.040 --> 00:19:45.490]   possible
[00:19:45.490 --> 00:19:46.310]   theoretically
[00:19:46.310 --> 00:19:46.670]   possible
[00:19:46.670 --> 00:19:46.850]   but
[00:19:46.850 --> 00:19:47.180]   here
[00:19:47.180 --> 00:19:47.270]  's
[00:19:47.270 --> 00:19:47.350]   the
[00:19:47.350 --> 00:19:47.630]   thing
[00:19:47.630 --> 00:19:47.980]   about
[00:19:47.980 --> 00:19:48.020]   you
[00:19:48.020 --> 00:19:48.900]   know
[00:19:48.900 --> 00:19:49.000]   everything
[00:19:49.000 --> 00:19:49.420]   whether
[00:19:49.420 --> 00:19:49.540]   it
[00:19:49.540 --> 00:19:49.710]  's
[00:19:49.710 --> 00:19:50.260]   training
[00:19:50.260 --> 00:19:50.440]   or
[00:19:50.440 --> 00:19:50.500]   diet
[00:19:50.500 --> 00:19:50.620]   or
[00:19:50.620 --> 00:19:51.100]   whatever
[00:19:51.100 --> 00:19:51.220]   it
[00:19:51.220 --> 00:19:51.340]  's
[00:19:51.340 --> 00:19:51.580]   like
[00:19:51.580 --> 00:19:51.830]   your
[00:19:51.830 --> 00:19:52.240]   mileage
[00:19:52.240 --> 00:19:52.420]   may
[00:19:52.420 --> 00:19:52.690]   vary
[00:19:52.690 --> 00:19:52.840]  .
[00:19:52.840 --> 00:19:53.380]   Everybody
[00:19:53.380 --> 00:19:53.500]  's
[00:19:53.500 --> 00:19:53.550]   a
[00:19:53.550 --> 00:19:53.910]   little
[00:19:53.910 --> 00:19:54.500]   different
[00:19:54.500 --> 00:19:54.640]  .
[00:19:54.640 --> 00:19:55.180]   Everybody
[00:19:55.180 --> 00:19:55.300]  's
[00:19:55.300 --> 00:19:55.780]   body
[00:19:55.780 --> 00:19:56.020]   responds
[00:19:56.020 --> 00:19:56.140]   to
[00:19:56.140 --> 00:19:56.510]   things
[00:19:56.510 --> 00:19:57.160]   differently
[00:19:57.160 --> 00:19:57.420]  .
[00:19:57.420 --> 00:19:57.580]   Some
[00:19:57.580 --> 00:19:57.940]   people
[00:19:57.940 --> 00:19:58.240]   can
[00:19:58.240 --> 00:19:58.240]   do
[00:19:58.240 --> 00:19:58.520]   stuff
[00:19:58.520 --> 00:19:58.850]   you
[00:19:58.850 --> 00:19:58.960]   know
[00:19:58.960 --> 00:19:59.080]   uh
[00:19:59.080 --> 00:19:59.140]   i
[00:19:59.140 --> 00:19:59.250]   at
[00:19:59.250 --> 00:19:59.320]   a
[00:19:59.320 --> 00:19:59.740]   certain
[00:19:59.740 --> 00:19:59.920]   age
[00:19:59.920 --> 00:20:00.040]   as
[00:20:00.040 --> 00:20:00.340]   other
[00:20:00.340 --> 00:20:00.700]   people
[00:20:00.700 --> 00:20:00.820]   it
[00:20:00.820 --> 00:20:01.060]   just
[00:20:01.060 --> 00:20:01.240]   isn
[00:20:01.240 --> 00:20:01.400]  't
[00:20:01.400 --> 00:20:01.650]   gonna
[00:20:01.650 --> 00:20:01.900]   work
[00:20:01.900 --> 00:20:02.080]   for
[00:20:02.080 --> 00:20:02.350]   them
[00:20:02.350 --> 00:20:02.610]  .
[00:20:02.610 --> 00:20:02.630]   So
[00:20:02.630 --> 00:20:03.100]   anyway
[00:20:03.100 --> 00:20:03.370]   that
[00:20:03.370 --> 00:20:03.590]  's
[00:20:03.590 --> 00:20:03.620]  ,
[00:20:03.620 --> 00:20:04.140]   operation
[00:20:04.140 --> 00:20:04.690]   superhero
[00:20:04.690 --> 00:20:04.880]  .
[00:20:04.880 --> 00:20:05.010]   So
[00:20:05.010 --> 00:20:05.050]   I
[00:20:05.050 --> 00:20:05.170]  'm
[00:20:05.170 --> 00:20:05.230]   I
[00:20:05.230 --> 00:20:05.350]  'm
[00:20:05.350 --> 00:20:05.560]   uh
[00:20:05.560 --> 00:20:05.710]   that
[00:20:05.710 --> 00:20:05.830]  's
[00:20:05.830 --> 00:20:05.890]   a
[00:20:05.890 --> 00:20:06.130]   that
[00:20:06.130 --> 00:20:06.250]  's
[00:20:06.250 --> 00:20:06.350]   a
[00:20:06.350 --> 00:20:06.710]   little
[00:20:06.710 --> 00:20:06.860]   bit
[00:20:06.860 --> 00:20:06.980]   of
[00:20:06.980 --> 00:20:07.040]   a
[00:20:07.040 --> 00:20:07.160]   uh
[00:20:07.160 --> 00:20:07.650]   disappointing
[00:20:07.650 --> 00:20:08.380]   note
[00:20:08.380 --> 00:20:08.430]   but
[00:20:08.430 --> 00:20:08.440]   I
[00:20:08.440 --> 00:20:08.560]  'm
[00:20:08.560 --> 00:20:08.800]   just
[00:20:08.800 --> 00:20:09.040]   sort
[00:20:09.040 --> 00:20:09.220]   of
[00:20:09.220 --> 00:20:09.400]   like
[00:20:09.400 --> 00:20:09.870]   alright
[00:20:09.870 --> 00:20:09.950]   on
[00:20:09.950 --> 00:20:10.130]   the
[00:20:10.130 --> 00:20:10.780]   positive
[00:20:10.780 --> 00:20:11.120]   note [SPEAKER_TURN]
[00:20:11.760 --> 00:20:11.760]  
[00:20:11.760 --> 00:20:12.420]   You
[00:20:12.420 --> 00:20:12.430]  'll
[00:20:12.430 --> 00:20:12.640]   be
[00:20:12.640 --> 00:20:13.410]   healthy
[00:20:13.410 --> 00:20:15.420]  . [SPEAKER_TURN]
[00:20:15.420 --> 00:20:15.610]   give
[00:20:15.610 --> 00:20:15.640]   a
[00:20:15.640 --> 00:20:15.770]   lot
[00:20:15.770 --> 00:20:15.950]   more
[00:20:15.950 --> 00:20:16.040]   of
[00:20:16.040 --> 00:20:16.130]   my
[00:20:16.130 --> 00:20:16.360]   time
[00:20:16.360 --> 00:20:16.490]   back
[00:20:16.490 --> 00:20:17.040]  . [SPEAKER_TURN]
[00:20:17.040 --> 00:20:17.680]   Alright
[00:20:17.680 --> 00:20:17.730]   well
[00:20:17.730 --> 00:20:17.790]   so
[00:20:17.790 --> 00:20:18.250]   talking
[00:20:18.250 --> 00:20:18.490]   about
[00:20:18.490 --> 00:20:18.840]   giving
[00:20:18.840 --> 00:20:19.010]   you
[00:20:19.010 --> 00:20:19.140]  'd
[00:20:19.140 --> 00:20:19.300]   let
[00:20:19.300 --> 00:20:19.470]   let
[00:20:19.470 --> 00:20:19.570]  's
[00:20:19.570 --> 00:20:19.820]   let
[00:20:19.820 --> 00:20:19.850]  's
[00:20:19.850 --> 00:20:20.050]   not
[00:20:20.050 --> 00:20:20.380]   switch
[00:20:20.380 --> 00:20:20.480]   to
[00:20:20.480 --> 00:20:20.580]   me
[00:20:20.580 --> 00:20:20.790]   let
[00:20:20.790 --> 00:20:20.870]  's
[00:20:20.870 --> 00:20:21.240]   switch
[00:20:21.240 --> 00:20:21.330]   to
[00:20:21.330 --> 00:20:21.790]   switch
[00:20:21.790 --> 00:20:21.790]   to
[00:20:21.790 --> 00:20:22.540]   something
[00:20:22.540 --> 00:20:22.810]   positive
[00:20:22.810 --> 00:20:23.020]   with
[00:20:23.020 --> 00:20:23.190]   you
[00:20:23.190 --> 00:20:23.400]  .
[00:20:23.400 --> 00:20:23.530]   Let
[00:20:23.530 --> 00:20:23.640]  's
[00:20:23.640 --> 00:20:23.870]   hear
[00:20:23.870 --> 00:20:24.170]   about
[00:20:24.170 --> 00:20:24.700]   something
[00:20:24.700 --> 00:20:24.810]   like
[00:20:24.810 --> 00:20:25.260]   wasn
[00:20:25.260 --> 00:20:25.300]  't
[00:20:25.300 --> 00:20:25.490]   this
[00:20:25.490 --> 00:20:26.020]   happened
[00:20:26.020 --> 00:20:26.370]   whether
[00:20:26.370 --> 00:20:26.480]   it
[00:20:26.480 --> 00:20:26.580]   be
[00:20:26.580 --> 00:20:26.690]   in
[00:20:26.690 --> 00:20:27.340]   math
[00:20:27.340 --> 00:20:27.440]   academy
[00:20:27.440 --> 00:20:27.450]   or
[00:20:27.450 --> 00:20:27.980]   something
[00:20:27.980 --> 00:20:28.210]   else
[00:20:28.210 --> 00:20:29.300]  . [SPEAKER_TURN]
[00:20:29.300 --> 00:20:29.700]   Yeah
[00:20:29.700 --> 00:20:29.760]   so
[00:20:29.760 --> 00:20:29.970]   let
[00:20:29.970 --> 00:20:30.120]  's
[00:20:30.120 --> 00:20:30.290]   uh
[00:20:30.290 --> 00:20:30.600]   this
[00:20:30.600 --> 00:20:30.760]   is
[00:20:30.760 --> 00:20:30.970]   um
[00:20:30.970 --> 00:20:31.010]   I
[00:20:31.010 --> 00:20:31.040]   I
[00:20:31.040 --> 00:20:31.110]   I
[00:20:31.110 --> 00:20:31.510]   this
[00:20:31.510 --> 00:20:31.570]   is
[00:20:31.570 --> 00:20:31.800]   not
[00:20:31.800 --> 00:20:31.870]   I
[00:20:31.870 --> 00:20:32.190]   mean
[00:20:32.190 --> 00:20:32.490]   this
[00:20:32.490 --> 00:20:32.640]   is
[00:20:32.640 --> 00:20:33.260]   positive
[00:20:33.260 --> 00:20:33.480]   but
[00:20:33.480 --> 00:20:33.670]   it
[00:20:33.670 --> 00:20:33.790]  's
[00:20:33.790 --> 00:20:34.090]   just
[00:20:34.090 --> 00:20:34.480]   gonna
[00:20:34.480 --> 00:20:34.880]   start
[00:20:34.880 --> 00:20:35.110]   off
[00:20:35.110 --> 00:20:35.290]   as
[00:20:35.290 --> 00:20:35.930]   negative
[00:20:35.930 --> 00:20:36.160]   but
[00:20:36.160 --> 00:20:36.180]   I
[00:20:36.180 --> 00:20:36.640]   think
[00:20:36.640 --> 00:20:36.800]   all
[00:20:36.800 --> 00:20:37.510]   change
[00:20:37.510 --> 00:20:37.510]   all
[00:20:37.510 --> 00:20:38.120]   positive
[00:20:38.120 --> 00:20:38.760]   change
[00:20:38.760 --> 00:20:38.970]   starts
[00:20:38.970 --> 00:20:39.060]   out
[00:20:39.060 --> 00:20:39.420]   often
[00:20:39.420 --> 00:20:39.480]   as
[00:20:39.480 --> 00:20:40.020]   something
[00:20:40.020 --> 00:20:40.500]   negative
[00:20:40.500 --> 00:20:41.180]  . [SPEAKER_TURN]
[00:20:41.180 --> 00:20:41.380]   Okay
[00:20:41.380 --> 00:20:41.540]  .
[00:20:41.820 --> 00:20:41.580]   I
[00:20:41.580 --> 00:20:41.920]   think
[00:20:41.920 --> 00:20:41.950]   you
[00:20:41.950 --> 00:20:42.130]   have
[00:20:42.130 --> 00:20:42.220]   to
[00:20:42.220 --> 00:20:42.400]   like
[00:20:42.400 --> 00:20:42.540]   you
[00:20:42.540 --> 00:20:42.950]   usually
[00:20:42.950 --> 00:20:43.000]   don
[00:20:43.000 --> 00:20:43.090]  't
[00:20:43.090 --> 00:20:43.230]   you
[00:20:43.230 --> 00:20:43.370]   don
[00:20:43.370 --> 00:20:43.460]  't
[00:20:43.460 --> 00:20:43.680]   have
[00:20:43.680 --> 00:20:44.050]   a
[00:20:44.050 --> 00:20:44.080]   positive
[00:20:44.080 --> 00:20:44.330]   change
[00:20:44.330 --> 00:20:44.520]   for
[00:20:44.520 --> 00:20:44.980]   something
[00:20:44.980 --> 00:20:45.070]   that
[00:20:45.070 --> 00:20:45.220]  's
[00:20:45.220 --> 00:20:45.480]   already
[00:20:45.480 --> 00:20:45.850]   positive
[00:20:45.850 --> 00:20:46.170]   usually
[00:20:46.170 --> 00:20:46.260]   so
[00:20:46.260 --> 00:20:46.440]   much
[00:20:46.440 --> 00:20:46.660]   right
[00:20:46.660 --> 00:20:46.760]  ,
[00:20:46.760 --> 00:20:47.250]   Something
[00:20:47.250 --> 00:20:47.270]   is
[00:20:47.270 --> 00:20:47.450]   not
[00:20:47.450 --> 00:20:47.730]   working
[00:20:47.730 --> 00:20:47.820]   or
[00:20:47.820 --> 00:20:48.240]   something
[00:20:48.240 --> 00:20:48.340]  's
[00:20:48.340 --> 00:20:48.470]   not
[00:20:48.470 --> 00:20:48.780]   working
[00:20:48.780 --> 00:20:48.990]   as
[00:20:48.990 --> 00:20:49.060]   well
[00:20:49.060 --> 00:20:49.150]   as
[00:20:49.150 --> 00:20:49.240]   it
[00:20:49.240 --> 00:20:49.520]   should
[00:20:49.520 --> 00:20:50.200]  . [SPEAKER_TURN]
[00:20:50.200 --> 00:20:50.240]   M
[00:20:50.240 --> 00:20:50.260]  m
[00:20:50.260 --> 00:20:50.280]  -
[00:20:50.280 --> 00:20:50.290]  h
[00:20:50.290 --> 00:20:50.330]  mm
[00:20:50.330 --> 00:20:50.640]  . [SPEAKER_TURN]
[00:20:51.600 --> 00:20:51.730]  
[00:20:51.730 --> 00:20:51.800]   So
[00:20:51.800 --> 00:20:51.900]   I
[00:20:51.900 --> 00:20:52.200]   don
[00:20:52.200 --> 00:20:52.360]  't
[00:20:52.360 --> 00:20:52.900]   wanna
[00:20:52.900 --> 00:20:53.300]   talk
[00:20:53.300 --> 00:20:54.130]   specific
[00:20:54.130 --> 00:20:54.800]   numbers
[00:20:54.800 --> 00:20:55.100]   but
[00:20:55.100 --> 00:20:55.420]   let
[00:20:55.420 --> 00:20:55.600]   me
[00:20:55.600 --> 00:20:55.900]   say
[00:20:55.900 --> 00:20:56.520]   this
[00:20:56.520 --> 00:20:56.700]   that
[00:20:56.700 --> 00:20:57.000]   the
[00:20:57.000 --> 00:20:57.790]   burn
[00:20:57.790 --> 00:20:57.800]   rate
[00:20:57.800 --> 00:20:58.100]   for
[00:20:58.100 --> 00:20:58.480]   the
[00:20:59.600 --> 00:20:59.700]  
[00:20:59.700 --> 00:20:59.980]   math
[00:20:59.980 --> 00:21:00.570]   academy
[00:21:00.570 --> 00:21:01.450]   software
[00:21:01.450 --> 00:21:01.540]   had
[00:21:01.540 --> 00:21:01.790]   just
[00:21:01.790 --> 00:21:02.310]   skyrocket
[00:21:02.310 --> 00:21:02.820]  ed
[00:21:02.820 --> 00:21:03.060]   over
[00:21:03.060 --> 00:21:03.220]   the
[00:21:03.220 --> 00:21:03.410]   past
[00:21:03.410 --> 00:21:03.670]   six
[00:21:03.670 --> 00:21:04.110]   months
[00:21:04.110 --> 00:21:04.220]   and
[00:21:04.220 --> 00:21:04.340]   uh
[00:21:04.340 --> 00:21:04.550]   you
[00:21:04.550 --> 00:21:04.820]   know
[00:21:04.820 --> 00:21:04.950]   it
[00:21:04.950 --> 00:21:05.160]   was
[00:21:05.160 --> 00:21:05.320]   all
[00:21:05.320 --> 00:21:05.890]   these
[00:21:05.890 --> 00:21:06.100]   things
[00:21:06.100 --> 00:21:06.370]   that
[00:21:06.370 --> 00:21:06.500]   we
[00:21:06.500 --> 00:21:06.540]   were
[00:21:06.540 --> 00:21:07.030]   just
[00:21:07.030 --> 00:21:07.470]   like
[00:21:07.470 --> 00:21:07.670]   well
[00:21:07.670 --> 00:21:07.710]   we
[00:21:07.710 --> 00:21:07.840]  ,
[00:21:07.840 --> 00:21:08.110]   need
[00:21:08.110 --> 00:21:08.590]   another
[00:21:08.590 --> 00:21:09.140]   tutorial
[00:21:09.140 --> 00:21:09.550]   writer
[00:21:09.550 --> 00:21:09.820]   well
[00:21:09.820 --> 00:21:09.950]  ,
[00:21:09.950 --> 00:21:10.080]   we
[00:21:10.080 --> 00:21:10.350]   need
[00:21:10.350 --> 00:21:10.480]   to
[00:21:10.480 --> 00:21:10.980]   record
[00:21:10.980 --> 00:21:11.300]   videos
[00:21:11.300 --> 00:21:11.570]   well
[00:21:11.570 --> 00:21:11.700]  ,
[00:21:11.700 --> 00:21:11.860]   we
[00:21:11.860 --> 00:21:12.100]   need
[00:21:12.100 --> 00:21:12.160]   a
[00:21:12.160 --> 00:21:12.360]   few
[00:21:12.360 --> 00:21:12.630]   more
[00:21:12.630 --> 00:21:12.760]   uh
[00:21:12.760 --> 00:21:13.020]   this
[00:21:13.020 --> 00:21:13.170]   or
[00:21:13.170 --> 00:21:13.510]   that
[00:21:13.510 --> 00:21:14.100]  .
[00:21:14.100 --> 00:21:14.100]   And
[00:21:14.100 --> 00:21:14.330]   so
[00:21:14.330 --> 00:21:14.350]   you
[00:21:14.350 --> 00:21:14.610]   know
[00:21:14.610 --> 00:21:14.610]   my
[00:21:14.610 --> 00:21:15.000]   interest
[00:21:15.000 --> 00:21:15.140]   was
[00:21:15.140 --> 00:21:15.330]   like
[00:21:15.330 --> 00:21:15.560]   well
[00:21:15.560 --> 00:21:15.660]  ,
[00:21:15.660 --> 00:21:15.700]   we
[00:21:15.700 --> 00:21:15.940]   gotta
[00:21:15.940 --> 00:21:16.220]   create
[00:21:16.220 --> 00:21:16.460]   this
[00:21:16.460 --> 00:21:16.660]   stuff
[00:21:16.660 --> 00:21:16.800]   one
[00:21:16.800 --> 00:21:16.980]   way
[00:21:16.980 --> 00:21:17.030]   or
[00:21:17.030 --> 00:21:17.390]   another
[00:21:17.390 --> 00:21:17.460]  ,
[00:21:17.460 --> 00:21:17.600]   let
[00:21:17.600 --> 00:21:17.690]  's
[00:21:17.690 --> 00:21:17.880]   just
[00:21:17.880 --> 00:21:18.110]   might
[00:21:18.110 --> 00:21:18.210]   as
[00:21:18.210 --> 00:21:18.500]   well
[00:21:18.500 --> 00:21:18.540]   get
[00:21:18.540 --> 00:21:18.630]   it
[00:21:18.630 --> 00:21:18.820]   done
[00:21:18.820 --> 00:21:19.200]   sooner
[00:21:19.200 --> 00:21:19.300]   than
[00:21:19.300 --> 00:21:19.540]   later
[00:21:19.540 --> 00:21:20.180]  .
[00:21:20.180 --> 00:21:20.270]   But
[00:21:20.270 --> 00:21:20.470]   then
[00:21:20.470 --> 00:21:20.760]   what
[00:21:20.760 --> 00:21:20.830]   I
[00:21:20.830 --> 00:21:21.340]   noticed
[00:21:21.340 --> 00:21:21.480]   is
[00:21:21.480 --> 00:21:21.770]   that
[00:21:21.770 --> 00:21:21.910]   it
[00:21:21.910 --> 00:21:22.230]   was
[00:21:22.230 --> 00:21:22.420]   just
[00:21:22.420 --> 00:21:22.710]   like
[00:21:22.710 --> 00:21:23.080]   every
[00:21:23.080 --> 00:21:23.370]   week
[00:21:23.370 --> 00:21:23.440]   I
[00:21:23.440 --> 00:21:23.950]   guess
[00:21:23.950 --> 00:21:24.080]   get
[00:21:24.080 --> 00:21:24.250]   hit
[00:21:24.250 --> 00:21:24.540]   with
[00:21:24.540 --> 00:21:24.840]   this
[00:21:24.840 --> 00:21:25.050]   gen
[00:21:25.050 --> 00:21:25.270]  orm
[00:21:25.270 --> 00:21:25.490]  ous
[00:21:25.490 --> 00:21:25.780]   bill
[00:21:25.780 --> 00:21:26.070]   from
[00:21:26.070 --> 00:21:26.210]   Up
[00:21:26.210 --> 00:21:26.500]  work
[00:21:26.500 --> 00:21:26.700]   and
[00:21:26.700 --> 00:21:26.860]   it
[00:21:26.860 --> 00:21:27.290]   was
[00:21:27.290 --> 00:21:27.370]   like
[00:21:27.370 --> 00:21:27.510]   it
[00:21:27.510 --> 00:21:27.730]   was
[00:21:27.730 --> 00:21:28.400]   like
[00:21:28.400 --> 00:21:28.530]   getting
[00:21:28.530 --> 00:21:29.060]   punched
[00:21:29.060 --> 00:21:29.310]   in
[00:21:29.310 --> 00:21:29.600]   the
[00:21:29.600 --> 00:21:29.600]  
[00:21:29.600 --> 00:21:30.260]   the
[00:21:30.260 --> 00:21:30.360]   ribs
[00:21:30.360 --> 00:21:30.820]   every
[00:21:30.820 --> 00:21:31.750]   Monday
[00:21:31.750 --> 00:21:32.290]   morning
[00:21:32.290 --> 00:21:32.830]  .
[00:21:32.830 --> 00:21:32.900]   You
[00:21:32.900 --> 00:21:33.350]   know
[00:21:33.350 --> 00:21:33.840]   PayPal
[00:21:33.840 --> 00:21:34.020]   has
[00:21:34.020 --> 00:21:34.190]   it
[00:21:34.190 --> 00:21:34.440]   you
[00:21:34.440 --> 00:21:34.800]   know
[00:21:34.800 --> 00:21:35.130]   like
[00:21:35.130 --> 00:21:35.490]   holy
[00:21:35.490 --> 00:21:35.800]   crap
[00:21:35.800 --> 00:21:36.150]   that
[00:21:36.150 --> 00:21:36.400]  's
[00:21:36.400 --> 00:21:36.450]   a
[00:21:36.450 --> 00:21:36.660]   ton
[00:21:36.660 --> 00:21:36.830]   of
[00:21:36.830 --> 00:21:37.260]   money
[00:21:37.260 --> 00:21:37.630]  .
[00:21:37.630 --> 00:21:37.860]   Like
[00:21:37.860 --> 00:21:37.870]   I
[00:21:37.870 --> 00:21:38.040]   don
[00:21:38.040 --> 00:21:38.150]  't
[00:21:38.150 --> 00:21:38.260]   it
[00:21:38.260 --> 00:21:38.650]   doesn
[00:21:38.650 --> 00:21:38.680]  't
[00:21:38.680 --> 00:21:38.990]   matter
[00:21:38.990 --> 00:21:39.250]   how
[00:21:39.250 --> 00:21:39.410]   much
[00:21:39.410 --> 00:21:39.660]   money
[00:21:39.660 --> 00:21:39.840]   you
[00:21:39.840 --> 00:21:40.050]   have
[00:21:40.050 --> 00:21:40.180]   you
[00:21:40.180 --> 00:21:40.330]  're
[00:21:40.330 --> 00:21:40.670]   gonna
[00:21:40.670 --> 00:21:40.910]   go
[00:21:40.910 --> 00:21:41.060]   broke
[00:21:41.060 --> 00:21:41.330]   doing
[00:21:41.330 --> 00:21:41.350]   that
[00:21:41.350 --> 00:21:41.840]   you
[00:21:41.840 --> 00:21:41.930]  ,
[00:21:41.930 --> 00:21:42.060]   know
[00:21:42.060 --> 00:21:42.230]  .
[00:21:42.230 --> 00:21:42.450]   And
[00:21:42.450 --> 00:21:42.620]   I
[00:21:42.620 --> 00:21:42.640]   was
[00:21:42.640 --> 00:21:42.960]   having
[00:21:42.960 --> 00:21:43.010]   a
[00:21:43.010 --> 00:21:43.410]   problem
[00:21:43.410 --> 00:21:43.510]   I
[00:21:43.510 --> 00:21:43.800]   couldn
[00:21:43.800 --> 00:21:43.940]  't
[00:21:43.940 --> 00:21:44.190]   sleep
[00:21:44.190 --> 00:21:44.290]   at
[00:21:44.290 --> 00:21:44.310]   night
[00:21:44.310 --> 00:21:44.750]   you
[00:21:44.750 --> 00:21:44.850]  ,
[00:21:44.850 --> 00:21:45.220]   know
[00:21:45.220 --> 00:21:45.250]  .
[00:21:45.250 --> 00:21:45.300]   I
[00:21:45.300 --> 00:21:45.470]   was
[00:21:45.470 --> 00:21:45.750]   kinda
[00:21:45.750 --> 00:21:46.150]   feeling
[00:21:46.150 --> 00:21:46.370]   this
[00:21:46.370 --> 00:21:46.590]   like
[00:21:46.590 --> 00:21:46.700]   lo
[00:21:46.700 --> 00:21:46.840]   I
[00:21:46.840 --> 00:21:46.920]   got
[00:21:46.920 --> 00:21:47.140]   this
[00:21:47.140 --> 00:21:47.360]   kind
[00:21:47.360 --> 00:21:47.480]   of
[00:21:47.480 --> 00:21:47.640]   low
[00:21:47.640 --> 00:21:47.920]   grade
[00:21:47.920 --> 00:21:48.320]   anxiety
[00:21:48.320 --> 00:21:48.490]   was
[00:21:48.490 --> 00:21:48.940]   creeping
[00:21:48.940 --> 00:21:49.280]   around
[00:21:49.280 --> 00:21:49.330]   a
