
[00:00:00.000 --> 00:00:00.880]  
[00:00:00.880 --> 00:00:02.000]   ordinary
[00:07:44.340 --> 00:07:44.410]  .
[00:07:44.410 --> 00:07:44.570]   And
[00:07:44.570 --> 00:07:44.860]   you
[00:07:44.860 --> 00:07:44.920]   say
[00:07:44.920 --> 00:07:45.110]   okay
[00:07:45.110 --> 00:07:45.260]   this
[00:07:45.260 --> 00:07:45.420]  'll
[00:07:45.420 --> 00:07:45.620]   work
[00:07:45.620 --> 00:07:45.760]   for
[00:07:45.760 --> 00:07:45.920]   me
[00:07:45.920 --> 00:07:46.060]   next
[00:07:46.060 --> 00:07:46.260]   week
[00:07:46.260 --> 00:07:46.360]  ,
[00:07:46.360 --> 00:07:46.560]   okay
[00:07:46.560 --> 00:07:46.710]   now
[00:07:46.710 --> 00:07:46.760]   I
[00:07:46.760 --> 00:07:47.070]   gotta
[00:07:47.070 --> 00:07:47.260]   write
[00:07:47.260 --> 00:07:47.460]   this
[00:07:47.460 --> 00:07:47.610]   you
[00:07:47.610 --> 00:07:47.810]   know
[00:07:47.810 --> 00:07:48.010]   this
[00:07:48.010 --> 00:07:48.310]   whole
[00:07:48.310 --> 00:07:48.610]   section
[00:07:48.610 --> 00:07:48.710]   of
[00:07:48.710 --> 00:07:48.860]   the
[00:07:48.860 --> 00:07:49.290]   textbook
[00:07:49.290 --> 00:07:49.600]   couple
[00:07:49.600 --> 00:07:49.810]   pages
[00:07:49.810 --> 00:07:49.960]   and
[00:07:49.960 --> 00:07:50.060]   do
[00:07:50.060 --> 00:07:50.210]   all
[00:07:50.210 --> 00:07:50.360]   the
[00:07:50.360 --> 00:07:50.660]   worked
[00:07:50.660 --> 00:07:50.810]   out
[00:07:50.810 --> 00:07:50.860]   problems
[00:07:50.860 --> 00:07:51.510]   and
[00:07:51.510 --> 00:07:51.540]   and
[00:07:51.540 --> 00:07:52.020]   everything
[00:07:52.020 --> 00:07:52.170]  .
[00:07:52.170 --> 00:07:52.320]   And
[00:07:52.320 --> 00:07:52.520]   then
[00:07:52.520 --> 00:07:52.620]   of
[00:07:52.620 --> 00:07:52.920]   course
[00:07:52.920 --> 00:07:52.970]   I
[00:07:52.970 --> 00:07:53.130]   needed
[00:07:53.130 --> 00:07:53.470]   a
[00:07:53.470 --> 00:07:53.620]   little
[00:07:53.620 --> 00:07:54.020]   research
[00:07:54.020 --> 00:07:54.070]   I
[00:07:54.070 --> 00:07:54.170]  ,
[00:07:54.170 --> 00:07:54.370]   need
[00:07:54.370 --> 00:07:54.470]   to
[00:07:54.470 --> 00:07:54.760]   figure
[00:07:54.760 --> 00:07:54.920]   out
[00:07:54.920 --> 00:07:55.120]   okay
[00:07:55.120 --> 00:07:55.220]  ,
[00:07:55.220 --> 00:07:55.440]   well
[00:07:55.440 --> 00:07:55.570]   you
[00:07:55.570 --> 00:07:55.760]   know
[00:07:55.760 --> 00:07:56.080]   which
[00:07:56.080 --> 00:07:56.220]   what
[00:07:56.220 --> 00:07:56.540]   should
[00:07:56.540 --> 00:07:56.570]   I
[00:07:56.570 --> 00:07:56.820]   cover
[00:07:56.820 --> 00:07:57.010]   and
[00:07:57.010 --> 00:07:57.120]   let
[00:07:57.120 --> 00:07:57.220]  's
[00:07:57.220 --> 00:07:57.420]   take
[00:07:57.420 --> 00:07:57.510]   at
[00:07:57.510 --> 00:07:57.970]   least
[00:07:57.970 --> 00:07:58.020]   take
[00:07:58.020 --> 00:07:58.040]   a
[00:07:58.040 --> 00:07:58.270]   look
[00:07:58.270 --> 00:07:58.420]   five
[00:07:58.420 --> 00:07:58.510]   or
[00:07:58.510 --> 00:07:58.770]   seven
[00:07:58.770 --> 00:07:59.240]   different
[00:07:59.240 --> 00:07:59.470]   books
[00:07:59.470 --> 00:07:59.620]   and
[00:07:59.620 --> 00:07:59.770]   see
[00:07:59.770 --> 00:07:59.920]   how
[00:07:59.920 --> 00:08:00.020]   uh
[00:08:00.020 --> 00:08:00.470]   different
[00:08:00.470 --> 00:08:00.670]   ways
[00:08:00.670 --> 00:08:00.770]   of
[00:08:00.770 --> 00:08:01.280]   explaining
[00:08:01.280 --> 00:08:01.380]   it
[00:08:01.380 --> 00:08:01.580]   what
[00:08:01.580 --> 00:08:01.630]   I
[00:08:01.630 --> 00:08:01.950]   like
[00:08:01.950 --> 00:08:02.030]   best
[00:08:02.030 --> 00:08:02.620]   and [SPEAKER_TURN]
[00:08:02.620 --> 00:08:02.690]   Do
[00:08:02.690 --> 00:08:02.920]   you
[00:08:02.920 --> 00:08:03.030]   still
[00:08:03.030 --> 00:08:03.200]   have
[00:08:03.200 --> 00:08:03.320]   the
[00:08:03.320 --> 00:08:03.530]   same
[00:08:03.530 --> 00:08:03.700]   level
[00:08:03.700 --> 00:08:03.780]   of
[00:08:03.780 --> 00:08:04.070]   madness
[00:08:04.070 --> 00:08:04.150]   or
[00:08:04.150 --> 00:08:04.260]   has
[00:08:04.260 --> 00:08:04.450]   that
[00:08:04.450 --> 00:08:04.790]   changed
[00:08:04.790 --> 00:08:04.830]   in
[00:08:04.830 --> 00:08:04.930]   any
[00:08:04.930 --> 00:08:05.050]   way
[00:08:05.050 --> 00:08:05.600]  ? [SPEAKER_TURN]
[00:08:05.600 --> 00:08:06.070]   Absolutely
[00:08:06.070 --> 00:08:06.210]  .
[00:08:06.210 --> 00:08:06.390]   Yeah
[00:08:06.390 --> 00:08:06.940]  . [SPEAKER_TURN]
[00:08:06.940 --> 00:08:06.940]  
[00:08:06.940 --> 00:08:07.260]   madness
[00:08:07.260 --> 00:08:07.390]  .
[00:08:07.390 --> 00:08:07.610]   But
[00:08:07.610 --> 00:08:07.630]   it
[00:08:07.630 --> 00:08:07.700]  's
[00:08:07.700 --> 00:08:07.870]   it
[00:08:07.870 --> 00:08:07.880]  's
[00:08:07.880 --> 00:08:08.000]   it
[00:08:08.000 --> 00:08:08.260]   shifts
[00:08:08.260 --> 00:08:08.420]   from
[00:08:08.420 --> 00:08:08.830]   component
[00:08:08.830 --> 00:08:08.960]   to
[00:08:08.960 --> 00:08:09.330]   component
[00:08:09.330 --> 00:08:09.430]   of
[00:08:09.430 --> 00:08:09.600]   this
[00:08:09.600 --> 00:08:09.830]   large
[00:08:09.830 --> 00:08:10.050]   thing
[00:08:10.050 --> 00:08:10.230]   that
[00:08:10.230 --> 00:08:10.240]   you
[00:08:10.240 --> 00:08:10.790]  're
[00:08:10.790 --> 00:08:10.820]   talking
[00:08:10.820 --> 00:08:11.050]   about
[00:08:11.050 --> 00:08:11.640]  . [SPEAKER_TURN]
[00:08:11.640 --> 00:08:11.640]  
[00:08:11.640 --> 00:08:11.900]   Well
[00:08:11.900 --> 00:08:11.960]   w
[00:08:11.960 --> 00:08:12.200]   what
[00:08:12.200 --> 00:08:12.280]   I
[00:08:12.280 --> 00:08:12.570]   just
[00:08:12.570 --> 00:08:12.800]   mean
[00:08:12.800 --> 00:08:12.920]   is
[00:08:12.920 --> 00:08:13.190]   that
[00:08:13.190 --> 00:08:13.510]   th
[00:08:13.510 --> 00:08:13.510]   you
[00:08:13.510 --> 00:08:13.770]   know
[00:08:13.770 --> 00:08:13.900]   my
[00:08:13.900 --> 00:08:14.140]   time
[00:08:14.140 --> 00:08:14.590]   is
[00:08:14.590 --> 00:08:14.740]   focused
[00:08:14.740 --> 00:08:14.870]   on
[00:08:14.870 --> 00:08:15.130]   the
[00:08:15.130 --> 00:08:15.590]   content
[00:08:15.590 --> 00:08:15.960]   because
[00:08:15.960 --> 00:08:16.160]   by
[00:08:16.160 --> 00:08:16.670]   necessity
[00:08:16.670 --> 00:08:16.910]   you
[00:08:16.910 --> 00:08:16.990]  ,
[00:08:16.990 --> 00:08:17.230]   know
[00:08:17.230 --> 00:08:17.310]   I
[00:08:17.310 --> 00:08:17.570]   mean
[00:08:17.570 --> 00:08:17.700]   if
[00:08:17.700 --> 00:08:17.960]   the
[00:08:17.960 --> 00:08:18.280]   system
[00:08:18.280 --> 00:08:18.660]   works
[00:08:18.660 --> 00:08:18.860]   well
[00:08:18.860 --> 00:08:19.340]   enough
[00:08:19.340 --> 00:08:19.440]   and
[00:08:19.440 --> 00:08:19.760]   there
[00:08:19.760 --> 00:08:19.890]  's
[00:08:19.890 --> 00:08:20.150]   just
[00:08:20.150 --> 00:08:20.410]   have
[00:08:20.410 --> 00:08:20.800]   these
[00:08:20.800 --> 00:08:20.990]   what
[00:08:20.990 --> 00:08:21.380]   wouldn
[00:08:21.380 --> 00:08:21.510]  't
[00:08:21.510 --> 00:08:21.640]   it
[00:08:21.640 --> 00:08:21.780]   be
[00:08:21.780 --> 00:08:22.030]   need
[00:08:22.030 --> 00:08:22.160]   if
[00:08:22.160 --> 00:08:22.420]   kind
[00:08:22.420 --> 00:08:22.550]   of
[00:08:22.550 --> 00:08:23.070]   features
[00:08:23.070 --> 00:08:23.260]   but
[00:08:23.260 --> 00:08:23.520]   then
[00:08:23.520 --> 00:08:23.650]   it
[00:08:23.650 --> 00:08:23.780]  's
[00:08:23.780 --> 00:08:24.170]   like
[00:08:24.170 --> 00:08:24.200]   we
[00:08:24.200 --> 00:08:24.360]   the
[00:08:24.360 --> 00:08:24.670]   kids
[00:08:24.670 --> 00:08:24.810]   can
[00:08:24.810 --> 00:08:25.200]  't
[00:08:25.200 --> 00:08:25.250]   have
[00:08:25.250 --> 00:08:25.330]   we
[00:08:25.330 --> 00:08:25.650]   can
[00:08:25.650 --> 00:08:25.700]  't
[00:08:25.700 --> 00:08:25.840]   do
[00:08:25.840 --> 00:08:25.940]   a
[00:08:25.940 --> 00:08:26.370]   lesson
[00:08:26.370 --> 00:08:26.620]   unless
[00:08:26.620 --> 00:08:26.940]   there
[00:08:26.940 --> 00:08:27.110]  's
[00:08:27.110 --> 00:08:27.200]   no
[00:08:27.200 --> 00:08:27.710]   homework
[00:08:27.710 --> 00:08:27.980]   unless
[00:08:27.980 --> 00:08:28.370]   I
[00:08:28.370 --> 00:08:28.490]   write
[00:08:28.490 --> 00:08:28.750]   this
[00:08:28.750 --> 00:08:29.090]   stuff
[00:08:29.090 --> 00:08:29.200]   up
[00:08:29.200 --> 00:08:29.420]   and
[00:08:29.420 --> 00:08:29.650]   then
[00:08:29.650 --> 00:08:29.710]   I
[00:08:29.710 --> 00:08:29.770]   s
[00:08:29.770 --> 00:08:29.960]   you
[00:08:29.960 --> 00:08:30.260]   know
[00:08:30.260 --> 00:08:30.480]   burn
[00:08:30.480 --> 00:08:30.670]   you
[00:08:30.670 --> 00:08:30.930]   know
[00:08:30.930 --> 00:08:31.380]   however
[00:08:31.380 --> 00:08:31.640]   many
[00:08:31.640 --> 00:08:32.280]   hours
[00:08:32.280 --> 00:08:32.300]   doing
[00:08:32.300 --> 00:08:32.540]   that
[00:08:32.540 --> 00:08:32.730]   and
[00:08:32.730 --> 00:08:32.860]   it
[00:08:32.860 --> 00:08:32.990]  's
[00:08:32.990 --> 00:08:33.250]   like
[00:08:33.250 --> 00:08:33.510]   well
[00:08:33.510 --> 00:08:33.580]   I
[00:08:33.580 --> 00:08:34.090]   actually
[00:08:34.090 --> 00:08:34.390]   have
[00:08:34.390 --> 00:08:34.610]   work
[00:08:34.610 --> 00:08:34.740]   to
[00:08:34.740 --> 00:08:34.870]   do
[00:08:34.870 --> 00:08:35.060]   and
[00:08:35.060 --> 00:08:35.370]   other
[00:08:35.370 --> 00:08:35.880]   stuff
[00:08:35.880 --> 00:08:35.910]   you
[00:08:35.910 --> 00:08:36.240]   know
[00:08:36.240 --> 00:08:36.280]   so
[00:08:36.280 --> 00:08:36.340]   I
[00:08:36.340 --> 00:08:36.610]   can
[00:08:36.610 --> 00:08:36.850]   spend
[00:08:36.850 --> 00:08:36.990]   my
[00:08:36.990 --> 00:08:38.300]   entire [SPEAKER_TURN]
[00:08:38.860 --> 00:08:38.940]  
[00:08:38.940 --> 00:08:39.160]   Yeah
[00:08:39.160 --> 00:08:39.800]  . [SPEAKER_TURN]
[00:08:39.800 --> 00:08:40.020]   year
[00:08:40.020 --> 00:08:40.240]   that
[00:08:40.240 --> 00:08:40.470]   that
[00:08:40.470 --> 00:08:40.620]   you
[00:08:40.620 --> 00:08:40.780]   won
[00:08:40.780 --> 00:08:40.940]  't
[00:08:40.940 --> 00:08:41.110]   have
[00:08:41.110 --> 00:08:41.330]   to
[00:08:41.330 --> 00:08:41.440]   do
[00:08:41.440 --> 00:08:41.500]   if
[00:08:41.500 --> 00:08:41.600]   you
[00:08:41.600 --> 00:08:41.780]   if
[00:08:41.780 --> 00:08:41.870]   you
[00:08:41.870 --> 00:08:42.090]   were
[00:08:42.090 --> 00:08:42.530]   teaching
[00:08:42.530 --> 00:08:42.730]   the
[00:08:42.730 --> 00:08:42.910]   same
[00:08:42.910 --> 00:08:43.160]   level
[00:08:43.160 --> 00:08:43.410]   kids
[00:08:43.410 --> 00:08:43.560]   you
[00:08:43.560 --> 00:08:43.850]  ,
[00:08:43.850 --> 00:08:44.000]   wouldn
[00:08:44.000 --> 00:08:44.110]  't
[00:08:44.110 --> 00:08:44.330]   have
[00:08:44.330 --> 00:08:44.440]   to
[00:08:44.440 --> 00:08:44.550]   do
[00:08:44.550 --> 00:08:44.710]   any
[00:08:44.710 --> 00:08:44.970]   more
[00:08:44.970 --> 00:08:45.250]   work
[00:08:45.250 --> 00:08:45.370]   next
[00:08:45.370 --> 00:08:45.590]   year
[00:08:45.590 --> 00:08:45.920]   around
[00:08:45.920 --> 00:08:46.030]   it
[00:08:46.030 --> 00:08:46.700]  . [SPEAKER_TURN]
[00:08:46.700 --> 00:08:46.970]   Yeah
[00:08:46.970 --> 00:08:47.010]   I
[00:08:47.010 --> 00:08:47.260]   know
[00:08:47.260 --> 00:08:47.720]   exactly
[00:08:47.720 --> 00:08:47.940]  .
[00:08:47.940 --> 00:08:48.070]   So
[00:08:48.070 --> 00:08:48.200]   you
[00:08:48.200 --> 00:08:48.390]  're
[00:08:48.390 --> 00:08:48.770]   always
[00:08:48.770 --> 00:08:49.080]   gonna
[00:08:49.080 --> 00:08:49.200]   be
[00:08:49.200 --> 00:08:49.630]   leading
[00:08:49.630 --> 00:08:49.850]   um
[00:08:49.850 --> 00:08:49.950]   but
[00:08:49.950 --> 00:08:50.140]   but
[00:08:50.140 --> 00:08:50.330]   but
[00:08:50.330 --> 00:08:50.770]   other
[00:08:50.770 --> 00:08:51.080]   classes
[00:08:51.080 --> 00:08:51.270]   can
[00:08:51.270 --> 00:08:51.540]   do
[00:08:51.540 --> 00:08:51.640]   that
[00:08:51.640 --> 00:08:51.890]   that
[00:08:51.890 --> 00:08:52.140]   work
[00:08:52.140 --> 00:08:52.380]   that
[00:08:52.380 --> 00:08:52.770]   you
[00:08:52.770 --> 00:08:53.020]  've
[00:08:53.020 --> 00:08:53.080]   done
[00:08:53.080 --> 00:08:53.860]  . [SPEAKER_TURN]
[00:08:53.860 --> 00:08:54.320]   some
[00:08:54.320 --> 00:08:54.900]   other
[00:08:54.900 --> 00:08:55.590]   things
[00:08:55.590 --> 00:08:55.700]   I
[00:08:55.700 --> 00:08:56.280]   wanna
[00:08:56.280 --> 00:08:56.740]   talk
[00:08:56.740 --> 00:08:57.320]   about
[00:08:57.320 --> 00:08:57.820]   uh
[00:08:57.820 --> 00:08:58.360]   related
[00:08:58.360 --> 00:08:58.590]   to
[00:08:58.590 --> 00:08:58.710]   s
[00:08:58.710 --> 00:08:59.280]   stuff
[00:08:59.280 --> 00:08:59.740]   that
[00:08:59.740 --> 00:09:00.200]   Phil
[00:09:00.200 --> 00:09:00.430]  's
[00:09:00.430 --> 00:09:01.010]   doing
[00:09:01.010 --> 00:09:01.470]   that
[00:09:01.470 --> 00:09:01.700]  's
[00:09:01.700 --> 00:09:01.970]   um
[00:09:01.970 --> 00:09:02.160]   we
[00:09:02.160 --> 00:09:02.550]   can
[00:09:02.550 --> 00:09:02.840]   get
[00:09:02.840 --> 00:09:03.300]   into
[00:09:03.300 --> 00:09:03.800]   that
[00:09:03.800 --> 00:09:04.410]   later
[00:09:04.410 --> 00:09:04.680]   but
[00:09:04.680 --> 00:09:05.960]   uh [SPEAKER_TURN]
[00:09:05.960 --> 00:09:06.230]   working
[00:09:06.230 --> 00:09:06.350]   with
[00:09:06.350 --> 00:09:06.460]   you
[00:09:06.460 --> 00:09:06.580]   on
[00:09:06.580 --> 00:09:06.640]   the
[00:09:06.640 --> 00:09:06.890]   project
[00:09:06.890 --> 00:09:07.320]  ? [SPEAKER_TURN]
[00:09:07.320 --> 00:09:07.400]   No
[00:09:07.400 --> 00:09:07.640]  . [SPEAKER_TURN]
[00:09:07.640 --> 00:09:07.810]   Oh
[00:09:07.810 --> 00:09:07.850]   right
[00:09:07.850 --> 00:09:07.970]   okay
[00:09:07.970 --> 00:09:08.320]  . [SPEAKER_TURN]
[00:09:08.440 --> 00:09:08.440]  
[00:09:08.440 --> 00:09:08.490]   I
[00:09:08.490 --> 00:09:08.710]   miss
[00:09:08.710 --> 00:09:09.040]   Spirit
[00:09:09.040 --> 00:09:09.310]   Guide
[00:09:09.310 --> 00:09:09.470]  .
[00:09:09.470 --> 00:09:09.510]   I
[00:09:09.510 --> 00:09:09.650]   think
[00:09:09.650 --> 00:09:10.030]   is
[00:09:10.030 --> 00:09:10.120]   that
[00:09:10.120 --> 00:09:10.230]   my
[00:09:10.230 --> 00:09:10.670]   official
[00:09:10.670 --> 00:09:10.980]   title
[00:09:10.980 --> 00:09:11.580]  ? [SPEAKER_TURN]
[00:09:11.580 --> 00:09:11.800]   Yeah
[00:09:11.800 --> 00:09:12.000]   that
[00:09:12.000 --> 00:09:12.100]  's
[00:09:12.100 --> 00:09:12.200]   my
[00:09:12.200 --> 00:09:12.520]   Spirit
[00:09:12.520 --> 00:09:12.790]   Guide
[00:09:12.790 --> 00:09:13.420]  . [SPEAKER_TURN]
[00:09:13.420 --> 00:09:13.480]   I
[00:09:13.480 --> 00:09:13.540]   I
[00:09:13.540 --> 00:09:13.850]   will
[00:09:13.850 --> 00:09:13.900]   be
[00:09:13.900 --> 00:09:14.080]   sit
[00:09:14.080 --> 00:09:14.260]   and
[00:09:14.260 --> 00:09:14.380]   we
[00:09:14.380 --> 00:09:14.620]   talk
[00:09:14.620 --> 00:09:14.920]   about
[00:09:14.920 --> 00:09:15.050]   it
[00:09:15.050 --> 00:09:15.100]   a
[00:09:15.100 --> 00:09:15.280]   lot
[00:09:15.280 --> 00:09:15.460]   but
[00:09:15.460 --> 00:09:15.580]   no
[00:09:15.580 --> 00:09:15.630]   I
[00:09:15.630 --> 00:09:15.750]  'm
[00:09:15.750 --> 00:09:15.810]   I
[00:09:15.810 --> 00:09:15.920]  'm
[00:09:15.920 --> 00:09:16.100]   not
[00:09:16.100 --> 00:09:16.580]   involved
[00:09:16.580 --> 00:09:16.700]   in
[00:09:16.700 --> 00:09:16.880]   any
[00:09:16.880 --> 00:09:17.180]   other
[00:09:17.180 --> 00:09:17.600]   way
[00:09:17.600 --> 00:09:17.630]   than
[00:09:17.630 --> 00:09:17.840]   just
[00:09:17.840 --> 00:09:18.140]   being
[00:09:18.140 --> 00:09:18.520]   around
[00:09:18.520 --> 00:09:18.830]   and
[00:09:18.830 --> 00:09:18.920]   then
[00:09:18.920 --> 00:09:19.100]   you
[00:09:19.100 --> 00:09:19.340]   said
[00:09:19.340 --> 00:09:19.460]   oh
[00:09:19.460 --> 00:09:19.640]   two
[00:09:19.640 --> 00:09:20.000]   months
[00:09:20.000 --> 00:09:20.180]   and
[00:09:20.180 --> 00:09:20.240]   I
[00:09:20.240 --> 00:09:20.420]   was
[00:09:20.420 --> 00:09:20.670]   like
[00:09:20.670 --> 00:09:20.790]   oh
[00:09:20.790 --> 00:09:20.910]   we
[00:09:20.910 --> 00:09:21.070]  've
[00:09:21.070 --> 00:09:21.310]   been
[00:09:21.310 --> 00:09:21.780]   talking
[00:09:21.780 --> 00:09:22.030]   about
[00:09:22.030 --> 00:09:22.150]   it
[00:09:22.150 --> 00:09:22.320]  .
[00:09:22.320 --> 00:09:22.560]   Yeah
[00:09:22.560 --> 00:09:22.860]   there
[00:09:22.860 --> 00:09:23.100]   must
[00:09:23.100 --> 00:09:23.210]   be
[00:09:23.210 --> 00:09:23.460]   some
[00:09:23.460 --> 00:09:24.060]   connection
[00:09:24.060 --> 00:09:24.180]   to
[00:09:24.180 --> 00:09:24.420]   that
[00:09:24.420 --> 00:09:25.140]  . [SPEAKER_TURN]
[00:09:25.140 --> 00:09:27.460]   days
[00:09:27.460 --> 00:09:29.200]   and
[00:09:29.200 --> 00:09:34.410]   Saturdays
[00:09:34.410 --> 00:09:35.570]   we
[00:09:35.570 --> 00:09:37.980]   talk [SPEAKER_TURN]
[00:09:37.980 --> 00:09:37.990]  
[00:09:37.990 --> 00:09:38.060]   don
[00:09:38.060 --> 00:09:38.110]  't
[00:09:38.110 --> 00:09:38.190]   ask
[00:09:38.190 --> 00:09:38.540]  . [SPEAKER_TURN]
[00:09:38.540 --> 00:09:38.820]   So
[00:09:38.820 --> 00:09:39.020]   that
[00:09:39.020 --> 00:09:39.430]  's
[00:09:39.430 --> 00:09:39.490]   really
[00:09:39.490 --> 00:09:39.770]   sweet
[00:09:39.770 --> 00:09:39.940]  .
[00:09:39.940 --> 00:09:40.080]   So
[00:09:40.080 --> 00:09:40.220]   you
[00:09:40.220 --> 00:09:40.440]   guys
[00:09:40.440 --> 00:09:40.660]   have
[00:09:40.660 --> 00:09:40.930]   lunch
[00:09:40.930 --> 00:09:41.170]   five
[00:09:41.170 --> 00:09:41.380]   days
[00:09:41.380 --> 00:09:41.430]   a
[00:09:41.430 --> 00:09:41.650]   week
[00:09:41.650 --> 00:09:41.820]   and
[00:09:41.820 --> 00:09:41.990]   you
[00:09:41.990 --> 00:09:42.210]   work
[00:09:42.210 --> 00:09:42.400]   out
[00:09:42.400 --> 00:09:42.610]   four
[00:09:42.610 --> 00:09:42.870]   days
[00:09:42.870 --> 00:09:42.870]   a
[00:09:42.870 --> 00:09:43.090]   week
[00:09:43.090 --> 00:09:43.860]  . [SPEAKER_TURN]
[00:09:43.860 --> 00:09:44.010]   we
[00:09:44.010 --> 00:09:44.160]   go
[00:09:44.160 --> 00:09:44.310]   to
[00:09:44.310 --> 00:09:45.010]   different
[00:09:45.010 --> 00:09:45.490]   places
[00:09:45.490 --> 00:09:45.640]   we
[00:09:45.640 --> 00:09:45.790]  ,
[00:09:45.790 --> 00:09:46.420]   actually
[00:09:46.420 --> 00:09:46.650]   eat
[00:09:46.650 --> 00:09:46.810]   at
[00:09:46.810 --> 00:09:47.030]   the
[00:09:47.030 --> 00:09:47.340]   same
[00:09:47.340 --> 00:09:47.730]   place
[00:09:47.730 --> 00:09:47.960]  .
[00:09:47.960 --> 00:09:48.180]   And
[00:09:48.180 --> 00:09:48.490]   but
[00:09:48.490 --> 00:09:48.570]   uh
[00:09:48.570 --> 00:09:48.880]   poll
[00:09:48.880 --> 00:09:48.950]  o
[00:09:48.950 --> 00:09:49.180]   loc
[00:09:49.180 --> 00:09:50.060]  o [SPEAKER_TURN]
[00:09:50.060 --> 00:09:50.180]   if
[00:09:50.180 --> 00:09:50.280]   I
[00:09:50.280 --> 00:09:50.360]   if
[00:09:50.360 --> 00:09:50.420]   I
[00:09:50.420 --> 00:09:50.800]   wanted
[00:09:50.800 --> 00:09:50.920]   to
[00:09:50.920 --> 00:09:51.170]   join
[00:09:51.170 --> 00:09:51.290]   in
[00:09:51.290 --> 00:09:51.410]   to
[00:09:51.410 --> 00:09:51.670]   your
[00:09:51.670 --> 00:09:52.040]   little
[00:09:52.040 --> 00:09:52.410]   kind
[00:09:52.410 --> 00:09:52.500]   of
[00:09:52.500 --> 00:09:52.660]   game
[00:09:52.660 --> 00:09:52.730]   I
[00:09:52.730 --> 00:09:53.040]   would
[00:09:53.040 --> 00:09:53.290]   just
[00:09:53.290 --> 00:09:53.410]   go
[00:09:53.410 --> 00:09:53.520]   to
[00:09:53.520 --> 00:09:53.780]   poll
[00:09:53.780 --> 00:09:53.900]  o
[00:09:53.900 --> 00:09:54.060]   loc
[00:09:54.060 --> 00:09:54.090]  o
[00:09:54.090 --> 00:09:54.210]   at
[00:09:54.210 --> 00:09:54.590]   twelve
[00:09:54.590 --> 00:09:54.970]   thirty
[00:09:54.970 --> 00:09:55.290]   every
[00:09:55.290 --> 00:09:55.480]   day
[00:09:55.480 --> 00:09:56.340]  . [SPEAKER_TURN]
[00:09:56.340 --> 00:09:56.430]   see
[00:09:56.430 --> 00:09:56.490]   us
[00:09:56.490 --> 00:09:56.640]   there
[00:09:56.640 --> 00:09:57.000]  . [SPEAKER_TURN]
[00:09:57.000 --> 00:09:57.200]   probably
[00:09:57.200 --> 00:09:57.340]   see
[00:09:57.340 --> 00:09:57.360]   you
[00:09:57.360 --> 00:09:57.460]   there
[00:09:57.460 --> 00:09:57.760]  . [SPEAKER_TURN]
[00:09:57.760 --> 00:09:58.320]   Alright
[00:09:58.320 --> 00:09:58.350]   so
[00:09:58.350 --> 00:09:58.450]   so
[00:09:58.450 --> 00:09:58.830]   anyway
[00:09:58.830 --> 00:09:59.080]   back
[00:09:59.080 --> 00:09:59.200]   le
[00:09:59.200 --> 00:09:59.390]   let
[00:09:59.390 --> 00:09:59.510]   me
[00:09:59.510 --> 00:09:59.760]   just
[00:09:59.760 --> 00:10:00.010]   just
[00:10:00.010 --> 00:10:00.300]   just
[00:10:00.300 --> 00:10:00.580]   tell
[00:10:00.580 --> 00:10:00.780]   you
[00:10:00.780 --> 00:10:01.020]   about
[00:10:01.020 --> 00:10:01.310]   this
[00:10:01.310 --> 00:10:01.530]  .
[00:10:01.530 --> 00:10:01.580]   So
[00:10:01.580 --> 00:10:01.640]   I
[00:10:01.640 --> 00:10:02.020]   assume
[00:10:02.020 --> 00:10:02.270]   that
[00:10:02.270 --> 00:10:02.460]   you
[00:10:02.460 --> 00:10:02.780]   wanna
[00:10:02.780 --> 00:10:03.100]   know
[00:10:03.100 --> 00:10:03.220]  .
[00:10:03.220 --> 00:10:03.670]   Alright
[00:10:03.670 --> 00:10:03.820]   so
[00:10:03.820 --> 00:10:04.600]   um [SPEAKER_TURN]
[00:10:06.840 --> 00:10:06.920]  
[00:10:06.920 --> 00:10:06.970]   we
[00:10:06.970 --> 00:10:07.240]   have
[00:10:07.240 --> 00:10:07.510]   what
[00:10:07.510 --> 00:10:07.640]   so
[00:10:07.640 --> 00:10:07.790]   we
[00:10:07.790 --> 00:10:08.040]   have
[00:10:08.040 --> 00:10:08.370]   March
[00:10:08.370 --> 00:10:08.690]   April
[00:10:08.690 --> 00:10:08.830]  ,
[00:10:08.830 --> 00:10:09.030]   May
[00:10:09.030 --> 00:10:09.300]   left
[00:10:09.300 --> 00:10:09.430]   of
[00:10:09.430 --> 00:10:09.760]   three
[00:10:09.760 --> 00:10:09.950]   more
[00:10:09.950 --> 00:10:10.130]   months
[00:10:10.130 --> 00:10:10.760]  .
[00:10:10.760 --> 00:10:10.770]   My
[00:10:10.770 --> 00:10:10.820]   g
[00:10:10.820 --> 00:10:11.020]   you
[00:10:11.020 --> 00:10:11.290]   know
[00:10:11.290 --> 00:10:11.490]   and
[00:10:11.490 --> 00:10:11.550]   I
[00:10:11.550 --> 00:10:11.900]   think
[00:10:11.900 --> 00:10:12.000]   we
[00:10:12.000 --> 00:10:12.470]   should
[00:10:12.470 --> 00:10:12.940]   probably
[00:10:12.940 --> 00:10:13.070]   be
[00:10:13.070 --> 00:10:13.340]   able
[00:10:13.340 --> 00:10:13.470]   to
[00:10:13.470 --> 00:10:13.670]   hit
[00:10:13.670 --> 00:10:13.730]   I
[00:10:13.730 --> 00:10:14.120]   think
[00:10:14.120 --> 00:10:14.160]   I
