
[00:00:00.480 --> 00:00:00.590]   Wow
[00:23:52.900 --> 00:23:52.920]   got
[00:23:52.920 --> 00:23:53.210]   like
[00:23:53.210 --> 00:23:53.460]   the
[00:23:53.460 --> 00:23:53.500]   I
[00:23:53.500 --> 00:23:53.730]   got
[00:23:53.730 --> 00:23:54.080]   there
[00:23:54.080 --> 00:23:54.220]  's
[00:23:54.220 --> 00:23:54.340]   a
[00:23:54.340 --> 00:23:54.650]   plate
[00:23:54.650 --> 00:23:54.920]   that
[00:23:54.920 --> 00:23:55.460]   holds
[00:23:55.460 --> 00:23:55.520]   the
[00:23:55.520 --> 00:23:55.810]   that
[00:23:55.810 --> 00:23:56.050]   the
[00:23:56.050 --> 00:23:56.100]   b
[00:23:56.100 --> 00:23:56.390]   that
[00:23:56.390 --> 00:23:56.600]   the
[00:23:56.600 --> 00:23:56.680]   m
[00:23:56.680 --> 00:23:57.080]   that
[00:23:57.080 --> 00:23:57.190]   the
[00:23:57.190 --> 00:23:57.330]   uh
[00:23:57.330 --> 00:23:57.550]   rim
[00:23:57.550 --> 00:23:57.710]   is
[00:23:57.710 --> 00:23:58.680]   attached
[00:23:58.680 --> 00:23:58.740]  
[00:23:58.740 --> 00:23:58.780]   to
[00:23:58.780 --> 00:23:59.180]   that
[00:23:59.180 --> 00:23:59.180]   goes
[00:23:59.180 --> 00:23:59.510]   down
[00:23:59.510 --> 00:23:59.640]   about
[00:23:59.640 --> 00:23:59.780]   six
[00:23:59.780 --> 00:24:00.080]   inches
[00:24:00.080 --> 00:24:00.240]   and
[00:24:00.240 --> 00:24:00.280]   I
[00:24:00.280 --> 00:24:00.530]   could
[00:24:00.530 --> 00:24:00.680]   get
[00:24:00.680 --> 00:24:00.830]   the
[00:24:00.830 --> 00:24:01.130]   bottom
[00:24:01.130 --> 00:24:01.230]   of
[00:24:01.230 --> 00:24:01.710]   that
[00:24:01.710 --> 00:24:01.710]  .
[00:24:01.710 --> 00:24:01.770]   I
[00:24:01.770 --> 00:24:01.960]   feel
[00:24:01.960 --> 00:24:02.330]   like
[00:24:02.330 --> 00:24:02.420]   a
[00:24:02.420 --> 00:24:02.530]   one
[00:24:02.530 --> 00:24:02.770]   foot
[00:24:02.770 --> 00:24:02.890]  ed
[00:24:02.890 --> 00:24:03.130]   jump
[00:24:03.130 --> 00:24:03.200]   I
[00:24:03.200 --> 00:24:03.390]  .
[00:24:03.390 --> 00:24:03.840]   just
[00:24:03.840 --> 00:24:03.890]   take
[00:24:03.890 --> 00:24:04.080]   one
[00:24:04.080 --> 00:24:04.330]   step
[00:24:04.330 --> 00:24:04.550]   and
[00:24:04.550 --> 00:24:04.580]   I
[00:24:04.580 --> 00:24:04.770]   was
[00:24:04.770 --> 00:24:05.270]   touching
[00:24:05.270 --> 00:24:05.380]   I
[00:24:05.380 --> 00:24:05.520]   was
[00:24:05.520 --> 00:24:05.770]   like
[00:24:05.770 --> 00:24:05.890]   oh
[00:24:05.890 --> 00:24:06.010]   my
[00:24:06.010 --> 00:24:06.200]   God
[00:24:06.200 --> 00:24:06.450]   this
[00:24:06.450 --> 00:24:06.570]   is
[00:24:06.570 --> 00:24:06.690]   so
[00:24:06.690 --> 00:24:07.220]   pathetic
[00:24:07.220 --> 00:24:07.380]  .
[00:24:07.380 --> 00:24:07.570]   And
[00:24:07.570 --> 00:24:07.860]   were
[00:24:07.860 --> 00:24:08.010]   you
[00:24:08.010 --> 00:24:08.430]   really
[00:24:08.430 --> 00:24:08.770]   trying
[00:24:08.770 --> 00:24:08.960]  ?
[00:24:08.960 --> 00:24:09.080]   Oh
[00:24:09.080 --> 00:24:09.320]   yeah
[00:24:09.320 --> 00:24:09.390]   I
[00:24:09.390 --> 00:24:09.580]   was
[00:24:09.580 --> 00:24:09.960]   warmed
[00:24:09.960 --> 00:24:10.080]   up
[00:24:10.080 --> 00:24:10.150]   I
[00:24:10.150 --> 00:24:10.260]  'm
[00:24:10.260 --> 00:24:10.510]   like
[00:24:10.510 --> 00:24:10.760]   well
[00:24:10.760 --> 00:24:11.000]   this
[00:24:11.000 --> 00:24:11.200]   has
[00:24:11.200 --> 00:24:11.510]   gotta
[00:24:11.510 --> 00:24:11.630]   be
[00:24:11.630 --> 00:24:11.750]   an
[00:24:11.750 --> 00:24:12.240]   honest
[00:24:12.240 --> 00:24:12.380]   like
[00:24:12.380 --> 00:24:12.790]   go
[00:24:12.790 --> 00:24:12.810]   right
[00:24:12.810 --> 00:24:12.930]  ,
[00:24:12.930 --> 00:24:13.300]   So
[00:24:13.300 --> 00:24:13.300]  .
[00:24:14.540 --> 00:24:14.720]  
[00:24:14.720 --> 00:24:14.810]   Step
[00:24:14.810 --> 00:24:15.100]   one
[00:24:15.100 --> 00:24:15.140]   is
[00:24:15.140 --> 00:24:15.200]   I
[00:24:15.200 --> 00:24:15.460]   need
[00:24:15.460 --> 00:24:15.580]   to
[00:24:15.580 --> 00:24:15.680]   drop
[00:24:15.680 --> 00:24:16.400]   uh
[00:24:16.400 --> 00:24:16.470]   thirty
[00:24:16.470 --> 00:24:16.530]   oh
[00:24:16.530 --> 00:24:16.590]   I
[00:24:16.590 --> 00:24:16.860]   need
[00:24:16.860 --> 00:24:17.010]   to
[00:24:17.010 --> 00:24:17.260]   drop
[00:24:17.260 --> 00:24:17.460]   let
[00:24:17.460 --> 00:24:17.790]  's
[00:24:17.790 --> 00:24:17.810]   see
[00:24:17.810 --> 00:24:18.130]   so
[00:24:18.130 --> 00:24:18.190]   what
[00:24:18.190 --> 00:24:18.320]   am
[00:24:18.320 --> 00:24:18.380]   I
[00:24:18.380 --> 00:24:18.440]   m
[00:24:18.440 --> 00:24:18.500]   I
[00:24:18.500 --> 00:24:18.770]   need
[00:24:18.770 --> 00:24:18.900]   to
[00:24:18.900 --> 00:24:19.100]   get
[00:24:19.100 --> 00:24:19.370]   down
[00:24:19.370 --> 00:24:19.500]   to
[00:24:19.500 --> 00:24:19.840]   about
[00:24:19.840 --> 00:24:20.240]   thirty
[00:24:20.240 --> 00:24:20.290]   I
[00:24:20.290 --> 00:24:20.560]   need
[00:24:20.560 --> 00:24:20.690]   to
[00:24:20.690 --> 00:24:21.010]   drop
[00:24:21.010 --> 00:24:21.160]   out
[00:24:21.160 --> 00:24:21.550]   thirty
[00:24:21.550 --> 00:24:21.960]   pounds
[00:24:21.960 --> 00:24:22.090]   or
[00:24:22.090 --> 00:24:22.220]   no
[00:24:22.220 --> 00:24:22.350]   no
[00:24:22.350 --> 00:24:22.490]   no
[00:24:22.490 --> 00:24:22.670]   no
[00:24:22.670 --> 00:24:22.670]   a
[00:24:22.670 --> 00:24:23.070]   twenty
[00:24:23.070 --> 00:24:23.130]   I
[00:24:23.130 --> 00:24:23.390]   need
[00:24:23.390 --> 00:24:23.730]   to
[00:24:23.730 --> 00:24:23.790]   get
[00:24:23.790 --> 00:24:23.860]   to
[00:24:23.860 --> 00:24:24.190]   lower
[00:24:24.190 --> 00:24:24.590]   sevent
[00:24:24.590 --> 00:24:24.790]  ies
[00:24:24.790 --> 00:24:24.850]   I
[00:24:24.850 --> 00:24:25.120]   need
[00:24:25.120 --> 00:24:25.240]   to
[00:24:25.240 --> 00:24:25.450]   get
[00:24:25.450 --> 00:24:25.980]   about
[00:24:25.980 --> 00:24:26.170]   one
[00:24:26.170 --> 00:24:26.450]   seventy
[00:24:26.450 --> 00:24:26.650]   two
[00:24:26.650 --> 00:24:26.780]   to
[00:24:26.780 --> 00:24:26.980]   one
[00:24:26.980 --> 00:24:27.500]   seventy
[00:24:27.500 --> 00:24:27.600]   fi
[00:24:27.600 --> 00:24:27.780]   one
[00:24:27.780 --> 00:24:28.250]   seventy
[00:24:28.250 --> 00:24:28.520]   five
[00:24:28.520 --> 00:24:28.650]   to
[00:24:28.650 --> 00:24:28.780]  ps
[00:24:28.780 --> 00:24:28.980]   one
[00:24:28.980 --> 00:24:29.460]   seventy
[00:24:29.460 --> 00:24:29.580]   to
[00:24:29.580 --> 00:24:30.250]   one
[00:24:30.250 --> 00:24:30.340]   seventy
[00:24:30.340 --> 00:24:30.550]   five
[00:24:30.550 --> 00:24:30.580]   I
[00:24:30.580 --> 00:24:30.850]   need
[00:24:30.850 --> 00:24:31.000]   to
[00:24:31.000 --> 00:24:31.240]   get
[00:24:31.240 --> 00:24:31.380]   ten
[00:24:31.380 --> 00:24:31.880]   percent
[00:24:31.880 --> 00:24:31.980]   or
[00:24:31.980 --> 00:24:32.310]   lower
[00:24:32.310 --> 00:24:32.930]  .
[00:24:32.930 --> 00:24:33.040]   Uh
[00:24:33.040 --> 00:24:33.470]   I
[00:24:33.470 --> 00:24:33.500]   was
[00:24:33.500 --> 00:24:34.150]   reading
[00:24:34.150 --> 00:24:34.240]   '
[00:24:34.240 --> 00:24:34.720]  cause
[00:24:34.720 --> 00:24:34.900]   it
[00:24:34.900 --> 00:24:35.640]   wanted
[00:24:35.640 --> 00:24:35.780]   two
[00:24:35.780 --> 00:24:35.970]   of
[00:24:35.970 --> 00:24:36.410]   these
[00:24:36.410 --> 00:24:36.690]   um
[00:24:36.690 --> 00:24:37.540]   programs
[00:24:37.540 --> 00:24:37.670]   one
[00:24:37.670 --> 00:24:37.840]   of
[00:24:37.840 --> 00:24:38.010]   us
[00:24:38.010 --> 00:24:38.540]   called
[00:24:38.540 --> 00:24:38.800]   the
[00:24:38.800 --> 00:24:39.550]   vertical
[00:24:39.550 --> 00:24:39.860]   jump
[00:24:39.860 --> 00:24:40.300]   Bible
[00:24:40.300 --> 00:24:40.560]   and
[00:24:40.560 --> 00:24:40.730]   it
[00:24:40.730 --> 00:24:40.980]  's
[00:24:40.980 --> 00:24:41.080]   r
[00:24:41.080 --> 00:24:41.600]   despite
[00:24:41.600 --> 00:24:41.860]   the
[00:24:41.860 --> 00:24:42.210]   name
[00:24:42.210 --> 00:24:42.330]   the
[00:24:42.330 --> 00:24:42.740]   guy
[00:24:42.740 --> 00:24:43.070]   is
[00:24:43.070 --> 00:24:43.160]   he
[00:24:43.160 --> 00:24:43.240]   is
[00:24:43.240 --> 00:24:43.590]   like
[00:24:43.590 --> 00:24:43.840]   the
[00:24:43.840 --> 00:24:44.540]   master
[00:24:44.540 --> 00:24:44.540]  
[00:24:44.540 --> 00:24:44.770]   yeah
[00:24:44.770 --> 00:24:44.880]   he
[00:24:44.880 --> 00:24:44.990]  's
[00:24:44.990 --> 00:24:45.220]   been
[00:24:45.220 --> 00:24:45.730]   training
[00:24:45.730 --> 00:24:46.020]   people
[00:24:46.020 --> 00:24:46.190]   for
[00:24:46.190 --> 00:24:46.480]   years
[00:24:46.480 --> 00:24:46.650]   and
[00:24:46.650 --> 00:24:46.940]   years
[00:24:46.940 --> 00:24:47.130]   and
[00:24:47.130 --> 00:24:47.400]   years
[00:24:47.400 --> 00:24:47.450]   I
[00:24:47.450 --> 00:24:47.680]   just
[00:24:47.680 --> 00:24:47.730]   I
[00:24:47.730 --> 00:24:47.980]   read
[00:24:47.980 --> 00:24:48.360]   through
[00:24:48.360 --> 00:24:48.540]   all
[00:24:48.540 --> 00:24:48.890]   his
[00:24:48.890 --> 00:24:49.160]   material
[00:24:49.160 --> 00:24:49.270]   on
[00:24:49.270 --> 00:24:49.440]   ply
[00:24:49.440 --> 00:24:49.670]  omet
[00:24:49.670 --> 00:24:49.900]  rics
[00:24:49.900 --> 00:24:50.070]   and
[00:24:50.070 --> 00:24:50.590]   strength
[00:24:50.590 --> 00:24:51.010]   training
[00:24:51.010 --> 00:24:51.160]   and
[00:24:51.160 --> 00:24:51.320]   all
[00:24:51.320 --> 00:24:51.510]   the
[00:24:51.510 --> 00:24:52.020]   different
[00:24:52.020 --> 00:24:52.360]   things
[00:24:52.360 --> 00:24:52.410]   I
[00:24:52.410 --> 00:24:52.520]  'm
[00:24:52.520 --> 00:24:52.750]   like
[00:24:52.750 --> 00:24:52.860]   my
[00:24:52.860 --> 00:24:53.030]   god
[00:24:53.030 --> 00:24:53.140]  ,
[00:24:53.140 --> 00:24:53.370]   this
[00:24:53.370 --> 00:24:53.470]   is
[00:24:53.470 --> 00:24:53.800]   like
[00:24:53.800 --> 00:24:53.880]   and
[00:24:53.880 --> 00:24:53.930]   I
[00:24:53.930 --> 00:24:54.160]   know
[00:24:54.160 --> 00:24:54.210]   a
[00:24:54.210 --> 00:24:54.460]   fair
[00:24:54.460 --> 00:24:54.780]   amount
[00:24:54.780 --> 00:24:55.100]   about
[00:24:55.100 --> 00:24:55.300]   that
[00:24:55.300 --> 00:24:55.640]   stuff
[00:24:55.640 --> 00:24:55.640]   '
[00:24:55.640 --> 00:24:55.930]  cause
[00:24:55.930 --> 00:24:55.980]   I
[00:24:55.980 --> 00:24:56.150]  've
[00:24:56.150 --> 00:24:56.730]   researched
[00:24:56.730 --> 00:24:56.840]   it
[00:24:56.840 --> 00:24:57.070]   over
[00:24:57.070 --> 00:24:57.300]   the
[00:24:57.300 --> 00:24:57.530]   years
[00:24:57.530 --> 00:24:57.700]   and
[00:24:57.700 --> 00:24:58.030]   read
[00:24:58.030 --> 00:24:58.330]   studies
[00:24:58.330 --> 00:24:58.440]   on
[00:24:58.440 --> 00:24:58.670]   like
[00:24:58.670 --> 00:24:58.900]   this
[00:24:58.900 --> 00:24:59.070]   guy
[00:24:59.070 --> 00:24:59.160]   this
[00:24:59.160 --> 00:24:59.570]   is
[00:24:59.570 --> 00:24:59.640]   like
[00:24:59.640 --> 00:24:59.810]   the
[00:24:59.810 --> 00:25:00.040]   most
[00:25:00.040 --> 00:25:00.790]   knowledgeable
[00:25:00.790 --> 00:25:01.150]   person
[00:25:01.150 --> 00:25:01.360]   than
[00:25:01.360 --> 00:25:01.700]   this
[00:25:01.700 --> 00:25:01.700]   by
[00:25:01.700 --> 00:25:01.950]   far
[00:25:01.950 --> 00:25:02.030]   mm
[00:25:02.030 --> 00:25:02.080]  -
[00:25:02.080 --> 00:25:02.100]  h
[00:25:02.100 --> 00:25:02.190]  mm
[00:25:02.190 --> 00:25:03.240]  . [SPEAKER_TURN]
[00:25:03.240 --> 00:25:03.860]   Yeah
[00:25:03.860 --> 00:25:04.540]  . [SPEAKER_TURN]
[00:25:05.720 --> 00:25:05.740]  
[00:25:05.740 --> 00:25:08.000]   Yeah
[00:25:08.000 --> 00:25:14.280]  . [SPEAKER_TURN]
[00:25:14.280 --> 00:25:14.720]   M
[00:25:14.720 --> 00:25:15.560]  m
[00:25:15.560 --> 00:25:15.610]  -
[00:25:15.610 --> 00:25:16.010]  h
[00:25:16.010 --> 00:25:16.880]  mm
[00:25:16.880 --> 00:25:21.700]  . [SPEAKER_TURN]
[00:25:21.700 --> 00:25:23.910]   Yeah
[00:25:23.910 --> 00:25:26.880]   yeah
[00:25:26.880 --> 00:25:31.860]  . [SPEAKER_TURN]
[00:25:31.860 --> 00:25:31.860]  
[00:25:31.860 --> 00:25:31.870]   M
[00:25:31.870 --> 00:25:31.880]  m
[00:25:31.880 --> 00:25:31.890]  -
[00:25:31.890 --> 00:25:31.900]  h
[00:25:31.900 --> 00:25:31.920]  mm
[00:25:31.920 --> 00:25:32.100]  . [SPEAKER_TURN]
[00:25:32.100 --> 00:25:33.060]   M
[00:25:33.060 --> 00:25:34.370]  m
[00:25:34.370 --> 00:25:34.960]  -
[00:25:34.960 --> 00:25:36.060]  h
[00:25:36.060 --> 00:25:37.950]  mm
[00:25:37.950 --> 00:25:48.300]  . [SPEAKER_TURN]
[00:25:56.660 --> 00:25:56.660]  
[00:25:56.660 --> 00:25:58.410]   Yeah
[00:25:58.410 --> 00:26:02.660]  . [SPEAKER_TURN]
[00:26:02.660 --> 00:26:02.800]   Wh
[00:26:02.800 --> 00:26:03.080]   what
[00:26:03.080 --> 00:26:03.440]   could
[00:26:03.440 --> 00:26:03.650]   you
[00:26:03.650 --> 00:26:03.920]   what
[00:26:03.920 --> 00:26:04.130]   can
[00:26:04.130 --> 00:26:04.340]   you
[00:26:04.340 --> 00:26:04.480]   do
[00:26:04.480 --> 00:26:04.660]   to
[00:26:04.660 --> 00:26:04.660]   uh [SPEAKER_TURN]
[00:26:04.660 --> 00:26:04.880]   M
[00:26:04.880 --> 00:26:05.100]  m
[00:26:05.100 --> 00:26:05.370]  -
[00:26:05.370 --> 00:26:05.540]  h
[00:26:05.540 --> 00:26:05.980]  mm
[00:26:05.980 --> 00:26:06.660]  . [SPEAKER_TURN]
[00:26:06.660 --> 00:26:07.750]   Huh
[00:26:07.750 --> 00:26:11.740]  . [SPEAKER_TURN]
[00:26:11.780 --> 00:26:11.860]  
[00:26:11.860 --> 00:26:11.880]   it
[00:26:11.880 --> 00:26:11.980]  's
[00:26:11.980 --> 00:26:12.180]   been
[00:26:12.180 --> 00:26:12.530]   again
[00:26:12.530 --> 00:26:12.630]   it
[00:26:12.630 --> 00:26:12.660]  's
[00:26:12.660 --> 00:26:12.680]   a
[00:26:12.680 --> 00:26:12.800]   it
[00:26:12.800 --> 00:26:12.880]  's
[00:26:12.880 --> 00:26:13.130]   about
[00:26:13.130 --> 00:26:13.330]   they
[00:26:13.330 --> 00:26:13.480]  're
[00:26:13.480 --> 00:26:13.730]   about
[00:26:13.730 --> 00:26:14.020]   ninety
[00:26:14.020 --> 00:26:14.380]   percent
[00:26:14.380 --> 00:26:14.630]  .
[00:26:14.630 --> 00:26:14.630]   So
[00:26:14.630 --> 00:26:14.730]   it
[00:26:14.730 --> 00:26:14.990]  's
[00:26:14.990 --> 00:26:15.030]   been
[00:26:15.030 --> 00:26:15.240]   like
[00:26:15.240 --> 00:26:15.480]   being
[00:26:15.480 --> 00:26:15.890]   diligent
[00:26:15.890 --> 00:26:16.140]   about
[00:26:16.140 --> 00:26:16.380]   doing
[00:26:16.380 --> 00:26:16.590]   lots
[00:26:16.590 --> 00:26:16.690]   of
[00:26:16.690 --> 00:26:17.350]   strengthening
[00:26:17.350 --> 00:26:17.500]   and
[00:26:17.500 --> 00:26:18.010]   stretching
[00:26:18.010 --> 00:26:18.470]   exercises
[00:26:18.470 --> 00:26:18.800]  .
[00:26:18.800 --> 00:26:18.800]   And
[00:26:18.800 --> 00:26:18.980]   I
[00:26:18.980 --> 00:26:19.310]  'm
[00:26:19.310 --> 00:26:19.330]   just
[00:26:19.330 --> 00:26:19.530]   like
[00:26:19.530 --> 00:26:19.700]   you
[00:26:19.700 --> 00:26:20.140]   know
[00:26:20.140 --> 00:26:20.140]   what
[00:26:20.140 --> 00:26:20.250]   if
[00:26:20.250 --> 00:26:20.430]   I
[00:26:20.430 --> 00:26:20.470]   get
[00:26:20.470 --> 00:26:20.580]   my
[00:26:20.580 --> 00:26:21.040]   battle
[00:26:21.040 --> 00:26:21.140]   hard
[00:26:21.140 --> 00:26:21.250]   my
[00:26:21.250 --> 00:26:21.300]   a
[00:26:21.300 --> 00:26:21.410]  ch
[00:26:21.410 --> 00:26:21.700]  illes
[00:26:21.700 --> 00:26:21.810]  ,
[00:26:21.810 --> 00:26:22.020]   get
[00:26:22.020 --> 00:26:22.310]   really
[00:26:22.310 --> 00:26:22.620]   limp
[00:26:22.620 --> 00:26:22.810]   but
[00:26:22.810 --> 00:26:22.820]  ,
[00:26:22.820 --> 00:26:23.070]   like
[00:26:23.070 --> 00:26:23.430]   stretch
[00:26:23.430 --> 00:26:23.600]   two
[00:26:23.600 --> 00:26:23.710]   or
[00:26:23.710 --> 00:26:24.270]   three
[00:26:24.270 --> 00:26:24.380]   times
[00:26:24.380 --> 00:26:24.440]   and
[00:26:24.440 --> 00:26:24.780]   really
[00:26:24.780 --> 00:26:25.000]   like
[00:26:25.000 --> 00:26:25.110]   go
[00:26:25.110 --> 00:26:25.550]   through
[00:26:25.550 --> 00:26:25.970]   stretch
[00:26:25.970 --> 00:26:26.080]   not
[00:26:26.080 --> 00:26:26.190]  ,
[00:26:26.190 --> 00:26:26.410]   just
[00:26:26.410 --> 00:26:26.580]   sit
[00:26:26.580 --> 00:26:26.860]   there
[00:26:26.860 --> 00:26:27.030]   and
[00:26:27.030 --> 00:26:27.430]   stretch
[00:26:27.430 --> 00:26:27.600]   for
[00:26:27.600 --> 00:26:27.990]   two
[00:26:27.990 --> 00:26:28.180]   minutes
[00:26:28.180 --> 00:26:28.390]   like
[00:26:28.390 --> 00:26:28.730]   really
[00:26:28.730 --> 00:26:28.840]   go
[00:26:28.840 --> 00:26:28.950]   do
[00:26:28.950 --> 00:26:29.080]   it
[00:26:29.080 --> 00:26:29.230]   and
[00:26:29.230 --> 00:26:29.400]   two
[00:26:29.400 --> 00:26:29.520]   or
[00:26:29.520 --> 00:26:29.810]   three
[00:26:29.810 --> 00:26:30.120]   times
[00:26:30.120 --> 00:26:30.140]   a
[00:26:30.140 --> 00:26:30.290]   day
[00:26:30.290 --> 00:26:30.650]   really
[00:26:30.650 --> 00:26:30.740]  ,
[00:26:30.740 --> 00:26:30.960]   just
[00:26:30.960 --> 00:26:31.180]   like
[00:26:31.180 --> 00:26:31.350]   you
[00:26:31.350 --> 00:26:31.510]   can
[00:26:31.510 --> 00:26:31.740]   make
[00:26:31.740 --> 00:26:32.350]   yourself
[00:26:32.350 --> 00:26:32.700]   stronger
[00:26:32.700 --> 00:26:32.750]  ,
[00:26:32.750 --> 00:26:32.920]   you
[00:26:32.920 --> 00:26:33.090]   can
[00:26:33.090 --> 00:26:33.310]   make
[00:26:33.310 --> 00:26:33.760]   yourself
[00:26:33.760 --> 00:26:34.230]   more
[00:26:34.230 --> 00:26:34.430]   flexible
[00:26:34.430 --> 00:26:34.540]   if
[00:26:34.540 --> 00:26:34.710]   you
[00:26:34.710 --> 00:26:34.820]   do
[00:26:34.820 --> 00:26:34.950]   it
[00:26:34.950 --> 00:26:35.610]   consistently
[00:26:35.610 --> 00:26:35.890]   every
[00:26:35.890 --> 00:26:36.060]   day
[00:26:36.060 --> 00:26:36.230]   and
[00:26:36.230 --> 00:26:36.450]   work
[00:26:36.450 --> 00:26:36.560]   on
[00:26:36.560 --> 00:26:36.670]   it
[00:26:36.670 --> 00:26:37.740]  . [SPEAKER_TURN]
[00:26:37.740 --> 00:26:37.810]   M
[00:26:37.810 --> 00:26:37.880]  m
[00:26:37.880 --> 00:26:38.700]  . [SPEAKER_TURN]
[00:26:38.700 --> 00:26:39.000]   M
[00:26:39.000 --> 00:26:39.470]  m
[00:26:39.470 --> 00:26:39.580]  -
[00:26:39.580 --> 00:26:39.930]  h
[00:26:39.930 --> 00:26:40.450]  mm
[00:26:40.450 --> 00:26:41.400]  .
[00:26:41.400 --> 00:26:41.400]  
[00:26:41.400 --> 00:26:41.680]   ready
[00:26:41.680 --> 00:26:41.780]   to
[00:26:41.780 --> 00:26:42.070]   start
[00:26:42.070 --> 00:26:42.120]   a
[00:26:42.120 --> 00:26:42.280]   oh
[00:26:42.280 --> 00:26:42.420]   and
[00:26:42.420 --> 00:26:42.620]   then
[00:26:42.620 --> 00:26:42.670]   I
[00:26:42.670 --> 00:26:42.780]  'm
[00:26:42.780 --> 00:26:43.290]   meanwhile
[00:26:43.290 --> 00:26:43.340]   I
[00:26:43.340 --> 00:26:43.450]  'm
[00:26:43.450 --> 00:26:43.960]   obviously
[00:26:43.960 --> 00:26:44.240]   doing
[00:26:44.240 --> 00:26:44.740]   squats
[00:26:44.740 --> 00:26:44.750]  .
[00:26:44.750 --> 00:26:44.860]   So
[00:26:44.860 --> 00:26:44.910]   '
[00:26:44.910 --> 00:26:45.190]  cause
[00:26:45.190 --> 00:26:45.360]   one
[00:26:45.360 --> 00:26:45.640]   thing
[00:26:45.640 --> 00:26:45.860]   they
[00:26:45.860 --> 00:26:46.080]   were
[00:26:46.080 --> 00:26:46.420]   saying
[00:26:46.420 --> 00:26:46.530]   is
[00:26:46.530 --> 00:26:46.770]   like
[00:26:46.770 --> 00:26:46.860]   if
[00:26:46.860 --> 00:26:47.020]   you
[00:26:47.020 --> 00:26:47.250]   can
[00:26:47.250 --> 00:26:47.310]  't
[00:26:47.310 --> 00:26:47.590]   squat
[00:26:47.590 --> 00:26:47.980]   at
[00:26:47.980 --> 00:26:47.980]   least
[00:26:47.980 --> 00:26:48.300]   one
[00:26:48.300 --> 00:26:48.430]   point
[00:26:48.430 --> 00:26:48.700]   five
[00:26:48.700 --> 00:26:49.000]   times
[00:26:49.000 --> 00:26:49.150]   your
[00:26:49.150 --> 00:26:49.370]   body
[00:26:49.370 --> 00:26:49.720]   weight
[00:26:49.720 --> 00:26:49.820]  ,
[00:26:49.820 --> 00:26:49.990]   you
[00:26:49.990 --> 00:26:50.210]   just
[00:26:50.210 --> 00:26:50.420]   need
[00:26:50.420 --> 00:26:50.530]   to
[00:26:50.530 --> 00:26:50.860]   do
[00:26:50.860 --> 00:26:50.870]   that
[00:26:50.870 --> 00:26:51.040]   for
[00:26:51.040 --> 00:26:51.320]   right
[00:26:51.320 --> 00:26:51.490]   now
[00:26:51.490 --> 00:26:51.760]  .
[00:26:51.760 --> 00:26:51.880]   Like
[00:26:51.880 --> 00:26:52.040]   you
[00:26:52.040 --> 00:26:52.220]  're
[00:26:52.220 --> 00:26:52.460]   not
[00:26:52.460 --> 00:26:52.610]   even
[00:26:52.610 --> 00:26:52.720]   in
[00:26:52.720 --> 00:26:52.890]   the
[00:26:52.890 --> 00:26:53.340]   ballpark
[00:26:53.340 --> 00:26:53.820]  .
[00:26:53.820 --> 00:26:53.920]   And
[00:26:53.920 --> 00:26:55.280]   uh [SPEAKER_TURN]
[00:26:55.280 --> 00:26:55.480]   I
[00:26:55.480 --> 00:26:55.560]   see
[00:26:55.560 --> 00:26:55.630]  .
[00:26:55.630 --> 00:26:55.730]   So
[00:26:55.730 --> 00:26:55.980]   squat
[00:26:55.980 --> 00:26:56.200]  ting
[00:26:56.200 --> 00:26:56.330]   one
[00:26:56.330 --> 00:26:56.580]   point
[00:26:56.580 --> 00:26:56.780]   five
[00:26:56.780 --> 00:26:57.030]   times
[00:26:57.030 --> 00:26:57.240]   your
[00:26:57.240 --> 00:26:57.480]   body
[00:26:57.480 --> 00:26:57.730]   weight
[00:26:57.730 --> 00:26:57.830]  ,
[00:26:57.830 --> 00:26:58.030]   that
[00:26:58.030 --> 00:26:58.250]  's
[00:26:58.250 --> 00:26:58.330]   what
[00:26:58.330 --> 00:26:58.530]   that
[00:26:58.530 --> 00:26:58.690]  's
[00:26:58.690 --> 00:26:58.830]   what
[00:26:58.830 --> 00:26:58.930]  's
[00:26:58.930 --> 00:26:59.180]   gonna
[00:26:59.180 --> 00:26:59.380]   give
[00:26:59.380 --> 00:26:59.530]   you
[00:26:59.530 --> 00:26:59.680]   the
[00:26:59.680 --> 00:26:59.880]   snap
[00:26:59.880 --> 00:27:00.080]   for
[00:27:00.080 --> 00:27:00.180]   the
[00:27:00.180 --> 00:27:00.380]   lift
[00:27:00.380 --> 00:27:00.530]  .
[00:27:00.530 --> 00:27:00.980]   Because
[00:27:00.980 --> 00:27:01.050]   it
[00:27:01.050 --> 00:27:01.080]  's
[00:27:01.080 --> 00:27:01.280]   like
[00:27:01.280 --> 00:27:01.380]   it
[00:27:01.380 --> 00:27:01.480]  's
[00:27:01.480 --> 00:27:01.830]   because
[00:27:01.830 --> 00:27:01.980]   you
[00:27:01.980 --> 00:27:02.180]   know
[00:27:02.180 --> 00:27:02.230]   y
[00:27:02.230 --> 00:27:02.330]   it
[00:27:02.330 --> 00:27:02.430]  's
[00:27:02.430 --> 00:27:02.580]   you
[00:27:02.580 --> 00:27:02.930]   that
[00:27:02.930 --> 00:27:02.980]   you
[00:27:02.980 --> 00:27:03.080]  're
[00:27:03.080 --> 00:27:03.430]   lifting
[00:27:03.430 --> 00:27:03.530]  ,
[00:27:03.530 --> 00:27:03.780]   right
[00:27:03.780 --> 00:27:04.560]  ? [SPEAKER_TURN]
