
[00:00:00.000 --> 00:00:00.100]  
[00:00:00.100 --> 00:00:00.350]   The
[00:21:30.320 --> 00:21:30.390]   M
[00:21:30.390 --> 00:21:30.420]  m
[00:21:30.420 --> 00:21:30.450]  -
[00:21:30.450 --> 00:21:30.450]  h
[00:21:30.450 --> 00:21:30.630]  mm
[00:21:30.630 --> 00:21:31.000]  . [SPEAKER_TURN]
[00:21:31.440 --> 00:21:31.480]  
[00:21:31.480 --> 00:21:31.560]   So
[00:21:31.560 --> 00:21:31.810]   they
[00:21:31.810 --> 00:21:31.990]  're
[00:21:31.990 --> 00:21:32.420]   they
[00:21:32.420 --> 00:21:32.430]  're
[00:21:32.430 --> 00:21:32.670]   just
[00:21:32.670 --> 00:21:32.860]   the
[00:21:32.860 --> 00:21:32.920]   I
[00:21:32.920 --> 00:21:33.230]   guess
[00:21:33.230 --> 00:21:33.480]   they
[00:21:33.480 --> 00:21:33.660]  've
[00:21:33.660 --> 00:21:33.960]   been
[00:21:33.960 --> 00:21:34.410]   squeezed
[00:21:34.410 --> 00:21:34.600]   out
[00:21:34.600 --> 00:21:34.720]   of
[00:21:34.720 --> 00:21:34.930]   the
[00:21:34.930 --> 00:21:35.280]   market
[00:21:35.280 --> 00:21:35.420]   in
[00:21:35.420 --> 00:21:35.710]   their
[00:21:35.710 --> 00:21:36.140]   opinion
[00:21:36.140 --> 00:21:36.570]   um
[00:21:36.570 --> 00:21:36.580]   about
[00:21:36.580 --> 00:21:36.770]   you
[00:21:36.770 --> 00:21:37.140]   know
[00:21:37.140 --> 00:21:37.170]   by
[00:21:37.170 --> 00:21:37.700]   Twitter
[00:21:37.700 --> 00:21:37.770]  's
[00:21:37.770 --> 00:21:38.060]   terms
[00:21:38.060 --> 00:21:38.130]   of
[00:21:38.130 --> 00:21:38.570]   service
[00:21:38.570 --> 00:21:38.760]   and
[00:21:38.760 --> 00:21:38.950]   all
[00:21:38.950 --> 00:21:39.310]   that
[00:21:39.310 --> 00:21:39.450]   kind
[00:21:39.450 --> 00:21:39.570]   of
[00:21:39.570 --> 00:21:39.880]   thing
[00:21:39.880 --> 00:21:40.050]  .
[00:21:40.050 --> 00:21:40.310]   But
[00:21:40.310 --> 00:21:40.360]   I
[00:21:40.360 --> 00:21:40.370]   I
[00:21:40.370 --> 00:21:40.430]   I
[00:21:40.430 --> 00:21:40.620]   don
[00:21:40.620 --> 00:21:40.740]  't
[00:21:40.740 --> 00:21:40.990]   feel
[00:21:40.990 --> 00:21:41.240]   like
[00:21:41.240 --> 00:21:41.490]   plug
[00:21:41.490 --> 00:21:41.550]  g
[00:21:41.550 --> 00:21:41.730]  ier
[00:21:41.730 --> 00:21:41.990]   is
[00:21:41.990 --> 00:21:42.160]   being
[00:21:42.160 --> 00:21:42.660]   squeezed
[00:21:42.660 --> 00:21:42.850]   out
[00:21:42.850 --> 00:21:42.970]   in
[00:21:42.970 --> 00:21:43.310]   those
[00:21:43.310 --> 00:21:43.400]   in
[00:21:43.400 --> 00:21:43.690]   that
[00:21:43.690 --> 00:21:43.900]   kind
[00:21:43.900 --> 00:21:44.020]   of
[00:21:44.020 --> 00:21:44.080]   a
[00:21:44.080 --> 00:21:44.270]   way
[00:21:44.270 --> 00:21:44.460]   and
[00:21:44.460 --> 00:21:44.600]   it
[00:21:44.600 --> 00:21:44.700]  's
[00:21:44.700 --> 00:21:45.010]   still
[00:21:45.010 --> 00:21:45.060]   a
[00:21:45.060 --> 00:21:45.380]   very
[00:21:45.380 --> 00:21:45.690]   useful
[00:21:45.690 --> 00:21:46.130]   tool
[00:21:46.130 --> 00:21:46.240]   for
[00:21:46.240 --> 00:21:46.520]   people
[00:21:46.520 --> 00:21:46.690]   who
[00:21:46.690 --> 00:21:46.940]   need
[00:21:46.940 --> 00:21:47.050]   it
[00:21:47.050 --> 00:21:47.430]   for
[00:21:47.430 --> 00:21:47.500]   what
[00:21:47.500 --> 00:21:47.720]   it
[00:21:47.720 --> 00:21:47.870]   does
[00:21:47.870 --> 00:21:48.390]  .
[00:21:48.390 --> 00:21:48.480]   So
[00:21:48.480 --> 00:21:48.760]   I
[00:21:48.760 --> 00:21:48.880]   think
[00:21:48.880 --> 00:21:49.120]   that
[00:21:49.120 --> 00:21:49.300]   uh
[00:21:49.300 --> 00:21:49.320]   i
[00:21:49.320 --> 00:21:49.420]   in
[00:21:49.420 --> 00:21:49.660]   some
[00:21:49.660 --> 00:21:50.020]   senses
[00:21:50.020 --> 00:21:50.080]   I
[00:21:50.080 --> 00:21:50.260]  've
[00:21:50.260 --> 00:21:50.500]   seen
[00:21:50.500 --> 00:21:51.040]   customers
[00:21:51.040 --> 00:21:51.310]   come
[00:21:51.310 --> 00:21:51.590]   over
[00:21:51.590 --> 00:21:51.850]   from
[00:21:51.850 --> 00:21:52.060]   those
[00:21:52.060 --> 00:21:52.640]   other
[00:21:52.640 --> 00:21:52.840]   products
[00:21:52.840 --> 00:21:53.540]  . [SPEAKER_TURN]
[00:21:53.540 --> 00:21:54.270]   M
[00:21:54.270 --> 00:21:54.990]  m
[00:21:54.990 --> 00:21:55.770]  -
[00:21:55.770 --> 00:21:56.730]  h
[00:21:56.730 --> 00:21:57.880]  mm
[00:21:57.880 --> 00:22:00.080]  .
[00:22:00.080 --> 00:22:00.080]  
[00:22:00.080 --> 00:22:00.360]   have
[00:22:00.360 --> 00:22:00.770]   closed
[00:22:00.770 --> 00:22:00.780]   down
[00:22:00.780 --> 00:22:01.410]  .
[00:22:01.410 --> 00:22:01.440]   Um
[00:22:01.440 --> 00:22:01.550]   so
[00:22:01.550 --> 00:22:01.620]   I
[00:22:01.620 --> 00:22:01.970]   think
[00:22:01.970 --> 00:22:02.250]   that
[00:22:02.250 --> 00:22:02.600]   there
[00:22:02.600 --> 00:22:02.790]  's
[00:22:02.790 --> 00:22:02.810]   a
[00:22:02.810 --> 00:22:03.040]   you
[00:22:03.040 --> 00:22:03.300]   know
[00:22:03.300 --> 00:22:03.650]   there
[00:22:03.650 --> 00:22:03.790]  's
[00:22:03.790 --> 00:22:03.860]   a
[00:22:03.860 --> 00:22:04.140]   time
[00:22:04.140 --> 00:22:04.510]   where
[00:22:04.510 --> 00:22:04.770]   plug
[00:22:04.770 --> 00:22:05.110]   here
[00:22:05.110 --> 00:22:05.400]   could
[00:22:05.400 --> 00:22:05.750]   start
[00:22:05.750 --> 00:22:06.310]   taking
[00:22:06.310 --> 00:22:06.380]   on
[00:22:06.380 --> 00:22:06.420]   a
[00:22:06.420 --> 00:22:06.590]   new
[00:22:06.590 --> 00:22:07.220]   people
[00:22:07.220 --> 00:22:07.240]   And
[00:22:07.240 --> 00:22:07.430]  .
[00:22:07.430 --> 00:22:07.570]   uh
[00:22:07.570 --> 00:22:07.780]   the
[00:22:07.780 --> 00:22:08.130]   other
[00:22:08.130 --> 00:22:08.480]   thing
[00:22:08.480 --> 00:22:08.550]   I
[00:22:08.550 --> 00:22:08.810]  've
[00:22:08.810 --> 00:22:08.830]   w
[00:22:08.830 --> 00:22:09.110]   like
[00:22:09.110 --> 00:22:09.180]   I
[00:22:09.180 --> 00:22:09.390]  've
[00:22:09.390 --> 00:22:09.810]   always
[00:22:09.810 --> 00:22:10.090]   said
[00:22:10.090 --> 00:22:10.340]   it
[00:22:10.340 --> 00:22:10.370]  's
[00:22:10.370 --> 00:22:10.650]   like
[00:22:10.650 --> 00:22:10.730]   a
[00:22:10.730 --> 00:22:11.000]   band
[00:22:11.000 --> 00:22:11.210]  .
[00:22:11.210 --> 00:22:11.630]   Like
[00:22:11.630 --> 00:22:11.630]   if
[00:22:11.630 --> 00:22:11.910]   a
[00:22:11.910 --> 00:22:11.980]   band
[00:22:11.980 --> 00:22:12.330]   keeps
[00:22:12.330 --> 00:22:12.820]   playing
[00:22:12.820 --> 00:22:13.060]   for
[00:22:13.060 --> 00:22:13.240]   ten
[00:22:13.240 --> 00:22:13.730]   years
[00:22:13.730 --> 00:22:14.120]  ,
[00:22:14.120 --> 00:22:14.430]   eventually
[00:22:14.430 --> 00:22:14.690]   just
[00:22:14.690 --> 00:22:15.060]   by
[00:22:15.060 --> 00:22:15.200]   sheer
[00:22:15.200 --> 00:22:15.410]  ,
[00:22:15.410 --> 00:22:15.550]   you
[00:22:15.550 --> 00:22:15.830]   know
[00:22:15.830 --> 00:22:16.110]   just
[00:22:16.110 --> 00:22:16.250]   st
[00:22:16.250 --> 00:22:16.460]  ict
[00:22:16.460 --> 00:22:16.810]   stick
[00:22:16.810 --> 00:22:17.070]   tu
[00:22:17.070 --> 00:22:17.680]  itiveness
[00:22:17.680 --> 00:22:17.720]  ,
[00:22:17.720 --> 00:22:18.000]   they
[00:22:18.000 --> 00:22:18.390]   make
[00:22:18.390 --> 00:22:18.420]   it
[00:22:18.420 --> 00:22:18.560]  ,
[00:22:18.560 --> 00:22:18.910]   right
[00:22:18.910 --> 00:22:19.120]  .
[00:22:19.120 --> 00:22:19.400]   Like
[00:22:19.400 --> 00:22:19.990]   because
[00:22:19.990 --> 00:22:20.030]   pe
[00:22:20.030 --> 00:22:20.170]  op
[00:22:20.170 --> 00:22:20.660]   because
[00:22:20.660 --> 00:22:20.730]   '
[00:22:20.730 --> 00:22:21.080]  cause
[00:22:21.080 --> 00:22:21.290]   the
[00:22:21.290 --> 00:22:21.570]   this
[00:22:21.570 --> 00:22:21.910]   the
[00:22:21.910 --> 00:22:21.990]   log
[00:22:21.990 --> 00:22:22.480]   service
[00:22:22.480 --> 00:22:22.760]   area
[00:22:22.760 --> 00:22:23.040]   just
[00:22:23.040 --> 00:22:23.670]   increases
[00:22:23.670 --> 00:22:23.880]  .
[00:22:23.880 --> 00:22:24.160]   Even
[00:22:24.160 --> 00:22:24.300]   if
[00:22:24.300 --> 00:22:24.370]   a
[00:22:24.370 --> 00:22:24.580]   lot
[00:22:24.580 --> 00:22:24.720]   of
[00:22:24.720 --> 00:22:24.860]   uh
[00:22:24.860 --> 00:22:25.070]   you
[00:22:25.070 --> 00:22:25.340]   know
[00:22:25.340 --> 00:22:25.690]   there
[00:22:25.690 --> 00:22:25.910]  's
[00:22:25.910 --> 00:22:25.960]   a
[00:22:25.960 --> 00:22:26.180]   lot
[00:22:26.180 --> 00:22:26.260]   of
[00:22:26.260 --> 00:22:26.400]   uh
[00:22:26.400 --> 00:22:26.670]   not
[00:22:26.670 --> 00:22:26.810]   too
[00:22:26.810 --> 00:22:27.160]   many
[00:22:27.160 --> 00:22:27.520]   people
[00:22:27.520 --> 00:22:27.660]   in
[00:22:27.660 --> 00:22:27.870]   one
[00:22:27.870 --> 00:22:28.050]   go
[00:22:28.050 --> 00:22:28.240]   but
[00:22:28.240 --> 00:22:28.500]   over
[00:22:28.500 --> 00:22:28.630]   a
[00:22:28.630 --> 00:22:28.780]   ten
[00:22:28.780 --> 00:22:29.060]   year
[00:22:29.060 --> 00:22:29.480]   period
[00:22:29.480 --> 00:22:29.500]   you
[00:22:29.500 --> 00:22:30.080]   get
[00:22:30.080 --> 00:22:30.370]  
[00:22:30.370 --> 00:22:30.650]   Yeah
[00:22:30.650 --> 00:22:31.110]  .
[00:22:31.110 --> 00:22:31.650]   Yeah
[00:22:31.650 --> 00:22:32.080]  .
[00:22:32.080 --> 00:22:32.670]   Yeah
[00:22:32.670 --> 00:22:32.990]  .
[00:22:32.990 --> 00:22:33.030]   Um
[00:22:33.030 --> 00:22:33.260]   well
[00:22:33.260 --> 00:22:33.310]   I
[00:22:33.310 --> 00:22:33.470]  'll
[00:22:33.470 --> 00:22:33.940]   be
[00:22:33.940 --> 00:22:34.160]   interested
[00:22:34.160 --> 00:22:34.270]   to
[00:22:34.270 --> 00:22:34.440]   see
[00:22:34.440 --> 00:22:34.610]   how
[00:22:34.610 --> 00:22:34.840]   that
[00:22:34.840 --> 00:22:35.120]   works
[00:22:35.120 --> 00:22:35.290]   out
[00:22:35.290 --> 00:22:35.890]   hopefully
[00:22:35.890 --> 00:22:35.910]  ,
[00:22:35.910 --> 00:22:36.020]   uh
[00:22:36.020 --> 00:22:36.320]   hopefully
[00:22:36.320 --> 00:22:36.690]   you
[00:22:36.690 --> 00:22:37.030]  'll
[00:22:37.030 --> 00:22:37.090]   get
[00:22:37.090 --> 00:22:37.270]   some
[00:22:37.270 --> 00:22:37.520]   cash
[00:22:37.520 --> 00:22:37.720]   and
[00:22:37.720 --> 00:22:37.900]   then
[00:22:37.900 --> 00:22:38.070]   you
[00:22:38.070 --> 00:22:38.300]   just
[00:22:38.300 --> 00:22:38.580]   focus
[00:22:38.580 --> 00:22:38.690]   on
[00:22:38.690 --> 00:22:39.120]   digital
[00:22:39.120 --> 00:22:39.840]  . [SPEAKER_TURN]
[00:22:39.840 --> 00:22:42.550]   M
[00:22:42.550 --> 00:22:43.960]  m
[00:22:43.960 --> 00:22:50.100]  .
[00:22:54.240 --> 00:22:54.310]  
[00:22:54.310 --> 00:22:54.400]   So
[00:22:54.400 --> 00:22:54.560]   um
[00:22:54.560 --> 00:22:54.640]   I
[00:22:54.640 --> 00:22:54.800]  'm
[00:22:54.800 --> 00:22:55.040]   not
[00:22:55.040 --> 00:22:55.420]   doing
[00:22:55.420 --> 00:22:56.180]   cataly
[00:22:56.180 --> 00:22:56.200]  sts
[00:22:56.200 --> 00:22:56.510]   this
[00:22:56.510 --> 00:22:57.000]   summer
[00:22:57.000 --> 00:22:57.580]   because
[00:22:57.580 --> 00:22:57.970]   well
[00:22:57.970 --> 00:22:58.150]   one
[00:22:58.150 --> 00:22:58.300]   we
[00:22:58.300 --> 00:22:58.530]   don
[00:22:58.530 --> 00:22:58.860]  't
[00:22:58.860 --> 00:22:59.040]   have
[00:22:59.040 --> 00:22:59.530]   access
[00:22:59.530 --> 00:22:59.690]   to
[00:22:59.690 --> 00:22:59.930]   the
[00:22:59.930 --> 00:23:00.190]   uh
[00:23:00.190 --> 00:23:00.380]   the
[00:23:00.380 --> 00:23:00.760]   space
[00:23:00.760 --> 00:23:00.900]   so
[00:23:00.900 --> 00:23:01.050]  ,
[00:23:01.050 --> 00:23:01.370]   you
[00:23:01.370 --> 00:23:01.630]   know
[00:23:01.630 --> 00:23:01.790]   um
[00:23:01.790 --> 00:23:01.870]   I
[00:23:01.870 --> 00:23:02.110]   was
[00:23:02.110 --> 00:23:02.700]   renting
[00:23:02.700 --> 00:23:02.770]   a
[00:23:02.770 --> 00:23:03.260]   room
[00:23:03.260 --> 00:23:03.270]   at
[00:23:03.270 --> 00:23:03.500]   the
[00:23:03.500 --> 00:23:03.660]   uh
[00:23:03.660 --> 00:23:04.150]   church
[00:23:04.150 --> 00:23:04.310]   on
[00:23:04.310 --> 00:23:04.550]   the
[00:23:04.550 --> 00:23:05.040]   corner
[00:23:05.040 --> 00:23:05.330]   they
[00:23:05.330 --> 00:23:05.940]   have
[00:23:05.940 --> 00:23:06.070]   you
[00:23:06.070 --> 00:23:06.270]   know
[00:23:06.270 --> 00:23:06.590]   they
[00:23:06.590 --> 00:23:07.410]   normally
[00:23:07.410 --> 00:23:07.590]   rent
[00:23:07.590 --> 00:23:07.830]   out
[00:23:07.830 --> 00:23:08.240]   rooms
[00:23:08.240 --> 00:23:08.400]   to
[00:23:08.400 --> 00:23:08.960]   groups
[00:23:08.960 --> 00:23:09.050]   um
[00:23:09.050 --> 00:23:09.290]   at
[00:23:09.290 --> 00:23:09.440]   a
[00:23:09.440 --> 00:23:10.200]   pre [SPEAKER_TURN]
[00:23:11.880 --> 00:23:11.890]  
[00:23:11.890 --> 00:23:12.060]   Yeah
[00:23:12.060 --> 00:23:12.240]   yeah
[00:23:12.240 --> 00:23:12.410]  ,
[00:23:12.410 --> 00:23:12.420]   so
[00:23:12.420 --> 00:23:12.510]   it
[00:23:12.510 --> 00:23:12.660]  's
[00:23:12.660 --> 00:23:12.780]   what
[00:23:12.780 --> 00:23:12.870]   it
[00:23:12.870 --> 00:23:12.990]   is
[00:23:12.990 --> 00:23:13.140]  .
[00:23:13.140 --> 00:23:13.180]   It
[00:23:13.180 --> 00:23:13.270]  's
[00:23:13.270 --> 00:23:13.450]   like
[00:23:13.450 --> 00:23:13.490]   a
[00:23:13.490 --> 00:23:13.670]   mini
[00:23:13.670 --> 00:23:13.750]  -
[00:23:13.750 --> 00:23:13.840]  cat
[00:23:13.840 --> 00:23:14.060]  alyst
[00:23:14.060 --> 00:23:14.180]  ,
[00:23:14.180 --> 00:23:14.280]   but
[00:23:14.280 --> 00:23:14.370]   it
[00:23:14.370 --> 00:23:14.470]  's
[00:23:14.470 --> 00:23:14.550]   it
[00:23:14.550 --> 00:23:14.770]   would
[00:23:14.770 --> 00:23:14.860]   a
[00:23:14.860 --> 00:23:14.990]   mini
[00:23:14.990 --> 00:23:15.030]  -
[00:23:15.030 --> 00:23:15.210]  cat
[00:23:15.210 --> 00:23:15.380]  alyst
[00:23:15.380 --> 00:23:15.550]   is
[00:23:15.550 --> 00:23:15.650]   like
[00:23:15.650 --> 00:23:15.780]   two
[00:23:15.780 --> 00:23:15.950]   kids
[00:23:15.950 --> 00:23:16.140]  ,
[00:23:16.140 --> 00:23:16.270]   three
[00:23:16.270 --> 00:23:16.450]   kids
[00:23:16.450 --> 00:23:16.660]  .
[00:23:16.660 --> 00:23:16.970]   So
[00:23:16.970 --> 00:23:17.000]  ,
[00:23:17.000 --> 00:23:17.240]   you
[00:23:17.240 --> 00:23:17.560]   know
[00:23:17.560 --> 00:23:17.800]   a
[00:23:17.800 --> 00:23:17.880]  ,
[00:23:17.880 --> 00:23:17.980]   a
[00:23:17.980 --> 00:23:18.040]   if
[00:23:18.040 --> 00:23:18.200]   if
[00:23:18.200 --> 00:23:18.920]   everybody
[00:23:18.920 --> 00:23:19.320]   makes
[00:23:19.320 --> 00:23:19.480]   it
[00:23:19.480 --> 00:23:19.640]   it
[00:23:19.640 --> 00:23:19.880]  'll
[00:23:19.880 --> 00:23:20.070]   be
[00:23:20.070 --> 00:23:20.360]   four
[00:23:20.360 --> 00:23:20.520]   of
[00:23:20.520 --> 00:23:20.830]   them
[00:23:20.830 --> 00:23:21.770]   including
[00:23:21.770 --> 00:23:21.800]   Col
[00:23:21.800 --> 00:23:21.960]  by
[00:23:21.960 --> 00:23:22.190]  .
[00:23:22.190 --> 00:23:22.490]   Um
[00:23:22.490 --> 00:23:22.760]   which
[00:23:22.760 --> 00:23:22.920]   is
[00:23:22.920 --> 00:23:23.240]   easy
[00:23:23.240 --> 00:23:23.640]   and
[00:23:23.640 --> 00:23:23.660]  ,
[00:23:23.660 --> 00:23:23.880]   and
[00:23:23.880 --> 00:23:24.120]   and
[00:23:24.120 --> 00:23:24.310]   so
[00:23:24.310 --> 00:23:24.520]   far
[00:23:24.520 --> 00:23:24.680]   uh
[00:23:24.680 --> 00:23:24.920]   for
[00:23:24.920 --> 00:23:25.180]   the
[00:23:25.180 --> 00:23:25.760]   first
[00:23:25.760 --> 00:23:25.960]   three
[00:23:25.960 --> 00:23:26.430]   weeks
[00:23:26.430 --> 00:23:26.520]  ,
[00:23:26.520 --> 00:23:26.680]   it
[00:23:26.680 --> 00:23:26.840]  's
[00:23:26.840 --> 00:23:27.160]   only
[00:23:27.160 --> 00:23:27.640]   been
[00:23:27.640 --> 00:23:27.720]   um
[00:23:27.720 --> 00:23:27.880]   two
[00:23:27.880 --> 00:23:28.050]   So
[00:23:28.050 --> 00:23:28.290]  .
[00:23:28.290 --> 00:23:28.440]   it
[00:23:28.440 --> 00:23:28.640]  's
[00:23:28.640 --> 00:23:28.920]   just
[00:23:28.920 --> 00:23:29.080]   um
[00:23:29.080 --> 00:23:29.260]   uh
[00:23:29.260 --> 00:23:29.640]   Liam
[00:23:29.640 --> 00:23:29.720]  ,
[00:23:29.720 --> 00:23:29.960]   and
[00:23:29.960 --> 00:23:30.360]   Marco
[00:23:30.360 --> 00:23:30.600]   and
[00:23:30.600 --> 00:23:30.860]   Col
[00:23:30.860 --> 00:23:31.000]  by
[00:23:31.000 --> 00:23:31.240]   and
[00:23:31.240 --> 00:23:31.400]   uh
[00:23:31.400 --> 00:23:31.720]   Liam
[00:23:31.720 --> 00:23:31.880]  's
[00:23:31.880 --> 00:23:32.120]   dad
[00:23:32.120 --> 00:23:32.340]   um
[00:23:32.340 --> 00:23:32.680]   Chris
[00:23:32.680 --> 00:23:32.920]   who
[00:23:32.920 --> 00:23:33.080]  's
[00:23:33.080 --> 00:23:33.260]  ,
[00:23:33.260 --> 00:23:33.490]   the
[00:23:33.490 --> 00:23:33.640]   uh
[00:23:33.640 --> 00:23:34.200]   astroph
[00:23:34.200 --> 00:23:34.360]  ys
[00:23:34.360 --> 00:23:34.760]  icist
[00:23:34.760 --> 00:23:35.010]   who
[00:23:35.010 --> 00:23:35.160]   uh
[00:23:35.160 --> 00:23:35.800]   helps
[00:23:35.800 --> 00:23:35.800]   out
[00:23:35.800 --> 00:23:35.880]   '
[00:23:35.880 --> 00:23:36.280]  cause
[00:23:36.280 --> 00:23:36.440]  ,
[00:23:36.440 --> 00:23:36.700]   he
[00:23:36.700 --> 00:23:36.980]   can
[00:23:36.980 --> 00:23:37.000]   he
[00:23:37.000 --> 00:23:37.240]   you
[00:23:37.240 --> 00:23:37.420]  ,
[00:23:37.420 --> 00:23:37.720]   know
[00:23:37.720 --> 00:23:37.880]   as
[00:23:37.880 --> 00:23:38.040]  ,
[00:23:38.040 --> 00:23:38.440]   an
[00:23:38.440 --> 00:23:38.760]   astroph
[00:23:38.760 --> 00:23:38.930]  ys
[00:23:38.930 --> 00:23:39.320]  icist
[00:23:39.320 --> 00:23:39.480]   he
[00:23:39.480 --> 00:23:39.960]   writes
[00:23:39.960 --> 00:23:40.040]   a
[00:23:40.040 --> 00:23:40.310]   lot
[00:23:40.310 --> 00:23:40.440]   of
[00:23:40.440 --> 00:23:40.920]   Python
[00:23:40.920 --> 00:23:41.260]   code
[00:23:41.260 --> 00:23:41.480]  .
[00:23:41.480 --> 00:23:41.880]   And
[00:23:41.880 --> 00:23:42.140]  
[00:23:42.140 --> 00:23:42.270]   having
[00:23:42.270 --> 00:23:42.460]   him
[00:23:42.460 --> 00:23:42.780]   along
[00:23:42.780 --> 00:23:42.910]   it
[00:23:42.910 --> 00:23:43.070]  's
[00:23:43.070 --> 00:23:43.430]   really
[00:23:43.430 --> 00:23:43.690]   easy
[00:23:43.690 --> 00:23:43.880]   and
[00:23:43.880 --> 00:23:44.010]   uh
[00:23:44.010 --> 00:23:44.140]   it
[00:23:44.140 --> 00:23:44.270]  's
[00:23:44.270 --> 00:23:44.790]   actually
[00:23:44.790 --> 00:23:45.270]   worked
[00:23:45.270 --> 00:23:45.420]   out
[00:23:45.420 --> 00:23:45.760]   pretty
[00:23:45.760 --> 00:23:46.020]   well
[00:23:46.020 --> 00:23:46.210]   you
[00:23:46.210 --> 00:23:46.360]  ,
[00:23:46.360 --> 00:23:46.600]   know
[00:23:46.600 --> 00:23:46.790]  ?
[00:23:46.790 --> 00:23:46.850]   I
[00:23:46.850 --> 00:23:47.110]   mean
[00:23:47.110 --> 00:23:47.230]   it
[00:23:47.230 --> 00:23:47.360]  's
[00:23:47.360 --> 00:23:47.500]   it
[00:23:47.500 --> 00:23:47.760]  's
[00:23:47.760 --> 00:23:47.770]   we
[00:23:47.770 --> 00:23:47.890]   we
[00:23:47.890 --> 00:23:48.060]   we
[00:23:48.060 --> 00:23:48.470]   shifted
[00:23:48.470 --> 00:23:48.620]   it
[00:23:48.620 --> 00:23:48.730]   to
[00:23:48.730 --> 00:23:49.120]   Friday
[00:23:49.120 --> 00:23:49.360]  .
[00:23:49.360 --> 00:23:49.800]   Um
[00:23:49.800 --> 00:23:49.820]  ,
[00:23:49.820 --> 00:23:50.090]   and
[00:23:50.090 --> 00:23:50.270]   it
[00:23:50.270 --> 00:23:50.500]  's
[00:23:50.500 --> 00:23:50.960]   actually
[00:23:50.960 --> 00:23:51.520]   a
[00:23:51.520 --> 00:23:51.690]   lot
[00:23:51.690 --> 00:23:52.210]   longer
[00:23:52.210 --> 00:23:52.400]  ,
[00:23:52.400 --> 00:23:52.630]   so
[00:23:52.630 --> 00:23:52.940]   we
[00:23:52.940 --> 00:23:53.260]   could
[00:23:53.260 --> 00:23:53.470]   uh
[00:23:53.470 --> 00:23:53.750]   it
[00:23:53.750 --> 00:23:53.940]  's
[00:23:53.940 --> 00:23:54.020]   it
[00:23:54.020 --> 00:23:54.290]  's
[00:23:54.290 --> 00:23:54.400]   it
[00:23:54.400 --> 00:23:54.980]  's
[00:23:54.980 --> 00:23:54.980]   kind
[00:23:54.980 --> 00:23:55.510]   of
[00:23:55.510 --> 00:23:55.560]   like
[00:23:55.560 --> 00:23:55.950]   half
[00:23:55.950 --> 00:23:56.340]   Play
[00:23:56.340 --> 00:23:56.430]  -
[00:23:56.430 --> 00:23:56.710]  D
[00:23:56.710 --> 00:23:56.810]  ade
[00:23:56.810 --> 00:23:57.210]   half
[00:23:57.210 --> 00:23:57.560]  -
[00:23:57.560 --> 00:23:57.580]  cat
[00:23:57.580 --> 00:23:58.060]  alyst
[00:23:58.060 --> 00:23:58.350]  .
[00:23:58.350 --> 00:23:58.540]   So
[00:23:58.540 --> 00:23:59.040]   they
[00:23:59.040 --> 00:23:59.320]   come
[00:23:59.320 --> 00:23:59.710]   over
[00:23:59.710 --> 00:24:00.100]   they
[00:24:00.100 --> 00:24:00.640]   come
[00:24:00.640 --> 00:24:00.880]   over
[00:24:00.880 --> 00:24:01.070]   at
[00:24:01.070 --> 00:24:01.460]   five
[00:24:01.460 --> 00:24:01.750]   and
[00:24:01.750 --> 00:24:02.150]   then
[00:24:02.150 --> 00:24:02.560]  ,
[00:24:02.560 --> 00:24:02.650]   for
[00:24:02.650 --> 00:24:03.100]   about
[00:24:03.100 --> 00:24:03.190]   I
[00:24:03.190 --> 00:24:03.660]   would
[00:24:03.660 --> 00:24:04.100]   say
[00:24:04.100 --> 00:24:04.440]   until
[00:24:04.440 --> 00:24:05.030]   about
[00:24:05.030 --> 00:24:05.430]   seven
[00:24:05.430 --> 00:24:05.790]   they
[00:24:05.790 --> 00:24:05.980]  ,
[00:24:05.980 --> 00:24:06.170]   do
[00:24:06.170 --> 00:24:06.560]   some
[00:24:06.560 --> 00:24:07.630]   combination
[00:24:07.630 --> 00:24:07.810]   of
[00:24:07.810 --> 00:24:08.890]   programming
[00:24:08.890 --> 00:24:09.080]  ,
[00:24:09.080 --> 00:24:09.470]   mind
[00:24:09.470 --> 00:24:10.130]   storms
[00:24:10.130 --> 00:24:10.240]  ,
[00:24:10.240 --> 00:24:10.720]   curve
[00:24:10.720 --> 00:24:11.100]  able
[00:24:11.100 --> 00:24:11.880]   space
[00:24:11.880 --> 00:24:11.880]  
[00:24:11.880 --> 00:24:12.860]   for
[00:24:12.860 --> 00:24:14.380]   Minecraft
[00:24:14.380 --> 00:24:14.970]  .
[00:24:14.970 --> 00:24:15.610]   And
[00:24:15.610 --> 00:24:16.070]   uh
[00:24:16.070 --> 00:24:16.110]   and
[00:24:16.110 --> 00:24:16.720]   then
[00:24:16.720 --> 00:24:16.810]   and
[00:24:16.810 --> 00:24:16.980]   then
[00:24:16.980 --> 00:24:17.240]   they
[00:24:17.240 --> 00:24:17.410]   go
[00:24:17.410 --> 00:24:17.630]   down
[00:24:17.630 --> 00:24:17.850]   and
[00:24:17.850 --> 00:24:17.950]   uh
[00:24:17.950 --> 00:24:18.210]   they
[00:24:18.210 --> 00:24:18.340]   go
[00:24:18.340 --> 00:24:18.600]   down
[00:24:18.600 --> 00:24:18.730]   to
[00:24:18.730 --> 00:24:18.920]   the
[00:24:18.920 --> 00:24:19.180]   pool
[00:24:19.180 --> 00:24:19.370]   and
[00:24:19.370 --> 00:24:19.630]   swim
